dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.255594,0.974937,0.000002,0.000200,0.010000,0.500000,6.281947
0.020000,0.255593,0.974937,0.000003,0.000060,-0.007007,-0.850369,6.281951
0.020000,0.255590,0.974937,0.000006,0.000135,0.003741,0.537406,6.281960
0.020000,0.255585,0.974937,0.000011,0.000239,0.005237,0.074809,6.281977
0.020000,0.255578,0.974937,0.000018,0.000374,0.006733,0.074801,6.282003
0.020000,0.255567,0.974937,0.000029,0.000539,0.008229,0.074788,6.282041
0.020000,0.255552,0.974937,0.000044,0.000733,0.009724,0.074769,6.282092
0.020000,0.255533,0.974937,0.000063,0.000957,0.011219,0.074742,6.282159
0.020000,0.255509,0.974937,0.000087,0.001212,0.012713,0.074706,6.282244
0.020000,0.255479,0.974937,0.000117,0.001496,0.014206,0.074660,6.282349
0.020000,0.255443,0.974937,0.000153,0.001810,0.015698,0.074602,6.282475
0.020000,0.255400,0.974937,0.000196,0.002154,0.017189,0.074531,6.282626
0.020000,0.255349,0.974937,0.000247,0.002527,0.018678,0.074446,6.282803
0.020000,0.255291,0.974937,0.000305,0.002930,0.020165,0.074346,6.283008
0.020000,0.255335,0.974937,0.000349,0.002190,-0.037000,-2.858217,0.000058
0.020000,0.255770,0.974938,0.000785,0.021776,0.979293,50.814627,0.000326
0.020000,0.256262,0.974938,0.001276,0.024582,0.140288,-41.950236,0.000628
0.020000,0.256813,0.974938,0.001827,0.027557,0.148769,0.424053,0.000967
0.020000,0.257427,0.974939,0.002442,0.030705,0.157397,0.431385,0.001344
0.020000,0.258108,0.974940,0.003122,0.034029,0.166163,0.438307,0.001763
0.020000,0.258858,0.974941,0.003872,0.037514,0.174242,0.403929,0.002224
0.020000,0.259681,0.974944,0.004696,0.041175,0.183064,0.441092,0.002729
0.020000,0.260581,0.974946,0.005596,0.045006,0.191583,0.425970,0.003282
0.020000,0.261562,0.974950,0.006576,0.049005,0.199915,0.416610,0.003883
0.020000,0.262625,0.974954,0.007640,0.053181,0.208796,0.444024,0.004536
0.020000,0.263774,0.974960,0.008788,0.057436,0.212781,0.199256,0.005240
0.020000,0.265008,0.974967,0.010022,0.061695,0.212942,0.008070,0.005996
0.020000,0.266327,0.974975,0.011342,0.065958,0.213155,0.010642,0.006804
0.020000,0.267731,0.974985,0.012746,0.070216,0.212875,-0.014024,0.007664
0.020000,0.269221,0.974997,0.014235,0.074478,0.213096,0.011084,0.008575
0.020000,0.270795,0.975012,0.015810,0.078746,0.213395,0.014954,0.009538
0.020000,0.272456,0.975028,0.017470,0.083009,0.213160,-0.011749,0.010552
0.020000,0.274201,0.975048,0.019216,0.087274,0.213271,0.005531,0.011618
0.020000,0.276032,0.975070,0.021047,0.091542,0.213376,0.005278,0.012735
0.020000,0.277948,0.975096,0.022963,0.095811,0.213477,0.005045,0.013903
0.020000,0.279949,0.975125,0.024965,0.100083,0.213574,0.004832,0.015122
0.020000,0.282036,0.975157,0.027052,0.104356,0.213667,0.004641,0.016392
0.020000,0.284208,0.975195,0.029224,0.108631,0.213756,0.004472,0.017713
0.020000,0.286466,0.975236,0.031483,0.112908,0.213843,0.004326,0.019084
0.020000,0.288809,0.975282,0.033826,0.117187,0.213927,0.004204,0.020506
0.020000,0.291238,0.975334,0.036256,0.121467,0.214009,0.004108,0.021978
0.020000,0.293753,0.975391,0.038771,0.125754,0.214337,0.016412,0.023500
0.020000,0.296353,0.975454,0.041372,0.130041,0.214388,0.002516,0.025072
0.020000,0.299038,0.975524,0.044058,0.134327,0.214311,-0.003848,0.026693
0.020000,0.301810,0.975600,0.046831,0.138621,0.214657,0.017334,0.028365
0.020000,0.304667,0.975684,0.049689,0.142918,0.214853,0.009771,0.030085
0.020000,0.307610,0.975775,0.052633,0.147212,0.214709,-0.007209,0.031855
0.020000,0.310638,0.975874,0.055663,0.151519,0.215358,0.032457,0.033674
0.020000,0.313753,0.975982,0.058780,0.155820,0.215027,-0.016559,0.035541
0.020000,0.316953,0.976099,0.061983,0.160131,0.215598,0.028559,0.037457
0.020000,0.320238,0.976225,0.065270,0.164358,0.211330,-0.213395,0.039419
0.020000,0.323604,0.976361,0.068638,0.168415,0.202855,-0.423758,0.041427
0.020000,0.327047,0.976508,0.072084,0.172313,0.194883,-0.398590,0.043477
