dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.255240,0.689187,0.000002,0.000200,0.010000,0.500000,6.281947
0.020000,0.255240,0.689187,0.000010,0.000600,0.020000,0.500000,6.281951
0.020000,0.255240,0.689187,0.000028,0.001200,0.030000,0.500000,6.281960
0.020000,0.255240,0.689187,0.000060,0.002000,0.040000,0.500000,6.281977
0.020000,0.255240,0.689187,0.000110,0.003000,0.050000,0.500000,6.282003
0.020000,0.255240,0.689187,0.000182,0.004200,0.060000,0.500000,6.282041
0.020000,0.255240,0.689187,0.000280,0.005600,0.070000,0.500000,6.282092
0.020000,0.255240,0.689187,0.000408,0.007200,0.080000,0.500000,6.282159
0.020000,0.255240,0.689187,0.000570,0.009000,0.090000,0.500000,6.282244
0.020000,0.255240,0.689187,0.000770,0.011000,0.100000,0.500000,6.282349
0.020000,0.255240,0.689187,0.001012,0.013200,0.110000,0.500000,6.282475
0.020000,0.255240,0.689187,0.001300,0.015600,0.120000,0.500000,6.282626
0.020000,0.255240,0.689187,0.001638,0.018200,0.130000,0.500000,6.282803
0.020000,0.255240,0.689187,0.002030,0.021000,0.140000,0.500000,6.283008
0.020000,0.255351,0.689187,0.002480,0.024000,0.150000,0.500000,0.000058
0.020000,0.255863,0.689188,0.002992,0.027200,0.160000,0.500000,0.000326
0.020000,0.256441,0.689188,0.003570,0.030600,0.170000,0.500000,0.000628
0.020000,0.257089,0.689188,0.004218,0.034200,0.180000,0.500000,0.000967
0.020000,0.257811,0.689189,0.004940,0.038000,0.190000,0.500000,0.001344
0.020000,0.258611,0.689190,0.005740,0.042000,0.200000,0.500000,0.001763
0.020000,0.259493,0.689192,0.006622,0.046200,0.210000,0.500000,0.002224
0.020000,0.260461,0.689195,0.007590,0.050600,0.220000,0.500000,0.002729
0.020000,0.261519,0.689198,0.008648,0.055200,0.230000,0.500000,0.003282
0.020000,0.262671,0.689202,0.009800,0.060000,0.240000,0.500000,0.003883
0.020000,0.263921,0.689207,0.011050,0.065000,0.250000,0.500000,0.004536
0.020000,0.265271,0.689214,0.012400,0.070000,0.250000,0.000000,0.005240
0.020000,0.266721,0.689222,0.013850,0.075000,0.250000,-0.000000,0.005996
0.020000,0.268271,0.689232,0.015400,0.080000,0.250000,0.000000,0.006804
0.020000,0.269921,0.689244,0.017050,0.085000,0.250000,0.000000,0.007664
0.020000,0.271671,0.689258,0.018800,0.090000,0.250000,-0.000000,0.008575
0.020000,0.273521,0.689275,0.020650,0.095000,0.250000,0.000000,0.009538
0.020000,0.275471,0.689294,0.022600,0.100000,0.250000,0.000000,0.010552
0.020000,0.277521,0.689317,0.024650,0.105000,0.250000,-0.000000,0.011618
0.020000,0.279671,0.689343,0.026800,0.110000,0.250000,0.000000,0.012735
0.020000,0.281920,0.689373,0.029050,0.115000,0.250000,0.000000,0.013903
0.020000,0.284270,0.689407,0.031400,0.120000,0.250000,-0.000000,0.015122
0.020000,0.286720,0.689446,0.033850,0.125000,0.250000,0.000000,0.016392
0.020000,0.289269,0.689489,0.036400,0.130000,0.250000,0.000000,0.017713
