dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.254886,0.403438,0.000002,0.000200,0.010000,0.500000,6.281947
0.020000,0.254887,0.403438,0.000003,0.000060,-0.007007,-0.850369,6.281951
0.020000,0.254890,0.403438,0.000006,0.000135,0.003741,0.537406,6.281960
0.020000,0.254895,0.403438,0.000011,0.000239,0.005237,0.074809,6.281977
0.020000,0.254902,0.403438,0.000018,0.000374,0.006733,0.074801,6.282003
0.020000,0.254913,0.403438,0.000029,0.000539,0.008229,0.074788,6.282041
0.020000,0.254928,0.403438,0.000044,0.000733,0.009724,0.074769,6.282092
0.020000,0.254947,0.403438,0.000063,0.000957,0.011219,0.074742,6.282159
0.020000,0.254971,0.403438,0.000087,0.001212,0.012713,0.074706,6.282244
0.020000,0.255001,0.403438,0.000117,0.001496,0.014206,0.074660,6.282349
0.020000,0.255037,0.403438,0.000153,0.001810,0.015698,0.074602,6.282475
0.020000,0.255080,0.403437,0.000196,0.002154,0.017189,0.074531,6.282626
0.020000,0.255131,0.403437,0.000247,0.002527,0.018678,0.074446,6.282803
0.020000,0.255189,0.403437,0.000305,0.002930,0.020165,0.074346,6.283008
0.020000,0.255368,0.403437,0.000484,0.008918,0.299362,13.959852,0.000058
0.020000,0.255956,0.403438,0.001072,0.029430,1.025608,36.312321,0.000326
0.020000,0.256621,0.403438,0.001737,0.033220,0.189517,-41.804572,0.000628
0.020000,0.257366,0.403438,0.002481,0.037239,0.200949,0.571599,0.000967
0.020000,0.258195,0.403439,0.003311,0.041491,0.212573,0.581195,0.001344
0.020000,0.259115,0.403441,0.004231,0.045978,0.224377,0.590193,0.001763
0.020000,0.260129,0.403443,0.005244,0.050683,0.235243,0.543346,0.002224
0.020000,0.261241,0.403446,0.006357,0.055625,0.247106,0.593117,0.002729
0.020000,0.262457,0.403449,0.007573,0.060796,0.258550,0.572190,0.003282
0.020000,0.263781,0.403454,0.008897,0.066191,0.269730,0.559000,0.003883
0.020000,0.265217,0.403460,0.010333,0.071824,0.281638,0.595422,0.004536
0.020000,0.266768,0.403468,0.011884,0.077562,0.286923,0.264227,0.005240
0.020000,0.268434,0.403477,0.013551,0.083303,0.287033,0.005522,0.005996
0.020000,0.270215,0.403488,0.015331,0.089047,0.287203,0.008522,0.006804
0.020000,0.272111,0.403502,0.017227,0.094781,0.286698,-0.025260,0.007664
0.020000,0.274121,0.403518,0.019237,0.100518,0.286861,0.008140,0.008575
0.020000,0.276246,0.403538,0.021363,0.106260,0.287118,0.012840,0.009538
0.020000,0.278486,0.403560,0.023602,0.111993,0.286643,-0.023728,0.010552
0.020000,0.280840,0.403586,0.025957,0.117726,0.286624,-0.000957,0.011618
0.020000,0.283309,0.403616,0.028426,0.123457,0.286587,-0.001871,0.012735
0.020000,0.285893,0.403651,0.031010,0.129188,0.286531,-0.002778,0.013903
0.020000,0.288591,0.403690,0.033708,0.134917,0.286458,-0.003678,0.015122
0.020000,0.291404,0.403734,0.036521,0.140644,0.286366,-0.004571,0.016392
0.020000,0.294331,0.403784,0.039449,0.146370,0.286257,-0.005456,0.017713
0.020000,0.297372,0.403840,0.042490,0.152092,0.286130,-0.006333,0.019084
0.020000,0.300527,0.403903,0.045647,0.157812,0.285986,-0.007201,0.020506
0.020000,0.303797,0.403972,0.048917,0.163528,0.285825,-0.008061,0.021978
0.020000,0.307181,0.404049,0.052302,0.169248,0.285980,0.007742,0.023500
0.020000,0.310680,0.404134,0.055801,0.174963,0.285745,-0.011755,0.025072
0.020000,0.314292,0.404228,0.059415,0.180669,0.285323,-0.021119,0.026693
0.020000,0.318018,0.404330,0.063142,0.186378,0.285453,0.006534,0.028365
0.020000,0.321858,0.404442,0.066984,0.192086,0.285363,-0.004518,0.030085
0.020000,0.325812,0.404565,0.070940,0.197782,0.284798,-0.028232,0.031855
0.020000,0.329879,0.404698,0.075009,0.203487,0.285281,0.024131,0.033674
0.020000,0.334060,0.404843,0.079193,0.209176,0.284427,-0.042671,0.035541
0.020000,0.338355,0.405000,0.083490,0.214871,0.284766,0.016923,0.037457
0.020000,0.342760,0.405169,0.087899,0.220443,0.278594,-0.308591,0.039419
0.020000,0.347272,0.405352,0.092415,0.225778,0.266774,-0.591022,0.041427
0.020000,0.351886,0.405548,0.097033,0.230891,0.255630,-0.557206,0.043477
0.020000,0.356597,0.405758,0.101748,0.235764,0.243640,-0.599475,0.045567
0.020000,0.361399,0.405982,0.106556,0.240403,0.231942,-0.584894,0.047695
0.020000,0.366290,0.406220,0.111452,0.244810,0.220341,-0.580044,0.049858
0.020000,0.371263,0.406474,0.116432,0.248984,0.208733,-0.580413,0.052055
0.020000,0.376314,0.406743,0.121490,0.252930,0.197276,-0.572841,0.054283
0.020000,0.381439,0.407027,0.126623,0.256639,0.185483,-0.589665,0.056539
0.020000,0.386633,0.407327,0.131826,0.260116,0.173835,-0.582418,0.058822
0.020000,0.391891,0.407643,0.137093,0.263361,0.162224,-0.580545,0.061129
0.020000,0.397208,0.407974,0.142420,0.266373,0.150616,-0.580405,0.063458
0.020000,0.402580,0.408322,0.147803,0.269153,0.139012,-0.580176,0.065806
0.020000,0.408002,0.408686,0.153237,0.271701,0.127415,-0.579866,0.068172
0.020000,0.413469,0.409066,0.158718,0.274018,0.115825,-0.579480,0.070553
0.020000,0.418977,0.409462,0.164240,0.276103,0.104245,-0.579023,0.072947
0.020000,0.424521,0.409873,0.169799,0.277958,0.092763,-0.574101,0.075352
0.020000,0.430096,0.410301,0.175390,0.279582,0.081194,-0.578424,0.077765
0.020000,0.435698,0.410744,0.181010,0.280974,0.069584,-0.580498,0.080185
0.020000,0.441322,0.411203,0.186653,0.282135,0.058049,-0.576757,0.082609
0.020000,0.446963,0.411677,0.192314,0.283065,0.046529,-0.576013,0.085036
0.020000,0.452617,0.412166,0.197989,0.283766,0.035024,-0.575229,0.087462
0.020000,0.458280,0.412669,0.203674,0.284236,0.023536,-0.574408,0.089886
0.020000,0.463946,0.413187,0.209364,0.284478,0.012081,-0.572748,0.092306
0.020000,0.469611,0.413718,0.215053,0.284494,0.000811,-0.563515,0.094721
0.020000,0.475272,0.414263,0.220741,0.284391,-0.005144,-0.297743,0.097128
0.020000,0.480931,0.414821,0.226427,0.284287,-0.005201,-0.002833,0.099527
0.020000,0.486586,0.415393,0.232111,0.284182,-0.005257,-0.002803,0.101920
0.020000,0.492237,0.415978,0.237792,0.284076,-0.005312,-0.002773,0.104305
0.020000,0.497885,0.416576,0.243472,0.283969,-0.005367,-0.002743,0.106683
0.020000,0.503529,0.417187,0.249149,0.283863,-0.005255,0.005603,0.109053
0.020000,0.509170,0.417811,0.254824,0.283755,-0.005446,-0.009559,0.111415
0.020000,0.514807,0.418449,0.260497,0.283644,-0.005534,-0.004383,0.113770
0.020000,0.520440,0.419099,0.266167,0.283532,-0.005586,-0.002620,0.116117
0.020000,0.526069,0.419762,0.271836,0.283419,-0.005638,-0.002589,0.118456
0.020000,0.531695,0.420438,0.277502,0.283306,-0.005689,-0.002559,0.120787
0.020000,0.537317,0.421127,0.283166,0.283194,-0.005594,0.004757,0.123110
0.020000,0.542935,0.421829,0.288827,0.283079,-0.005757,-0.008121,0.125426
0.020000,0.548549,0.422544,0.294487,0.282962,-0.005845,-0.004417,0.127733
0.020000,0.554158,0.423271,0.300143,0.282844,-0.005894,-0.002432,0.130031
0.020000,0.559764,0.424010,0.305798,0.282725,-0.005942,-0.002401,0.132322
0.020000,0.565366,0.424762,0.311450,0.282605,-0.005989,-0.002369,0.134604
0.020000,0.570964,0.425527,0.317100,0.282488,-0.005882,0.005368,0.136878
0.020000,0.576558,0.426304,0.322747,0.282366,-0.006074,-0.009634,0.139143
0.020000,0.582147,0.427093,0.328392,0.282243,-0.006133,-0.002941,0.141400
0.020000,0.587732,0.427895,0.334034,0.282120,-0.006178,-0.002241,0.143648
0.020000,0.593313,0.428708,0.339674,0.281995,-0.006222,-0.002209,0.145888
0.020000,0.598890,0.429534,0.345312,0.281871,-0.006236,-0.000714,0.148118
0.020000,0.604462,0.430372,0.350947,0.281747,-0.006188,0.002409,0.150340
0.020000,0.610030,0.431221,0.356579,0.281620,-0.006357,-0.008417,0.152553
0.020000,0.615594,0.432083,0.362209,0.281492,-0.006398,-0.002080,0.154757
0.020000,0.621153,0.432957,0.367836,0.281363,-0.006439,-0.002049,0.156953
0.020000,0.626707,0.433842,0.373461,0.281233,-0.006479,-0.002017,0.159139
