dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.576672,3.304143,0.000002,0.000200,0.010000,0.500000,6.281821
0.020000,1.576671,3.304143,0.000003,0.000040,-0.007985,-0.899225,6.281824
0.020000,1.576670,3.304143,0.000005,0.000091,0.002519,0.525193,6.281830
0.020000,1.576666,3.304143,0.000008,0.000161,0.003527,0.050384,6.281841
0.020000,1.576661,3.304143,0.000013,0.000252,0.004535,0.050379,6.281859
0.020000,1.576654,3.304143,0.000020,0.000363,0.005542,0.050372,6.281884
0.020000,1.576644,3.304143,0.000030,0.000494,0.006549,0.050360,6.281919
0.020000,1.576631,3.304143,0.000043,0.000645,0.007556,0.050344,6.281964
0.020000,1.576615,3.304143,0.000059,0.000816,0.008563,0.050323,6.282021
0.020000,1.576595,3.304143,0.000079,0.001008,0.009569,0.050297,6.282092
0.020000,1.576570,3.304143,0.000104,0.001219,0.010574,0.050263,6.282177
0.020000,1.576541,3.304143,0.000133,0.001451,0.011578,0.050222,6.282278
0.020000,1.576507,3.304143,0.000167,0.001702,0.012582,0.050172,6.282398
0.020000,1.576468,3.304143,0.000206,0.001974,0.013584,0.050114,6.282536
0.020000,1.576423,3.304143,0.000252,0.002266,0.014585,0.050046,6.282694
0.020000,1.576371,3.304143,0.000303,0.002577,0.015584,0.049967,6.282875
0.020000,1.576313,3.304143,0.000361,0.002909,0.016582,0.049877,6.283078
0.020000,1.576592,3.304143,0.000640,0.013946,0.551842,26.763016,0.000121
0.020000,1.577241,3.304144,0.001290,0.032471,0.926271,18.721459,0.000375
0.020000,1.577961,3.304144,0.002009,0.035978,0.175334,-37.546872,0.000657
0.020000,1.578754,3.304145,0.002803,0.039664,0.184308,0.448723,0.000967
0.020000,1.579625,3.304146,0.003673,0.043530,0.193279,0.448555,0.001308
0.020000,1.580576,3.304147,0.004625,0.047587,0.202868,0.479413,0.001680
0.020000,1.581613,3.304149,0.005661,0.051815,0.211383,0.425792,0.002085
0.020000,1.582737,3.304152,0.006786,0.056219,0.220237,0.442684,0.002525
0.020000,1.583952,3.304155,0.008000,0.060724,0.225231,0.249714,0.002999
0.020000,1.585256,3.304159,0.009305,0.065226,0.225115,-0.005810,0.003508
0.020000,1.586650,3.304164,0.010699,0.069720,0.224683,-0.021596,0.004052
0.020000,1.588135,3.304171,0.012184,0.074234,0.225697,0.050680,0.004631
0.020000,1.589710,3.304179,0.013758,0.078728,0.224721,-0.048821,0.005245
0.020000,1.591374,3.304188,0.015423,0.083238,0.225479,0.037907,0.005893
0.020000,1.593129,3.304199,0.017178,0.087738,0.225003,-0.023764,0.006576
0.020000,1.594974,3.304212,0.019023,0.092248,0.225523,0.025975,0.007294
0.020000,1.596909,3.304227,0.020958,0.096748,0.225006,-0.025870,0.008046
0.020000,1.598934,3.304244,0.022983,0.101265,0.225824,0.040948,0.008833
0.020000,1.601049,3.304263,0.025098,0.105765,0.225022,-0.040121,0.009654
0.020000,1.603255,3.304285,0.027304,0.110281,0.225803,0.039046,0.010509
0.020000,1.605551,3.304311,0.029600,0.114792,0.225511,-0.014590,0.011399
0.020000,1.607936,3.304339,0.031986,0.119299,0.225360,-0.007572,0.012323
0.020000,1.610413,3.304371,0.034462,0.123818,0.225977,0.030866,0.013280
0.020000,1.612979,3.304406,0.037029,0.128334,0.225777,-0.009996,0.014272
0.020000,1.615636,3.304445,0.039686,0.132847,0.225672,-0.005235,0.015298
0.020000,1.618383,3.304489,0.042433,0.137363,0.225796,0.006199,0.016357
0.020000,1.621220,3.304537,0.045271,0.141886,0.226129,0.016625,0.017450
0.020000,1.624148,3.304589,0.048199,0.146410,0.226201,0.003612,0.018576
0.020000,1.627166,3.304647,0.051217,0.150932,0.226083,-0.005895,0.019736
0.020000,1.630274,3.304710,0.054327,0.155456,0.226199,0.005763,0.020929
0.020000,1.633473,3.304779,0.057526,0.159982,0.226312,0.005665,0.022155
0.020000,1.636762,3.304854,0.060816,0.164510,0.226423,0.005579,0.023414
0.020000,1.640142,3.304936,0.064197,0.169041,0.226534,0.005507,0.024706
0.020000,1.643611,3.305024,0.067667,0.173484,0.222134,-0.219998,0.026030
0.020000,1.647165,3.305119,0.071222,0.177748,0.213221,-0.445651,0.027384
0.020000,1.650800,3.305221,0.074859,0.181834,0.204302,-0.445937,0.028768
0.020000,1.654513,3.305330,0.078573,0.185742,0.195378,-0.446205,0.030179
0.020000,1.658301,3.305447,0.082363,0.189471,0.186449,-0.446456,0.031615
0.020000,1.662159,3.305572,0.086223,0.193021,0.177515,-0.446692,0.033077
0.020000,1.666085,3.305705,0.090151,0.196392,0.168576,-0.446917,0.034561
0.020000,1.670074,3.305846,0.094143,0.199585,0.159634,-0.447132,0.036067
0.020000,1.674123,3.305995,0.098195,0.202605,0.151002,-0.431568,0.037592
0.020000,1.678229,3.306153,0.102304,0.205441,0.141805,-0.459880,0.039136
0.020000,1.682388,3.306319,0.106466,0.208097,0.132807,-0.449913,0.040697
0.020000,1.686595,3.306493,0.110677,0.210574,0.123845,-0.448087,0.042274
0.020000,1.690849,3.306677,0.114935,0.212872,0.114879,-0.448281,0.043864
0.020000,1.695145,3.306869,0.119235,0.214999,0.106336,-0.427181,0.045467
0.020000,1.699479,3.307069,0.123573,0.216939,0.097006,-0.466500,0.047082
0.020000,1.703848,3.307279,0.127947,0.218698,0.087969,-0.451809,0.048705
0.020000,1.708248,3.307497,0.132353,0.220278,0.078985,-0.449222,0.050337
0.020000,1.712676,3.307724,0.136787,0.221688,0.070518,-0.423337,0.051976
0.020000,1.717128,3.307959,0.141245,0.222909,0.061019,-0.474986,0.053621
0.020000,1.721600,3.308203,0.145724,0.223949,0.052006,-0.450621,0.055269
0.020000,1.726089,3.308455,0.150220,0.224814,0.043270,-0.436782,0.056920
0.020000,1.730592,3.308715,0.154730,0.225499,0.034269,-0.450093,0.058572
0.020000,1.735104,3.308983,0.159250,0.225999,0.024970,-0.464930,0.060223
0.020000,1.739622,3.309259,0.163776,0.226320,0.016046,-0.446190,0.061874
0.020000,1.744142,3.309543,0.168306,0.226467,0.007357,-0.434471,0.063521
0.020000,1.748663,3.309835,0.172836,0.226515,0.002403,-0.247686,0.065165
0.020000,1.753185,3.310133,0.177367,0.226563,0.002425,0.001118,0.066805
0.020000,1.757707,3.310440,0.181900,0.226622,0.002927,0.025072,0.068441
0.020000,1.762229,3.310753,0.186433,0.226672,0.002500,-0.021335,0.070074
0.020000,1.766752,3.311074,0.190968,0.226722,0.002482,-0.000927,0.071703
0.020000,1.771276,3.311403,0.195503,0.226778,0.002841,0.017960,0.073329
0.020000,1.775800,3.311739,0.200040,0.226832,0.002679,-0.008072,0.074950
0.020000,1.780325,3.312083,0.204577,0.226883,0.002537,-0.007139,0.076568
0.020000,1.784850,3.312433,0.209116,0.226938,0.002769,0.011594,0.078182
0.020000,1.789376,3.312792,0.213656,0.226995,0.002843,0.003707,0.079792
0.020000,1.793902,3.313157,0.218197,0.227047,0.002590,-0.012612,0.081399
0.020000,1.798429,3.313530,0.222739,0.227101,0.002709,0.005921,0.083001
0.020000,1.802956,3.313910,0.227282,0.227161,0.002991,0.014102,0.084600
