dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.576282,3.018393,0.000002,0.000200,0.010000,0.500000,6.281821
0.020000,1.576282,3.018393,0.000010,0.000600,0.020000,0.500000,6.281824
0.020000,1.576282,3.018393,0.000028,0.001200,0.030000,0.500000,6.281830
0.020000,1.576282,3.018393,0.000060,0.002000,0.040000,0.500000,6.281841
0.020000,1.576282,3.018393,0.000110,0.003000,0.050000,0.500000,6.281859
0.020000,1.576282,3.018393,0.000182,0.004200,0.060000,0.500000,6.281884
0.020000,1.576282,3.018393,0.000280,0.005600,0.070000,0.500000,6.281919
0.020000,1.576282,3.018393,0.000408,0.007200,0.080000,0.500000,6.281964
0.020000,1.576282,3.018393,0.000570,0.009000,0.090000,0.500000,6.282021
0.020000,1.576282,3.018393,0.000770,0.011000,0.100000,0.500000,6.282092
0.020000,1.576282,3.018393,0.001012,0.013200,0.110000,0.500000,6.282177
0.020000,1.576282,3.018393,0.001300,0.015600,0.120000,0.500000,6.282278
0.020000,1.576282,3.018393,0.001638,0.018200,0.130000,0.500000,6.282398
0.020000,1.576282,3.018393,0.002030,0.021000,0.140000,0.500000,6.282536
0.020000,1.576282,3.018393,0.002480,0.024000,0.150000,0.500000,6.282694
0.020000,1.576282,3.018393,0.002992,0.027200,0.160000,0.500000,6.282875
0.020000,1.576282,3.018393,0.003570,0.030600,0.170000,0.500000,6.283078
0.020000,1.576626,3.018393,0.004218,0.034200,0.180000,0.500000,0.000121
0.020000,1.577348,3.018394,0.004940,0.038000,0.190000,0.500000,0.000375
0.020000,1.578149,3.018394,0.005740,0.042000,0.200000,0.500000,0.000657
0.020000,1.579030,3.018395,0.006622,0.046200,0.210000,0.500000,0.000967
0.020000,1.579998,3.018396,0.007590,0.050600,0.220000,0.500000,0.001308
0.020000,1.581056,3.018397,0.008648,0.055200,0.230000,0.500000,0.001680
0.020000,1.582208,3.018400,0.009800,0.060000,0.240000,0.500000,0.002085
0.020000,1.583458,3.018403,0.011050,0.065000,0.250000,0.500000,0.002525
0.020000,1.584808,3.018406,0.012400,0.070000,0.250000,0.000000,0.002999
0.020000,1.586258,3.018411,0.013850,0.075000,0.250000,-0.000000,0.003508
0.020000,1.587808,3.018417,0.015400,0.080000,0.250000,0.000000,0.004052
0.020000,1.589458,3.018424,0.017050,0.085000,0.250000,0.000000,0.004631
0.020000,1.591208,3.018433,0.018800,0.090000,0.250000,-0.000000,0.005245
0.020000,1.593058,3.018443,0.020650,0.095000,0.250000,0.000000,0.005893
0.020000,1.595008,3.018455,0.022600,0.100000,0.250000,0.000000,0.006576
0.020000,1.597058,3.018469,0.024650,0.105000,0.250000,-0.000000,0.007294
0.020000,1.599208,3.018486,0.026800,0.110000,0.250000,0.000000,0.008046
0.020000,1.601458,3.018505,0.029050,0.115000,0.250000,0.000000,0.008833
0.020000,1.603808,3.018527,0.031400,0.120000,0.250000,-0.000000,0.009654
0.020000,1.606258,3.018551,0.033850,0.125000,0.250000,0.000000,0.010509
0.020000,1.608808,3.018579,0.036400,0.130000,0.250000,0.000000,0.011399
0.020000,1.611458,3.018611,0.039050,0.135000,0.250000,0.000000,0.012323
0.020000,1.614207,3.018646,0.041800,0.140000,0.250000,0.000000,0.013280
0.020000,1.617057,3.018685,0.044650,0.145000,0.250000,-0.000000,0.014272
0.020000,1.620007,3.018729,0.047600,0.150000,0.250000,0.000000,0.015298
0.020000,1.623056,3.018777,0.050650,0.155000,0.250000,0.000000,0.016357
0.020000,1.626206,3.018830,0.053800,0.160000,0.250000,0.000000,0.017450
0.020000,1.629455,3.018889,0.057050,0.165000,0.250000,0.000000,0.018576
0.020000,1.632805,3.018953,0.060400,0.170000,0.250000,0.000000,0.019736
0.020000,1.636254,3.019023,0.063850,0.175000,0.250000,-0.000000,0.020929
0.020000,1.639803,3.019099,0.067400,0.180000,0.250000,0.000000,0.022155
0.020000,1.643452,3.019183,0.071050,0.185000,0.250000,0.000000,0.023414
0.020000,1.647201,3.019273,0.074800,0.190000,0.250000,0.000000,0.024706
0.020000,1.651048,3.019370,0.078648,0.194800,0.240000,-0.500000,0.026030
0.020000,1.654989,3.019476,0.082590,0.199400,0.230000,-0.500000,0.027384
0.020000,1.659019,3.019589,0.086622,0.203800,0.220000,-0.500000,0.028768
0.020000,1.663135,3.019710,0.090740,0.208000,0.210000,-0.500000,0.030179
0.020000,1.667333,3.019840,0.094940,0.212000,0.200000,-0.500000,0.031615
0.020000,1.671609,3.019978,0.099218,0.215800,0.190000,-0.500000,0.033077
0.020000,1.675958,3.020126,0.103570,0.219400,0.180000,-0.500000,0.034561
0.020000,1.680378,3.020282,0.107992,0.222800,0.170000,-0.500000,0.036067
0.020000,1.684863,3.020447,0.112480,0.226000,0.160000,-0.500000,0.037592
0.020000,1.689409,3.020621,0.117030,0.229000,0.150000,-0.500000,0.039136
0.020000,1.694014,3.020805,0.121638,0.231800,0.140000,-0.500000,0.040697
0.020000,1.698672,3.020999,0.126300,0.234400,0.130000,-0.500000,0.042274
0.020000,1.703379,3.021202,0.131012,0.236800,0.120000,-0.500000,0.043864
0.020000,1.708132,3.021414,0.135770,0.239000,0.110000,-0.500000,0.045467
0.020000,1.712927,3.021636,0.140570,0.241000,0.100000,-0.500000,0.047082
0.020000,1.717760,3.021868,0.145408,0.242800,0.090000,-0.500000,0.048705
0.020000,1.722626,3.022109,0.150280,0.244400,0.080000,-0.500000,0.050337
0.020000,1.727521,3.022359,0.155182,0.245800,0.070000,-0.500000,0.051976
0.020000,1.732443,3.022620,0.160110,0.247000,0.060000,-0.500000,0.053621
0.020000,1.737385,3.022889,0.165060,0.248000,0.050000,-0.500000,0.055269
0.020000,1.742345,3.023167,0.170028,0.248800,0.040000,-0.500000,0.056920
0.020000,1.747319,3.023455,0.175010,0.249400,0.030000,-0.500000,0.058572
0.020000,1.752302,3.023751,0.180002,0.249800,0.020000,-0.500000,0.060223
0.020000,1.757291,3.024056,0.185000,0.250000,0.010000,-0.500000,0.061874
0.020000,1.762281,3.024370,0.190000,0.250000,0.000000,-0.500000,0.063521
0.020000,1.767271,3.024691,0.195000,0.250000,0.000000,0.000000,0.065165
0.020000,1.772260,3.025021,0.200000,0.250000,0.000000,0.000000,0.066805
0.020000,1.777248,3.025359,0.205000,0.250000,0.000000,0.000000,0.068441
0.020000,1.782236,3.025705,0.210000,0.250000,0.000000,0.000000,0.070074
0.020000,1.787224,3.026059,0.215000,0.250000,0.000000,0.000000,0.071703
0.020000,1.792211,3.026421,0.220000,0.250000,0.000000,0.000000,0.073329
0.020000,1.797197,3.026791,0.225000,0.250000,0.000000,0.000000,0.074950
0.020000,1.802183,3.027170,0.230000,0.250000,0.000000,0.000000,0.076568
0.020000,1.807168,3.027556,0.235000,0.250000,0.000000,0.000000,0.078182
0.020000,1.812152,3.027951,0.240000,0.250000,0.000000,0.000000,0.079792
0.020000,1.817136,3.028353,0.245000,0.250000,0.000000,0.000000,0.081399
0.020000,1.822119,3.028764,0.250000,0.250000,0.000000,0.000000,0.083001
0.020000,1.827101,3.029182,0.255000,0.250000,0.000000,0.000000,0.084600
0.020000,1.832083,3.029609,0.260000,0.250000,0.000000,0.000000,0.086195
0.020000,1.837064,3.030043,0.265000,0.250000,0.000000,0.000000,0.087786
0.020000,1.842045,3.030486,0.270000,0.250000,0.000000,0.000000,0.089373
0.020000,1.847024,3.030936,0.275000,0.250000,0.000000,0.000000,0.090956
0.020000,1.852003,3.031394,0.280000,0.250000,0.000000,0.000000,0.092535
0.020000,1.856982,3.031860,0.285000,0.250000,0.000000,0.000000,0.094110
0.020000,1.861959,3.032334,0.290000,0.250000,0.000000,0.000000,0.095681
0.020000,1.866936,3.032815,0.295000,0.250000,0.000000,0.000000,0.097248
0.020000,1.871912,3.033305,0.300000,0.250000,0.000000,0.000000,0.098811
0.020000,1.876887,3.033802,0.305000,0.250000,0.000000,0.000000,0.100369
0.020000,1.881862,3.034307,0.310000,0.250000,0.000000,0.000000,0.101924
0.020000,1.886835,3.034819,0.315000,0.250000,0.000000,0.000000,0.103474
0.020000,1.891808,3.035339,0.320000,0.250000,0.000000,0.000000,0.105021
0.020000,1.896780,3.035867,0.325000,0.250000,0.000000,0.000000,0.106563
0.020000,1.901751,3.036403,0.330000,0.250000,0.000000,0.000000,0.108101
0.020000,1.906722,3.036946,0.335000,0.250000,0.000000,0.000000,0.109635
0.020000,1.911691,3.037497,0.340000,0.250000,0.000000,0.000000,0.111164
0.020000,1.916660,3.038056,0.345000,0.250000,0.000000,0.000000,0.112690
0.020000,1.921628,3.038622,0.350000,0.250000,0.000000,0.000000,0.114211
0.020000,1.926595,3.039195,0.355000,0.250000,0.000000,0.000000,0.115728
0.020000,1.931561,3.039776,0.360000,0.250000,0.000000,0.000000,0.117240
0.020000,1.936526,3.040365,0.365000,0.250000,0.000000,0.000000,0.118748
0.020000,1.941490,3.040961,0.370000,0.250000,0.000000,0.000000,0.120252
0.020000,1.946454,3.041565,0.375000,0.250000,0.000000,0.000000,0.121752
0.020000,1.951416,3.042176,0.380000,0.250000,0.000000,0.000000,0.123247
0.020000,1.956378,3.042794,0.385000,0.250000,0.000000,0.000000,0.124737
0.020000,1.961339,3.043420,0.390000,0.250000,0.000000,0.000000,0.126224
0.020000,1.966298,3.044053,0.395000,0.250000,0.000000,0.000000,0.127706
0.020000,1.971257,3.044693,0.400000,0.250000,0.000000,0.000000,0.129183
0.020000,1.976215,3.045341,0.405000,0.250000,0.000000,0.000000,0.130656
0.020000,1.981172,3.045996,0.410000,0.250000,0.000000,0.000000,0.132125
0.020000,1.986128,3.046658,0.415000,0.250000,0.000000,0.000000,0.133589
0.020000,1.991083,3.047328,0.420000,0.250000,0.000000,0.000000,0.135048
0.020000,1.996037,3.048005,0.425000,0.250000,0.000000,0.000000,0.136503
0.020000,2.000990,3.048689,0.430000,0.250000,0.000000,0.000000,0.137954
0.020000,2.005942,3.049380,0.435000,0.250000,0.000000,0.000000,0.139400
0.020000,2.010893,3.050078,0.440000,0.250000,0.000000,0.000000,0.140841
0.020000,2.015843,3.050784,0.445000,0.250000,0.000000,0.000000,0.142278
0.020000,2.020792,3.051496,0.450000,0.250000,0.000000,0.000000,0.143710
0.020000,2.025740,3.052216,0.455000,0.250000,0.000000,0.000000,0.145138
0.020000,2.030687,3.052943,0.460000,0.250000,0.000000,0.000000,0.146561
0.020000,2.035633,3.053676,0.465000,0.250000,0.000000,0.000000,0.147979
0.020000,2.040577,3.054417,0.470000,0.250000,0.000000,0.000000,0.149393
0.020000,2.045521,3.055165,0.475000,0.250000,0.000000,0.000000,0.150802
0.020000,2.050464,3.055919,0.480000,0.250000,0.000000,0.000000,0.152206
0.020000,2.055406,3.056681,0.485000,0.250000,0.000000,0.000000,0.153606
0.020000,2.060346,3.057449,0.490000,0.250000,0.000000,0.000000,0.155001
0.020000,2.065286,3.058225,0.495000,0.250000,0.000000,0.000000,0.156391
0.020000,2.070224,3.059007,0.500000,0.250000,0.000000,0.000000,0.157776
0.020000,2.075162,3.059796,0.505000,0.250000,0.000000,0.000000,0.159157
0.020000,2.080098,3.060592,0.510000,0.250000,0.000000,0.000000,0.160533
0.020000,2.085033,3.061394,0.515000,0.250000,0.000000,0.000000,0.161904
0.020000,2.089967,3.062204,0.520000,0.250000,0.000000,0.000000,0.163271
0.020000,2.094900,3.063020,0.525000,0.250000,0.000000,0.000000,0.164633
0.020000,2.099832,3.063843,0.530000,0.250000,0.000000,0.000000,0.165990
0.020000,2.104762,3.064672,0.535000,0.250000,0.000000,0.000000,0.167342
0.020000,2.109692,3.065508,0.540000,0.250000,0.000000,0.000000,0.168689
0.020000,2.114621,3.066351,0.545000,0.250000,0.000000,0.000000,0.170031
0.020000,2.119548,3.067200,0.550000,0.250000,0.000000,0.000000,0.171369
0.020000,2.124474,3.068056,0.555000,0.250000,0.000000,0.000000,0.172702
0.020000,2.129399,3.068919,0.560000,0.250000,0.000000,0.000000,0.174030
0.020000,2.134323,3.069788,0.565000,0.250000,0.000000,0.000000,0.175353
0.020000,2.139246,3.070663,0.570000,0.250000,0.000000,0.000000,0.176671
0.020000,2.144167,3.071545,0.575000,0.250000,0.000000,0.000000,0.177984
0.020000,2.149088,3.072434,0.580000,0.250000,0.000000,0.000000,0.179292
0.020000,2.154007,3.073329,0.585000,0.250000,0.000000,0.000000,0.180596
0.020000,2.158925,3.074230,0.590000,0.250000,0.000000,0.000000,0.181894
0.020000,2.163842,3.075137,0.595000,0.250000,0.000000,0.000000,0.183188
0.020000,2.168758,3.076051,0.600000,0.250000,0.000000,0.000000,0.184476
0.020000,2.173672,3.076972,0.605000,0.250000,0.000000,0.000000,0.185760
0.020000,2.178586,3.077898,0.610000,0.250000,0.000000,0.000000,0.187039
0.020000,2.183498,3.078831,0.615000,0.250000,0.000000,0.000000,0.188312
0.020000,2.188409,3.079770,0.620000,0.250000,0.000000,0.000000,0.189581
0.020000,2.193319,3.080716,0.625000,0.250000,0.000000,0.000000,0.190845
0.020000,2.198227,3.081667,0.630000,0.250000,0.000000,0.000000,0.192104
0.020000,2.203135,3.082625,0.635000,0.250000,0.000000,0.000000,0.193357
0.020000,2.208041,3.083589,0.640000,0.250000,0.000000,0.000000,0.194606
0.020000,2.212946,3.084559,0.645000,0.250000,0.000000,0.000000,0.195850
0.020000,2.217850,3.085535,0.650000,0.250000,0.000000,0.000000,0.197089
0.020000,2.222752,3.086517,0.655000,0.250000,0.000000,0.000000,0.198322
0.020000,2.227654,3.087505,0.660000,0.250000,0.000000,0.000000,0.199551
0.020000,2.232554,3.088499,0.665000,0.250000,0.000000,0.000000,0.200775
0.020000,2.237453,3.089499,0.670000,0.250000,0.000000,0.000000,0.201993
0.020000,2.242351,3.090505,0.675000,0.250000,0.000000,0.000000,0.203207
0.020000,2.247247,3.091517,0.680000,0.250000,0.000000,0.000000,0.204415
0.020000,2.252143,3.092535,0.685000,0.250000,0.000000,0.000000,0.205618
0.020000,2.257037,3.093559,0.690000,0.250000,0.000000,0.000000,0.206817
0.020000,2.261929,3.094589,0.695000,0.250000,0.000000,0.000000,0.208010
0.020000,2.266821,3.095624,0.700000,0.250000,0.000000,0.000000,0.209198
0.020000,2.271711,3.096666,0.705000,0.250000,0.000000,0.000000,0.210381
0.020000,2.276601,3.097713,0.710000,0.250000,0.000000,0.000000,0.211559
0.020000,2.281488,3.098765,0.715000,0.250000,0.000000,0.000000,0.212732
0.020000,2.286375,3.099824,0.720000,0.250000,0.000000,0.000000,0.213899
0.020000,2.291261,3.100888,0.725000,0.250000,0.000000,0.000000,0.215062
0.020000,2.296145,3.101958,0.730000,0.250000,0.000000,0.000000,0.216219
0.020000,2.301028,3.103033,0.735000,0.250000,0.000000,0.000000,0.217372
0.020000,2.305909,3.104115,0.740000,0.250000,0.000000,0.000000,0.218519
0.020000,2.310790,3.105201,0.745000,0.250000,0.000000,0.000000,0.219661
0.020000,2.315669,3.106294,0.750000,0.250000,0.000000,0.000000,0.220798
0.020000,2.320547,3.107391,0.755000,0.250000,0.000000,0.000000,0.221929
0.020000,2.325424,3.108495,0.760000,0.250000,0.000000,0.000000,0.223056
0.020000,2.330299,3.109603,0.765000,0.250000,0.000000,0.000000,0.224177
0.020000,2.335174,3.110718,0.770000,0.250000,0.000000,0.000000,0.225294
0.020000,2.340047,3.111837,0.775000,0.250000,0.000000,0.000000,0.226405
0.020000,2.344918,3.112962,0.780000,0.250000,0.000000,0.000000,0.227511
0.020000,2.349789,3.114093,0.785000,0.250000,0.000000,0.000000,0.228611
0.020000,2.354658,3.115229,0.790000,0.250000,0.000000,0.000000,0.229707
0.020000,2.359526,3.116370,0.795000,0.250000,0.000000,0.000000,0.230797
0.020000,2.364393,3.117516,0.800000,0.250000,0.000000,0.000000,0.231883
0.020000,2.369259,3.118668,0.805000,0.250000,0.000000,0.000000,0.232963
0.020000,2.374123,3.119825,0.810000,0.250000,0.000000,0.000000,0.234038
0.020000,2.378986,3.120987,0.815000,0.250000,0.000000,0.000000,0.235107
0.020000,2.383848,3.122154,0.820000,0.250000,0.000000,0.000000,0.236172
0.020000,2.388708,3.123327,0.825000,0.250000,0.000000,0.000000,0.237231
0.020000,2.393568,3.124504,0.830000,0.250000,0.000000,0.000000,0.238285
0.020000,2.398426,3.125687,0.835000,0.250000,0.000000,0.000000,0.239334
0.020000,2.403283,3.126875,0.840000,0.250000,0.000000,0.000000,0.240377
0.020000,2.408138,3.128068,0.845000,0.250000,0.000000,0.000000,0.241416
0.020000,2.412993,3.129266,0.850000,0.250000,0.000000,0.000000,0.242449
0.020000,2.417846,3.130469,0.855000,0.250000,0.000000,0.000000,0.243477
0.020000,2.422698,3.131676,0.860000,0.250000,0.000000,0.000000,0.244500
0.020000,2.427548,3.132889,0.865000,0.250000,0.000000,0.000000,0.245517
0.020000,2.432398,3.134107,0.870000,0.250000,0.000000,0.000000,0.246530
0.020000,2.437246,3.135330,0.875000,0.250000,0.000000,0.000000,0.247537
0.020000,2.442093,3.136557,0.880000,0.250000,0.000000,0.000000,0.248539
0.020000,2.446939,3.137790,0.885000,0.250000,0.000000,0.000000,0.249535
0.020000,2.451783,3.139027,0.890000,0.250000,0.000000,0.000000,0.250527
0.020000,2.456627,3.140269,0.895000,0.250000,0.000000,0.000000,0.251513
0.020000,2.461469,3.141515,0.900000,0.250000,0.000000,0.000000,0.252494
0.020000,2.466310,3.142767,0.905000,0.250000,0.000000,0.000000,0.253470
0.020000,2.471149,3.144023,0.910000,0.250000,0.000000,0.000000,0.254440
0.020000,2.475988,3.145284,0.915000,0.250000,0.000000,0.000000,0.255405
0.020000,2.480825,3.146549,0.920000,0.250000,0.000000,0.000000,0.256365
0.020000,2.485661,3.147820,0.925000,0.250000,0.000000,0.000000,0.257320
