dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.575892,2.732644,0.000002,0.000200,0.010000,0.500000,6.281821
0.020000,1.575893,2.732644,0.000003,0.000040,-0.007985,-0.899225,6.281824
0.020000,1.575895,2.732644,0.000005,0.000091,0.002519,0.525193,6.281830
0.020000,1.575898,2.732644,0.000008,0.000161,0.003527,0.050384,6.281841
0.020000,1.575903,2.732644,0.000013,0.000252,0.004535,0.050379,6.281859
0.020000,1.575911,2.732644,0.000020,0.000363,0.005542,0.050372,6.281884
0.020000,1.575920,2.732644,0.000030,0.000494,0.006549,0.050360,6.281919
0.020000,1.575933,2.732644,0.000043,0.000645,0.007556,0.050344,6.281964
0.020000,1.575950,2.732644,0.000059,0.000816,0.008563,0.050323,6.282021
0.020000,1.575970,2.732644,0.000079,0.001008,0.009569,0.050297,6.282092
0.020000,1.575994,2.732644,0.000104,0.001219,0.010574,0.050263,6.282177
0.020000,1.576023,2.732644,0.000133,0.001451,0.011578,0.050222,6.282278
0.020000,1.576057,2.732644,0.000167,0.001702,0.012582,0.050172,6.282398
0.020000,1.576097,2.732644,0.000206,0.001974,0.013584,0.050114,6.282536
0.020000,1.576142,2.732644,0.000252,0.002266,0.014585,0.050046,6.282694
0.020000,1.576194,2.732643,0.000303,0.002577,0.015584,0.049967,6.282875
0.020000,1.576252,2.732643,0.000361,0.002909,0.016582,0.049877,6.283078
0.020000,1.576661,2.732643,0.000771,0.020467,0.877910,43.066436,0.000121
0.020000,1.577456,2.732644,0.001565,0.039736,0.963441,4.276548,0.000375
0.020000,1.578336,2.732644,0.002446,0.044025,0.214462,-37.448972,0.000657
0.020000,1.579307,2.732645,0.003417,0.048533,0.225412,0.547513,0.000967
0.020000,1.580372,2.732646,0.004482,0.053260,0.236353,0.547026,0.001308
0.020000,1.581537,2.732648,0.005646,0.058221,0.248042,0.584468,0.001680
0.020000,1.582804,2.732650,0.006914,0.063390,0.258413,0.518518,0.002085
0.020000,1.584180,2.732653,0.008289,0.068773,0.269189,0.538813,0.002525
0.020000,1.585665,2.732658,0.009775,0.074278,0.275236,0.302371,0.002999
0.020000,1.587261,2.732663,0.011371,0.079779,0.275026,-0.010512,0.003508
0.020000,1.588966,2.732669,0.013076,0.085267,0.274424,-0.030085,0.004052
0.020000,1.590782,2.732677,0.014891,0.090779,0.275585,0.058030,0.004631
0.020000,1.592707,2.732687,0.016817,0.096265,0.274306,-0.063933,0.005245
0.020000,1.594742,2.732698,0.018852,0.101768,0.275143,0.041838,0.005893
0.020000,1.596888,2.732711,0.020997,0.107257,0.274466,-0.033858,0.006576
0.020000,1.599143,2.732727,0.023252,0.112757,0.274999,0.026655,0.007294
0.020000,1.601507,2.732745,0.025617,0.118242,0.274259,-0.037019,0.008046
0.020000,1.603982,2.732766,0.028092,0.123745,0.275145,0.044339,0.008833
0.020000,1.606567,2.732790,0.030677,0.129226,0.274044,-0.055044,0.009654
0.020000,1.609261,2.732817,0.033371,0.134723,0.274872,0.041374,0.010509
0.020000,1.612065,2.732848,0.036175,0.140211,0.274382,-0.024486,0.011399
0.020000,1.614979,2.732882,0.039089,0.145692,0.274058,-0.016234,0.012323
0.020000,1.618002,2.732921,0.042113,0.151186,0.274665,0.030367,0.013280
0.020000,1.621135,2.732964,0.045246,0.156671,0.274267,-0.019883,0.014272
0.020000,1.624378,2.733012,0.048489,0.162150,0.273979,-0.014413,0.015298
