dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.576775,3.304143,0.000002,0.000200,0.010000,0.500000,6.281462
0.020000,1.576774,3.304143,0.000003,0.000052,-0.007398,-0.869896,6.281465
0.020000,1.576771,3.304143,0.000005,0.000117,0.003253,0.532525,6.281474
0.020000,1.576767,3.304143,0.000010,0.000208,0.004554,0.065049,6.281488
0.020000,1.576761,3.304143,0.000016,0.000325,0.005854,0.065045,6.281511
0.020000,1.576751,3.304143,0.000025,0.000468,0.007155,0.065038,6.281544
0.020000,1.576739,3.304143,0.000038,0.000637,0.008456,0.065027,6.281588
0.020000,1.576722,3.304143,0.000055,0.000833,0.009756,0.065013,6.281647
0.020000,1.576701,3.304143,0.000076,0.001054,0.011056,0.064993,6.281720
0.020000,1.576675,3.304143,0.000102,0.001301,0.012355,0.064968,6.281811
0.020000,1.576643,3.304143,0.000133,0.001574,0.013654,0.064937,6.281922
0.020000,1.576606,3.304143,0.000171,0.001873,0.014952,0.064899,6.282053
0.020000,1.576562,3.304143,0.000215,0.002198,0.016249,0.064854,6.282206
0.020000,1.576511,3.304143,0.000266,0.002549,0.017545,0.064799,6.282385
0.020000,1.576452,3.304143,0.000324,0.002926,0.018840,0.064736,6.282590
0.020000,1.576386,3.304143,0.000391,0.003328,0.020133,0.064663,6.282823
0.020000,1.576311,3.304143,0.000466,0.003757,0.021425,0.064579,6.283086
0.020000,1.576655,3.304144,0.000811,0.017228,0.673555,32.606501,0.000195
0.020000,1.577284,3.304144,0.001439,0.031413,0.709263,1.785410,0.000523
0.020000,1.577980,3.304144,0.002135,0.034804,0.169529,-26.986714,0.000887
0.020000,1.578747,3.304145,0.002902,0.038367,0.178181,0.432634,0.001288
0.020000,1.579589,3.304146,0.003744,0.042104,0.186840,0.432915,0.001728
0.020000,1.580510,3.304148,0.004665,0.046037,0.196629,0.489459,0.002209
0.020000,1.581512,3.304151,0.005667,0.050121,0.204192,0.378158,0.002733
0.020000,1.582600,3.304154,0.006755,0.054377,0.212812,0.430995,0.003301
0.020000,1.583776,3.304158,0.007932,0.058828,0.222571,0.487960,0.003915
0.020000,1.585045,3.304164,0.009200,0.063438,0.230482,0.395568,0.004578
0.020000,1.586409,3.304170,0.010565,0.068218,0.239030,0.427393,0.005290
0.020000,1.587873,3.304179,0.012029,0.073195,0.248840,0.490512,0.006054
0.020000,1.589440,3.304189,0.013595,0.078315,0.255987,0.357343,0.006871
0.020000,1.591112,3.304201,0.015268,0.083647,0.266614,0.531317,0.007743
0.020000,1.592895,3.304216,0.017050,0.089116,0.273414,0.340017,0.008672
0.020000,1.594791,3.304233,0.018946,0.094794,0.283910,0.524780,0.009660
0.020000,1.596803,3.304253,0.020958,0.100620,0.291327,0.370881,0.010708
0.020000,1.598935,3.304277,0.023091,0.106631,0.300562,0.461745,0.011819
0.020000,1.601192,3.304305,0.025348,0.112827,0.309789,0.461363,0.012993
0.020000,1.603575,3.304338,0.027731,0.119183,0.317765,0.398793,0.014233
0.020000,1.606089,3.304375,0.030246,0.125716,0.326679,0.445679,0.015540
0.020000,1.608738,3.304418,0.032894,0.132438,0.336112,0.471676,0.016917
0.020000,1.611524,3.304467,0.035681,0.139329,0.344533,0.421059,0.018364
0.020000,1.614451,3.304523,0.038609,0.146393,0.353182,0.432435,0.019883
0.020000,1.617523,3.304587,0.041681,0.153634,0.362054,0.443604,0.021477
0.020000,1.620743,3.304659,0.044902,0.161052,0.370915,0.443058,0.023146
0.020000,1.624115,3.304740,0.048275,0.168647,0.379766,0.442511,0.024892
0.020000,1.627642,3.304831,0.051804,0.176420,0.388605,0.441970,0.026718
0.020000,1.631328,3.304933,0.055491,0.184368,0.397434,0.441445,0.028623
0.020000,1.635177,3.305047,0.059341,0.192493,0.406253,0.440944,0.030611
0.020000,1.639191,3.305174,0.063357,0.200806,0.415645,0.469626,0.032683
0.020000,1.643374,3.305315,0.067543,0.209292,0.424289,0.432172,0.034839
0.020000,1.647730,3.305472,0.071902,0.217949,0.432832,0.427182,0.037082
0.020000,1.652259,3.305645,0.076434,0.226618,0.433461,0.031420,0.039412
0.020000,1.656958,3.305836,0.081137,0.235122,0.425224,-0.411821,0.041825
0.020000,1.661822,3.306046,0.086006,0.243443,0.416051,-0.458684,0.044320
0.020000,1.666849,3.306275,0.091038,0.251616,0.408631,-0.370988,0.046895
0.020000,1.672035,3.306526,0.096230,0.259602,0.399308,-0.466168,0.049548
0.020000,1.677377,3.306798,0.101579,0.267428,0.391294,-0.400681,0.052275
0.020000,1.682871,3.307093,0.107080,0.275092,0.383177,-0.405856,0.055076
0.020000,1.688513,3.307412,0.112732,0.282576,0.374224,-0.447662,0.057947
0.020000,1.694301,3.307756,0.118530,0.289896,0.365989,-0.411744,0.060886
0.020000,1.700231,3.308127,0.124471,0.297057,0.358087,-0.395083,0.063892
0.020000,1.706299,3.308524,0.130552,0.304048,0.349508,-0.428960,0.066962
0.020000,1.712501,3.308950,0.136769,0.310868,0.341041,-0.423343,0.070093
0.020000,1.718836,3.309405,0.143120,0.317524,0.332758,-0.414147,0.073282
0.020000,1.725298,3.309890,0.149600,0.324013,0.324466,-0.414584,0.076529
0.020000,1.731884,3.310406,0.156207,0.330336,0.316168,-0.414919,0.079830
0.020000,1.738592,3.310954,0.162937,0.336494,0.307865,-0.415166,0.083183
0.020000,1.745417,3.311535,0.169786,0.342485,0.299558,-0.415335,0.086586
0.020000,1.752356,3.312149,0.176753,0.348310,0.291249,-0.415437,0.090035
0.020000,1.759406,3.312798,0.183832,0.353977,0.283339,-0.395536,0.093530
0.020000,1.766562,3.313482,0.191022,0.359472,0.274774,-0.428220,0.097066
0.020000,1.773823,3.314202,0.198318,0.364800,0.266382,-0.419605,0.100643
0.020000,1.781183,3.314959,0.205717,0.369961,0.258067,-0.415775,0.104257
0.020000,1.788640,3.315753,0.213216,0.374966,0.250259,-0.390361,0.107906
0.020000,1.796191,3.316585,0.220812,0.379801,0.241721,-0.426915,0.111587
0.020000,1.803831,3.317455,0.228501,0.384464,0.233162,-0.427949,0.115299
0.020000,1.811557,3.318365,0.236281,0.388975,0.225573,-0.379429,0.119039
0.020000,1.819365,3.319314,0.244147,0.393309,0.216709,-0.443218,0.122803
0.020000,1.827253,3.320302,0.252097,0.397483,0.208673,-0.401824,0.126591
0.020000,1.835217,3.321331,0.260127,0.401492,0.200432,-0.412035,0.130399
0.020000,1.843253,3.322401,0.268233,0.405331,0.191972,-0.422976,0.134225
0.020000,1.851357,3.323511,0.276413,0.409009,0.183880,-0.404618,0.138067
0.020000,1.859527,3.324662,0.284664,0.412517,0.175417,-0.423169,0.141923
0.020000,1.867758,3.325855,0.292981,0.415859,0.167102,-0.415751,0.145789
0.020000,1.876048,3.327088,0.301362,0.419038,0.158953,-0.407450,0.149664
0.020000,1.884392,3.328363,0.309802,0.422042,0.150183,-0.438490,0.153545
0.020000,1.892787,3.329679,0.318300,0.424891,0.142440,-0.387128,0.157431
0.020000,1.901230,3.331036,0.326851,0.427561,0.133518,-0.446110,0.161318
0.020000,1.909717,3.332434,0.335453,0.430065,0.125204,-0.415726,0.165205
0.020000,1.918244,3.333873,0.344101,0.432407,0.117123,-0.404054,0.169089
0.020000,1.926809,3.335352,0.352792,0.434573,0.108263,-0.442970,0.172968
0.020000,1.935407,3.336872,0.361524,0.436570,0.099848,-0.420760,0.176840
0.020000,1.944035,3.338431,0.370292,0.438404,0.091715,-0.406668,0.180704
0.020000,1.952690,3.340029,0.379093,0.440060,0.082813,-0.445077,0.184556
0.020000,1.961368,3.341667,0.387924,0.441546,0.074287,-0.426303,0.188395
0.020000,1.970065,3.343342,0.396781,0.442864,0.065903,-0.419212,0.192219
0.020000,1.978779,3.345055,0.405661,0.444009,0.057241,-0.433061,0.196026
0.020000,1.987505,3.346805,0.414561,0.444978,0.048481,-0.438038,0.199814
0.020000,1.996239,3.348591,0.423476,0.445775,0.039826,-0.432730,0.203581
0.020000,2.004980,3.350413,0.432405,0.446401,0.031320,-0.425325,0.207326
0.020000,2.013722,3.352269,0.441342,0.446850,0.022444,-0.443777,0.211046
0.020000,2.022464,3.354158,0.450286,0.447212,0.018103,-0.217047,0.214741
0.020000,2.031207,3.356082,0.459237,0.447578,0.018278,0.008723,0.218410
0.020000,2.039949,3.358039,0.468196,0.447950,0.018602,0.016196,0.222053
0.020000,2.048692,3.360030,0.477163,0.448322,0.018620,0.000928,0.225670
0.020000,2.057435,3.362053,0.486137,0.448697,0.018744,0.006208,0.229260
0.020000,2.066178,3.364110,0.495118,0.449075,0.018898,0.007677,0.232825
0.020000,2.074920,3.366200,0.504107,0.449458,0.019166,0.013400,0.236362
0.020000,2.083663,3.368322,0.513104,0.449842,0.019192,0.001295,0.239873
0.020000,2.092406,3.370476,0.522109,0.450228,0.019305,0.005669,0.243356
0.020000,2.101149,3.372663,0.531121,0.450617,0.019438,0.006670,0.246812
0.020000,2.109893,3.374882,0.540141,0.451010,0.019650,0.010593,0.250241
0.020000,2.118636,3.377132,0.549169,0.451404,0.019691,0.002036,0.253643
0.020000,2.127379,3.379415,0.558205,0.451800,0.019789,0.004885,0.257016
0.020000,2.136122,3.381728,0.567249,0.452198,0.019903,0.005709,0.260362
0.020000,2.144865,3.384073,0.576301,0.452599,0.020063,0.008001,0.263680
0.020000,2.153608,3.386449,0.585361,0.453001,0.020117,0.002697,0.266969
0.020000,2.162351,3.388855,0.594429,0.453405,0.020199,0.004111,0.270230
0.020000,2.171094,3.391292,0.603506,0.453811,0.020295,0.004803,0.273463
