dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.576865,3.304143,0.000002,0.000200,0.010000,0.500000,6.281145
0.020000,1.576864,3.304143,0.000003,0.000055,-0.007248,-0.862411,6.281149
0.020000,1.576862,3.304143,0.000006,0.000124,0.003440,0.534397,6.281158
0.020000,1.576857,3.304143,0.000010,0.000220,0.004816,0.068793,6.281173
0.020000,1.576850,3.304143,0.000017,0.000344,0.006191,0.068791,6.281197
0.020000,1.576840,3.304143,0.000027,0.000495,0.007567,0.068788,6.281232
0.020000,1.576827,3.304143,0.000040,0.000674,0.008943,0.068783,6.281279
0.020000,1.576809,3.304143,0.000058,0.000881,0.010318,0.068776,6.281341
0.020000,1.576787,3.304143,0.000080,0.001114,0.011694,0.068767,6.281419
0.020000,1.576760,3.304143,0.000108,0.001376,0.013069,0.068755,6.281515
0.020000,1.576726,3.304143,0.000141,0.001665,0.014444,0.068740,6.281632
0.020000,1.576687,3.304143,0.000181,0.001981,0.015818,0.068722,6.281770
0.020000,1.576640,3.304143,0.000227,0.002325,0.017192,0.068701,6.281933
0.020000,1.576586,3.304143,0.000281,0.002696,0.018566,0.068675,6.282122
0.020000,1.576524,3.304143,0.000343,0.003095,0.019938,0.068645,6.282338
0.020000,1.576454,3.304143,0.000413,0.003521,0.021311,0.068609,6.282585
0.020000,1.576374,3.304143,0.000493,0.003975,0.022682,0.068569,6.282863
0.020000,1.576285,3.304143,0.000582,0.004456,0.024052,0.068523,6.283175
0.020000,1.576887,3.304144,0.001183,0.030064,1.280417,62.818205,0.000337
0.020000,1.577577,3.304144,0.001873,0.034505,0.222047,-52.918482,0.000722
0.020000,1.578337,3.304145,0.002634,0.038036,0.176537,-2.275510,0.001147
0.020000,1.579172,3.304146,0.003469,0.041737,0.185072,0.426756,0.001613
0.020000,1.580084,3.304148,0.004381,0.045615,0.193871,0.439944,0.002122
0.020000,1.581078,3.304150,0.005375,0.049689,0.203700,0.491471,0.002677
0.020000,1.582156,3.304153,0.006453,0.053904,0.210744,0.352189,0.003278
0.020000,1.583320,3.304157,0.007617,0.058202,0.214909,0.208239,0.003928
0.020000,1.584571,3.304163,0.008868,0.062534,0.216594,0.084266,0.004626
0.020000,1.585908,3.304169,0.010204,0.066839,0.215246,-0.067410,0.005373
0.020000,1.587330,3.304178,0.011627,0.071133,0.214728,-0.025882,0.006167
