dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.575699,2.732644,0.000002,0.000200,0.010000,0.500000,6.281145
0.020000,1.575700,2.732644,0.000003,0.000055,-0.007248,-0.862411,6.281149
0.020000,1.575703,2.732644,0.000006,0.000124,0.003440,0.534397,6.281158
0.020000,1.575707,2.732644,0.000010,0.000220,0.004816,0.068793,6.281173
0.020000,1.575714,2.732644,0.000017,0.000344,0.006191,0.068791,6.281197
0.020000,1.575724,2.732644,0.000027,0.000495,0.007567,0.068788,6.281232
0.020000,1.575738,2.732644,0.000040,0.000674,0.008943,0.068783,6.281279
0.020000,1.575755,2.732644,0.000058,0.000881,0.010318,0.068776,6.281341
0.020000,1.575778,2.732644,0.000080,0.001114,0.011694,0.068767,6.281419
0.020000,1.575805,2.732644,0.000108,0.001376,0.013069,0.068755,6.281515
0.020000,1.575838,2.732644,0.000141,0.001665,0.014444,0.068740,6.281632
0.020000,1.575878,2.732644,0.000181,0.001981,0.015818,0.068722,6.281770
0.020000,1.575924,2.732644,0.000227,0.002325,0.017192,0.068701,6.281933
0.020000,1.575978,2.732644,0.000281,0.002696,0.018566,0.068675,6.282122
0.020000,1.576040,2.732644,0.000343,0.003095,0.019938,0.068645,6.282338
0.020000,1.576111,2.732644,0.000413,0.003521,0.021311,0.068609,6.282585
0.020000,1.576190,2.732643,0.000493,0.003975,0.022682,0.068569,6.282863
0.020000,1.576279,2.732643,0.000582,0.004456,0.024052,0.068523,6.283175
0.020000,1.577079,2.732644,0.001382,0.039996,1.777028,87.648762,0.000337
0.020000,1.577989,2.732644,0.002292,0.045509,0.275653,-75.068731,0.000722
0.020000,1.578993,2.732645,0.003295,0.050167,0.232872,-2.139054,0.001147
0.020000,1.580094,2.732647,0.004396,0.055050,0.244139,0.563345,0.001613
0.020000,1.581297,2.732649,0.005600,0.060165,0.255755,0.580804,0.002122
0.020000,1.582608,2.732652,0.006910,0.065539,0.268732,0.648836,0.002677
0.020000,1.584030,2.732656,0.008332,0.071100,0.278035,0.465190,0.003278
0.020000,1.585565,2.732662,0.009868,0.076771,0.283543,0.275370,0.003928
0.020000,1.587215,2.732669,0.011518,0.082487,0.285780,0.111877,0.004626
0.020000,1.588978,2.732678,0.013281,0.088167,0.284017,-0.088181,0.005373
0.020000,1.590855,2.732688,0.015158,0.093834,0.283349,-0.033407,0.006167
0.020000,1.592846,2.732702,0.017149,0.099561,0.286378,0.151470,0.007010
0.020000,1.594950,2.732717,0.019253,0.105218,0.282843,-0.176770,0.007901
0.020000,1.597169,2.732736,0.021472,0.110930,0.285589,0.137330,0.008841
0.020000,1.599501,2.732758,0.023804,0.116602,0.283608,-0.099063,0.009828
0.020000,1.601947,2.732783,0.026250,0.122305,0.285151,0.077133,0.010864
0.020000,1.604506,2.732812,0.028810,0.127979,0.283679,-0.073575,0.011948
0.020000,1.607180,2.732846,0.031483,0.133689,0.285496,0.090851,0.013080
0.020000,1.609966,2.732884,0.034270,0.139346,0.282872,-0.131214,0.014261
0.020000,1.612868,2.732927,0.037172,0.145077,0.286564,0.184603,0.015490
