dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.255240,7.607277,0.000002,0.000200,0.010000,0.500000,6.282513
0.020000,0.255240,7.607277,0.000010,0.000600,0.020000,0.500000,6.282514
0.020000,0.255240,7.607277,0.000028,0.001200,0.030000,0.500000,6.282517
0.020000,0.255240,7.607277,0.000060,0.002000,0.040000,0.500000,6.282522
0.020000,0.255240,7.607277,0.000110,0.003000,0.050000,0.500000,6.282530
0.020000,0.255240,7.607277,0.000182,0.004200,0.060000,0.500000,6.282541
0.020000,0.255240,7.607277,0.000280,0.005600,0.070000,0.500000,6.282556
0.020000,0.255240,7.607277,0.000408,0.007200,0.080000,0.500000,6.282575
0.020000,0.255240,7.607277,0.000570,0.009000,0.090000,0.500000,6.282600
0.020000,0.255240,7.607277,0.000770,0.011000,0.100000,0.500000,6.282631
0.020000,0.255240,7.607277,0.001012,0.013200,0.110000,0.500000,6.282668
0.020000,0.255240,7.607277,0.001300,0.015600,0.120000,0.500000,6.282712
0.020000,0.255240,7.607277,0.001638,0.018200,0.130000,0.500000,6.282763
0.020000,0.255240,7.607277,0.002030,0.021000,0.140000,0.500000,6.282823
0.020000,0.255240,7.607277,0.002480,0.024000,0.150000,0.500000,6.282892
0.020000,0.255240,7.607277,0.002992,0.027200,0.160000,0.500000,6.282970
0.020000,0.255240,7.607277,0.003570,0.030600,0.170000,0.500000,6.283058
0.020000,0.255240,7.607277,0.004218,0.034200,0.180000,0.500000,6.283157
0.020000,0.255775,7.607277,0.004940,0.038000,0.190000,0.500000,0.000081
0.020000,0.256575,7.607277,0.005740,0.042000,0.200000,0.500000,0.000203
0.020000,0.257456,7.607277,0.006622,0.046200,0.210000,0.500000,0.000336
0.020000,0.258425,7.607278,0.007590,0.050600,0.220000,0.500000,0.000483
0.020000,0.259483,7.607278,0.008648,0.055200,0.230000,0.500000,0.000643
0.020000,0.260635,7.607279,0.009800,0.060000,0.240000,0.500000,0.000816
0.020000,0.261884,7.607280,0.011050,0.065000,0.250000,0.500000,0.001004
0.020000,0.263235,7.607282,0.012400,0.070000,0.250000,0.000000,0.001207
0.020000,0.264685,7.607284,0.013850,0.075000,0.250000,-0.000000,0.001424
0.020000,0.266234,7.607286,0.015400,0.080000,0.250000,0.000000,0.001655
0.020000,0.267885,7.607289,0.017050,0.085000,0.250000,0.000000,0.001900
0.020000,0.269635,7.607293,0.018800,0.090000,0.250000,-0.000000,0.002160
0.020000,0.271485,7.607297,0.020650,0.095000,0.250000,0.000000,0.002433
0.020000,0.273435,7.607302,0.022600,0.100000,0.250000,0.000000,0.002720
0.020000,0.275484,7.607308,0.024650,0.105000,0.250000,-0.000000,0.003021
0.020000,0.277635,7.607315,0.026800,0.110000,0.250000,0.000000,0.003335
0.020000,0.279884,7.607322,0.029050,0.115000,0.250000,0.000000,0.003663
0.020000,0.282235,7.607331,0.031400,0.120000,0.250000,-0.000000,0.004003
0.020000,0.284684,7.607342,0.033850,0.125000,0.250000,0.000000,0.004356
0.020000,0.287234,7.607353,0.036400,0.130000,0.250000,0.000000,0.004722
0.020000,0.289884,7.607366,0.039050,0.135000,0.250000,0.000000,0.005101
0.020000,0.292634,7.607381,0.041800,0.140000,0.250000,0.000000,0.005491
0.020000,0.295484,7.607397,0.044650,0.145000,0.250000,-0.000000,0.005894
0.020000,0.298434,7.607415,0.047600,0.150000,0.250000,0.000000,0.006309
0.020000,0.301484,7.607435,0.050650,0.155000,0.250000,0.000000,0.006735
0.020000,0.304634,7.607457,0.053800,0.160000,0.250000,0.000000,0.007172
0.020000,0.307884,7.607481,0.057050,0.165000,0.250000,0.000000,0.007620
0.020000,0.311234,7.607507,0.060400,0.170000,0.250000,0.000000,0.008080
0.020000,0.314684,7.607536,0.063850,0.175000,0.250000,-0.000000,0.008549
0.020000,0.318234,7.607567,0.067400,0.180000,0.250000,0.000000,0.009029
0.020000,0.321884,7.607601,0.071050,0.185000,0.250000,0.000000,0.009519
0.020000,0.325633,7.607638,0.074800,0.190000,0.250000,0.000000,0.010019
0.020000,0.329481,7.607677,0.078648,0.194800,0.240000,-0.500000,0.010528
0.020000,0.333423,7.607720,0.082590,0.199400,0.230000,-0.500000,0.011045
0.020000,0.337455,7.607765,0.086622,0.203800,0.220000,-0.500000,0.011570
0.020000,0.341572,7.607814,0.090740,0.208000,0.210000,-0.500000,0.012102
0.020000,0.345772,7.607866,0.094940,0.212000,0.200000,-0.500000,0.012639
0.020000,0.350050,7.607921,0.099218,0.215800,0.190000,-0.500000,0.013182
0.020000,0.354401,7.607980,0.103570,0.219400,0.180000,-0.500000,0.013729
0.020000,0.358823,7.608042,0.107992,0.222800,0.170000,-0.500000,0.014280
0.020000,0.363310,7.608107,0.112480,0.226000,0.160000,-0.500000,0.014834
0.020000,0.367860,7.608176,0.117030,0.229000,0.150000,-0.500000,0.015390
0.020000,0.372467,7.608248,0.121638,0.231800,0.140000,-0.500000,0.015948
0.020000,0.377129,7.608324,0.126300,0.234400,0.130000,-0.500000,0.016507
0.020000,0.381840,7.608403,0.131012,0.236800,0.120000,-0.500000,0.017066
0.020000,0.386597,7.608485,0.135770,0.239000,0.110000,-0.500000,0.017625
0.020000,0.391397,7.608571,0.140570,0.241000,0.100000,-0.500000,0.018183
0.020000,0.396234,7.608660,0.145408,0.242800,0.090000,-0.500000,0.018739
0.020000,0.401105,7.608753,0.150280,0.244400,0.080000,-0.500000,0.019293
0.020000,0.406006,7.608849,0.155182,0.245800,0.070000,-0.500000,0.019845
