dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.255048,7.321527,0.000002,0.000200,0.010000,0.500000,6.282513
0.020000,0.255048,7.321527,0.000002,0.000018,-0.009124,-0.956209,6.282514
0.020000,0.255049,7.321527,0.000003,0.000039,0.001095,0.510946,6.282517
0.020000,0.255051,7.321527,0.000005,0.000070,0.001533,0.021889,6.282522
0.020000,0.255053,7.321527,0.000007,0.000109,0.001970,0.021879,6.282530
0.020000,0.255056,7.321527,0.000010,0.000158,0.002407,0.021863,6.282541
0.020000,0.255060,7.321527,0.000014,0.000214,0.002844,0.021840,6.282556
0.020000,0.255066,7.321527,0.000020,0.000280,0.003280,0.021807,6.282575
0.020000,0.255073,7.321527,0.000027,0.000354,0.003716,0.021764,6.282600
0.020000,0.255082,7.321527,0.000036,0.000437,0.004150,0.021708,6.282631
0.020000,0.255092,7.321527,0.000046,0.000529,0.004582,0.021639,6.282668
0.020000,0.255105,7.321527,0.000059,0.000629,0.005014,0.021554,6.282712
0.020000,0.255120,7.321527,0.000074,0.000738,0.005443,0.021452,6.282763
0.020000,0.255137,7.321527,0.000091,0.000856,0.005869,0.021332,6.282823
0.020000,0.255156,7.321527,0.000110,0.000981,0.006293,0.021192,6.282892
0.020000,0.255179,7.321527,0.000133,0.001116,0.006714,0.021031,6.282970
0.020000,0.255204,7.321527,0.000158,0.001258,0.007131,0.020847,6.283058
0.020000,0.255232,7.321527,0.000186,0.001409,0.007543,0.020639,6.283157
0.020000,0.255798,7.321527,0.000752,0.028296,1.344346,66.840126,0.000081
0.020000,0.256632,7.321527,0.001586,0.041730,0.671711,-33.631728,0.000203
0.020000,0.257553,7.321527,0.002507,0.046008,0.213895,-22.890796,0.000336
0.020000,0.258563,7.321528,0.003517,0.050495,0.224336,0.522041,0.000483
0.020000,0.259666,7.321528,0.004620,0.055191,0.234778,0.522104,0.000643
0.020000,0.260868,7.321529,0.005822,0.060074,0.244189,0.470509,0.000816
0.020000,0.262171,7.321530,0.007125,0.065182,0.255393,0.560236,0.001004
0.020000,0.263579,7.321532,0.008533,0.070398,0.260792,0.269929,0.001207
0.020000,0.265091,7.321534,0.010045,0.075601,0.260151,-0.032033,0.001424
0.020000,0.266707,7.321537,0.011661,0.080798,0.259866,-0.014274,0.001655
0.020000,0.268428,7.321540,0.013382,0.086013,0.260732,0.043331,0.001900
0.020000,0.270252,7.321543,0.015206,0.091204,0.259541,-0.059561,0.002160
0.020000,0.272180,7.321548,0.017134,0.096405,0.260065,0.026186,0.002433
0.020000,0.274212,7.321553,0.019166,0.101607,0.260107,0.002111,0.002720
0.020000,0.276348,7.321559,0.021302,0.106791,0.259171,-0.046820,0.003021
0.020000,0.278588,7.321566,0.023542,0.111996,0.260262,0.054570,0.003335
0.020000,0.280931,7.321574,0.025885,0.117170,0.258696,-0.078323,0.003663
0.020000,0.283378,7.321584,0.028333,0.122370,0.260014,0.065914,0.004003
0.020000,0.285929,7.321594,0.030883,0.127543,0.258631,-0.069156,0.004356
0.020000,0.288584,7.321606,0.033538,0.132730,0.259370,0.036977,0.004722
0.020000,0.291342,7.321620,0.036296,0.137909,0.258967,-0.020157,0.005101
0.020000,0.294203,7.321635,0.039158,0.143076,0.258339,-0.031407,0.005491
0.020000,0.297169,7.321652,0.042123,0.148260,0.259175,0.041818,0.005894
0.020000,0.300237,7.321671,0.045191,0.153419,0.257968,-0.060355,0.006309
0.020000,0.303409,7.321691,0.048363,0.158584,0.258220,0.012576,0.006735
0.020000,0.306684,7.321714,0.051638,0.163753,0.258468,0.012399,0.007172
0.020000,0.310062,7.321739,0.055016,0.168910,0.257866,-0.030107,0.007620
0.020000,0.313543,7.321767,0.058497,0.174055,0.257235,-0.031539,0.008080
0.020000,0.317127,7.321796,0.062082,0.179211,0.257781,0.027321,0.008549
0.020000,0.320814,7.321829,0.065769,0.184361,0.257521,-0.013026,0.009029
0.020000,0.324604,7.321864,0.069559,0.189506,0.257263,-0.012867,0.009519
0.020000,0.328496,7.321902,0.073452,0.194641,0.256717,-0.027335,0.010019
0.020000,0.332490,7.321943,0.077445,0.199667,0.251320,-0.269861,0.010528
0.020000,0.336579,7.321987,0.081535,0.204488,0.241051,-0.513442,0.011045
0.020000,0.340761,7.322034,0.085717,0.209097,0.230447,-0.530180,0.011570
0.020000,0.345030,7.322085,0.089987,0.213494,0.219859,-0.529391,0.012102
0.020000,0.349384,7.322139,0.094340,0.217680,0.209287,-0.528617,0.012639
0.020000,0.353816,7.322196,0.098773,0.221654,0.198730,-0.527858,0.013182
0.020000,0.358324,7.322257,0.103282,0.225418,0.188187,-0.527113,0.013729
0.020000,0.362903,7.322321,0.107861,0.228971,0.177660,-0.526381,0.014280
0.020000,0.367549,7.322388,0.112507,0.232314,0.167147,-0.525661,0.014834
0.020000,0.372257,7.322460,0.117216,0.235447,0.156648,-0.524951,0.015390
0.020000,0.377024,7.322534,0.121984,0.238370,0.146163,-0.524252,0.015948
0.020000,0.381845,7.322613,0.126805,0.241084,0.135691,-0.523561,0.016507
0.020000,0.386716,7.322694,0.131677,0.243589,0.125234,-0.522879,0.017066
0.020000,0.391633,7.322780,0.136595,0.245885,0.114790,-0.522204,0.017625
0.020000,0.396592,7.322868,0.141554,0.247972,0.104359,-0.521536,0.018183
0.020000,0.401588,7.322961,0.146551,0.249851,0.093942,-0.520873,0.018739
0.020000,0.406618,7.323056,0.151582,0.251522,0.083537,-0.520215,0.019293
0.020000,0.411676,7.323155,0.156641,0.252984,0.073115,-0.521110,0.019845
0.020000,0.416760,7.323258,0.161726,0.254232,0.062423,-0.534593,0.020393
0.020000,0.421864,7.323363,0.166832,0.255280,0.052393,-0.501519,0.020938
0.020000,0.426986,7.323472,0.171954,0.256121,0.042044,-0.517443,0.021478
0.020000,0.432120,7.323583,0.177089,0.256755,0.031708,-0.516807,0.022014
0.020000,0.437262,7.323698,0.182233,0.257183,0.021384,-0.516174,0.022545
0.020000,0.442409,7.323815,0.187381,0.257404,0.011073,-0.515542,0.023070
0.020000,0.447556,7.323936,0.192529,0.257420,0.000775,-0.514912,0.023589
0.020000,0.452701,7.324058,0.197676,0.257333,-0.004364,-0.256965,0.024102
0.020000,0.457844,7.324184,0.202821,0.257243,-0.004495,-0.006542,0.024609
0.020000,0.462986,7.324311,0.207964,0.257151,-0.004582,-0.004330,0.025110
0.020000,0.468125,7.324442,0.213105,0.257065,-0.004321,0.013031,0.025605
0.020000,0.473263,7.324575,0.218245,0.256978,-0.004310,0.000559,0.026093
0.020000,0.478399,7.324710,0.223383,0.256892,-0.004299,0.000552,0.026576
0.020000,0.483534,7.324848,0.228519,0.256807,-0.004288,0.000545,0.027052
0.020000,0.488666,7.324988,0.233653,0.256721,-0.004277,0.000537,0.027522
0.020000,0.493797,7.325130,0.238786,0.256636,-0.004266,0.000530,0.027986
0.020000,0.498926,7.325275,0.243917,0.256551,-0.004256,0.000523,0.028445
0.020000,0.504053,7.325422,0.249046,0.256460,-0.004513,-0.012834,0.028897
0.020000,0.509178,7.325571,0.254174,0.256374,-0.004303,0.010459,0.029343
0.020000,0.514302,7.325723,0.259299,0.256290,-0.004217,0.004315,0.029784
0.020000,0.519424,7.325876,0.264423,0.256206,-0.004207,0.000492,0.030218
0.020000,0.524544,7.326032,0.269546,0.256122,-0.004198,0.000485,0.030647
0.020000,0.529662,7.326190,0.274667,0.256038,-0.004188,0.000478,0.031069
0.020000,0.534779,7.326350,0.279786,0.255955,-0.004179,0.000471,0.031486
0.020000,0.539893,7.326513,0.284903,0.255871,-0.004169,0.000464,0.031897
0.020000,0.545007,7.326677,0.290019,0.255788,-0.004160,0.000456,0.032302
0.020000,0.550118,7.326843,0.295133,0.255699,-0.004443,-0.014149,0.032701
