dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.714771,3.269379,0.000002,0.000200,0.010000,0.500000,0.001989
0.020000,1.714772,3.269379,0.000003,0.000047,-0.007656,-0.882788,0.001986
0.020000,1.714774,3.269379,0.000005,0.000105,0.002930,0.529304,0.001979
0.020000,1.714778,3.269379,0.000009,0.000188,0.004102,0.058608,0.001965
0.020000,1.714784,3.269379,0.000015,0.000293,0.005275,0.058612,0.001945
0.020000,1.714792,3.269379,0.000023,0.000422,0.006447,0.058618,0.001915
0.020000,1.714804,3.269379,0.000035,0.000574,0.007620,0.058626,0.001875
0.020000,1.714819,3.269379,0.000050,0.000750,0.008792,0.058638,0.001823
0.020000,1.714838,3.269379,0.000069,0.000950,0.009965,0.058653,0.001756
0.020000,1.714861,3.269379,0.000092,0.001172,0.011139,0.058673,0.001674
0.020000,1.714889,3.269379,0.000120,0.001419,0.012313,0.058698,0.001575
0.020000,1.714923,3.269379,0.000154,0.001688,0.013487,0.058728,0.001457
0.020000,1.714963,3.269379,0.000194,0.001982,0.014663,0.058765,0.001318
0.020000,1.715009,3.269379,0.000240,0.002298,0.015839,0.058808,0.001157
0.020000,1.715061,3.269379,0.000293,0.002639,0.017016,0.058858,0.000972
0.020000,1.715122,3.269379,0.000353,0.003003,0.018194,0.058915,0.000762
0.020000,1.715189,3.269379,0.000420,0.003390,0.019374,0.058980,0.000525
0.020000,1.715265,3.269379,0.000496,0.003801,0.020555,0.059054,0.000259
0.020000,1.715441,3.269379,0.000672,0.008804,0.250157,11.480076,6.283148
0.020000,1.716336,3.269379,0.001567,0.044719,1.795747,77.279526,6.282819
0.020000,1.717322,3.269378,0.002553,0.049293,0.228715,-78.351592,6.282456
0.020000,1.718403,3.269377,0.003635,0.054089,0.239752,0.551842,6.282058
0.020000,1.719586,3.269376,0.004817,0.059104,0.250766,0.550681,6.281623
0.020000,1.720872,3.269374,0.006104,0.064347,0.262156,0.569503,6.281149
0.020000,1.722270,3.269370,0.007501,0.069888,0.277054,0.744932,6.280634
0.020000,1.723779,3.269366,0.009010,0.075457,0.278441,0.069312,6.280078
0.020000,1.725400,3.269361,0.010631,0.081021,0.278185,-0.012754,6.279480
0.020000,1.727133,3.269354,0.012364,0.086644,0.281192,0.150324,6.278840
0.020000,1.728978,3.269345,0.014209,0.092256,0.280579,-0.030673,6.278159
