dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715339,2.983629,0.000002,0.000200,0.010000,0.500000,0.001989
0.020000,1.715339,2.983629,0.000010,0.000600,0.020000,0.500000,0.001986
0.020000,1.715339,2.983629,0.000028,0.001200,0.030000,0.500000,0.001979
0.020000,1.715339,2.983629,0.000060,0.002000,0.040000,0.500000,0.001965
0.020000,1.715339,2.983629,0.000110,0.003000,0.050000,0.500000,0.001945
0.020000,1.715339,2.983629,0.000182,0.004200,0.060000,0.500000,0.001915
0.020000,1.715339,2.983629,0.000280,0.005600,0.070000,0.500000,0.001875
0.020000,1.715339,2.983629,0.000408,0.007200,0.080000,0.500000,0.001823
0.020000,1.715339,2.983629,0.000570,0.009000,0.090000,0.500000,0.001756
0.020000,1.715339,2.983629,0.000770,0.011000,0.100000,0.500000,0.001674
0.020000,1.715339,2.983629,0.001012,0.013200,0.110000,0.500000,0.001575
0.020000,1.715339,2.983629,0.001300,0.015600,0.120000,0.500000,0.001457
0.020000,1.715339,2.983629,0.001638,0.018200,0.130000,0.500000,0.001318
0.020000,1.715339,2.983629,0.002030,0.021000,0.140000,0.500000,0.001157
0.020000,1.715339,2.983629,0.002480,0.024000,0.150000,0.500000,0.000972
0.020000,1.715339,2.983629,0.002992,0.027200,0.160000,0.500000,0.000762
0.020000,1.715339,2.983629,0.003570,0.030600,0.170000,0.500000,0.000525
0.020000,1.715339,2.983629,0.004218,0.034200,0.180000,0.500000,0.000259
0.020000,1.715431,2.983629,0.004940,0.038000,0.190000,0.500000,6.283148
0.020000,1.716231,2.983629,0.005740,0.042000,0.200000,0.500000,6.282819
0.020000,1.717113,2.983629,0.006622,0.046200,0.210000,0.500000,6.282456
0.020000,1.718081,2.983628,0.007590,0.050600,0.220000,0.500000,6.282058
0.020000,1.719139,2.983626,0.008648,0.055200,0.230000,0.500000,6.281623
0.020000,1.720291,2.983624,0.009800,0.060000,0.240000,0.500000,6.281149
0.020000,1.721541,2.983621,0.011050,0.065000,0.250000,0.500000,6.280634
0.020000,1.722891,2.983617,0.012400,0.070000,0.250000,0.000000,6.280078
0.020000,1.724341,2.983613,0.013850,0.075000,0.250000,-0.000000,6.279480
0.020000,1.725891,2.983606,0.015400,0.080000,0.250000,0.000000,6.278840
0.020000,1.727541,2.983599,0.017050,0.085000,0.250000,0.000000,6.278159
0.020000,1.729291,2.983589,0.018800,0.090000,0.250000,-0.000000,6.277436
0.020000,1.731141,2.983578,0.020650,0.095000,0.250000,0.000000,6.276670
0.020000,1.733091,2.983564,0.022600,0.100000,0.250000,0.000000,6.275862
0.020000,1.735141,2.983548,0.024650,0.105000,0.250000,-0.000000,6.275012
0.020000,1.737291,2.983530,0.026800,0.110000,0.250000,0.000000,6.274120
0.020000,1.739540,2.983508,0.029050,0.115000,0.250000,0.000000,6.273185
0.020000,1.741891,2.983484,0.031400,0.120000,0.250000,-0.000000,6.272208
0.020000,1.744340,2.983456,0.033850,0.125000,0.250000,0.000000,6.271187
0.020000,1.746891,2.983424,0.036400,0.130000,0.250000,0.000000,6.270124
0.020000,1.749540,2.983388,0.039050,0.135000,0.250000,0.000000,6.269018
0.020000,1.752290,2.983347,0.041800,0.140000,0.250000,0.000000,6.267868
0.020000,1.755139,2.983302,0.044650,0.145000,0.250000,-0.000000,6.266674
0.020000,1.758089,2.983251,0.047600,0.150000,0.250000,0.000000,6.265438
