dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715908,2.697880,0.000002,0.000200,0.010000,0.500000,0.001989
0.020000,1.715907,2.697880,0.000003,0.000047,-0.007656,-0.882788,0.001986
0.020000,1.715905,2.697880,0.000005,0.000105,0.002930,0.529304,0.001979
0.020000,1.715901,2.697880,0.000009,0.000188,0.004102,0.058608,0.001965
0.020000,1.715895,2.697880,0.000015,0.000293,0.005275,0.058612,0.001945
0.020000,1.715887,2.697880,0.000023,0.000422,0.006447,0.058618,0.001915
0.020000,1.715875,2.697880,0.000035,0.000574,0.007620,0.058626,0.001875
0.020000,1.715860,2.697880,0.000050,0.000750,0.008792,0.058638,0.001823
0.020000,1.715841,2.697880,0.000069,0.000950,0.009965,0.058653,0.001756
0.020000,1.715818,2.697880,0.000092,0.001172,0.011139,0.058673,0.001674
0.020000,1.715789,2.697880,0.000120,0.001419,0.012313,0.058698,0.001575
0.020000,1.715756,2.697880,0.000154,0.001688,0.013487,0.058728,0.001457
0.020000,1.715716,2.697879,0.000194,0.001982,0.014663,0.058765,0.001318
0.020000,1.715670,2.697879,0.000240,0.002298,0.015839,0.058808,0.001157
0.020000,1.715617,2.697879,0.000293,0.002639,0.017016,0.058858,0.000972
0.020000,1.715557,2.697879,0.000353,0.003003,0.018194,0.058915,0.000762
0.020000,1.715489,2.697879,0.000420,0.003390,0.019374,0.058980,0.000525
0.020000,1.715413,2.697879,0.000496,0.003801,0.020555,0.059054,0.000259
0.020000,1.715420,2.697879,0.000503,0.000332,-0.173467,-9.701109,6.283148
0.020000,1.716126,2.697879,0.001210,0.035324,1.749619,96.154333,6.282819
0.020000,1.716905,2.697879,0.001988,0.038933,0.180464,-78.457755,6.282456
0.020000,1.717759,2.697878,0.002843,0.042716,0.189122,0.432871,6.282058
0.020000,1.718693,2.697877,0.003776,0.046671,0.197751,0.431463,6.281623
0.020000,1.719709,2.697875,0.004792,0.050804,0.206667,0.445786,6.281149
0.020000,1.720812,2.697872,0.005895,0.055171,0.218340,0.583671,6.280634
0.020000,1.722004,2.697869,0.007087,0.059558,0.219335,0.049717,6.280078
0.020000,1.723282,2.697865,0.008365,0.063938,0.219025,-0.015466,6.279480
0.020000,1.724650,2.697859,0.009733,0.068364,0.221281,0.112811,6.278840
0.020000,1.726105,2.697852,0.011188,0.072777,0.220673,-0.030438,6.278159
0.020000,1.727648,2.697844,0.012731,0.077142,0.218257,-0.120770,6.277436
0.020000,1.729279,2.697834,0.014363,0.081576,0.221680,0.171121,6.276670
0.020000,1.730999,2.697822,0.016082,0.085964,0.219412,-0.113397,6.275862
0.020000,1.732805,2.697808,0.017889,0.090337,0.218649,-0.038146,6.275012
0.020000,1.734701,2.697792,0.019784,0.094774,0.221832,0.159144,6.274120
0.020000,1.736683,2.697773,0.021766,0.099109,0.216746,-0.254299,6.273185
0.020000,1.738754,2.697751,0.023838,0.103568,0.222941,0.309763,6.272208
0.020000,1.740912,2.697726,0.025995,0.107887,0.215960,-0.349057,6.271187
0.020000,1.743158,2.697698,0.028242,0.112342,0.222752,0.339630,6.270124
0.020000,1.745491,2.697666,0.030576,0.116667,0.216280,-0.323632,6.269018
0.020000,1.747913,2.697631,0.032997,0.121093,0.221280,0.250023,6.267868
0.020000,1.750422,2.697591,0.035506,0.125447,0.217693,-0.179346,6.266674
0.020000,1.753018,2.697546,0.038103,0.129818,0.218540,0.042328,6.265438
0.020000,1.755702,2.697497,0.040787,0.134222,0.220187,0.082378,6.264157
0.020000,1.758472,2.697442,0.043558,0.138558,0.216838,-0.167489,6.262832
0.020000,1.761330,2.697382,0.046417,0.142942,0.219169,0.116582,6.261464
0.020000,1.764276,2.697316,0.049364,0.147325,0.219144,-0.001270,6.260050
0.020000,1.767309,2.697244,0.052397,0.151664,0.216994,-0.107515,6.258592
0.020000,1.770428,2.697165,0.055517,0.156007,0.217107,0.005676,6.257090
0.020000,1.773635,2.697078,0.058725,0.160410,0.220187,0.154002,6.255542
0.020000,1.776929,2.696985,0.062020,0.164753,0.217121,-0.153311,6.253949
0.020000,1.780307,2.696883,0.065400,0.169004,0.212581,-0.226990,6.252312
0.020000,1.783767,2.696773,0.068862,0.173081,0.203813,-0.438414,6.250632
0.020000,1.787305,2.696655,0.072402,0.176981,0.195023,-0.439474,6.248910
0.020000,1.790917,2.696528,0.076016,0.180725,0.187184,-0.391959,6.247148
