dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.749905,4.520893,0.000002,0.000200,0.010000,0.500000,0.000696
0.020000,1.749905,4.520893,0.000002,0.000022,-0.008891,-0.944558,0.000695
0.020000,1.749906,4.520893,0.000003,0.000050,0.001386,0.513860,0.000691
0.020000,1.749908,4.520893,0.000005,0.000089,0.001940,0.027718,0.000685
0.020000,1.749911,4.520893,0.000008,0.000139,0.002495,0.027715,0.000676
0.020000,1.749915,4.520893,0.000012,0.000200,0.003049,0.027709,0.000662
0.020000,1.749920,4.520893,0.000017,0.000272,0.003603,0.027701,0.000643
0.020000,1.749927,4.520893,0.000025,0.000355,0.004157,0.027688,0.000618
0.020000,1.749936,4.520893,0.000033,0.000449,0.004710,0.027673,0.000586
0.020000,1.749947,4.520893,0.000045,0.000554,0.005263,0.027652,0.000548
0.020000,1.749961,4.520893,0.000058,0.000671,0.005816,0.027626,0.000501
0.020000,1.749977,4.520893,0.000074,0.000798,0.006368,0.027595,0.000445
0.020000,1.749995,4.520893,0.000093,0.000936,0.006919,0.027558,0.000379
0.020000,1.750017,4.520893,0.000114,0.001086,0.007469,0.027513,0.000303
0.020000,1.750042,4.520893,0.000139,0.001246,0.008018,0.027462,0.000216
0.020000,1.750070,4.520893,0.000168,0.001417,0.008566,0.027402,0.000117
0.020000,1.750102,4.520893,0.000200,0.001600,0.009113,0.027334,0.000005
0.020000,1.750761,4.520893,0.000858,0.032942,1.567128,77.900755,6.283065
0.020000,1.751523,4.520893,0.001620,0.038098,0.257769,-65.467961,6.282925
0.020000,1.752367,4.520892,0.002465,0.042212,0.205712,-2.602821,6.282770
0.020000,1.753298,4.520892,0.003395,0.046537,0.216241,0.526425,6.282600
0.020000,1.754319,4.520891,0.004417,0.051074,0.226851,0.530501,6.282412
0.020000,1.755436,4.520890,0.005533,0.055822,0.237426,0.528742,6.282208
0.020000,1.756651,4.520889,0.006749,0.060779,0.247819,0.519678,6.281985
0.020000,1.757970,4.520887,0.008068,0.065946,0.258386,0.528313,6.281744
0.020000,1.759395,4.520885,0.009492,0.071222,0.263788,0.270142,6.281484
0.020000,1.760925,4.520882,0.011022,0.076493,0.263528,-0.013026,6.281204
0.020000,1.762560,4.520879,0.012657,0.081766,0.263689,0.008034,6.280906
0.020000,1.764301,4.520874,0.014398,0.087037,0.263547,-0.007064,6.280588
0.020000,1.766147,4.520869,0.016244,0.092308,0.263547,-0.000027,6.280252
0.020000,1.768098,4.520863,0.018196,0.097579,0.263522,-0.001240,6.279896
0.020000,1.770155,4.520856,0.020253,0.102848,0.263474,-0.002395,6.279522
0.020000,1.772318,4.520848,0.022415,0.108116,0.263398,-0.003821,6.279129
0.020000,1.774585,4.520838,0.024683,0.113385,0.263469,0.003552,6.278717
0.020000,1.776958,4.520827,0.027056,0.118650,0.263237,-0.011573,6.278286
0.020000,1.779437,4.520814,0.029534,0.123918,0.263408,0.008517,6.277837
0.020000,1.782020,4.520800,0.032118,0.129183,0.263226,-0.009057,6.277369
0.020000,1.784709,4.520784,0.034807,0.134446,0.263136,-0.004518,6.276883
0.020000,1.787503,4.520765,0.037601,0.139710,0.263198,0.003090,6.276379
