dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750104,4.235143,0.000002,0.000200,0.010000,0.500000,0.000696
0.020000,1.750104,4.235143,0.000010,0.000600,0.020000,0.500000,0.000695
0.020000,1.750104,4.235143,0.000028,0.001200,0.030000,0.500000,0.000691
0.020000,1.750104,4.235143,0.000060,0.002000,0.040000,0.500000,0.000685
0.020000,1.750104,4.235143,0.000110,0.003000,0.050000,0.500000,0.000676
0.020000,1.750104,4.235143,0.000182,0.004200,0.060000,0.500000,0.000662
0.020000,1.750104,4.235143,0.000280,0.005600,0.070000,0.500000,0.000643
0.020000,1.750104,4.235143,0.000408,0.007200,0.080000,0.500000,0.000618
0.020000,1.750104,4.235143,0.000570,0.009000,0.090000,0.500000,0.000586
0.020000,1.750104,4.235143,0.000770,0.011000,0.100000,0.500000,0.000548
0.020000,1.750104,4.235143,0.001012,0.013200,0.110000,0.500000,0.000501
0.020000,1.750104,4.235143,0.001300,0.015600,0.120000,0.500000,0.000445
0.020000,1.750104,4.235143,0.001638,0.018200,0.130000,0.500000,0.000379
0.020000,1.750104,4.235143,0.002030,0.021000,0.140000,0.500000,0.000303
0.020000,1.750104,4.235143,0.002480,0.024000,0.150000,0.500000,0.000216
0.020000,1.750104,4.235143,0.002992,0.027200,0.160000,0.500000,0.000117
0.020000,1.750104,4.235143,0.003570,0.030600,0.170000,0.500000,0.000005
0.020000,1.750727,4.235143,0.004218,0.034200,0.180000,0.500000,6.283065
0.020000,1.751449,4.235143,0.004940,0.038000,0.190000,0.500000,6.282925
0.020000,1.752249,4.235142,0.005740,0.042000,0.200000,0.500000,6.282770
0.020000,1.753131,4.235142,0.006622,0.046200,0.210000,0.500000,6.282600
0.020000,1.754099,4.235141,0.007590,0.050600,0.220000,0.500000,6.282412
0.020000,1.755157,4.235140,0.008648,0.055200,0.230000,0.500000,6.282208
0.020000,1.756309,4.235139,0.009800,0.060000,0.240000,0.500000,6.281985
0.020000,1.757559,4.235138,0.011050,0.065000,0.250000,0.500000,6.281744
0.020000,1.758909,4.235135,0.012400,0.070000,0.250000,0.000000,6.281484
0.020000,1.760359,4.235133,0.013850,0.075000,0.250000,-0.000000,6.281204
0.020000,1.761909,4.235129,0.015400,0.080000,0.250000,0.000000,6.280906
0.020000,1.763559,4.235125,0.017050,0.085000,0.250000,0.000000,6.280588
0.020000,1.765309,4.235121,0.018800,0.090000,0.250000,-0.000000,6.280252
0.020000,1.767159,4.235115,0.020650,0.095000,0.250000,0.000000,6.279896
0.020000,1.769109,4.235108,0.022600,0.100000,0.250000,0.000000,6.279522
0.020000,1.771159,4.235100,0.024650,0.105000,0.250000,-0.000000,6.279129
