dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750303,3.949393,0.000002,0.000200,0.010000,0.500000,0.000696
0.020000,1.750302,3.949393,0.000002,0.000022,-0.008891,-0.944558,0.000695
0.020000,1.750301,3.949393,0.000003,0.000050,0.001386,0.513860,0.000691
0.020000,1.750299,3.949393,0.000005,0.000089,0.001940,0.027718,0.000685
0.020000,1.750297,3.949393,0.000008,0.000139,0.002495,0.027715,0.000676
0.020000,1.750293,3.949393,0.000012,0.000200,0.003049,0.027709,0.000662
0.020000,1.750287,3.949393,0.000017,0.000272,0.003603,0.027701,0.000643
0.020000,1.750280,3.949393,0.000025,0.000355,0.004157,0.027688,0.000618
0.020000,1.750271,3.949393,0.000033,0.000449,0.004710,0.027673,0.000586
0.020000,1.750260,3.949393,0.000045,0.000554,0.005263,0.027652,0.000548
0.020000,1.750247,3.949393,0.000058,0.000671,0.005816,0.027626,0.000501
0.020000,1.750231,3.949393,0.000074,0.000798,0.006368,0.027595,0.000445
0.020000,1.750212,3.949393,0.000093,0.000936,0.006919,0.027558,0.000379
0.020000,1.750190,3.949393,0.000114,0.001086,0.007469,0.027513,0.000303
0.020000,1.750165,3.949393,0.000139,0.001246,0.008018,0.027462,0.000216
0.020000,1.750137,3.949393,0.000168,0.001417,0.008566,0.027402,0.000117
0.020000,1.750105,3.949393,0.000200,0.001600,0.009113,0.027334,0.000005
0.020000,1.750692,3.949393,0.000787,0.029356,1.387844,68.936556,6.283065
0.020000,1.751374,3.949393,0.001469,0.034104,0.237365,-57.523972,6.282925
0.020000,1.752130,3.949392,0.002225,0.037788,0.184226,-2.656955,6.282770
0.020000,1.752963,3.949392,0.003058,0.041662,0.193675,0.472492,6.282600
0.020000,1.753878,3.949391,0.003972,0.045726,0.203203,0.476358,6.282412
0.020000,1.754877,3.949391,0.004972,0.049980,0.212703,0.475022,6.282208
0.020000,1.755966,3.949389,0.006060,0.054421,0.222046,0.467168,6.281985
0.020000,1.757147,3.949388,0.007241,0.059052,0.231550,0.475184,6.281744
0.020000,1.758422,3.949386,0.008517,0.063781,0.236436,0.244291,6.281484
0.020000,1.759793,3.949383,0.009887,0.068506,0.236255,-0.009056,6.281204
0.020000,1.761257,3.949380,0.011352,0.073235,0.236455,0.010000,6.280906
0.020000,1.762816,3.949376,0.012911,0.077963,0.236388,-0.003324,6.280588
0.020000,1.764470,3.949372,0.014565,0.082692,0.236452,0.003175,6.280252
0.020000,1.766219,3.949366,0.016313,0.087421,0.236497,0.002288,6.279896
0.020000,1.768062,3.949360,0.018156,0.092152,0.236527,0.001452,6.279522
0.020000,1.769999,3.949352,0.020094,0.096883,0.236534,0.000374,6.279129
0.020000,1.772032,3.949344,0.022126,0.101616,0.236678,0.007181,6.278717
0.020000,1.774159,3.949334,0.024253,0.106347,0.236554,-0.006171,6.278286
0.020000,1.776380,3.949322,0.026475,0.111083,0.236795,0.012037,6.277837
0.020000,1.778697,3.949310,0.028791,0.115818,0.236725,-0.003512,6.277369
0.020000,1.781108,3.949295,0.031202,0.120553,0.236740,0.000760,6.276883
0.020000,1.783613,3.949278,0.033708,0.125290,0.236896,0.007787,6.276379
0.020000,1.786214,3.949260,0.036309,0.130029,0.236942,0.002332,6.275856
0.020000,1.788909,3.949240,0.039004,0.134768,0.236930,-0.000620,6.275314
0.020000,1.791699,3.949217,0.041794,0.139508,0.237001,0.003555,6.274755
0.020000,1.794584,3.949192,0.044679,0.144249,0.237073,0.003577,6.274178
0.020000,1.797564,3.949164,0.047659,0.148993,0.237161,0.004447,6.273582
0.020000,1.800638,3.949134,0.050734,0.153738,0.237259,0.004858,6.272969
0.020000,1.803808,3.949100,0.053904,0.158483,0.237272,0.000684,6.272338
0.020000,1.807072,3.949064,0.057168,0.163230,0.237347,0.003715,6.271689
0.020000,1.810432,3.949024,0.060528,0.167979,0.237422,0.003753,6.271023
0.020000,1.813886,3.948981,0.063982,0.172729,0.237498,0.003794,6.270339
0.020000,1.817435,3.948934,0.067532,0.177480,0.237574,0.003839,6.269637
0.020000,1.821078,3.948883,0.071175,0.182138,0.232919,-0.232787,6.268919
0.020000,1.824809,3.948829,0.074907,0.186609,0.223528,-0.469539,6.268185
0.020000,1.828627,3.948770,0.078725,0.190893,0.214200,-0.466367,6.267435
0.020000,1.832526,3.948707,0.082624,0.194988,0.204754,-0.472325,6.266672
0.020000,1.836503,3.948640,0.086602,0.198895,0.195348,-0.470298,6.265894
0.020000,1.840555,3.948568,0.090655,0.202614,0.185943,-0.470231,6.265104
0.020000,1.844677,3.948492,0.094778,0.206145,0.176535,-0.470400,6.264303
0.020000,1.848866,3.948411,0.098967,0.209488,0.167163,-0.468623,6.263490
