dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750185,4.520893,0.000002,0.000200,0.010000,0.500000,6.282900
0.020000,1.750185,4.520893,0.000002,0.000009,-0.009554,-0.977691,6.282901
0.020000,1.750185,4.520893,0.000003,0.000020,0.000558,0.505577,6.282902
0.020000,1.750184,4.520893,0.000003,0.000036,0.000781,0.011153,6.282905
0.020000,1.750183,4.520893,0.000004,0.000056,0.001004,0.011152,6.282909
0.020000,1.750181,4.520893,0.000006,0.000080,0.001227,0.011149,6.282914
0.020000,1.750179,4.520893,0.000008,0.000109,0.001450,0.011146,6.282922
0.020000,1.750176,4.520893,0.000011,0.000143,0.001673,0.011141,6.282932
0.020000,1.750172,4.520893,0.000015,0.000181,0.001895,0.011134,6.282944
0.020000,1.750168,4.520893,0.000019,0.000223,0.002118,0.011125,6.282960
0.020000,1.750163,4.520893,0.000025,0.000270,0.002340,0.011114,6.282979
0.020000,1.750156,4.520893,0.000031,0.000321,0.002562,0.011101,6.283001
0.020000,1.750149,4.520893,0.000038,0.000377,0.002784,0.011085,6.283028
0.020000,1.750140,4.520893,0.000047,0.000437,0.003005,0.011066,6.283058
0.020000,1.750130,4.520893,0.000057,0.000501,0.003226,0.011044,6.283093
0.020000,1.750118,4.520893,0.000069,0.000570,0.003446,0.011019,6.283133
0.020000,1.750106,4.520893,0.000082,0.000644,0.003666,0.010990,6.283178
0.020000,1.750651,4.520893,0.000627,0.027253,1.330449,66.339144,0.000044
0.020000,1.751357,4.520893,0.001333,0.035297,0.402208,-46.412055,0.000100
0.020000,1.752139,4.520893,0.002115,0.039110,0.190674,-10.576712,0.000162
0.020000,1.753001,4.520893,0.002977,0.043119,0.200455,0.489078,0.000231
0.020000,1.753948,4.520893,0.003924,0.047324,0.210247,0.489563,0.000306
0.020000,1.754982,4.520894,0.004958,0.051725,0.220046,0.489995,0.000388
0.020000,1.756109,4.520894,0.006085,0.056321,0.229808,0.488058,0.000478
0.020000,1.757331,4.520895,0.007307,0.061113,0.239595,0.489370,0.000575
0.020000,1.758651,4.520896,0.008627,0.066004,0.244531,0.246804,0.000680
0.020000,1.760069,4.520897,0.010045,0.070894,0.244501,-0.001493,0.000792
0.020000,1.761584,4.520898,0.011560,0.075785,0.244535,0.001700,0.000912
0.020000,1.763198,4.520900,0.013174,0.080676,0.244549,0.000683,0.001040
0.020000,1.764909,4.520902,0.014885,0.085567,0.244550,0.000071,0.001175
0.020000,1.766718,4.520904,0.016694,0.090458,0.244588,0.001899,0.001318
0.020000,1.768625,4.520907,0.018601,0.095350,0.244581,-0.000369,0.001468
0.020000,1.770630,4.520910,0.020606,0.100242,0.244617,0.001823,0.001626
0.020000,1.772733,4.520913,0.022709,0.105135,0.244627,0.000471,0.001792
0.020000,1.774934,4.520917,0.024910,0.110028,0.244636,0.000485,0.001965
0.020000,1.777232,4.520922,0.027208,0.114921,0.244688,0.002559,0.002146
0.020000,1.779628,4.520927,0.029604,0.119815,0.244675,-0.000645,0.002333
0.020000,1.782122,4.520934,0.032098,0.124709,0.244706,0.001550,0.002529
0.020000,1.784715,4.520940,0.034691,0.129604,0.244751,0.002270,0.002732
0.020000,1.787404,4.520948,0.037380,0.134499,0.244749,-0.000111,0.002942
0.020000,1.790192,4.520956,0.040168,0.139394,0.244776,0.001357,0.003159
0.020000,1.793078,4.520966,0.043054,0.144290,0.244804,0.001386,0.003384
0.020000,1.796062,4.520976,0.046038,0.149187,0.244849,0.002260,0.003615
0.020000,1.799144,4.520988,0.049120,0.154085,0.244859,0.000504,0.003854
0.020000,1.802323,4.521000,0.052299,0.158982,0.244887,0.001418,0.004101
0.020000,1.805601,4.521014,0.055577,0.163881,0.244918,0.001513,0.004354
0.020000,1.808976,4.521029,0.058952,0.168780,0.244949,0.001545,0.004614
0.020000,1.812450,4.521046,0.062426,0.173679,0.244980,0.001578,0.004882
0.020000,1.816021,4.521064,0.065998,0.178580,0.245012,0.001611,0.005156
0.020000,1.819691,4.521083,0.069667,0.183480,0.245045,0.001645,0.005437
0.020000,1.823457,4.521104,0.073433,0.188284,0.240186,-0.242979,0.005726
0.020000,1.827314,4.521127,0.077291,0.192893,0.230432,-0.487660,0.006020
0.020000,1.831260,4.521151,0.081237,0.197306,0.220678,-0.487721,0.006321
0.020000,1.835291,4.521177,0.085267,0.201525,0.210922,-0.487785,0.006627
0.020000,1.839402,4.521205,0.089378,0.205548,0.201165,-0.487854,0.006938
0.020000,1.843589,4.521235,0.093566,0.209377,0.191419,-0.487319,0.007255
0.020000,1.847849,4.521267,0.097826,0.213010,0.181653,-0.488298,0.007576
0.020000,1.852178,4.521300,0.102155,0.216447,0.171887,-0.488312,0.007902
0.020000,1.856572,4.521336,0.106549,0.219690,0.162123,-0.488168,0.008232
0.020000,1.861026,4.521373,0.111004,0.222737,0.152358,-0.488253,0.008565
0.020000,1.865538,4.521412,0.115515,0.225589,0.142615,-0.487162,0.008902
0.020000,1.870103,4.521454,0.120080,0.228246,0.132824,-0.489537,0.009241
0.020000,1.874717,4.521497,0.124694,0.230707,0.123053,-0.488558,0.009584
0.020000,1.879376,4.521543,0.129354,0.232973,0.113291,-0.488097,0.009929
0.020000,1.884076,4.521590,0.134055,0.235043,0.103523,-0.488406,0.010276
0.020000,1.888815,4.521640,0.138793,0.236918,0.093730,-0.489655,0.010624
0.020000,1.893586,4.521691,0.143565,0.238597,0.083959,-0.488562,0.010975
0.020000,1.898387,4.521745,0.148367,0.240081,0.074192,-0.488334,0.011326
0.020000,1.903215,4.521800,0.153194,0.241368,0.064388,-0.490220,0.011678
0.020000,1.908063,4.521858,0.158043,0.242461,0.054613,-0.488727,0.012031
0.020000,1.912930,4.521917,0.162910,0.243357,0.044834,-0.488965,0.012384
0.020000,1.917811,4.521979,0.167792,0.244058,0.035025,-0.490429,0.012737
0.020000,1.922702,4.522042,0.172683,0.244563,0.025250,-0.488740,0.013089
0.020000,1.927599,4.522107,0.177580,0.244872,0.015451,-0.489981,0.013441
0.020000,1.932498,4.522173,0.182480,0.244985,0.005642,-0.490435,0.013792
0.020000,1.937398,4.522242,0.187380,0.245000,0.000768,-0.243722,0.014142
0.020000,1.942297,4.522312,0.192280,0.245015,0.000747,-0.001018,0.014491
0.020000,1.947197,4.522384,0.197181,0.245030,0.000748,0.000019,0.014839
0.020000,1.952098,4.522457,0.202082,0.245045,0.000768,0.000998,0.015186
0.020000,1.956998,4.522533,0.206983,0.245060,0.000744,-0.001165,0.015531
0.020000,1.961899,4.522610,0.211884,0.245075,0.000756,0.000576,0.015876
0.020000,1.966801,4.522688,0.216786,0.245091,0.000760,0.000221,0.016220
0.020000,1.971702,4.522769,0.221688,0.245105,0.000745,-0.000749,0.016562
0.020000,1.976604,4.522851,0.226591,0.245121,0.000763,0.000906,0.016904
0.020000,1.981506,4.522934,0.231494,0.245136,0.000753,-0.000497,0.017244
0.020000,1.986408,4.523020,0.236397,0.245151,0.000746,-0.000362,0.017584
0.020000,1.991311,4.523107,0.241300,0.245166,0.000770,0.001208,0.017922
0.020000,1.996213,4.523195,0.246203,0.245181,0.000747,-0.001158,0.018259
0.020000,2.001116,4.523286,0.251107,0.245196,0.000753,0.000297,0.018595
0.020000,2.006020,4.523378,0.256012,0.245211,0.000765,0.000578,0.018931
