dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750104,4.235143,0.000002,0.000200,0.010000,0.500000,6.282900
0.020000,1.750104,4.235143,0.000010,0.000600,0.020000,0.500000,6.282901
0.020000,1.750104,4.235143,0.000028,0.001200,0.030000,0.500000,6.282902
0.020000,1.750104,4.235143,0.000060,0.002000,0.040000,0.500000,6.282905
0.020000,1.750104,4.235143,0.000110,0.003000,0.050000,0.500000,6.282909
0.020000,1.750104,4.235143,0.000182,0.004200,0.060000,0.500000,6.282914
0.020000,1.750104,4.235143,0.000280,0.005600,0.070000,0.500000,6.282922
0.020000,1.750104,4.235143,0.000408,0.007200,0.080000,0.500000,6.282932
0.020000,1.750104,4.235143,0.000570,0.009000,0.090000,0.500000,6.282944
0.020000,1.750104,4.235143,0.000770,0.011000,0.100000,0.500000,6.282960
0.020000,1.750104,4.235143,0.001012,0.013200,0.110000,0.500000,6.282979
0.020000,1.750104,4.235143,0.001300,0.015600,0.120000,0.500000,6.283001
0.020000,1.750104,4.235143,0.001638,0.018200,0.130000,0.500000,6.283028
0.020000,1.750104,4.235143,0.002030,0.021000,0.140000,0.500000,6.283058
0.020000,1.750104,4.235143,0.002480,0.024000,0.150000,0.500000,6.283093
0.020000,1.750104,4.235143,0.002992,0.027200,0.160000,0.500000,6.283133
0.020000,1.750104,4.235143,0.003570,0.030600,0.170000,0.500000,6.283178
0.020000,1.750663,4.235143,0.004218,0.034200,0.180000,0.500000,0.000044
0.020000,1.751385,4.235143,0.004940,0.038000,0.190000,0.500000,0.000100
0.020000,1.752185,4.235143,0.005740,0.042000,0.200000,0.500000,0.000162
0.020000,1.753067,4.235143,0.006622,0.046200,0.210000,0.500000,0.000231
0.020000,1.754035,4.235143,0.007590,0.050600,0.220000,0.500000,0.000306
0.020000,1.755093,4.235144,0.008648,0.055200,0.230000,0.500000,0.000388
0.020000,1.756245,4.235144,0.009800,0.060000,0.240000,0.500000,0.000478
0.020000,1.757495,4.235145,0.011050,0.065000,0.250000,0.500000,0.000575
0.020000,1.758845,4.235146,0.012400,0.070000,0.250000,0.000000,0.000680
0.020000,1.760295,4.235147,0.013850,0.075000,0.250000,-0.000000,0.000792
0.020000,1.761845,4.235148,0.015400,0.080000,0.250000,0.000000,0.000912
0.020000,1.763495,4.235150,0.017050,0.085000,0.250000,0.000000,0.001040
0.020000,1.765245,4.235152,0.018800,0.090000,0.250000,-0.000000,0.001175
0.020000,1.767095,4.235154,0.020650,0.095000,0.250000,0.000000,0.001318
0.020000,1.769045,4.235157,0.022600,0.100000,0.250000,0.000000,0.001468
0.020000,1.771095,4.235160,0.024650,0.105000,0.250000,-0.000000,0.001626
0.020000,1.773245,4.235164,0.026800,0.110000,0.250000,0.000000,0.001792
0.020000,1.775495,4.235168,0.029050,0.115000,0.250000,0.000000,0.001965
0.020000,1.777845,4.235173,0.031400,0.120000,0.250000,-0.000000,0.002146
0.020000,1.780295,4.235178,0.033850,0.125000,0.250000,0.000000,0.002333
0.020000,1.782845,4.235184,0.036400,0.130000,0.250000,0.000000,0.002529
0.020000,1.785495,4.235191,0.039050,0.135000,0.250000,0.000000,0.002732
0.020000,1.788245,4.235199,0.041800,0.140000,0.250000,0.000000,0.002942
0.020000,1.791095,4.235208,0.044650,0.145000,0.250000,-0.000000,0.003159
0.020000,1.794045,4.235218,0.047600,0.150000,0.250000,0.000000,0.003384
0.020000,1.797095,4.235228,0.050650,0.155000,0.250000,0.000000,0.003615
0.020000,1.800245,4.235240,0.053800,0.160000,0.250000,0.000000,0.003854
0.020000,1.803495,4.235253,0.057050,0.165000,0.250000,0.000000,0.004101
0.020000,1.806845,4.235267,0.060400,0.170000,0.250000,0.000000,0.004354
0.020000,1.810295,4.235283,0.063850,0.175000,0.250000,-0.000000,0.004614
0.020000,1.813845,4.235299,0.067400,0.180000,0.250000,0.000000,0.004882
0.020000,1.817495,4.235318,0.071050,0.185000,0.250000,0.000000,0.005156
0.020000,1.821245,4.235338,0.074800,0.190000,0.250000,0.000000,0.005437
0.020000,1.825093,4.235359,0.078648,0.194800,0.240000,-0.500000,0.005726
0.020000,1.829035,4.235382,0.082590,0.199400,0.230000,-0.500000,0.006020
0.020000,1.833067,4.235407,0.086622,0.203800,0.220000,-0.500000,0.006321
0.020000,1.837184,4.235434,0.090740,0.208000,0.210000,-0.500000,0.006627
0.020000,1.841384,4.235462,0.094940,0.212000,0.200000,-0.500000,0.006938
0.020000,1.845662,4.235493,0.099218,0.215800,0.190000,-0.500000,0.007255
0.020000,1.850014,4.235525,0.103570,0.219400,0.180000,-0.500000,0.007576
0.020000,1.854436,4.235559,0.107992,0.222800,0.170000,-0.500000,0.007902
0.020000,1.858924,4.235595,0.112480,0.226000,0.160000,-0.500000,0.008232
0.020000,1.863474,4.235633,0.117030,0.229000,0.150000,-0.500000,0.008565
0.020000,1.868082,4.235674,0.121638,0.231800,0.140000,-0.500000,0.008902
