dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750022,3.949393,0.000002,0.000200,0.010000,0.500000,6.282900
0.020000,1.750022,3.949393,0.000002,0.000009,-0.009554,-0.977691,6.282901
0.020000,1.750023,3.949393,0.000003,0.000020,0.000558,0.505577,6.282902
0.020000,1.750023,3.949393,0.000003,0.000036,0.000781,0.011153,6.282905
0.020000,1.750025,3.949393,0.000004,0.000056,0.001004,0.011152,6.282909
0.020000,1.750026,3.949393,0.000006,0.000080,0.001227,0.011149,6.282914
0.020000,1.750028,3.949393,0.000008,0.000109,0.001450,0.011146,6.282922
0.020000,1.750031,3.949393,0.000011,0.000143,0.001673,0.011141,6.282932
0.020000,1.750035,3.949393,0.000015,0.000181,0.001895,0.011134,6.282944
0.020000,1.750039,3.949393,0.000019,0.000223,0.002118,0.011125,6.282960
0.020000,1.750045,3.949393,0.000025,0.000270,0.002340,0.011114,6.282979
0.020000,1.750051,3.949393,0.000031,0.000321,0.002562,0.011101,6.283001
0.020000,1.750059,3.949393,0.000038,0.000377,0.002784,0.011085,6.283028
0.020000,1.750067,3.949393,0.000047,0.000437,0.003005,0.011066,6.283058
0.020000,1.750077,3.949393,0.000057,0.000501,0.003226,0.011044,6.283093
0.020000,1.750089,3.949393,0.000069,0.000570,0.003446,0.011019,6.283133
0.020000,1.750102,3.949393,0.000082,0.000644,0.003666,0.010990,6.283178
0.020000,1.750676,3.949393,0.000655,0.028695,1.402580,69.945685,0.000044
0.020000,1.751414,3.949393,0.001393,0.036904,0.410415,-49.608218,0.000100
0.020000,1.752231,3.949393,0.002211,0.040890,0.199316,-10.554956,0.000162
0.020000,1.753133,3.949393,0.003113,0.045080,0.209531,0.510746,0.000231
0.020000,1.754123,3.949394,0.004102,0.049476,0.219754,0.511150,0.000306
0.020000,1.755204,3.949394,0.005184,0.054075,0.229984,0.511489,0.000388
0.020000,1.756382,3.949394,0.006361,0.058879,0.240171,0.509340,0.000478
0.020000,1.757659,3.949395,0.007639,0.063886,0.250382,0.510577,0.000575
0.020000,1.759039,3.949396,0.009019,0.068997,0.255520,0.256869,0.000680
0.020000,1.760521,3.949397,0.010501,0.074106,0.255464,-0.002797,0.000792
0.020000,1.762106,3.949398,0.012086,0.079215,0.255473,0.000449,0.000912
0.020000,1.763792,3.949400,0.013772,0.084325,0.255459,-0.000706,0.001040
0.020000,1.765581,3.949402,0.015561,0.089433,0.255430,-0.001437,0.001175
0.020000,1.767472,3.949404,0.017452,0.094542,0.255438,0.000382,0.001318
0.020000,1.769465,3.949407,0.019445,0.099650,0.255396,-0.002081,0.001468
0.020000,1.771560,3.949410,0.021540,0.104758,0.255398,0.000118,0.001626
0.020000,1.773757,3.949414,0.023737,0.109865,0.255371,-0.001387,0.001792
0.020000,1.776057,3.949418,0.026036,0.114972,0.255341,-0.001464,0.001965
0.020000,1.778458,3.949423,0.028438,0.120079,0.255354,0.000611,0.002146
0.020000,1.780962,3.949429,0.030942,0.125185,0.255297,-0.002829,0.002333
0.020000,1.783568,3.949435,0.033548,0.130291,0.255284,-0.000629,0.002529
0.020000,1.786276,3.949442,0.036256,0.135396,0.255285,0.000031,0.002732
0.020000,1.789086,3.949450,0.039066,0.140501,0.255234,-0.002548,0.002942
0.020000,1.791998,3.949459,0.041978,0.145605,0.255212,-0.001107,0.003159
0.020000,1.795012,3.949469,0.044992,0.150709,0.255189,-0.001169,0.003384
0.020000,1.798128,3.949480,0.048108,0.155813,0.255182,-0.000349,0.003615
0.020000,1.801346,3.949492,0.051326,0.160916,0.255136,-0.002276,0.003854
0.020000,1.804667,3.949505,0.054647,0.166018,0.255108,-0.001415,0.004101
0.020000,1.808089,3.949520,0.058069,0.171119,0.255080,-0.001408,0.004354
0.020000,1.811613,3.949536,0.061594,0.176220,0.255050,-0.001467,0.004614
0.020000,1.815240,3.949553,0.065220,0.181321,0.255020,-0.001526,0.004882
0.020000,1.818968,3.949571,0.068948,0.186420,0.254988,-0.001585,0.005156
0.020000,1.822799,3.949592,0.072779,0.191520,0.254955,-0.001643,0.005437
0.020000,1.826729,3.949614,0.076709,0.196516,0.249814,-0.257043,0.005726
0.020000,1.830755,3.949637,0.080735,0.201307,0.239567,-0.512382,0.006020
0.020000,1.834873,3.949663,0.084853,0.205894,0.229320,-0.512337,0.006321
0.020000,1.839078,3.949690,0.089059,0.210275,0.219074,-0.512285,0.006627
0.020000,1.843367,3.949719,0.093348,0.214452,0.208830,-0.512226,0.006938
0.020000,1.847735,3.949750,0.097716,0.218424,0.198599,-0.511528,0.007255
0.020000,1.852179,3.949783,0.102160,0.222191,0.188351,-0.512399,0.007576
