dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.714759,5.529056,0.000002,0.000200,0.010000,0.500000,0.002032
0.020000,1.714760,5.529056,0.000003,0.000055,-0.007237,-0.861858,0.002028
0.020000,1.714762,5.529056,0.000006,0.000124,0.003454,0.534535,0.002020
0.020000,1.714767,5.529056,0.000010,0.000221,0.004835,0.069070,0.002004
0.020000,1.714774,5.529056,0.000017,0.000345,0.006216,0.069068,0.001980
0.020000,1.714783,5.529056,0.000027,0.000497,0.007598,0.069065,0.001945
0.020000,1.714797,5.529056,0.000040,0.000677,0.008979,0.069061,0.001898
0.020000,1.714815,5.529056,0.000058,0.000884,0.010360,0.069056,0.001836
0.020000,1.714837,5.529056,0.000080,0.001119,0.011741,0.069048,0.001758
0.020000,1.714865,5.529056,0.000108,0.001381,0.013122,0.069039,0.001661
0.020000,1.714898,5.529056,0.000142,0.001671,0.014502,0.069027,0.001544
0.020000,1.714938,5.529056,0.000181,0.001989,0.015882,0.069012,0.001405
0.020000,1.714985,5.529056,0.000228,0.002334,0.017262,0.068994,0.001242
0.020000,1.715039,5.529057,0.000282,0.002707,0.018642,0.068973,0.001052
0.020000,1.715101,5.529057,0.000344,0.003108,0.020021,0.068948,0.000835
0.020000,1.715172,5.529057,0.000415,0.003536,0.021399,0.068919,0.000587
0.020000,1.715251,5.529057,0.000495,0.003991,0.022777,0.068886,0.000308
0.020000,1.715352,5.529057,0.000595,0.005034,0.052147,1.468520,6.283180
0.020000,1.716174,5.529057,0.001417,0.041098,1.803222,87.553755,6.282831
0.020000,1.717085,5.529056,0.002328,0.045532,0.221692,-79.076516,6.282444
0.020000,1.718089,5.529055,0.003332,0.050192,0.232978,0.564308,6.282018
0.020000,1.719190,5.529054,0.004433,0.055077,0.244248,0.563467,6.281550
0.020000,1.720394,5.529051,0.005637,0.060197,0.256028,0.589031,6.281039
0.020000,1.721705,5.529048,0.006949,0.065573,0.268784,0.637794,6.280482
0.020000,1.723128,5.529044,0.008372,0.071136,0.278157,0.468637,6.279877
0.020000,1.724664,5.529038,0.009908,0.076809,0.283662,0.275247,6.279225
0.020000,1.726315,5.529031,0.011558,0.082534,0.286215,0.127680,6.278523
0.020000,1.728079,5.529022,0.013323,0.088213,0.283941,-0.113741,6.277774
0.020000,1.729957,5.529011,0.015200,0.093888,0.283759,-0.009080,6.276975
0.020000,1.731949,5.528998,0.017193,0.099614,0.286336,0.128834,6.276129
0.020000,1.734055,5.528982,0.019298,0.105273,0.282946,-0.169490,6.275234
0.020000,1.736274,5.528964,0.021518,0.110997,0.286176,0.161490,6.274290
0.020000,1.738608,5.528942,0.023851,0.116665,0.283388,-0.139398,6.273298
0.020000,1.741055,5.528916,0.026299,0.122381,0.285797,0.120463,6.272257
0.020000,1.743616,5.528887,0.028860,0.128049,0.283399,-0.119872,6.271168
0.020000,1.746291,5.528853,0.031535,0.133773,0.286236,0.141834,6.270030
0.020000,1.749080,5.528815,0.034324,0.139435,0.283069,-0.158380,6.268843
0.020000,1.751983,5.528771,0.037227,0.145160,0.286286,0.160858,6.267608
0.020000,1.754999,5.528722,0.040244,0.150840,0.283995,-0.114543,6.266325
0.020000,1.758129,5.528668,0.043375,0.156519,0.283957,-0.001874,6.264992
0.020000,1.761373,5.528606,0.046620,0.162248,0.286430,0.123624,6.263611
0.020000,1.764731,5.528538,0.049978,0.167926,0.283887,-0.127127,6.262182
0.020000,1.768202,5.528463,0.053450,0.173608,0.284095,0.010403,6.260703
0.020000,1.771788,5.528379,0.057037,0.179321,0.285649,0.077657,6.259176
0.020000,1.775487,5.528288,0.060737,0.185020,0.284972,-0.033833,6.257601
0.020000,1.779300,5.528187,0.064551,0.190707,0.284354,-0.030911,6.255977
0.020000,1.783226,5.528077,0.068479,0.196397,0.284481,0.006375,6.254304
0.020000,1.787266,5.527957,0.072521,0.202088,0.284588,0.005336,6.252582
0.020000,1.791420,5.527826,0.076677,0.207784,0.284785,0.009842,6.250812
0.020000,1.795687,5.527684,0.080946,0.213493,0.285444,0.032966,6.248993
0.020000,1.800066,5.527530,0.085328,0.219071,0.278876,-0.328402,6.247127
0.020000,1.804551,5.527364,0.089816,0.224421,0.267521,-0.567735,6.245215
0.020000,1.809139,5.527185,0.094407,0.229544,0.256147,-0.568737,6.243259
0.020000,1.813824,5.526993,0.099096,0.234439,0.244754,-0.569624,6.241261
0.020000,1.818601,5.526788,0.103878,0.239106,0.233346,-0.570400,6.239224
0.020000,1.823467,5.526569,0.108749,0.243544,0.221925,-0.571071,6.237149
0.020000,1.828417,5.526335,0.113704,0.247754,0.210492,-0.571642,6.235039
0.020000,1.833446,5.526088,0.118739,0.251735,0.199049,-0.572118,6.232894
0.020000,1.838549,5.525825,0.123848,0.255487,0.187599,-0.572504,6.230718
0.020000,1.843722,5.525548,0.129029,0.259024,0.176853,-0.537322,6.228512
0.020000,1.848960,5.525255,0.134275,0.262322,0.164867,-0.599284,6.226278
0.020000,1.854259,5.524948,0.139583,0.265388,0.153310,-0.577863,6.224018
0.020000,1.859613,5.524624,0.144948,0.268225,0.141835,-0.573738,6.221735
0.020000,1.865019,5.524285,0.150364,0.270832,0.130360,-0.573738,6.219430
0.020000,1.870472,5.523931,0.155828,0.273210,0.118887,-0.573677,6.217105
0.020000,1.875967,5.523561,0.161336,0.275358,0.107416,-0.573561,6.214763
0.020000,1.881499,5.523175,0.166882,0.277302,0.097201,-0.510719,6.212405
0.020000,1.887065,5.522774,0.172462,0.278994,0.084615,-0.629300,6.210033
0.020000,1.892659,5.522357,0.178071,0.280455,0.073052,-0.578148,6.207649
0.020000,1.898276,5.521925,0.183704,0.281687,0.061592,-0.573038,6.205256
0.020000,1.903912,5.521478,0.189358,0.282690,0.050138,-0.572701,6.202855
0.020000,1.909563,5.521017,0.195028,0.283492,0.040136,-0.500088,6.200449
0.020000,1.915224,5.520540,0.200709,0.284038,0.027297,-0.641934,6.198039
0.020000,1.920889,5.520050,0.206396,0.284355,0.015810,-0.574372,6.195627
0.020000,1.926556,5.519546,0.212085,0.284442,0.004381,-0.571450,6.193216
0.020000,1.932221,5.519028,0.217773,0.284429,-0.000654,-0.251721,6.190806
0.020000,1.937884,5.518496,0.223462,0.284417,-0.000630,0.001187,6.188398
0.020000,1.943546,5.517951,0.229149,0.284387,-0.001462,-0.041600,6.185991
0.020000,1.949206,5.517392,0.234837,0.284357,-0.001505,-0.002169,6.183586
0.020000,1.954863,5.516820,0.240523,0.284329,-0.001432,0.003646,6.181183
0.020000,1.960519,5.516234,0.246210,0.284323,-0.000283,0.057480,6.178781
0.020000,1.966174,5.515635,0.251895,0.284290,-0.001657,-0.068707,6.176381
0.020000,1.971826,5.515022,0.257580,0.284256,-0.001700,-0.002140,6.173983
0.020000,1.977475,5.514396,0.263265,0.284221,-0.001742,-0.002132,6.171588
0.020000,1.983123,5.513756,0.268949,0.284206,-0.000740,0.050123,6.169194
0.020000,1.988769,5.513103,0.274633,0.284176,-0.001513,-0.038640,6.166802
0.020000,1.994413,5.512436,0.280315,0.284138,-0.001892,-0.018959,6.164413
0.020000,2.000054,5.511756,0.285997,0.284099,-0.001934,-0.002098,6.162026
0.020000,2.005693,5.511063,0.291679,0.284073,-0.001315,0.030957,6.159641
0.020000,2.011330,5.510356,0.297360,0.284046,-0.001364,-0.002471,6.157258
0.020000,2.016964,5.509636,0.303040,0.284004,-0.002081,-0.035864,6.154878
0.020000,2.022596,5.508902,0.308719,0.283962,-0.002123,-0.002059,6.152501
0.020000,2.028225,5.508156,0.314397,0.283926,-0.001789,0.016695,6.150126
0.020000,2.033852,5.507396,0.320075,0.283900,-0.001312,0.023811,6.147754
0.020000,2.039476,5.506623,0.325753,0.283854,-0.002268,-0.047770,6.145384
0.020000,2.045097,5.505836,0.331429,0.283808,-0.002308,-0.002017,6.143018
0.020000,2.050716,5.505037,0.337104,0.283765,-0.002175,0.006673,6.140654
0.020000,2.056332,5.504224,0.342779,0.283738,-0.001344,0.041547,6.138293
0.020000,2.061946,5.503398,0.348453,0.283689,-0.002451,-0.055354,6.135936
0.020000,2.067556,5.502559,0.354125,0.283639,-0.002490,-0.001971,6.133581
0.020000,2.073163,5.501707,0.359797,0.283589,-0.002485,0.000271,6.131229
0.020000,2.078768,5.500842,0.365468,0.283560,-0.001445,0.051984,6.128881
0.020000,2.084370,5.499964,0.371138,0.283508,-0.002630,-0.059247,6.126536
0.020000,2.089969,5.499073,0.376808,0.283454,-0.002669,-0.001921,6.124194
0.020000,2.095564,5.498169,0.382476,0.283400,-0.002707,-0.001909,6.121856
0.020000,2.101157,5.497252,0.388143,0.283367,-0.001652,0.052761,6.119521
0.020000,2.106746,5.496323,0.393809,0.283312,-0.002782,-0.056516,6.117190
0.020000,2.112332,5.495380,0.399474,0.283255,-0.002843,-0.003042,6.114862
0.020000,2.117915,5.494425,0.405138,0.283197,-0.002880,-0.001856,6.112538
0.020000,2.123495,5.493457,0.410801,0.283159,-0.001893,0.049322,6.110218
0.020000,2.129071,5.492476,0.416463,0.283101,-0.002935,-0.052076,6.107901
0.020000,2.134644,5.491482,0.422124,0.283040,-0.003012,-0.003874,6.105588
0.020000,2.140214,5.490476,0.427784,0.282979,-0.003048,-0.001800,6.103280
0.020000,2.145780,5.489457,0.433443,0.282938,-0.002091,0.047885,6.100975
0.020000,2.151343,5.488425,0.439100,0.282875,-0.003124,-0.051662,6.098674
0.020000,2.156902,5.487381,0.444756,0.282812,-0.003177,-0.002671,6.096377
0.020000,2.162457,5.486324,0.450411,0.282748,-0.003176,0.000077,6.094085
0.020000,2.168009,5.485255,0.456065,0.282702,-0.002324,0.042564,6.091796
0.020000,2.173557,5.484174,0.461718,0.282635,-0.003303,-0.048947,6.089512
0.020000,2.179102,5.483080,0.467369,0.282569,-0.003337,-0.001694,6.087232
0.020000,2.184642,5.481973,0.473019,0.282504,-0.003256,0.004064,6.084957
0.020000,2.190180,5.480855,0.478668,0.282451,-0.002614,0.032103,6.082686
0.020000,2.195713,5.479723,0.484316,0.282382,-0.003459,-0.042276,6.080420
