dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715339,5.243307,0.000002,0.000200,0.010000,0.500000,0.002032
0.020000,1.715339,5.243307,0.000010,0.000600,0.020000,0.500000,0.002028
0.020000,1.715339,5.243307,0.000028,0.001200,0.030000,0.500000,0.002020
0.020000,1.715339,5.243307,0.000060,0.002000,0.040000,0.500000,0.002004
0.020000,1.715339,5.243307,0.000110,0.003000,0.050000,0.500000,0.001980
0.020000,1.715339,5.243307,0.000182,0.004200,0.060000,0.500000,0.001945
0.020000,1.715339,5.243307,0.000280,0.005600,0.070000,0.500000,0.001898
0.020000,1.715339,5.243307,0.000408,0.007200,0.080000,0.500000,0.001836
0.020000,1.715339,5.243307,0.000570,0.009000,0.090000,0.500000,0.001758
0.020000,1.715339,5.243307,0.000770,0.011000,0.100000,0.500000,0.001661
0.020000,1.715339,5.243307,0.001012,0.013200,0.110000,0.500000,0.001544
0.020000,1.715339,5.243307,0.001300,0.015600,0.120000,0.500000,0.001405
0.020000,1.715339,5.243307,0.001638,0.018200,0.130000,0.500000,0.001242
0.020000,1.715339,5.243307,0.002030,0.021000,0.140000,0.500000,0.001052
0.020000,1.715339,5.243307,0.002480,0.024000,0.150000,0.500000,0.000835
0.020000,1.715339,5.243307,0.002992,0.027200,0.160000,0.500000,0.000587
0.020000,1.715339,5.243307,0.003570,0.030600,0.170000,0.500000,0.000308
0.020000,1.715351,5.243307,0.004218,0.034200,0.180000,0.500000,6.283180
0.020000,1.716073,5.243307,0.004940,0.038000,0.190000,0.500000,6.282831
0.020000,1.716873,5.243306,0.005740,0.042000,0.200000,0.500000,6.282444
0.020000,1.717755,5.243305,0.006622,0.046200,0.210000,0.500000,6.282018
0.020000,1.718723,5.243304,0.007590,0.050600,0.220000,0.500000,6.281550
0.020000,1.719781,5.243302,0.008648,0.055200,0.230000,0.500000,6.281039
0.020000,1.720933,5.243299,0.009800,0.060000,0.240000,0.500000,6.280482
0.020000,1.722183,5.243295,0.011050,0.065000,0.250000,0.500000,6.279877
0.020000,1.723533,5.243290,0.012400,0.070000,0.250000,0.000000,6.279225
0.020000,1.724983,5.243284,0.013850,0.075000,0.250000,-0.000000,6.278523
0.020000,1.726533,5.243276,0.015400,0.080000,0.250000,0.000000,6.277774
0.020000,1.728183,5.243267,0.017050,0.085000,0.250000,0.000000,6.276975
0.020000,1.729933,5.243255,0.018800,0.090000,0.250000,-0.000000,6.276129
0.020000,1.731782,5.243241,0.020650,0.095000,0.250000,0.000000,6.275234
0.020000,1.733733,5.243225,0.022600,0.100000,0.250000,0.000000,6.274290
0.020000,1.735782,5.243206,0.024650,0.105000,0.250000,-0.000000,6.273298
0.020000,1.737932,5.243183,0.026800,0.110000,0.250000,0.000000,6.272257
