dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715920,4.957557,0.000002,0.000200,0.010000,0.500000,0.002032
0.020000,1.715919,4.957557,0.000003,0.000055,-0.007237,-0.861858,0.002028
0.020000,1.715917,4.957557,0.000006,0.000124,0.003454,0.534535,0.002020
0.020000,1.715912,4.957557,0.000010,0.000221,0.004835,0.069070,0.002004
0.020000,1.715905,4.957557,0.000017,0.000345,0.006216,0.069068,0.001980
0.020000,1.715895,4.957557,0.000027,0.000497,0.007598,0.069065,0.001945
0.020000,1.715882,4.957557,0.000040,0.000677,0.008979,0.069061,0.001898
0.020000,1.715864,4.957557,0.000058,0.000884,0.010360,0.069056,0.001836
0.020000,1.715842,4.957557,0.000080,0.001119,0.011741,0.069048,0.001758
0.020000,1.715814,4.957557,0.000108,0.001381,0.013122,0.069039,0.001661
0.020000,1.715781,4.957557,0.000142,0.001671,0.014502,0.069027,0.001544
0.020000,1.715741,4.957557,0.000181,0.001989,0.015882,0.069012,0.001405
0.020000,1.715694,4.957557,0.000228,0.002334,0.017262,0.068994,0.001242
0.020000,1.715640,4.957557,0.000282,0.002707,0.018642,0.068973,0.001052
0.020000,1.715578,4.957557,0.000344,0.003108,0.020021,0.068948,0.000835
0.020000,1.715507,4.957557,0.000415,0.003536,0.021399,0.068919,0.000587
0.020000,1.715427,4.957557,0.000495,0.003991,0.022777,0.068886,0.000308
0.020000,1.715349,4.957557,0.000573,0.003914,-0.003837,-1.330671,6.283180
0.020000,1.715972,4.957557,0.001196,0.031125,1.360537,68.218694,6.282831
0.020000,1.716661,4.957556,0.001885,0.034482,0.167861,-59.633830,6.282444
0.020000,1.717421,4.957555,0.002645,0.038010,0.176398,0.426854,6.282018
0.020000,1.718256,4.957554,0.003480,0.041709,0.184921,0.426139,6.281550
0.020000,1.719167,4.957553,0.004391,0.045585,0.193829,0.445413,6.281039
0.020000,1.720160,4.957550,0.005384,0.049655,0.203474,0.482248,6.280482
0.020000,1.721238,4.957547,0.006462,0.053866,0.210555,0.354062,6.279877
0.020000,1.722401,4.957543,0.007625,0.058160,0.214706,0.207543,6.279225
0.020000,1.723651,4.957537,0.008875,0.062492,0.216621,0.095743,6.278523
0.020000,1.724986,4.957531,0.010211,0.066790,0.214879,-0.087094,6.277774
0.020000,1.726408,4.957522,0.011632,0.071084,0.214721,-0.007871,6.276975
0.020000,1.727916,4.957512,0.013141,0.075417,0.216652,0.096521,6.276129
0.020000,1.729510,4.957500,0.014735,0.079699,0.214065,-0.129353,6.275234
0.020000,1.731191,4.957486,0.016415,0.084028,0.216489,0.121221,6.274290
0.020000,1.732957,4.957470,0.018181,0.088316,0.214358,-0.106562,6.273298
0.020000,1.734810,4.957450,0.020034,0.092639,0.216161,0.090173,6.272257
0.020000,1.736748,4.957428,0.021973,0.096925,0.214327,-0.091732,6.271168
0.020000,1.738773,4.957403,0.023998,0.101254,0.216455,0.106402,6.270030
0.020000,1.740884,4.957374,0.026109,0.105535,0.214039,-0.120789,6.268843
0.020000,1.743081,4.957341,0.028306,0.109864,0.216457,0.120900,6.267608
0.020000,1.745363,4.957304,0.030589,0.114159,0.214708,-0.087472,6.266325
0.020000,1.747732,4.957262,0.032958,0.118452,0.214665,-0.002108,6.264992
0.020000,1.750187,4.957216,0.035414,0.122782,0.216525,0.092961,6.263611
0.020000,1.752728,4.957164,0.037955,0.127074,0.214591,-0.096687,6.262182
0.020000,1.755355,4.957107,0.040583,0.131369,0.214741,0.007521,6.260703
0.020000,1.758068,4.957044,0.043296,0.135687,0.215912,0.058552,6.259176
0.020000,1.760867,4.956975,0.046096,0.139995,0.215399,-0.025654,6.257601
0.020000,1.763752,4.956898,0.048982,0.144294,0.214934,-0.023264,6.255977
0.020000,1.766723,4.956815,0.051954,0.148595,0.215037,0.005142,6.254304
0.020000,1.769779,4.956724,0.055012,0.152897,0.215128,0.004565,6.252582
0.020000,1.772922,4.956625,0.058156,0.157203,0.215292,0.008203,6.250812
0.020000,1.776150,4.956518,0.061386,0.161519,0.215811,0.025944,6.248993
0.020000,1.779463,4.956401,0.064701,0.165737,0.210868,-0.247180,6.247127
0.020000,1.782856,4.956276,0.068097,0.169783,0.202309,-0.427948,6.245215
0.020000,1.786327,4.956140,0.071570,0.173658,0.193741,-0.428400,6.243259
0.020000,1.789871,4.955995,0.075117,0.177361,0.185165,-0.428768,6.241261
0.020000,1.793486,4.955840,0.078735,0.180893,0.176584,-0.429057,6.239224
0.020000,1.797167,4.955674,0.082420,0.184253,0.167999,-0.429275,6.237149
0.020000,1.800912,4.955498,0.086169,0.187441,0.159410,-0.429427,6.235039
0.020000,1.804716,4.955310,0.089978,0.190457,0.150820,-0.429520,6.232894
0.020000,1.808577,4.955112,0.093844,0.193302,0.142228,-0.429561,6.230718
0.020000,1.812491,4.954902,0.097764,0.195985,0.134174,-0.402707,6.228512
0.020000,1.816455,4.954681,0.101734,0.198489,0.125187,-0.449374,6.226278
0.020000,1.820464,4.954448,0.105750,0.200820,0.116527,-0.432976,6.224018
0.020000,1.824517,4.954203,0.109809,0.202978,0.107934,-0.429688,6.221735
0.020000,1.828608,4.953946,0.113909,0.204965,0.099343,-0.429548,6.219430
0.020000,1.832735,4.953678,0.118044,0.206780,0.090755,-0.429389,6.217105
0.020000,1.836894,4.953398,0.122213,0.208424,0.082170,-0.429219,6.214763
0.020000,1.841082,4.953106,0.126411,0.209914,0.074539,-0.381594,6.212405
0.020000,1.845295,4.952802,0.130635,0.211217,0.065112,-0.471334,6.210033
0.020000,1.849531,4.952487,0.134882,0.212346,0.056459,-0.432634,6.207649
0.020000,1.853784,4.952160,0.139148,0.213303,0.047883,-0.428815,6.205256
0.020000,1.858053,4.951821,0.143430,0.214090,0.039310,-0.428645,6.202855
0.020000,1.862333,4.951472,0.147725,0.214726,0.031835,-0.373763,6.200449
0.020000,1.866621,4.951111,0.152028,0.215170,0.022208,-0.481349,6.198039
0.020000,1.870914,4.950739,0.156337,0.215442,0.013600,-0.430380,6.195627
0.020000,1.875208,4.950357,0.160648,0.215543,0.005032,-0.428397,6.193216
0.020000,1.879501,4.949964,0.164959,0.215569,0.001306,-0.186318,6.190806
0.020000,1.883794,4.949562,0.169271,0.215597,0.001412,0.005284,6.188398
0.020000,1.888087,4.949148,0.173583,0.215615,0.000868,-0.027159,6.185991
0.020000,1.892379,4.948725,0.177896,0.215633,0.000923,0.002720,6.183586
0.020000,1.896670,4.948291,0.182209,0.215655,0.001065,0.007127,6.181183
0.020000,1.900961,4.947846,0.186523,0.215695,0.002025,0.047969,6.178781
0.020000,1.905251,4.947391,0.190837,0.215716,0.001070,-0.047757,6.176381
