dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.714970,5.529056,0.000002,0.000200,0.010000,0.500000,0.001292
0.020000,1.714971,5.529056,0.000003,0.000038,-0.008091,-0.904546,0.001290
0.020000,1.714973,5.529056,0.000004,0.000086,0.002386,0.523862,0.001284
0.020000,1.714976,5.529056,0.000008,0.000153,0.003341,0.047724,0.001273
0.020000,1.714980,5.529056,0.000012,0.000239,0.004295,0.047719,0.001256
0.020000,1.714987,5.529056,0.000019,0.000344,0.005249,0.047712,0.001232
0.020000,1.714997,5.529056,0.000029,0.000468,0.006203,0.047701,0.001200
0.020000,1.715009,5.529057,0.000041,0.000611,0.007157,0.047687,0.001157
0.020000,1.715024,5.529057,0.000056,0.000773,0.008111,0.047667,0.001103
0.020000,1.715043,5.529057,0.000075,0.000954,0.009063,0.047642,0.001036
0.020000,1.715066,5.529057,0.000098,0.001155,0.010016,0.047610,0.000955
0.020000,1.715094,5.529057,0.000126,0.001374,0.010967,0.047572,0.000859
0.020000,1.715126,5.529057,0.000158,0.001612,0.011918,0.047526,0.000746
0.020000,1.715164,5.529057,0.000196,0.001870,0.012867,0.047471,0.000615
0.020000,1.715206,5.529057,0.000238,0.002146,0.013815,0.047408,0.000465
0.020000,1.715255,5.529057,0.000287,0.002441,0.014762,0.047334,0.000294
0.020000,1.715310,5.529057,0.000342,0.002755,0.015707,0.047250,0.000101
0.020000,1.715716,5.529057,0.000748,0.020295,0.876975,43.063430,6.283071
0.020000,1.716507,5.529056,0.001539,0.039544,0.962457,4.274100,6.282830
0.020000,1.717383,5.529056,0.002415,0.043813,0.213435,-37.451101,6.282563
0.020000,1.718349,5.529055,0.003381,0.048299,0.224336,0.545016,6.282269
0.020000,1.719409,5.529054,0.004441,0.053004,0.235227,0.544558,6.281946
0.020000,1.720568,5.529053,0.005600,0.057940,0.246824,0.579863,6.281594
0.020000,1.721830,5.529050,0.006862,0.063084,0.257178,0.517677,6.281210
0.020000,1.723199,5.529047,0.008231,0.068442,0.267914,0.536811,6.280794
0.020000,1.724677,5.529043,0.009709,0.073920,0.273904,0.299497,6.280345
0.020000,1.726265,5.529039,0.011297,0.079394,0.273706,-0.009905,6.279862
0.020000,1.727962,5.529032,0.012994,0.084857,0.273138,-0.028385,6.279347
0.020000,1.729769,5.529025,0.014801,0.090342,0.274233,0.054754,6.278799
0.020000,1.731685,5.529016,0.016717,0.095802,0.273027,-0.060307,6.278217
0.020000,1.733711,5.529005,0.018743,0.101279,0.273816,0.039472,6.277603
0.020000,1.735845,5.528993,0.020878,0.106742,0.273178,-0.031919,6.276956
0.020000,1.738090,5.528978,0.023122,0.112216,0.273681,0.025139,6.276276
0.020000,1.740443,5.528961,0.025475,0.117676,0.272983,-0.034893,6.275564
0.020000,1.742906,5.528941,0.027938,0.123152,0.273820,0.041837,6.274818
0.020000,1.745478,5.528919,0.030511,0.128608,0.272781,-0.051958,6.274041
0.020000,1.748160,5.528893,0.033192,0.134079,0.273564,0.039193,6.273230
0.020000,1.750950,5.528864,0.035983,0.139541,0.273100,-0.023236,6.272388
0.020000,1.753850,5.528832,0.038883,0.144997,0.272794,-0.015271,6.271513
0.020000,1.756859,5.528795,0.041892,0.150464,0.273372,0.028868,6.270605
0.020000,1.759977,5.528754,0.045011,0.155924,0.272992,-0.018958,6.269666
0.020000,1.763205,5.528709,0.048238,0.161378,0.272722,-0.013506,6.268695
0.020000,1.766541,5.528659,0.051575,0.166833,0.272708,-0.000726,6.267691
0.020000,1.769986,5.528604,0.055021,0.172291,0.272931,0.011164,6.266656
0.020000,1.773541,5.528543,0.058576,0.177748,0.272836,-0.004736,6.265589
0.020000,1.777204,5.528477,0.062240,0.183198,0.272524,-0.015595,6.264490
0.020000,1.780976,5.528404,0.066013,0.188648,0.272472,-0.002645,6.263360
0.020000,1.784857,5.528325,0.069895,0.194096,0.272409,-0.003132,6.262198
0.020000,1.788847,5.528239,0.073885,0.199543,0.272337,-0.003612,6.261006
0.020000,1.792946,5.528145,0.077985,0.204988,0.272255,-0.004085,6.259782
0.020000,1.797151,5.528044,0.082192,0.210322,0.266698,-0.277833,6.258527
0.020000,1.801459,5.527935,0.086500,0.215435,0.255670,-0.551407,6.257244
0.020000,1.805864,5.527818,0.090907,0.220328,0.244639,-0.551554,6.255933
0.020000,1.810362,5.527693,0.095407,0.225000,0.233606,-0.551643,6.254596
0.020000,1.814949,5.527558,0.099996,0.229452,0.222573,-0.551677,6.253235
0.020000,1.819620,5.527415,0.104670,0.233682,0.211540,-0.551659,6.251850
0.020000,1.824372,5.527263,0.109423,0.237693,0.200508,-0.551592,6.250444
0.020000,1.829199,5.527101,0.114253,0.241482,0.189478,-0.551479,6.249017
0.020000,1.834097,5.526930,0.119154,0.245058,0.178803,-0.533732,6.247571
0.020000,1.839062,5.526750,0.124122,0.248409,0.167522,-0.564083,6.246108
0.020000,1.844089,5.526560,0.129153,0.251537,0.156441,-0.554055,6.244629
0.020000,1.849174,5.526360,0.134242,0.254446,0.145425,-0.550792,6.243134
0.020000,1.854312,5.526150,0.139385,0.257134,0.134415,-0.550486,6.241627
0.020000,1.859500,5.525930,0.144577,0.259612,0.123888,-0.526370,6.240107
0.020000,1.864732,5.525701,0.149814,0.261862,0.112515,-0.568637,6.238577
0.020000,1.870005,5.525461,0.155092,0.263891,0.101441,-0.553687,6.237038
0.020000,1.875313,5.525212,0.160406,0.265700,0.090458,-0.549140,6.235491
0.020000,1.880652,5.524953,0.165752,0.267302,0.080068,-0.519526,6.233937
0.020000,1.886019,5.524684,0.171126,0.268673,0.068559,-0.575427,6.232379
0.020000,1.891408,5.524406,0.176522,0.269824,0.057565,-0.549736,6.230816
0.020000,1.896816,5.524118,0.181937,0.270762,0.046903,-0.533091,6.229251
0.020000,1.902238,5.523821,0.187367,0.271483,0.036025,-0.543893,6.227684
0.020000,1.907669,5.523515,0.192806,0.271978,0.024741,-0.564195,6.226118
0.020000,1.913105,5.523200,0.198252,0.272256,0.013906,-0.541778,6.224553
0.020000,1.918541,5.522877,0.203698,0.272325,0.003448,-0.522897,6.222991
0.020000,1.923977,5.522545,0.209144,0.272273,-0.002561,-0.300424,6.221432
0.020000,1.929411,5.522205,0.214588,0.272222,-0.002571,-0.000487,6.219876
0.020000,1.934843,5.521856,0.220032,0.272181,-0.002055,0.025787,6.218324
0.020000,1.940274,5.521499,0.225474,0.272130,-0.002521,-0.023321,6.216775
0.020000,1.945703,5.521134,0.230916,0.272078,-0.002611,-0.004466,6.215230
0.020000,1.951131,5.520760,0.236356,0.272033,-0.002262,0.017411,6.213688
0.020000,1.956557,5.520378,0.241796,0.271985,-0.002413,-0.007523,6.212149
0.020000,1.961982,5.519988,0.247235,0.271932,-0.002649,-0.011834,6.210614
0.020000,1.967405,5.519590,0.252672,0.271883,-0.002452,0.009893,6.209082
0.020000,1.972826,5.519183,0.258109,0.271836,-0.002320,0.006566,6.207554
0.020000,1.978246,5.518768,0.263545,0.271783,-0.002687,-0.018350,6.206029
0.020000,1.983664,5.518345,0.268979,0.271730,-0.002624,0.003176,6.204508
0.020000,1.989081,5.517914,0.274413,0.271685,-0.002243,0.019060,6.202991
0.020000,1.994496,5.517475,0.279846,0.271631,-0.002724,-0.024073,6.201477
0.020000,1.999909,5.517027,0.285277,0.271576,-0.002732,-0.000420,6.199966
0.020000,2.005320,5.516572,0.290708,0.271531,-0.002273,0.022949,6.198459
0.020000,2.010730,5.516108,0.296137,0.271476,-0.002712,-0.021938,6.196956
0.020000,2.016138,5.515637,0.301566,0.271421,-0.002768,-0.002778,6.195457
0.020000,2.021544,5.515157,0.306993,0.271372,-0.002434,0.016707,6.193961
0.020000,2.026949,5.514670,0.312420,0.271320,-0.002641,-0.010369,6.192469
0.020000,2.032351,5.514174,0.317845,0.271264,-0.002802,-0.008052,6.190981
0.020000,2.037752,5.513671,0.323269,0.271212,-0.002580,0.011123,6.189496
0.020000,2.043151,5.513159,0.328692,0.271160,-0.002582,-0.000102,6.188015
0.020000,2.048548,5.512640,0.334114,0.271104,-0.002835,-0.012679,6.186538
0.020000,2.053943,5.512113,0.339535,0.271049,-0.002712,0.006149,6.185064
0.020000,2.059337,5.511578,0.344955,0.270999,-0.002533,0.008952,6.183595
0.020000,2.064729,5.511035,0.350374,0.270941,-0.002867,-0.016706,6.182129
0.020000,2.070118,5.510485,0.355792,0.270885,-0.002832,0.001744,6.180667
0.020000,2.075506,5.509927,0.361209,0.270835,-0.002495,0.016881,6.179209
0.020000,2.080892,5.509361,0.366624,0.270777,-0.002898,-0.020177,6.177755
0.020000,2.086276,5.508787,0.372038,0.270719,-0.002905,-0.000341,6.176305
0.020000,2.091658,5.508206,0.377452,0.270668,-0.002537,0.018389,6.174858
0.020000,2.097038,5.507617,0.382864,0.270610,-0.002892,-0.017754,6.173416
0.020000,2.102416,5.507020,0.388275,0.270551,-0.002935,-0.002119,6.171977
0.020000,2.107792,5.506416,0.393685,0.270498,-0.002653,0.014099,6.170542
0.020000,2.113166,5.505804,0.399094,0.270441,-0.002853,-0.010023,6.169112
0.020000,2.118538,5.505185,0.404502,0.270382,-0.002964,-0.005508,6.167685
0.020000,2.123908,5.504558,0.409908,0.270327,-0.002758,0.010276,6.166262
