dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715339,5.243307,0.000002,0.000200,0.010000,0.500000,0.001292
0.020000,1.715339,5.243307,0.000010,0.000600,0.020000,0.500000,0.001290
0.020000,1.715339,5.243307,0.000028,0.001200,0.030000,0.500000,0.001284
0.020000,1.715339,5.243307,0.000060,0.002000,0.040000,0.500000,0.001273
0.020000,1.715339,5.243307,0.000110,0.003000,0.050000,0.500000,0.001256
0.020000,1.715339,5.243307,0.000182,0.004200,0.060000,0.500000,0.001232
0.020000,1.715339,5.243307,0.000280,0.005600,0.070000,0.500000,0.001200
0.020000,1.715339,5.243307,0.000408,0.007200,0.080000,0.500000,0.001157
0.020000,1.715339,5.243307,0.000570,0.009000,0.090000,0.500000,0.001103
0.020000,1.715339,5.243307,0.000770,0.011000,0.100000,0.500000,0.001036
0.020000,1.715339,5.243307,0.001012,0.013200,0.110000,0.500000,0.000955
0.020000,1.715339,5.243307,0.001300,0.015600,0.120000,0.500000,0.000859
0.020000,1.715339,5.243307,0.001638,0.018200,0.130000,0.500000,0.000746
0.020000,1.715339,5.243307,0.002030,0.021000,0.140000,0.500000,0.000615
0.020000,1.715339,5.243307,0.002480,0.024000,0.150000,0.500000,0.000465
0.020000,1.715339,5.243307,0.002992,0.027200,0.160000,0.500000,0.000294
0.020000,1.715339,5.243307,0.003570,0.030600,0.170000,0.500000,0.000101
0.020000,1.715683,5.243307,0.004218,0.034200,0.180000,0.500000,6.283071
0.020000,1.716406,5.243307,0.004940,0.038000,0.190000,0.500000,6.282830
0.020000,1.717206,5.243306,0.005740,0.042000,0.200000,0.500000,6.282563
0.020000,1.718088,5.243305,0.006622,0.046200,0.210000,0.500000,6.282269
0.020000,1.719055,5.243304,0.007590,0.050600,0.220000,0.500000,6.281946
0.020000,1.720114,5.243303,0.008648,0.055200,0.230000,0.500000,6.281594
0.020000,1.721266,5.243301,0.009800,0.060000,0.240000,0.500000,6.281210
0.020000,1.722515,5.243298,0.011050,0.065000,0.250000,0.500000,6.280794
0.020000,1.723866,5.243295,0.012400,0.070000,0.250000,0.000000,6.280345
0.020000,1.725316,5.243290,0.013850,0.075000,0.250000,-0.000000,6.279862
0.020000,1.726865,5.243285,0.015400,0.080000,0.250000,0.000000,6.279347
0.020000,1.728516,5.243278,0.017050,0.085000,0.250000,0.000000,6.278799
0.020000,1.730265,5.243270,0.018800,0.090000,0.250000,-0.000000,6.278217
0.020000,1.732115,5.243260,0.020650,0.095000,0.250000,0.000000,6.277603
0.020000,1.734065,5.243248,0.022600,0.100000,0.250000,0.000000,6.276956
0.020000,1.736115,5.243235,0.024650,0.105000,0.250000,-0.000000,6.276276
0.020000,1.738265,5.243219,0.026800,0.110000,0.250000,0.000000,6.275564
0.020000,1.740515,5.243201,0.029050,0.115000,0.250000,0.000000,6.274818
0.020000,1.742865,5.243181,0.031400,0.120000,0.250000,-0.000000,6.274041
0.020000,1.745315,5.243157,0.033850,0.125000,0.250000,0.000000,6.273230
0.020000,1.747865,5.243131,0.036400,0.130000,0.250000,0.000000,6.272388
0.020000,1.750515,5.243101,0.039050,0.135000,0.250000,0.000000,6.271513
0.020000,1.753265,5.243068,0.041800,0.140000,0.250000,0.000000,6.270605
0.020000,1.756114,5.243031,0.044650,0.145000,0.250000,-0.000000,6.269666
0.020000,1.759064,5.242989,0.047600,0.150000,0.250000,0.000000,6.268695
0.020000,1.762114,5.242943,0.050650,0.155000,0.250000,0.000000,6.267691
0.020000,1.765263,5.242893,0.053800,0.160000,0.250000,0.000000,6.266656
0.020000,1.768513,5.242838,0.057050,0.165000,0.250000,0.000000,6.265589
0.020000,1.771862,5.242777,0.060400,0.170000,0.250000,0.000000,6.264490
0.020000,1.775312,5.242710,0.063850,0.175000,0.250000,-0.000000,6.263360
0.020000,1.778861,5.242638,0.067400,0.180000,0.250000,0.000000,6.262198
0.020000,1.782510,5.242559,0.071050,0.185000,0.250000,0.000000,6.261006
0.020000,1.786259,5.242474,0.074800,0.190000,0.250000,0.000000,6.259782
0.020000,1.790106,5.242381,0.078648,0.194800,0.240000,-0.500000,6.258527
0.020000,1.794047,5.242281,0.082590,0.199400,0.230000,-0.500000,6.257244
0.020000,1.798077,5.242174,0.086622,0.203800,0.220000,-0.500000,6.255933
0.020000,1.802194,5.242059,0.090740,0.208000,0.210000,-0.500000,6.254596
0.020000,1.806392,5.241936,0.094940,0.212000,0.200000,-0.500000,6.253235
0.020000,1.810668,5.241805,0.099218,0.215800,0.190000,-0.500000,6.251850
0.020000,1.815018,5.241666,0.103570,0.219400,0.180000,-0.500000,6.250444
0.020000,1.819437,5.241518,0.107992,0.222800,0.170000,-0.500000,6.249017
0.020000,1.823922,5.241361,0.112480,0.226000,0.160000,-0.500000,6.247571
0.020000,1.828469,5.241196,0.117030,0.229000,0.150000,-0.500000,6.246108
0.020000,1.833074,5.241022,0.121638,0.231800,0.140000,-0.500000,6.244629
0.020000,1.837732,5.240839,0.126300,0.234400,0.130000,-0.500000,6.243134
0.020000,1.842440,5.240646,0.131012,0.236800,0.120000,-0.500000,6.241627
0.020000,1.847194,5.240445,0.135770,0.239000,0.110000,-0.500000,6.240107
0.020000,1.851990,5.240235,0.140570,0.241000,0.100000,-0.500000,6.238577
0.020000,1.856823,5.240015,0.145408,0.242800,0.090000,-0.500000,6.237038
0.020000,1.861689,5.239787,0.150280,0.244400,0.080000,-0.500000,6.235491
0.020000,1.866586,5.239549,0.155182,0.245800,0.070000,-0.500000,6.233937
0.020000,1.871507,5.239303,0.160110,0.247000,0.060000,-0.500000,6.232379
0.020000,1.876451,5.239048,0.165060,0.248000,0.050000,-0.500000,6.230816
0.020000,1.881412,5.238784,0.170028,0.248800,0.040000,-0.500000,6.229251
0.020000,1.886386,5.238511,0.175010,0.249400,0.030000,-0.500000,6.227684
0.020000,1.891370,5.238230,0.180002,0.249800,0.020000,-0.500000,6.226118
0.020000,1.896360,5.237941,0.185000,0.250000,0.010000,-0.500000,6.224553
0.020000,1.901351,5.237645,0.190000,0.250000,0.000000,-0.500000,6.222991
0.020000,1.906342,5.237340,0.195000,0.250000,0.000000,0.000000,6.221432
0.020000,1.911332,5.237027,0.200000,0.250000,0.000000,0.000000,6.219876
0.020000,1.916322,5.236707,0.205000,0.250000,0.000000,0.000000,6.218324
0.020000,1.921311,5.236379,0.210000,0.250000,0.000000,0.000000,6.216775
