dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715709,4.957557,0.000002,0.000200,0.010000,0.500000,0.001292
0.020000,1.715708,4.957557,0.000003,0.000038,-0.008091,-0.904546,0.001290
0.020000,1.715706,4.957557,0.000004,0.000086,0.002386,0.523862,0.001284
0.020000,1.715703,4.957557,0.000008,0.000153,0.003341,0.047724,0.001273
0.020000,1.715698,4.957557,0.000012,0.000239,0.004295,0.047719,0.001256
0.020000,1.715692,4.957557,0.000019,0.000344,0.005249,0.047712,0.001232
0.020000,1.715682,4.957557,0.000029,0.000468,0.006203,0.047701,0.001200
0.020000,1.715670,4.957557,0.000041,0.000611,0.007157,0.047687,0.001157
0.020000,1.715654,4.957557,0.000056,0.000773,0.008111,0.047667,0.001103
0.020000,1.715635,4.957557,0.000075,0.000954,0.009063,0.047642,0.001036
0.020000,1.715612,4.957557,0.000098,0.001155,0.010016,0.047610,0.000955
0.020000,1.715585,4.957557,0.000126,0.001374,0.010967,0.047572,0.000859
0.020000,1.715553,4.957557,0.000158,0.001612,0.011918,0.047526,0.000746
0.020000,1.715515,4.957557,0.000196,0.001870,0.012867,0.047471,0.000615
0.020000,1.715472,4.957557,0.000238,0.002146,0.013815,0.047408,0.000465
0.020000,1.715423,4.957557,0.000287,0.002441,0.014762,0.047334,0.000294
0.020000,1.715368,4.957557,0.000342,0.002755,0.015707,0.047250,0.000101
0.020000,1.715651,4.957557,0.000625,0.014118,0.568120,27.620635,6.283071
0.020000,1.716304,4.957557,0.001278,0.032663,0.927249,17.956497,6.282830
0.020000,1.717028,4.957556,0.002002,0.036190,0.176371,-37.543913,6.282563
0.020000,1.717826,4.957556,0.002800,0.039898,0.185400,0.451417,6.282269
0.020000,1.718701,4.957555,0.003675,0.043787,0.194425,0.451255,6.281946
0.020000,1.719659,4.957553,0.004633,0.047867,0.204038,0.480664,6.281594
0.020000,1.720701,4.957551,0.005675,0.052120,0.212629,0.429556,6.281210
0.020000,1.721832,4.957549,0.006806,0.056551,0.221542,0.445651,6.280794
0.020000,1.723054,4.957546,0.008028,0.061082,0.226539,0.249863,6.280345
0.020000,1.724366,4.957542,0.009340,0.065610,0.226428,-0.005552,6.279862
0.020000,1.725769,4.957537,0.010743,0.070130,0.226016,-0.020619,6.279347
0.020000,1.727262,4.957531,0.012236,0.074670,0.226982,0.048305,6.278799
0.020000,1.728846,4.957523,0.013820,0.079191,0.226050,-0.046578,6.278217
0.020000,1.730520,4.957514,0.015494,0.083727,0.226773,0.036113,6.277603
0.020000,1.732285,4.957504,0.017259,0.088253,0.226319,-0.022680,6.276956
0.020000,1.734141,4.957492,0.019115,0.092789,0.226813,0.024718,6.276276
0.020000,1.736087,4.957478,0.021062,0.097316,0.226320,-0.024690,6.275564
0.020000,1.738124,4.957461,0.023099,0.101858,0.227100,0.038997,6.274818
0.020000,1.740252,4.957443,0.025226,0.106384,0.226333,-0.038339,6.274041
0.020000,1.742470,4.957421,0.027445,0.110926,0.227079,0.037297,6.273230
0.020000,1.744780,4.957397,0.029754,0.115462,0.226797,-0.014095,6.272388
0.020000,1.747179,4.957371,0.032154,0.119995,0.226652,-0.007262,6.271513
0.020000,1.749670,4.957340,0.034645,0.124540,0.227242,0.029525,6.270605
0.020000,1.752251,4.957307,0.037226,0.129081,0.227046,-0.009791,6.269666
0.020000,1.754923,4.957269,0.039899,0.133619,0.226946,-0.005018,6.268695
0.020000,1.757686,4.957228,0.042662,0.138161,0.227063,0.005833,6.267691
0.020000,1.760540,4.957182,0.045516,0.142708,0.227382,0.015962,6.266656
0.020000,1.763485,4.957132,0.048461,0.147257,0.227444,0.003082,6.265589
0.020000,1.766520,4.957077,0.051497,0.151804,0.227331,-0.005628,6.264490
0.020000,1.769647,4.957017,0.054625,0.156353,0.227439,0.005394,6.263360
0.020000,1.772864,4.956951,0.057843,0.160904,0.227545,0.005294,6.262198
0.020000,1.776173,4.956879,0.061152,0.165457,0.227649,0.005205,6.261006
0.020000,1.779572,4.956802,0.064552,0.170012,0.227751,0.005128,6.259782
0.020000,1.783061,4.956718,0.068042,0.174478,0.223318,-0.221674,6.258527
0.020000,1.786635,4.956628,0.071617,0.178765,0.214346,-0.448614,6.257244
0.020000,1.790291,4.956530,0.075274,0.182872,0.205368,-0.448891,6.255933
0.020000,1.794025,4.956426,0.079010,0.186800,0.196385,-0.449150,6.254596
0.020000,1.797835,4.956315,0.082821,0.190548,0.187397,-0.449392,6.253235
0.020000,1.801715,4.956196,0.086704,0.194116,0.178405,-0.449621,6.251850
0.020000,1.805663,4.956069,0.090654,0.197504,0.169408,-0.449837,6.250444
0.020000,1.809675,4.955935,0.094668,0.200712,0.160407,-0.450043,6.249017
0.020000,1.813748,4.955793,0.098743,0.203746,0.151695,-0.435615,6.247571
0.020000,1.817877,4.955642,0.102875,0.206596,0.142471,-0.461200,6.246108
0.020000,1.822059,4.955484,0.107060,0.209264,0.133406,-0.453254,6.244629
0.020000,1.826291,4.955318,0.111295,0.211751,0.124387,-0.450952,6.243134
0.020000,1.830569,4.955143,0.115576,0.214059,0.115364,-0.451135,6.241627
0.020000,1.834889,4.954960,0.119900,0.216193,0.106734,-0.431512,6.240107
0.020000,1.839247,4.954769,0.124263,0.218141,0.097390,-0.467190,6.238577
