dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.060536,0.438984,0.000002,0.000200,0.010000,0.500000,3.069915
0.020000,5.060536,0.438984,0.000002,0.000009,-0.009559,-0.977954,3.069915
0.020000,5.060536,0.438984,0.000003,0.000020,0.000551,0.505511,3.069917
0.020000,5.060537,0.438984,0.000003,0.000035,0.000772,0.011022,3.069919
0.020000,5.060538,0.438984,0.000004,0.000055,0.000992,0.011021,3.069923
0.020000,5.060539,0.438983,0.000006,0.000079,0.001212,0.011020,3.069928
0.020000,5.060542,0.438983,0.000008,0.000108,0.001433,0.011018,3.069936
0.020000,5.060544,0.438983,0.000011,0.000141,0.001653,0.011015,3.069946
0.020000,5.060548,0.438983,0.000015,0.000179,0.001873,0.011011,3.069958
0.020000,5.060552,0.438983,0.000019,0.000220,0.002093,0.011006,3.069974
0.020000,5.060558,0.438982,0.000024,0.000267,0.002313,0.010999,3.069993
0.020000,5.060564,0.438982,0.000031,0.000317,0.002533,0.010991,3.070015
0.020000,5.060571,0.438981,0.000038,0.000372,0.002753,0.010982,3.070041
0.020000,5.060580,0.438981,0.000047,0.000432,0.002972,0.010971,3.070071
0.020000,5.060590,0.438980,0.000057,0.000496,0.003191,0.010958,3.070106
0.020000,5.060601,0.438979,0.000068,0.000564,0.003410,0.010943,3.070145
0.020000,5.060614,0.438978,0.000081,0.000636,0.003629,0.010926,3.070190
0.020000,5.060628,0.438977,0.000095,0.000713,0.003847,0.010906,3.070240
0.020000,5.060514,0.438985,0.000210,0.005745,0.251591,12.387217,3.070295
0.020000,5.059733,0.439041,0.000992,0.039120,1.668747,70.857765,3.070357
0.020000,5.058873,0.439102,0.001855,0.043130,0.200492,-73.412744,3.070425
0.020000,5.057928,0.439170,0.002801,0.047335,0.210272,0.489017,3.070499
0.020000,5.056896,0.439243,0.003836,0.051736,0.220052,0.489019,3.070581
0.020000,5.055772,0.439323,0.004963,0.056333,0.229847,0.489726,3.070669
0.020000,5.054553,0.439410,0.006185,0.061127,0.239696,0.492461,3.070765
0.020000,5.053236,0.439503,0.007506,0.066018,0.244512,0.240777,3.070869
0.020000,5.051821,0.439603,0.008924,0.070908,0.244512,0.000030,3.070981
0.020000,5.050309,0.439710,0.010440,0.075800,0.244588,0.003779,3.071100
0.020000,5.048699,0.439824,0.012054,0.080691,0.244566,-0.001101,3.071226
0.020000,5.046992,0.439944,0.013765,0.085581,0.244522,-0.002183,3.071361
0.020000,5.045187,0.440071,0.015575,0.090474,0.244631,0.005458,3.071502
0.020000,5.043284,0.440204,0.017482,0.095365,0.244565,-0.003311,3.071652
0.020000,5.041284,0.440344,0.019487,0.100257,0.244579,0.000687,3.071809
0.020000,5.039186,0.440490,0.021590,0.105150,0.244652,0.003635,3.071973
0.020000,5.036991,0.440643,0.023791,0.110041,0.244558,-0.004691,3.072145
0.020000,5.034697,0.440803,0.026090,0.114935,0.244707,0.007473,3.072325
0.020000,5.032307,0.440968,0.028486,0.119827,0.244568,-0.006985,3.072512
0.020000,5.029818,0.441140,0.030981,0.124721,0.244733,0.008256,3.072707
0.020000,5.027232,0.441318,0.033573,0.129613,0.244608,-0.006249,3.072909
0.020000,5.024548,0.441503,0.036263,0.134508,0.244728,0.006040,3.073118
0.020000,5.021767,0.441693,0.039051,0.139401,0.244678,-0.002537,3.073335
0.020000,5.018887,0.441890,0.041937,0.144295,0.244695,0.000877,3.073559
0.020000,5.015910,0.442092,0.044921,0.149191,0.244777,0.004099,3.073791
0.020000,5.012836,0.442301,0.048003,0.154085,0.244700,-0.003851,3.074030
0.020000,5.009663,0.442515,0.051182,0.158980,0.244773,0.003621,3.074276
0.020000,5.006393,0.442735,0.054460,0.163877,0.244808,0.001759,3.074530
0.020000,5.003025,0.442961,0.057835,0.168772,0.244766,-0.002084,3.074791
0.020000,4.999560,0.443192,0.061309,0.173668,0.244791,0.001241,3.075059
0.020000,4.995996,0.443429,0.064880,0.178566,0.244893,0.005087,3.075334
0.020000,4.992335,0.443671,0.068549,0.183462,0.244838,-0.002715,3.075617
0.020000,4.988578,0.443919,0.072314,0.188262,0.239965,-0.243685,3.075907
0.020000,4.984729,0.444172,0.076172,0.192866,0.230204,-0.488051,3.076203
0.020000,4.980792,0.444429,0.080117,0.197274,0.220441,-0.488116,3.076506
0.020000,4.976771,0.444690,0.084147,0.201489,0.210720,-0.486044,3.076814
0.020000,4.972669,0.444956,0.088257,0.205507,0.200912,-0.490425,3.077129
0.020000,4.968491,0.445225,0.092444,0.209330,0.191141,-0.488565,3.077449
