dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.081000,0.724000,0.000002,0.000200,0.010000,0.500000,3.069915
0.020000,5.081000,0.724000,0.000010,0.000600,0.020000,0.500000,3.069915
0.020000,5.081000,0.724000,0.000028,0.001200,0.030000,0.500000,3.069917
0.020000,5.081000,0.724000,0.000060,0.002000,0.040000,0.500000,3.069919
0.020000,5.081000,0.724000,0.000110,0.003000,0.050000,0.500000,3.069923
0.020000,5.081000,0.724000,0.000182,0.004200,0.060000,0.500000,3.069928
0.020000,5.081000,0.724000,0.000280,0.005600,0.070000,0.500000,3.069936
0.020000,5.081000,0.724000,0.000408,0.007200,0.080000,0.500000,3.069946
0.020000,5.081000,0.724000,0.000570,0.009000,0.090000,0.500000,3.069958
0.020000,5.081000,0.724000,0.000770,0.011000,0.100000,0.500000,3.069974
0.020000,5.081000,0.724000,0.001012,0.013200,0.110000,0.500000,3.069993
0.020000,5.081000,0.724000,0.001300,0.015600,0.120000,0.500000,3.070015
0.020000,5.081000,0.724000,0.001638,0.018200,0.130000,0.500000,3.070041
0.020000,5.081000,0.724000,0.002030,0.021000,0.140000,0.500000,3.070071
0.020000,5.081000,0.724000,0.002480,0.024000,0.150000,0.500000,3.070106
0.020000,5.081000,0.724000,0.002992,0.027200,0.160000,0.500000,3.070145
0.020000,5.081000,0.724000,0.003570,0.030600,0.170000,0.500000,3.070190
0.020000,5.081000,0.724000,0.004218,0.034200,0.180000,0.500000,3.070240
0.020000,5.080870,0.724009,0.004940,0.038000,0.190000,0.500000,3.070295
0.020000,5.080072,0.724066,0.005740,0.042000,0.200000,0.500000,3.070357
0.020000,5.079192,0.724129,0.006622,0.046200,0.210000,0.500000,3.070425
0.020000,5.078226,0.724198,0.007590,0.050600,0.220000,0.500000,3.070499
0.020000,5.077171,0.724273,0.008648,0.055200,0.230000,0.500000,3.070581
0.020000,5.076022,0.724355,0.009800,0.060000,0.240000,0.500000,3.070669
0.020000,5.074775,0.724443,0.011050,0.065000,0.250000,0.500000,3.070765
0.020000,5.073428,0.724539,0.012400,0.070000,0.250000,0.000000,3.070869
0.020000,5.071982,0.724641,0.013850,0.075000,0.250000,-0.000000,3.070981
0.020000,5.070436,0.724750,0.015400,0.080000,0.250000,0.000000,3.071100
0.020000,5.068790,0.724866,0.017050,0.085000,0.250000,0.000000,3.071226
0.020000,5.067044,0.724989,0.018800,0.090000,0.250000,-0.000000,3.071361
0.020000,5.065199,0.725119,0.020650,0.095000,0.250000,0.000000,3.071502
0.020000,5.063254,0.725255,0.022600,0.100000,0.250000,0.000000,3.071652
0.020000,5.061209,0.725399,0.024650,0.105000,0.250000,-0.000000,3.071809
0.020000,5.059064,0.725548,0.026800,0.110000,0.250000,0.000000,3.071973
0.020000,5.056819,0.725705,0.029050,0.115000,0.250000,0.000000,3.072145
0.020000,5.054475,0.725867,0.031400,0.120000,0.250000,-0.000000,3.072325
0.020000,5.052031,0.726037,0.033850,0.125000,0.250000,0.000000,3.072512
0.020000,5.049487,0.726213,0.036400,0.130000,0.250000,0.000000,3.072707
0.020000,5.046843,0.726395,0.039050,0.135000,0.250000,0.000000,3.072909
0.020000,5.044100,0.726583,0.041800,0.140000,0.250000,0.000000,3.073118
0.020000,5.041256,0.726778,0.044650,0.145000,0.250000,-0.000000,3.073335
0.020000,5.038313,0.726979,0.047600,0.150000,0.250000,0.000000,3.073559
0.020000,5.035270,0.727186,0.050650,0.155000,0.250000,0.000000,3.073791
0.020000,5.032127,0.727399,0.053800,0.160000,0.250000,0.000000,3.074030
0.020000,5.028885,0.727618,0.057050,0.165000,0.250000,0.000000,3.074276
0.020000,5.025542,0.727843,0.060400,0.170000,0.250000,0.000000,3.074530
0.020000,5.022100,0.728073,0.063850,0.175000,0.250000,-0.000000,3.074791
0.020000,5.018558,0.728310,0.067400,0.180000,0.250000,0.000000,3.075059
0.020000,5.014916,0.728552,0.071050,0.185000,0.250000,0.000000,3.075334
