dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.101464,1.009016,0.000002,0.000200,0.010000,0.500000,3.069915
0.020000,5.101464,1.009016,0.000002,0.000009,-0.009559,-0.977954,3.069915
0.020000,5.101464,1.009016,0.000003,0.000020,0.000551,0.505511,3.069917
0.020000,5.101463,1.009016,0.000003,0.000035,0.000772,0.011022,3.069919
0.020000,5.101462,1.009016,0.000004,0.000055,0.000992,0.011021,3.069923
0.020000,5.101461,1.009017,0.000006,0.000079,0.001212,0.011020,3.069928
0.020000,5.101458,1.009017,0.000008,0.000108,0.001433,0.011018,3.069936
0.020000,5.101456,1.009017,0.000011,0.000141,0.001653,0.011015,3.069946
0.020000,5.101452,1.009017,0.000015,0.000179,0.001873,0.011011,3.069958
0.020000,5.101448,1.009017,0.000019,0.000220,0.002093,0.011006,3.069974
0.020000,5.101442,1.009018,0.000024,0.000267,0.002313,0.010999,3.069993
0.020000,5.101436,1.009018,0.000031,0.000317,0.002533,0.010991,3.070015
0.020000,5.101429,1.009019,0.000038,0.000372,0.002753,0.010982,3.070041
0.020000,5.101420,1.009019,0.000047,0.000432,0.002972,0.010971,3.070071
0.020000,5.101410,1.009020,0.000057,0.000496,0.003191,0.010958,3.070106
0.020000,5.101399,1.009021,0.000068,0.000564,0.003410,0.010943,3.070145
0.020000,5.101386,1.009022,0.000081,0.000636,0.003629,0.010926,3.070190
0.020000,5.101372,1.009023,0.000095,0.000713,0.003847,0.010906,3.070240
0.020000,5.101226,1.009033,0.000242,0.007335,0.331060,16.360678,3.070295
0.020000,5.100410,1.009092,0.001059,0.040881,1.677311,67.312545,3.070357
0.020000,5.099511,1.009156,0.001961,0.045071,0.209489,-73.391129,3.070425
0.020000,5.098524,1.009226,0.002950,0.049465,0.219701,0.510623,3.070499
0.020000,5.097446,1.009303,0.004031,0.054063,0.229912,0.510560,3.070581
0.020000,5.096271,1.009386,0.005208,0.058866,0.240137,0.511227,3.070669
0.020000,5.094997,1.009477,0.006486,0.063874,0.250417,0.514005,3.070765
0.020000,5.093621,1.009574,0.007866,0.068983,0.255436,0.250934,3.070869
0.020000,5.092143,1.009679,0.009347,0.074091,0.255422,-0.000690,3.070981
0.020000,5.090562,1.009791,0.010931,0.079201,0.255485,0.003173,3.071100
0.020000,5.088880,1.009909,0.012618,0.084310,0.255446,-0.001979,3.071226
0.020000,5.087097,1.010035,0.014406,0.089417,0.255383,-0.003164,3.071361
0.020000,5.085211,1.010167,0.016297,0.094527,0.255478,0.004766,3.071502
0.020000,5.083223,1.010307,0.018289,0.099635,0.255389,-0.004451,3.071652
0.020000,5.081133,1.010453,0.020384,0.104742,0.255382,-0.000327,3.071809
0.020000,5.078941,1.010606,0.022581,0.109851,0.255436,0.002699,3.071973
0.020000,5.076648,1.010766,0.024880,0.114957,0.255315,-0.006053,3.072145
0.020000,5.074252,1.010932,0.027282,0.120066,0.255447,0.006599,3.072325
0.020000,5.071755,1.011105,0.029785,0.125172,0.255276,-0.008558,3.072512
0.020000,5.069155,1.011285,0.032391,0.130280,0.255422,0.007309,3.072707
0.020000,5.066454,1.011471,0.035098,0.135386,0.255264,-0.007897,3.072909
0.020000,5.063651,1.011663,0.037908,0.140493,0.255362,0.004885,3.073118
0.020000,5.060746,1.011862,0.040820,0.145598,0.255279,-0.004128,3.073335
0.020000,5.057739,1.012068,0.043834,0.150704,0.255267,-0.000617,3.073559
0.020000,5.054630,1.012279,0.046950,0.155810,0.255321,0.002693,3.073791
0.020000,5.051419,1.012497,0.050169,0.160914,0.255208,-0.005665,3.074030
0.020000,5.048106,1.012721,0.053489,0.166019,0.255249,0.002084,3.074276
0.020000,5.044691,1.012950,0.056912,0.171124,0.255251,0.000084,3.074530
0.020000,5.041174,1.013186,0.060436,0.176228,0.255171,-0.003984,3.074791
0.020000,5.037556,1.013428,0.064063,0.181331,0.255160,-0.000566,3.075059
0.020000,5.033835,1.013675,0.067791,0.186436,0.255228,0.003394,3.075334
0.020000,5.030013,1.013928,0.071622,0.191538,0.255132,-0.004808,3.075617
0.020000,5.026091,1.014187,0.075553,0.196538,0.250003,-0.256420,3.075907
0.020000,5.022073,1.014450,0.079580,0.201334,0.239773,-0.511507,3.076203
0.020000,5.017963,1.014719,0.083698,0.205925,0.229543,-0.511513,3.076506
0.020000,5.013766,1.014992,0.087904,0.210312,0.219357,-0.509281,3.076814
0.020000,5.009485,1.015269,0.092194,0.214493,0.209082,-0.513778,3.077129
0.020000,5.005124,1.015550,0.096564,0.218470,0.198847,-0.511755,3.077449
0.020000,5.000689,1.015834,0.101009,0.222243,0.188618,-0.511450,3.077774
0.020000,4.996181,1.016121,0.105525,0.225810,0.178389,-0.511424,3.078103
0.020000,4.991607,1.016411,0.110108,0.229174,0.168161,-0.511394,3.078437
0.020000,4.986970,1.016704,0.114755,0.232332,0.157934,-0.511359,3.078776
0.020000,4.982273,1.016998,0.119461,0.235287,0.147708,-0.511319,3.079118
0.020000,4.977522,1.017295,0.124221,0.238036,0.137482,-0.511275,3.079463
0.020000,4.972719,1.017593,0.129033,0.240581,0.127258,-0.511226,3.079812
0.020000,4.967870,1.017892,0.133891,0.242922,0.117034,-0.511174,3.080163
0.020000,4.962978,1.018192,0.138793,0.245058,0.106812,-0.511119,3.080517
0.020000,4.958048,1.018492,0.143732,0.246990,0.096591,-0.511061,3.080874
0.020000,4.953082,1.018793,0.148707,0.248717,0.086371,-0.511000,3.081232
0.020000,4.948087,1.019094,0.153712,0.250241,0.076152,-0.510936,3.081592
0.020000,4.943064,1.019395,0.158743,0.251559,0.065935,-0.510871,3.081953
0.020000,4.938020,1.019695,0.163796,0.252674,0.055719,-0.510803,3.082315
0.020000,4.932957,1.019995,0.168868,0.253584,0.045504,-0.510734,3.082678
0.020000,4.927880,1.020293,0.173954,0.254289,0.035291,-0.510664,3.083041
0.020000,4.922793,1.020591,0.179049,0.254791,0.025079,-0.510592,3.083404
0.020000,4.917700,1.020887,0.184151,0.255088,0.014868,-0.510520,3.083767
0.020000,4.912604,1.021181,0.189255,0.255182,0.004659,-0.510447,3.084130
0.020000,4.907509,1.021473,0.194358,0.255173,-0.000445,-0.255206,3.084492
0.020000,4.902414,1.021763,0.199462,0.255164,-0.000445,-0.000011,3.084853
0.020000,4.897319,1.022052,0.204565,0.255155,-0.000445,-0.000010,3.085214
0.020000,4.892225,1.022338,0.209668,0.255146,-0.000445,-0.000010,3.085574
0.020000,4.887130,1.022623,0.214770,0.255137,-0.000446,-0.000010,3.085934
0.020000,4.882035,1.022906,0.219873,0.255128,-0.000446,-0.000010,3.086293
0.020000,4.876940,1.023187,0.224975,0.255119,-0.000446,-0.000010,3.086651
0.020000,4.871846,1.023466,0.230077,0.255110,-0.000446,-0.000010,3.087009
0.020000,4.866751,1.023744,0.235180,0.255101,-0.000446,-0.000010,3.087366
0.020000,4.861657,1.024019,0.240281,0.255092,-0.000447,-0.000010,3.087722
0.020000,4.856563,1.024293,0.245383,0.255084,-0.000447,-0.000010,3.088078
0.020000,4.851468,1.024565,0.250485,0.255075,-0.000441,0.000289,3.088433
0.020000,4.846374,1.024835,0.255586,0.255066,-0.000442,-0.000032,3.088788
0.020000,4.841280,1.025104,0.260687,0.255057,-0.000448,-0.000294,3.089142
0.020000,4.836186,1.025370,0.265788,0.255048,-0.000448,-0.000010,3.089495
0.020000,4.831092,1.025635,0.270889,0.255039,-0.000448,-0.000010,3.089848
0.020000,4.825998,1.025898,0.275989,0.255030,-0.000448,-0.000010,3.090200
0.020000,4.820905,1.026159,0.281090,0.255021,-0.000448,-0.000010,3.090551
0.020000,4.815811,1.026418,0.286190,0.255012,-0.000448,-0.000009,3.090902
0.020000,4.810718,1.026676,0.291290,0.255003,-0.000449,-0.000009,3.091252
0.020000,4.805624,1.026931,0.296390,0.254994,-0.000449,-0.000009,3.091602
0.020000,4.800531,1.027185,0.301490,0.254985,-0.000449,-0.000009,3.091951
0.020000,4.795437,1.027437,0.306589,0.254976,-0.000449,-0.000009,3.092299
0.020000,4.790344,1.027688,0.311689,0.254967,-0.000449,-0.000009,3.092647
0.020000,4.785251,1.027936,0.316788,0.254958,-0.000450,-0.000009,3.092994
0.020000,4.780158,1.028183,0.321887,0.254949,-0.000450,-0.000009,3.093340
0.020000,4.775065,1.028428,0.326985,0.254940,-0.000450,-0.000009,3.093686
0.020000,4.769972,1.028672,0.332084,0.254931,-0.000450,-0.000009,3.094031
0.020000,4.764880,1.028913,0.337183,0.254922,-0.000450,-0.000009,3.094376
0.020000,4.759787,1.029153,0.342281,0.254913,-0.000451,-0.000009,3.094720
0.020000,4.754695,1.029391,0.347379,0.254904,-0.000451,-0.000009,3.095063
0.020000,4.749602,1.029627,0.352477,0.254895,-0.000451,-0.000009,3.095405
0.020000,4.744510,1.029862,0.357575,0.254886,-0.000451,-0.000009,3.095747
0.020000,4.739418,1.030094,0.362672,0.254877,-0.000451,-0.000009,3.096089
0.020000,4.734325,1.030325,0.367769,0.254868,-0.000451,-0.000009,3.096429
0.020000,4.729233,1.030555,0.372867,0.254859,-0.000448,0.000169,3.096770
0.020000,4.724141,1.030782,0.377964,0.254850,-0.000445,0.000126,3.097109
0.020000,4.719050,1.031008,0.383060,0.254841,-0.000452,-0.000327,3.097448
0.020000,4.713958,1.031232,0.388157,0.254832,-0.000452,-0.000008,3.097786
0.020000,4.708866,1.031454,0.393254,0.254823,-0.000452,-0.000008,3.098124
0.020000,4.703775,1.031675,0.398350,0.254814,-0.000453,-0.000008,3.098461
0.020000,4.698683,1.031894,0.403446,0.254805,-0.000453,-0.000008,3.098797
0.020000,4.693592,1.032111,0.408542,0.254796,-0.000453,-0.000008,3.099133
0.020000,4.688501,1.032326,0.413638,0.254787,-0.000453,-0.000008,3.099468
0.020000,4.683410,1.032540,0.418733,0.254778,-0.000453,-0.000008,3.099802
0.020000,4.678319,1.032752,0.423829,0.254769,-0.000453,-0.000008,3.100136
0.020000,4.673228,1.032963,0.428924,0.254760,-0.000453,-0.000008,3.100469
0.020000,4.668137,1.033171,0.434019,0.254751,-0.000454,-0.000008,3.100801
0.020000,4.663047,1.033378,0.439114,0.254742,-0.000454,-0.000008,3.101133
0.020000,4.657956,1.033583,0.444208,0.254732,-0.000454,-0.000008,3.101465
0.020000,4.652866,1.033787,0.449303,0.254723,-0.000454,-0.000008,3.101795
0.020000,4.647776,1.033989,0.454397,0.254714,-0.000454,-0.000008,3.102125
0.020000,4.642685,1.034189,0.459491,0.254705,-0.000454,-0.000008,3.102454
0.020000,4.637595,1.034387,0.464585,0.254696,-0.000455,-0.000008,3.102783
0.020000,4.632505,1.034584,0.469679,0.254687,-0.000455,-0.000007,3.103111
0.020000,4.627416,1.034779,0.474772,0.254678,-0.000455,-0.000007,3.103439
0.020000,4.622326,1.034973,0.479866,0.254669,-0.000455,-0.000007,3.103765
0.020000,4.617236,1.035164,0.484959,0.254660,-0.000455,-0.000007,3.104091
0.020000,4.612147,1.035355,0.490052,0.254651,-0.000455,-0.000007,3.104417
0.020000,4.607057,1.035543,0.495145,0.254642,-0.000451,0.000198,3.104742
0.020000,4.601968,1.035730,0.500237,0.254633,-0.000452,-0.000009,3.105066
0.020000,4.596879,1.035915,0.505330,0.254623,-0.000456,-0.000216,3.105390
0.020000,4.591790,1.036098,0.510422,0.254614,-0.000456,-0.000007,3.105713
0.020000,4.586701,1.036280,0.515514,0.254605,-0.000456,-0.000007,3.106035
0.020000,4.581613,1.036461,0.520606,0.254596,-0.000456,-0.000007,3.106357
0.020000,4.576524,1.036639,0.525698,0.254587,-0.000456,-0.000007,3.106678
0.020000,4.571435,1.036816,0.530789,0.254578,-0.000457,-0.000007,3.106998
0.020000,4.566347,1.036991,0.535881,0.254569,-0.000457,-0.000007,3.107318
0.020000,4.561259,1.037165,0.540972,0.254560,-0.000457,-0.000007,3.107637
0.020000,4.556171,1.037337,0.546063,0.254550,-0.000457,-0.000007,3.107955
0.020000,4.551083,1.037507,0.551154,0.254541,-0.000457,-0.000007,3.108273
0.020000,4.545995,1.037676,0.556244,0.254532,-0.000457,-0.000007,3.108591
0.020000,4.540907,1.037843,0.561335,0.254523,-0.000457,-0.000007,3.108907
0.020000,4.535820,1.038009,0.566425,0.254514,-0.000457,-0.000006,3.109223
0.020000,4.530732,1.038173,0.571515,0.254505,-0.000458,-0.000006,3.109538
0.020000,4.525645,1.038335,0.576605,0.254496,-0.000458,-0.000006,3.109853
0.020000,4.520558,1.038496,0.581695,0.254486,-0.000458,-0.000006,3.110167
0.020000,4.515471,1.038655,0.586784,0.254477,-0.000458,-0.000006,3.110480
0.020000,4.510384,1.038812,0.591874,0.254468,-0.000458,-0.000006,3.110793
0.020000,4.505297,1.038968,0.596963,0.254459,-0.000458,-0.000006,3.111105
0.020000,4.500210,1.039123,0.602052,0.254450,-0.000458,-0.000006,3.111417
0.020000,4.495124,1.039275,0.607141,0.254441,-0.000458,-0.000006,3.111727
0.020000,4.490037,1.039427,0.612229,0.254431,-0.000459,-0.000006,3.112038
0.020000,4.484951,1.039576,0.617318,0.254422,-0.000453,0.000287,3.112347
0.020000,4.479865,1.039724,0.622406,0.254413,-0.000458,-0.000260,3.112656
0.020000,4.474779,1.039871,0.627494,0.254404,-0.000459,-0.000051,3.112964
0.020000,4.469693,1.040016,0.632582,0.254395,-0.000459,-0.000006,3.113272
0.020000,4.464608,1.040159,0.637670,0.254386,-0.000459,-0.000006,3.113579
0.020000,4.459522,1.040301,0.642757,0.254376,-0.000459,-0.000006,3.113885
0.020000,4.454437,1.040441,0.647845,0.254367,-0.000460,-0.000006,3.114191
0.020000,4.449351,1.040579,0.652932,0.254358,-0.000460,-0.000006,3.114496
0.020000,4.444266,1.040716,0.658019,0.254349,-0.000460,-0.000006,3.114800
0.020000,4.439181,1.040852,0.663106,0.254340,-0.000460,-0.000006,3.115104
0.020000,4.434096,1.040986,0.668192,0.254330,-0.000460,-0.000006,3.115407
0.020000,4.429012,1.041118,0.673279,0.254321,-0.000460,-0.000005,3.115709
0.020000,4.423927,1.041249,0.678365,0.254312,-0.000460,-0.000005,3.116011
0.020000,4.418843,1.041378,0.683451,0.254303,-0.000460,-0.000005,3.116312
0.020000,4.413758,1.041506,0.688537,0.254294,-0.000460,-0.000005,3.116613
0.020000,4.408674,1.041632,0.693623,0.254284,-0.000461,-0.000005,3.116913
0.020000,4.403590,1.041757,0.698708,0.254275,-0.000461,-0.000005,3.117212
0.020000,4.398506,1.041880,0.703793,0.254266,-0.000461,-0.000005,3.117511
0.020000,4.393423,1.042002,0.708878,0.254257,-0.000461,-0.000005,3.117808
0.020000,4.388339,1.042122,0.713963,0.254248,-0.000461,-0.000005,3.118106
0.020000,4.383256,1.042241,0.719048,0.254238,-0.000461,-0.000005,3.118402
0.020000,4.378173,1.042358,0.724133,0.254229,-0.000461,-0.000005,3.118698
0.020000,4.373090,1.042474,0.729217,0.254220,-0.000461,-0.000005,3.118994
