dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000285,0.285750,0.000002,0.000200,0.010000,0.500000,6.282187
0.020000,0.000285,0.285750,0.000002,0.000019,-0.009064,-0.953219,6.282188
0.020000,0.000284,0.285750,0.000003,0.000042,0.001170,0.511696,6.282191
0.020000,0.000283,0.285750,0.000005,0.000075,0.001637,0.023392,6.282196
0.020000,0.000280,0.285750,0.000007,0.000117,0.002105,0.023394,6.282204
0.020000,0.000277,0.285750,0.000010,0.000168,0.002573,0.023397,6.282216
0.020000,0.000272,0.285750,0.000015,0.000229,0.003041,0.023402,6.282232
0.020000,0.000266,0.285750,0.000021,0.000299,0.003509,0.023408,6.282253
0.020000,0.000259,0.285750,0.000029,0.000379,0.003978,0.023417,6.282280
0.020000,0.000249,0.285750,0.000038,0.000468,0.004446,0.023428,6.282312
0.020000,0.000238,0.285750,0.000049,0.000566,0.004915,0.023442,6.282352
0.020000,0.000225,0.285750,0.000063,0.000674,0.005384,0.023459,6.282399
0.020000,0.000209,0.285750,0.000079,0.000791,0.005854,0.023480,6.282455
0.020000,0.000190,0.285750,0.000097,0.000917,0.006324,0.023504,6.282519
0.020000,0.000169,0.285750,0.000118,0.001053,0.006795,0.023532,6.282592
0.020000,0.000145,0.285750,0.000142,0.001199,0.007266,0.023564,6.282676
0.020000,0.000118,0.285750,0.000169,0.001353,0.007738,0.023601,6.282771
0.020000,0.000088,0.285750,0.000199,0.001518,0.008211,0.023643,6.282877
0.020000,0.000054,0.285750,0.000233,0.001691,0.008685,0.023690,6.282996
0.020000,0.000017,0.285750,0.000271,0.001875,0.009159,0.023743,6.283127
0.020000,0.000502,0.285750,0.000756,0.024244,1.118481,55.466070,0.000086
0.020000,0.001424,0.285750,0.001678,0.046146,1.095069,-1.170584,0.000245
0.020000,0.002433,0.285751,0.002687,0.050426,0.214038,-44.051540,0.000419
0.020000,0.003531,0.285751,0.003785,0.054895,0.223440,0.470060,0.000608
0.020000,0.004722,0.285752,0.004976,0.059552,0.232821,0.469070,0.000814
0.020000,0.006008,0.285753,0.006262,0.064310,0.237921,0.255016,0.001036
0.020000,0.007390,0.285755,0.007644,0.069114,0.240188,0.113309,0.001275
0.020000,0.008868,0.285757,0.009122,0.073859,0.237278,-0.145473,0.001530
0.020000,0.010440,0.285759,0.010694,0.078601,0.237069,-0.010439,0.001802
0.020000,0.012107,0.285763,0.012361,0.083363,0.238096,0.051318,0.002091
0.020000,0.013870,0.285767,0.014124,0.088158,0.239767,0.083592,0.002396
0.020000,0.015728,0.285771,0.015982,0.092890,0.236597,-0.158505,0.002718
0.020000,0.017680,0.285777,0.017934,0.097631,0.237033,0.021798,0.003058
0.020000,0.019729,0.285784,0.019983,0.102440,0.240478,0.172217,0.003414
0.020000,0.021872,0.285791,0.022126,0.107160,0.236002,-0.223759,0.003787
0.020000,0.024111,0.285800,0.024365,0.111920,0.238005,0.100146,0.004177
0.020000,0.026445,0.285810,0.026699,0.116698,0.238905,0.044994,0.004584
0.020000,0.028873,0.285822,0.029127,0.121404,0.235284,-0.181046,0.005008
0.020000,0.031397,0.285835,0.031651,0.126224,0.241009,0.286225,0.005450
0.020000,0.034016,0.285850,0.034270,0.130925,0.235052,-0.297837,0.005909
0.020000,0.036730,0.285867,0.036984,0.135713,0.239410,0.217902,0.006385
0.020000,0.039539,0.285885,0.039793,0.140436,0.236104,-0.165318,0.006879
0.020000,0.042443,0.285906,0.042697,0.145210,0.238722,0.130900,0.007390
0.020000,0.045441,0.285929,0.045696,0.149933,0.236133,-0.129456,0.007918
0.020000,0.048535,0.285955,0.048790,0.154711,0.238943,0.140525,0.008465
0.020000,0.051724,0.285982,0.051978,0.159414,0.235139,-0.190216,0.009029
0.020000,0.055008,0.286013,0.055263,0.164216,0.240073,0.246719,0.009611
0.020000,0.058386,0.286046,0.058641,0.168909,0.234664,-0.270479,0.010210
0.020000,0.061859,0.286083,0.062114,0.173690,0.239029,0.218272,0.010828
0.020000,0.065427,0.286123,0.065683,0.178418,0.236418,-0.130542,0.011464
0.020000,0.069088,0.286166,0.069344,0.183032,0.230715,-0.285150,0.012117
0.020000,0.072838,0.286213,0.073094,0.187543,0.225554,-0.258041,0.012789
0.020000,0.076674,0.286263,0.076930,0.191772,0.211420,-0.706702,0.013476
0.020000,0.080589,0.286317,0.080846,0.195818,0.202308,-0.455638,0.014180
0.020000,0.084584,0.286375,0.084841,0.199752,0.196723,-0.279251,0.014899
0.020000,0.088652,0.286437,0.088909,0.203414,0.183076,-0.682348,0.015633
0.020000,0.092789,0.286504,0.093047,0.206887,0.173669,-0.470357,0.016382
0.020000,0.096993,0.286574,0.097251,0.210213,0.166290,-0.368920,0.017144
0.020000,0.101259,0.286649,0.101518,0.213340,0.156337,-0.497660,0.017919
0.020000,0.105583,0.286728,0.105843,0.216244,0.145202,-0.556724,0.018707
0.020000,0.109961,0.286812,0.110222,0.218959,0.135753,-0.472458,0.019507
0.020000,0.114391,0.286900,0.114653,0.221509,0.127493,-0.413002,0.020317
0.020000,0.118867,0.286993,0.119130,0.223881,0.118620,-0.443685,0.021139
0.020000,0.123387,0.287090,0.123651,0.226026,0.107228,-0.569586,0.021971
0.020000,0.127945,0.287192,0.128210,0.227981,0.097755,-0.473635,0.022811
0.020000,0.132539,0.287299,0.132805,0.229746,0.088277,-0.473928,0.023661
0.020000,0.137165,0.287410,0.137432,0.231340,0.079691,-0.429281,0.024518
0.020000,0.141818,0.287527,0.142087,0.232758,0.070889,-0.440114,0.025384
0.020000,0.146496,0.287647,0.146766,0.233953,0.059738,-0.557553,0.026255
0.020000,0.151193,0.287773,0.151465,0.234958,0.050253,-0.474249,0.027133
0.020000,0.155907,0.287903,0.156181,0.235773,0.040765,-0.474370,0.028017
0.020000,0.160633,0.288037,0.160909,0.236399,0.031276,-0.474468,0.028904
0.020000,0.165368,0.288176,0.165646,0.236850,0.022590,-0.434291,0.029796
0.020000,0.170108,0.288320,0.170388,0.237124,0.013668,-0.446094,0.030692
0.020000,0.174849,0.288467,0.175132,0.237179,0.002781,-0.544384,0.031590
0.020000,0.179590,0.288619,0.179875,0.237140,-0.001961,-0.237095,0.032490
0.020000,0.184329,0.288776,0.184617,0.237101,-0.001961,0.000018,0.033393
0.020000,0.189068,0.288936,0.189358,0.237062,-0.001961,0.000016,0.034297
0.020000,0.193805,0.289101,0.194098,0.237022,-0.001960,0.000014,0.035204
0.020000,0.198543,0.289270,0.198839,0.237020,-0.000147,0.090664,0.036114
0.020000,0.203279,0.289443,0.203578,0.236986,-0.001685,-0.076886,0.037026
0.020000,0.208015,0.289621,0.208317,0.236946,-0.001974,-0.014474,0.037940
0.020000,0.212750,0.289803,0.213056,0.236907,-0.001974,0.000005,0.038856
0.020000,0.217483,0.289989,0.217793,0.236867,-0.001974,0.000003,0.039775
0.020000,0.222216,0.290179,0.222529,0.236828,-0.001974,0.000001,0.040696
0.020000,0.226948,0.290374,0.227265,0.236794,-0.001676,0.014895,0.041619
0.020000,0.231679,0.290573,0.232001,0.236789,-0.000257,0.070985,0.042545
0.020000,0.236410,0.290777,0.236736,0.236749,-0.001989,-0.086613,0.043473
0.020000,0.241140,0.290985,0.241470,0.236710,-0.001989,-0.000007,0.044404
0.020000,0.245868,0.291197,0.246204,0.236670,-0.001989,-0.000009,0.045337
0.020000,0.250596,0.291414,0.250936,0.236630,-0.001989,-0.000011,0.046272
0.020000,0.255323,0.291635,0.255668,0.236590,-0.001990,-0.000013,0.047210
0.020000,0.260048,0.291860,0.260399,0.236558,-0.001602,0.019394,0.048150
0.020000,0.264774,0.292090,0.265130,0.236549,-0.000449,0.057613,0.049092
0.020000,0.269498,0.292325,0.269860,0.236509,-0.002005,-0.077783,0.050037
0.020000,0.274222,0.292564,0.274590,0.236469,-0.002006,-0.000022,0.050985
0.020000,0.278944,0.292807,0.279318,0.236429,-0.002006,-0.000024,0.051934
0.020000,0.283665,0.293054,0.284046,0.236389,-0.002007,-0.000026,0.052887
0.020000,0.288385,0.293307,0.288773,0.236349,-0.002007,-0.000028,0.053841
0.020000,0.293105,0.293563,0.293499,0.236309,-0.002008,-0.000030,0.054798
0.020000,0.297823,0.293824,0.298225,0.236305,-0.000178,0.091511,0.055758
0.020000,0.302541,0.294090,0.302951,0.236265,-0.002011,-0.091695,0.056720
0.020000,0.307258,0.294360,0.307675,0.236224,-0.002024,-0.000642,0.057685
0.020000,0.311974,0.294635,0.312399,0.236184,-0.002025,-0.000039,0.058652
0.020000,0.316688,0.294914,0.317122,0.236143,-0.002026,-0.000041,0.059622
0.020000,0.321402,0.295197,0.321844,0.236103,-0.002027,-0.000043,0.060594
0.020000,0.326114,0.295486,0.326565,0.236062,-0.002028,-0.000045,0.061568
0.020000,0.330826,0.295778,0.331286,0.236039,-0.001166,0.043064,0.062545
0.020000,0.335537,0.296076,0.336006,0.236016,-0.001148,0.000894,0.063525
0.020000,0.340247,0.296378,0.340726,0.235975,-0.002045,-0.044828,0.064507
0.020000,0.344955,0.296684,0.345444,0.235934,-0.002046,-0.000054,0.065492
0.020000,0.349663,0.296995,0.350162,0.235893,-0.002047,-0.000056,0.066479
0.020000,0.354370,0.297311,0.354879,0.235852,-0.002048,-0.000058,0.067469
0.020000,0.359075,0.297631,0.359595,0.235811,-0.002050,-0.000060,0.068462
0.020000,0.363779,0.297956,0.364311,0.235770,-0.002051,-0.000062,0.069457
0.020000,0.368483,0.298286,0.369026,0.235751,-0.000974,0.053862,0.070454
0.020000,0.373185,0.298620,0.373740,0.235721,-0.001487,-0.025689,0.071455
0.020000,0.377886,0.298959,0.378454,0.235680,-0.002069,-0.029091,0.072457
0.020000,0.382587,0.299302,0.383167,0.235638,-0.002071,-0.000071,0.073463
0.020000,0.387286,0.299650,0.387879,0.235597,-0.002072,-0.000073,0.074471
0.020000,0.391984,0.300003,0.392590,0.235555,-0.002074,-0.000075,0.075482
0.020000,0.396680,0.300361,0.397300,0.235514,-0.002075,-0.000077,0.076495
0.020000,0.401376,0.300723,0.402009,0.235472,-0.002077,-0.000079,0.077511
0.020000,0.406070,0.301090,0.406718,0.235444,-0.001429,0.032368,0.078530
0.020000,0.410764,0.301462,0.411427,0.235420,-0.001182,0.012369,0.079551
0.020000,0.415457,0.301839,0.416134,0.235378,-0.002096,-0.045704,0.080575
0.020000,0.420148,0.302220,0.420841,0.235336,-0.002098,-0.000088,0.081602
0.020000,0.424838,0.302606,0.425547,0.235294,-0.002100,-0.000090,0.082631
0.020000,0.429527,0.302997,0.430252,0.235252,-0.002101,-0.000092,0.083663
0.020000,0.434214,0.303392,0.434956,0.235210,-0.002103,-0.000094,0.084698
0.020000,0.438900,0.303792,0.439659,0.235168,-0.002105,-0.000097,0.085735
0.020000,0.443585,0.304197,0.444362,0.235126,-0.002107,-0.000099,0.086775
0.020000,0.448270,0.304607,0.449064,0.235104,-0.001071,0.051806,0.087818
0.020000,0.452953,0.305022,0.453765,0.235070,-0.001713,-0.032083,0.088864
0.020000,0.457634,0.305442,0.458466,0.235028,-0.002128,-0.020742,0.089913
0.020000,0.462315,0.305866,0.463166,0.234985,-0.002130,-0.000107,0.090964
0.020000,0.466994,0.306296,0.467865,0.234942,-0.002132,-0.000109,0.092018
0.020000,0.471672,0.306730,0.472563,0.234900,-0.002134,-0.000112,0.093075
0.020000,0.476349,0.307169,0.477260,0.234857,-0.002136,-0.000114,0.094134
0.020000,0.481024,0.307613,0.481956,0.234814,-0.002139,-0.000116,0.095196
0.020000,0.485698,0.308061,0.486651,0.234771,-0.002141,-0.000118,0.096262
0.020000,0.490371,0.308515,0.491346,0.234741,-0.001537,0.030222,0.097329
0.020000,0.495042,0.308974,0.496040,0.234712,-0.001425,0.005599,0.098400
0.020000,0.499713,0.309437,0.500734,0.234669,-0.002162,-0.036890,0.099474
0.020000,0.504382,0.309906,0.505426,0.234625,-0.002165,-0.000126,0.100550
0.020000,0.509050,0.310379,0.510118,0.234582,-0.002168,-0.000128,0.101630
0.020000,0.513716,0.310858,0.514809,0.234539,-0.002170,-0.000131,0.102712
0.020000,0.518381,0.311341,0.519499,0.234495,-0.002173,-0.000133,0.103797
0.020000,0.523044,0.311830,0.524188,0.234452,-0.002176,-0.000135,0.104885
0.020000,0.527707,0.312323,0.528876,0.234408,-0.002178,-0.000137,0.105975
0.020000,0.532367,0.312821,0.533563,0.234365,-0.002181,-0.000139,0.107069
0.020000,0.537027,0.313325,0.538250,0.234333,-0.001585,0.029819,0.108165
0.020000,0.541685,0.313833,0.542936,0.234301,-0.001578,0.000326,0.109265
0.020000,0.546342,0.314347,0.547621,0.234257,-0.002204,-0.031268,0.110367
0.020000,0.550998,0.314865,0.552305,0.234213,-0.002206,-0.000147,0.111473
0.020000,0.555652,0.315389,0.556989,0.234169,-0.002209,-0.000149,0.112581
0.020000,0.560304,0.315917,0.561671,0.234125,-0.002212,-0.000151,0.113692
0.020000,0.564955,0.316451,0.566353,0.234080,-0.002216,-0.000153,0.114806
0.020000,0.569605,0.316990,0.571033,0.234036,-0.002219,-0.000155,0.115923
0.020000,0.574253,0.317534,0.575713,0.233992,-0.002222,-0.000157,0.117043
0.020000,0.578900,0.318083,0.580392,0.233947,-0.002225,-0.000160,0.118166
0.020000,0.583545,0.318637,0.585070,0.233903,-0.002228,-0.000162,0.119292
0.020000,0.588189,0.319196,0.589748,0.233872,-0.001544,0.034198,0.120421
0.020000,0.592831,0.319761,0.594424,0.233835,-0.001845,-0.015052,0.121553
0.020000,0.597472,0.320330,0.599100,0.233790,-0.002252,-0.020324,0.122688
0.020000,0.602111,0.320905,0.603775,0.233745,-0.002255,-0.000169,0.123827
0.020000,0.606749,0.321485,0.608449,0.233699,-0.002259,-0.000171,0.124968
0.020000,0.611386,0.322070,0.613122,0.233654,-0.002262,-0.000173,0.126112
0.020000,0.616020,0.322660,0.617794,0.233609,-0.002266,-0.000175,0.127259
0.020000,0.620654,0.323256,0.622466,0.233563,-0.002269,-0.000177,0.128409
0.020000,0.625285,0.323857,0.627136,0.233518,-0.002273,-0.000179,0.129563
