dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000002,0.000200,0.010000,0.500000,6.282187
0.020000,0.000000,0.000000,0.000010,0.000600,0.020000,0.500000,6.282188
0.020000,0.000000,0.000000,0.000028,0.001200,0.030000,0.500000,6.282191
0.020000,0.000000,0.000000,0.000060,0.002000,0.040000,0.500000,6.282196
0.020000,0.000000,0.000000,0.000110,0.003000,0.050000,0.500000,6.282204
0.020000,0.000000,0.000000,0.000182,0.004200,0.060000,0.500000,6.282216
0.020000,0.000000,0.000000,0.000280,0.005600,0.070000,0.500000,6.282232
0.020000,0.000000,0.000000,0.000408,0.007200,0.080000,0.500000,6.282253
0.020000,0.000000,0.000000,0.000570,0.009000,0.090000,0.500000,6.282280
0.020000,0.000000,0.000000,0.000770,0.011000,0.100000,0.500000,6.282312
0.020000,0.000000,0.000000,0.001012,0.013200,0.110000,0.500000,6.282352
0.020000,0.000000,0.000000,0.001300,0.015600,0.120000,0.500000,6.282399
0.020000,0.000000,0.000000,0.001638,0.018200,0.130000,0.500000,6.282455
0.020000,0.000000,0.000000,0.002030,0.021000,0.140000,0.500000,6.282519
0.020000,0.000000,0.000000,0.002480,0.024000,0.150000,0.500000,6.282592
0.020000,0.000000,0.000000,0.002992,0.027200,0.160000,0.500000,6.282676
0.020000,0.000000,0.000000,0.003570,0.030600,0.170000,0.500000,6.282771
0.020000,0.000000,0.000000,0.004218,0.034200,0.180000,0.500000,6.282877
0.020000,0.000000,0.000000,0.004940,0.038000,0.190000,0.500000,6.282996
0.020000,0.000000,0.000000,0.005740,0.042000,0.200000,0.500000,6.283127
0.020000,0.000526,0.000000,0.006622,0.046200,0.210000,0.500000,0.000086
0.020000,0.001495,0.000000,0.007590,0.050600,0.220000,0.500000,0.000245
0.020000,0.002553,0.000001,0.008648,0.055200,0.230000,0.500000,0.000419
0.020000,0.003705,0.000001,0.009800,0.060000,0.240000,0.500000,0.000608
0.020000,0.004954,0.000002,0.011050,0.065000,0.250000,0.500000,0.000814
0.020000,0.006304,0.000003,0.012400,0.070000,0.250000,0.000000,0.001036
0.020000,0.007755,0.000005,0.013850,0.075000,0.250000,-0.000000,0.001275
0.020000,0.009305,0.000007,0.015400,0.080000,0.250000,0.000000,0.001530
0.020000,0.010954,0.000010,0.017050,0.085000,0.250000,0.000000,0.001802
0.020000,0.012704,0.000013,0.018800,0.090000,0.250000,-0.000000,0.002091
0.020000,0.014555,0.000017,0.020650,0.095000,0.250000,0.000000,0.002396
0.020000,0.016505,0.000022,0.022600,0.100000,0.250000,0.000000,0.002718
0.020000,0.018554,0.000028,0.024650,0.105000,0.250000,-0.000000,0.003058
0.020000,0.020705,0.000035,0.026800,0.110000,0.250000,0.000000,0.003414
0.020000,0.022954,0.000043,0.029050,0.115000,0.250000,0.000000,0.003787
0.020000,0.025304,0.000053,0.031400,0.120000,0.250000,-0.000000,0.004177
0.020000,0.027755,0.000063,0.033850,0.125000,0.250000,0.000000,0.004584
0.020000,0.030304,0.000076,0.036400,0.130000,0.250000,0.000000,0.005008
0.020000,0.032955,0.000090,0.039050,0.135000,0.250000,0.000000,0.005450
0.020000,0.035704,0.000105,0.041800,0.140000,0.250000,0.000000,0.005909
0.020000,0.038554,0.000123,0.044650,0.145000,0.250000,-0.000000,0.006385
0.020000,0.041504,0.000142,0.047600,0.150000,0.250000,0.000000,0.006879
0.020000,0.044554,0.000164,0.050650,0.155000,0.250000,0.000000,0.007390
0.020000,0.047704,0.000188,0.053800,0.160000,0.250000,0.000000,0.007918
0.020000,0.050954,0.000215,0.057050,0.165000,0.250000,0.000000,0.008465
0.020000,0.054303,0.000244,0.060400,0.170000,0.250000,0.000000,0.009029
0.020000,0.057754,0.000276,0.063850,0.175000,0.250000,-0.000000,0.009611
0.020000,0.061303,0.000311,0.067400,0.180000,0.250000,0.000000,0.010210
0.020000,0.064953,0.000350,0.071050,0.185000,0.250000,0.000000,0.010828
0.020000,0.068703,0.000392,0.074800,0.190000,0.250000,0.000000,0.011464
0.020000,0.072550,0.000437,0.078648,0.194800,0.240000,-0.500000,0.012117
0.020000,0.076493,0.000486,0.082590,0.199400,0.230000,-0.500000,0.012789
0.020000,0.080524,0.000539,0.086622,0.203800,0.220000,-0.500000,0.013476
0.020000,0.084641,0.000596,0.090740,0.208000,0.210000,-0.500000,0.014180
0.020000,0.088841,0.000657,0.094940,0.212000,0.200000,-0.500000,0.014899
0.020000,0.093119,0.000722,0.099218,0.215800,0.190000,-0.500000,0.015633
0.020000,0.097470,0.000792,0.103570,0.219400,0.180000,-0.500000,0.016382
0.020000,0.101891,0.000866,0.107992,0.222800,0.170000,-0.500000,0.017144
0.020000,0.106379,0.000945,0.112480,0.226000,0.160000,-0.500000,0.017919
0.020000,0.110928,0.001028,0.117030,0.229000,0.150000,-0.500000,0.018707
0.020000,0.115535,0.001116,0.121638,0.231800,0.140000,-0.500000,0.019507
0.020000,0.120196,0.001209,0.126300,0.234400,0.130000,-0.500000,0.020317
0.020000,0.124907,0.001307,0.131012,0.236800,0.120000,-0.500000,0.021139
0.020000,0.129664,0.001409,0.135770,0.239000,0.110000,-0.500000,0.021971
0.020000,0.134463,0.001517,0.140570,0.241000,0.100000,-0.500000,0.022811
0.020000,0.139300,0.001629,0.145408,0.242800,0.090000,-0.500000,0.023661
0.020000,0.144170,0.001746,0.150280,0.244400,0.080000,-0.500000,0.024518
0.020000,0.149071,0.001869,0.155182,0.245800,0.070000,-0.500000,0.025384
0.020000,0.153997,0.001996,0.160110,0.247000,0.060000,-0.500000,0.026255
0.020000,0.158946,0.002128,0.165060,0.248000,0.050000,-0.500000,0.027133
0.020000,0.163912,0.002265,0.170028,0.248800,0.040000,-0.500000,0.028017
0.020000,0.168891,0.002407,0.175010,0.249400,0.030000,-0.500000,0.028904
0.020000,0.173881,0.002553,0.180002,0.249800,0.020000,-0.500000,0.029796
0.020000,0.178877,0.002704,0.185000,0.250000,0.010000,-0.500000,0.030692
0.020000,0.183875,0.002860,0.190000,0.250000,0.000000,-0.500000,0.031590
0.020000,0.188872,0.003020,0.195000,0.250000,0.000000,0.000000,0.032490
0.020000,0.193869,0.003185,0.200000,0.250000,0.000000,0.000000,0.033393
0.020000,0.198866,0.003354,0.205000,0.250000,0.000000,0.000000,0.034297
0.020000,0.203863,0.003528,0.210000,0.250000,0.000000,0.000000,0.035204
0.020000,0.208860,0.003706,0.215000,0.250000,0.000000,0.000000,0.036114
0.020000,0.213857,0.003889,0.220000,0.250000,0.000000,0.000000,0.037026
0.020000,0.218854,0.004076,0.225000,0.250000,0.000000,0.000000,0.037940
0.020000,0.223850,0.004268,0.230000,0.250000,0.000000,0.000000,0.038856
0.020000,0.228846,0.004465,0.235000,0.250000,0.000000,0.000000,0.039775
0.020000,0.233842,0.004666,0.240000,0.250000,0.000000,0.000000,0.040696
0.020000,0.238837,0.004872,0.245000,0.250000,0.000000,0.000000,0.041619
0.020000,0.243833,0.005082,0.250000,0.250000,0.000000,0.000000,0.042545
0.020000,0.248829,0.005297,0.255000,0.250000,0.000000,0.000000,0.043473
0.020000,0.253824,0.005517,0.260000,0.250000,0.000000,0.000000,0.044404
0.020000,0.258819,0.005741,0.265000,0.250000,0.000000,0.000000,0.045337
0.020000,0.263813,0.005970,0.270000,0.250000,0.000000,0.000000,0.046272
0.020000,0.268808,0.006203,0.275000,0.250000,0.000000,0.000000,0.047210
0.020000,0.273802,0.006442,0.280000,0.250000,0.000000,0.000000,0.048150
0.020000,0.278796,0.006685,0.285000,0.250000,0.000000,0.000000,0.049092
0.020000,0.283790,0.006932,0.290000,0.250000,0.000000,0.000000,0.050037
0.020000,0.288784,0.007185,0.295000,0.250000,0.000000,0.000000,0.050985
0.020000,0.293777,0.007442,0.300000,0.250000,0.000000,0.000000,0.051934
0.020000,0.298770,0.007704,0.305000,0.250000,0.000000,0.000000,0.052887
0.020000,0.303763,0.007971,0.310000,0.250000,0.000000,0.000000,0.053841
0.020000,0.308755,0.008242,0.315000,0.250000,0.000000,0.000000,0.054798
0.020000,0.313748,0.008518,0.320000,0.250000,0.000000,0.000000,0.055758
0.020000,0.318740,0.008799,0.325000,0.250000,0.000000,0.000000,0.056720
0.020000,0.323732,0.009085,0.330000,0.250000,0.000000,0.000000,0.057685
