dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000285,-0.285750,0.000002,0.000200,0.010000,0.500000,6.282187
0.020000,-0.000285,-0.285750,0.000002,0.000019,-0.009064,-0.953219,6.282188
0.020000,-0.000284,-0.285750,0.000003,0.000042,0.001170,0.511696,6.282191
0.020000,-0.000283,-0.285750,0.000005,0.000075,0.001637,0.023392,6.282196
0.020000,-0.000280,-0.285750,0.000007,0.000117,0.002105,0.023394,6.282204
0.020000,-0.000277,-0.285750,0.000010,0.000168,0.002573,0.023397,6.282216
0.020000,-0.000272,-0.285750,0.000015,0.000229,0.003041,0.023402,6.282232
0.020000,-0.000266,-0.285750,0.000021,0.000299,0.003509,0.023408,6.282253
0.020000,-0.000259,-0.285750,0.000029,0.000379,0.003978,0.023417,6.282280
0.020000,-0.000249,-0.285750,0.000038,0.000468,0.004446,0.023428,6.282312
0.020000,-0.000238,-0.285750,0.000049,0.000566,0.004915,0.023442,6.282352
0.020000,-0.000225,-0.285750,0.000063,0.000674,0.005384,0.023459,6.282399
0.020000,-0.000209,-0.285750,0.000079,0.000791,0.005854,0.023480,6.282455
0.020000,-0.000190,-0.285750,0.000097,0.000917,0.006324,0.023504,6.282519
0.020000,-0.000169,-0.285750,0.000118,0.001053,0.006795,0.023532,6.282592
0.020000,-0.000145,-0.285750,0.000142,0.001199,0.007266,0.023564,6.282676
0.020000,-0.000118,-0.285750,0.000169,0.001353,0.007738,0.023601,6.282771
0.020000,-0.000088,-0.285750,0.000199,0.001518,0.008211,0.023643,6.282877
0.020000,-0.000054,-0.285750,0.000233,0.001691,0.008685,0.023690,6.282996
0.020000,-0.000017,-0.285750,0.000271,0.001875,0.009159,0.023743,6.283127
0.020000,0.000551,-0.285750,0.000838,0.028380,1.325267,65.805378,0.000086
0.020000,0.001565,-0.285750,0.001852,0.050687,1.115347,-10.496015,0.000245
0.020000,0.002672,-0.285749,0.002960,0.055391,0.235232,-44.005725,0.000419
0.020000,0.003879,-0.285749,0.004166,0.060303,0.245595,0.518117,0.000608
0.020000,0.005187,-0.285748,0.005474,0.065422,0.255941,0.517298,0.000814
0.020000,0.006600,-0.285747,0.006887,0.070654,0.261589,0.282414,0.001036
0.020000,0.008119,-0.285745,0.008406,0.075936,0.264128,0.126966,0.001275
0.020000,0.009742,-0.285743,0.010029,0.081156,0.260985,-0.157170,0.001530
0.020000,0.011469,-0.285740,0.011757,0.086372,0.260812,-0.008636,0.001802
0.020000,0.013302,-0.285736,0.013589,0.091612,0.262000,0.059419,0.002091
0.020000,0.015239,-0.285732,0.015527,0.096890,0.263902,0.095101,0.002396
0.020000,0.017281,-0.285727,0.017569,0.102100,0.260487,-0.170788,0.002718
0.020000,0.019428,-0.285720,0.019715,0.107321,0.261038,0.027549,0.003058
0.020000,0.021680,-0.285713,0.021968,0.112619,0.264900,0.193124,0.003414
0.020000,0.024037,-0.285705,0.024324,0.117820,0.260060,-0.241992,0.003787
0.020000,0.026498,-0.285695,0.026785,0.123067,0.262346,0.114285,0.004177
0.020000,0.029065,-0.285684,0.029352,0.128336,0.263423,0.053876,0.004584
0.020000,0.031735,-0.285671,0.032023,0.133526,0.259533,-0.194526,0.005008
0.020000,0.034512,-0.285656,0.034799,0.138845,0.265925,0.319602,0.005450
0.020000,0.037393,-0.285640,0.037680,0.144034,0.259473,-0.322618,0.005909
0.020000,0.040379,-0.285621,0.040667,0.149322,0.264371,0.244906,0.006385
0.020000,0.043470,-0.285601,0.043757,0.154538,0.260841,-0.176491,0.006879
0.020000,0.046666,-0.285578,0.046954,0.159815,0.263834,0.149650,0.007390
0.020000,0.049967,-0.285553,0.050254,0.165037,0.261101,-0.136661,0.007918
0.020000,0.053373,-0.285525,0.053661,0.170323,0.264315,0.160713,0.008465
0.020000,0.056883,-0.285494,0.057171,0.175528,0.260251,-0.203177,0.009029
0.020000,0.060500,-0.285461,0.060788,0.180845,0.265814,0.278125,0.009611
0.020000,0.064221,-0.285424,0.064509,0.186045,0.259990,-0.291190,0.010210
0.020000,0.068047,-0.285383,0.068336,0.191343,0.264936,0.247302,0.010828
0.020000,0.071979,-0.285340,0.072268,0.196587,0.262203,-0.136675,0.011464
0.020000,0.076013,-0.285292,0.076302,0.201709,0.256064,-0.306951,0.012117
0.020000,0.080147,-0.285241,0.080436,0.206719,0.250522,-0.277079,0.012789
0.020000,0.084375,-0.285185,0.084665,0.211421,0.235087,-0.771761,0.013476
0.020000,0.088693,-0.285125,0.088983,0.215924,0.225181,-0.495303,0.014180
0.020000,0.093099,-0.285061,0.093389,0.220308,0.219162,-0.300965,0.014899
0.020000,0.097586,-0.284993,0.097877,0.224393,0.204246,-0.745758,0.015633
0.020000,0.102151,-0.284920,0.102443,0.228273,0.194000,-0.512301,0.016382
0.020000,0.106790,-0.284842,0.107083,0.231992,0.185988,-0.400639,0.017144
0.020000,0.111499,-0.284759,0.111792,0.235495,0.175128,-0.542981,0.017919
0.020000,0.116274,-0.284672,0.116568,0.238754,0.162957,-0.608562,0.018707
0.020000,0.121109,-0.284580,0.121404,0.241807,0.152638,-0.515934,0.019507
0.020000,0.126001,-0.284482,0.126297,0.244679,0.143625,-0.450626,0.020317
0.020000,0.130947,-0.284380,0.131244,0.247358,0.133928,-0.484861,0.021139
0.020000,0.135942,-0.284272,0.136240,0.249787,0.121440,-0.624391,0.021971
0.020000,0.140981,-0.284159,0.141280,0.252008,0.111064,-0.518842,0.022811
0.020000,0.146060,-0.284041,0.146361,0.254021,0.100672,-0.519606,0.023661
0.020000,0.151175,-0.283918,0.151478,0.255846,0.091258,-0.470679,0.024518
0.020000,0.156323,-0.283789,0.156627,0.257478,0.081596,-0.483083,0.025384
0.020000,0.161499,-0.283656,0.161805,0.258865,0.069327,-0.613487,0.026255
0.020000,0.166698,-0.283517,0.167005,0.260043,0.058889,-0.521863,0.027133
0.020000,0.171916,-0.283373,0.172226,0.261012,0.048439,-0.522501,0.028017
0.020000,0.177150,-0.283224,0.177461,0.261771,0.037977,-0.523123,0.028904
0.020000,0.182394,-0.283070,0.182708,0.262339,0.028394,-0.479139,0.029796
0.020000,0.187646,-0.282911,0.187962,0.262710,0.018540,-0.492701,0.030692
0.020000,0.192900,-0.282747,0.193219,0.262840,0.006497,-0.602144,0.031590
0.020000,0.198155,-0.282579,0.198476,0.262865,0.001255,-0.262099,0.032490
0.020000,0.203410,-0.282406,0.203734,0.262890,0.001266,0.000565,0.033393
0.020000,0.208665,-0.282228,0.208992,0.262916,0.001278,0.000565,0.034297
0.020000,0.213921,-0.282045,0.214251,0.262941,0.001289,0.000565,0.035204
0.020000,0.219177,-0.281858,0.219511,0.263008,0.003312,0.101170,0.036114
0.020000,0.224435,-0.281665,0.224772,0.263040,0.001618,-0.084717,0.037026
0.020000,0.229692,-0.281468,0.230033,0.263066,0.001308,-0.015504,0.037940
0.020000,0.234950,-0.281266,0.235295,0.263093,0.001319,0.000563,0.038856
0.020000,0.240209,-0.281059,0.240558,0.263119,0.001331,0.000562,0.039775
0.020000,0.245467,-0.280848,0.245821,0.263146,0.001342,0.000562,0.040696
0.020000,0.250726,-0.280631,0.251084,0.263180,0.001684,0.017119,0.041619
0.020000,0.255987,-0.280410,0.256349,0.263245,0.003274,0.079504,0.042545
0.020000,0.261247,-0.280183,0.261614,0.263272,0.001361,-0.095685,0.043473
0.020000,0.266508,-0.279952,0.266880,0.263300,0.001372,0.000559,0.044404
0.020000,0.271769,-0.279716,0.272147,0.263328,0.001383,0.000559,0.045337
0.020000,0.277031,-0.279474,0.277414,0.263355,0.001394,0.000559,0.046272
0.020000,0.282293,-0.279228,0.282682,0.263384,0.001405,0.000558,0.047210
0.020000,0.287555,-0.278977,0.287950,0.263420,0.001849,0.022174,0.048150
0.020000,0.292819,-0.278721,0.293220,0.263483,0.003144,0.064777,0.049092
0.020000,0.298083,-0.278460,0.298490,0.263512,0.001424,-0.086026,0.050037
0.020000,0.303347,-0.278194,0.303761,0.263541,0.001435,0.000556,0.050985
0.020000,0.308611,-0.277923,0.309032,0.263569,0.001446,0.000555,0.051934
0.020000,0.313876,-0.277647,0.314304,0.263599,0.001457,0.000555,0.052887
0.020000,0.319141,-0.277365,0.319577,0.263628,0.001468,0.000554,0.053841
0.020000,0.324406,-0.277079,0.324850,0.263658,0.001479,0.000554,0.054798
0.020000,0.329673,-0.276788,0.330125,0.263728,0.003534,0.102734,0.055758
0.020000,0.334939,-0.276491,0.335400,0.263758,0.001500,-0.101702,0.056720
0.020000,0.340207,-0.276189,0.340675,0.263788,0.001497,-0.000125,0.057685
0.020000,0.345474,-0.275883,0.345952,0.263818,0.001508,0.000551,0.058652
0.020000,0.350742,-0.275571,0.351229,0.263849,0.001519,0.000550,0.059622
0.020000,0.356010,-0.275254,0.356506,0.263879,0.001530,0.000550,0.060594
0.020000,0.361278,-0.274932,0.361785,0.263910,0.001541,0.000549,0.061568
0.020000,0.366547,-0.274604,0.367064,0.263960,0.002517,0.048766,0.062545
0.020000,0.371817,-0.274272,0.372344,0.264011,0.002550,0.001645,0.063525
0.020000,0.377087,-0.273934,0.377625,0.264043,0.001559,-0.049519,0.064507
0.020000,0.382357,-0.273591,0.382906,0.264074,0.001570,0.000546,0.065492
0.020000,0.387628,-0.273242,0.388188,0.264106,0.001581,0.000545,0.066479
0.020000,0.392899,-0.272889,0.393471,0.264138,0.001592,0.000545,0.067469
0.020000,0.398170,-0.272530,0.398755,0.264170,0.001603,0.000544,0.068462
0.020000,0.403442,-0.272166,0.404039,0.264202,0.001614,0.000543,0.069457
0.020000,0.408714,-0.271797,0.409324,0.264259,0.002834,0.060999,0.070454
0.020000,0.413987,-0.271422,0.414610,0.264304,0.002271,-0.028138,0.071455
0.020000,0.419260,-0.271042,0.419897,0.264337,0.001631,-0.031987,0.072457
0.020000,0.424533,-0.270656,0.425184,0.264369,0.001642,0.000540,0.073463
0.020000,0.429807,-0.270265,0.430472,0.264402,0.001653,0.000539,0.074471
0.020000,0.435080,-0.269869,0.435761,0.264436,0.001663,0.000538,0.075482
0.020000,0.440355,-0.269468,0.441050,0.264469,0.001674,0.000538,0.076495
0.020000,0.445629,-0.269061,0.446340,0.264503,0.001685,0.000537,0.077511
0.020000,0.450904,-0.268648,0.451631,0.264551,0.002425,0.037003,0.078530
0.020000,0.456179,-0.268231,0.456923,0.264606,0.002716,0.014568,0.079551
0.020000,0.461455,-0.267807,0.462216,0.264640,0.001702,-0.050716,0.080575
0.020000,0.466731,-0.267379,0.467510,0.264674,0.001713,0.000533,0.081602
0.020000,0.472008,-0.266944,0.472804,0.264709,0.001723,0.000532,0.082631
0.020000,0.477284,-0.266505,0.478099,0.264743,0.001734,0.000532,0.083663
0.020000,0.482561,-0.266059,0.483394,0.264778,0.001745,0.000531,0.084698
0.020000,0.487838,-0.265609,0.488691,0.264813,0.001755,0.000530,0.085735
0.020000,0.493115,-0.265152,0.493987,0.264848,0.001766,0.000529,0.086775
0.020000,0.498393,-0.264690,0.499286,0.264907,0.002946,0.059024,0.087818
0.020000,0.503672,-0.264223,0.504585,0.264952,0.002237,-0.035468,0.088864
0.020000,0.508950,-0.263750,0.509884,0.264988,0.001782,-0.022723,0.089913
0.020000,0.514229,-0.263271,0.515185,0.265024,0.001793,0.000525,0.090964
0.020000,0.519508,-0.262787,0.520486,0.265060,0.001803,0.000524,0.092018
0.020000,0.524787,-0.262297,0.525788,0.265096,0.001814,0.000523,0.093075
0.020000,0.530067,-0.261801,0.531091,0.265133,0.001824,0.000522,0.094134
0.020000,0.535347,-0.261300,0.536394,0.265169,0.001835,0.000521,0.095196
0.020000,0.540626,-0.260793,0.541698,0.265206,0.001845,0.000520,0.096262
0.020000,0.545907,-0.260280,0.547003,0.265257,0.002541,0.034811,0.097329
0.020000,0.551187,-0.259762,0.552310,0.265311,0.002682,0.007019,0.098400
0.020000,0.556468,-0.259237,0.557616,0.265348,0.001861,-0.041022,0.099474
0.020000,0.561750,-0.258707,0.562924,0.265385,0.001872,0.000516,0.100550
0.020000,0.567031,-0.258172,0.568233,0.265423,0.001882,0.000514,0.101630
0.020000,0.572313,-0.257630,0.573542,0.265461,0.001892,0.000513,0.102712
0.020000,0.577594,-0.257083,0.578852,0.265499,0.001902,0.000512,0.103797
0.020000,0.582876,-0.256530,0.584163,0.265537,0.001913,0.000511,0.104885
0.020000,0.588158,-0.255971,0.589474,0.265575,0.001923,0.000510,0.105975
0.020000,0.593440,-0.255406,0.594786,0.265614,0.001933,0.000509,0.107069
0.020000,0.598723,-0.254835,0.600100,0.265667,0.002623,0.034480,0.108165
0.020000,0.604006,-0.254259,0.605414,0.265719,0.002644,0.001073,0.109265
0.020000,0.609289,-0.253676,0.610729,0.265758,0.001949,-0.034774,0.110367
0.020000,0.614572,-0.253088,0.616045,0.265798,0.001959,0.000504,0.111473
0.020000,0.619856,-0.252493,0.621362,0.265837,0.001969,0.000503,0.112581
0.020000,0.625139,-0.251893,0.626679,0.265877,0.001979,0.000502,0.113692
0.020000,0.630423,-0.251287,0.631998,0.265916,0.001989,0.000500,0.114806
0.020000,0.635707,-0.250674,0.637317,0.265956,0.001999,0.000499,0.115923
0.020000,0.640991,-0.250056,0.642637,0.265996,0.002009,0.000498,0.117043
0.020000,0.646275,-0.249432,0.647958,0.266037,0.002019,0.000496,0.118166
0.020000,0.651559,-0.248802,0.653279,0.266077,0.002029,0.000495,0.119292
0.020000,0.656843,-0.248165,0.658602,0.266134,0.002821,0.039603,0.120421
0.020000,0.662128,-0.247523,0.663925,0.266184,0.002492,-0.016415,0.121553
0.020000,0.667413,-0.246874,0.669250,0.266225,0.002043,-0.022443,0.122688
0.020000,0.672698,-0.246219,0.674575,0.266266,0.002053,0.000490,0.123827
0.020000,0.677983,-0.245558,0.679901,0.266307,0.002063,0.000488,0.124968
0.020000,0.683268,-0.244891,0.685228,0.266348,0.002073,0.000487,0.126112
0.020000,0.688553,-0.244218,0.690556,0.266390,0.002082,0.000486,0.127259
0.020000,0.693838,-0.243539,0.695885,0.266432,0.002092,0.000484,0.128409
