dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.819632,3.532222,0.000002,0.000200,0.010000,0.500000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,-0.010000,-1.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.500000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819632,3.532222,0.000002,0.000000,0.000000,0.000000,0.000000
0.020000,1.819726,3.532222,0.000096,0.004679,0.233933,11.696636,0.000000
0.020000,1.820374,3.532222,0.000744,0.032400,1.386067,57.606728,0.000000
0.020000,1.821096,3.532222,0.001466,0.036100,0.185000,-60.053364,0.000000
0.020000,1.821896,3.532222,0.002266,0.040000,0.195000,0.500000,0.000000
0.020000,1.822778,3.532222,0.003148,0.044100,0.205000,0.500000,0.000000
0.020000,1.823746,3.532222,0.004116,0.048400,0.215000,0.500000,0.000000
0.020000,1.824804,3.532222,0.005174,0.052900,0.225000,0.500000,0.000000
0.020000,1.825956,3.532222,0.006326,0.057600,0.235000,0.500000,0.000000
0.020000,1.827206,3.532222,0.007576,0.062500,0.245000,0.500000,0.000000
0.020000,1.828556,3.532222,0.008926,0.067500,0.250000,0.250000,0.000000
0.020000,1.830006,3.532222,0.010376,0.072500,0.250000,0.000000,0.000000
0.020000,1.831556,3.532222,0.011926,0.077500,0.250000,0.000000,0.000000
0.020000,1.833206,3.532222,0.013576,0.082500,0.250000,-0.000000,0.000000
0.020000,1.834956,3.532222,0.015326,0.087500,0.250000,0.000000,0.000000
0.020000,1.836806,3.532222,0.017176,0.092500,0.250000,0.000000,0.000000
0.020000,1.838756,3.532222,0.019126,0.097500,0.250000,-0.000000,0.000000
0.020000,1.840806,3.532222,0.021176,0.102500,0.250000,0.000000,0.000000
0.020000,1.842956,3.532222,0.023326,0.107500,0.250000,-0.000000,0.000000
0.020000,1.845206,3.532222,0.025576,0.112500,0.250000,0.000000,0.000000
0.020000,1.847556,3.532222,0.027926,0.117500,0.250000,-0.000000,0.000000
0.020000,1.850006,3.532222,0.030376,0.122500,0.250000,-0.000000,0.000000
0.020000,1.852556,3.532222,0.032926,0.127500,0.250000,0.000000,0.000000
0.020000,1.855206,3.532222,0.035576,0.132500,0.250000,-0.000000,0.000000
0.020000,1.857956,3.532222,0.038326,0.137500,0.250000,0.000000,0.000000
0.020000,1.860806,3.532222,0.041176,0.142500,0.250000,0.000000,0.000000
0.020000,1.863756,3.532222,0.044126,0.147500,0.250000,-0.000000,0.000000
0.020000,1.866806,3.532222,0.047176,0.152500,0.250000,0.000000,0.000000
0.020000,1.869956,3.532222,0.050326,0.157500,0.250000,0.000000,0.000000
0.020000,1.873206,3.532222,0.053576,0.162500,0.250000,-0.000000,0.000000
0.020000,1.876556,3.532222,0.056926,0.167500,0.250000,0.000000,0.000000
0.020000,1.880006,3.532222,0.060376,0.172500,0.250000,0.000000,0.000000
0.020000,1.883556,3.532222,0.063926,0.177500,0.250000,0.000000,0.000000
0.020000,1.887206,3.532222,0.067576,0.182500,0.250000,0.000000,0.000000
0.020000,1.890956,3.532222,0.071326,0.187500,0.250000,-0.000000,0.000000
