dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.576672,3.304143,0.000002,0.000200,0.010000,0.500000,6.281821
0.020000,1.576671,3.304143,0.000003,0.000040,-0.007985,-0.899225,6.281824
0.020000,1.576670,3.304143,0.000005,0.000091,0.002519,0.525193,6.281830
0.020000,1.576666,3.304143,0.000008,0.000161,0.003527,0.050384,6.281841
0.020000,1.576661,3.304143,0.000013,0.000252,0.004535,0.050379,6.281859
0.020000,1.576654,3.304143,0.000020,0.000363,0.005542,0.050372,6.281884
0.020000,1.576644,3.304143,0.000030,0.000494,0.006549,0.050360,6.281919
0.020000,1.576631,3.304143,0.000043,0.000645,0.007556,0.050344,6.281964
0.020000,1.576615,3.304143,0.000059,0.000816,0.008563,0.050323,6.282021
0.020000,1.576595,3.304143,0.000079,0.001008,0.009569,0.050297,6.282092
0.020000,1.576570,3.304143,0.000104,0.001219,0.010574,0.050263,6.282177
0.020000,1.576541,3.304143,0.000133,0.001451,0.011578,0.050222,6.282278
0.020000,1.576507,3.304143,0.000167,0.001702,0.012582,0.050172,6.282398
0.020000,1.576468,3.304143,0.000206,0.001974,0.013584,0.050114,6.282536
0.020000,1.576423,3.304143,0.000252,0.002266,0.014585,0.050046,6.282694
0.020000,1.576371,3.304143,0.000303,0.002577,0.015584,0.049967,6.282875
0.020000,1.576313,3.304143,0.000361,0.002909,0.016582,0.049877,6.283078
0.020000,1.576592,3.304143,0.000640,0.013946,0.551842,26.763016,0.000121
0.020000,1.577241,3.304144,0.001290,0.032471,0.926271,18.721459,0.000375
0.020000,1.577961,3.304144,0.002009,0.035978,0.175334,-37.546872,0.000657
0.020000,1.578754,3.304145,0.002803,0.039664,0.184308,0.448723,0.000967
0.020000,1.579625,3.304146,0.003673,0.043530,0.193279,0.448555,0.001308
0.020000,1.580576,3.304147,0.004625,0.047587,0.202868,0.479413,0.001680
0.020000,1.581613,3.304149,0.005661,0.051815,0.211383,0.425792,0.002085
0.020000,1.582737,3.304152,0.006786,0.056219,0.220237,0.442684,0.002525
0.020000,1.583953,3.304155,0.008002,0.060814,0.229730,0.474640,0.003000
0.020000,1.585265,3.304159,0.009314,0.065586,0.238609,0.443967,0.003512
0.020000,1.586676,3.304165,0.010724,0.070530,0.247170,0.428050,0.004062
0.020000,1.588189,3.304171,0.012238,0.075674,0.257215,0.502212,0.004652
0.020000,1.589809,3.304179,0.013857,0.080977,0.265177,0.398132,0.005283
0.020000,1.591538,3.304189,0.015587,0.086479,0.275062,0.494263,0.005957
0.020000,1.593381,3.304201,0.017430,0.092146,0.283390,0.416355,0.006675
0.020000,1.595341,3.304214,0.019390,0.098011,0.293236,0.492298,0.007437
0.020000,1.597422,3.304231,0.021471,0.104040,0.301438,0.410111,0.008246
0.020000,1.599627,3.304250,0.023676,0.110268,0.311383,0.497241,0.009102
0.020000,1.601960,3.304272,0.026009,0.116665,0.319897,0.425738,0.010007
0.020000,1.604425,3.304298,0.028474,0.123244,0.328908,0.450524,0.010963
0.020000,1.607025,3.304328,0.031074,0.130014,0.338522,0.480731,0.011970
0.020000,1.609764,3.304362,0.033814,0.136962,0.347390,0.443383,0.013030
0.020000,1.612646,3.304401,0.036695,0.144089,0.356369,0.448958,0.014143
0.020000,1.615673,3.304446,0.039723,0.151400,0.365558,0.459428,0.015312
0.020000,1.618851,3.304496,0.042901,0.158895,0.374746,0.459390,0.016537
0.020000,1.622182,3.304554,0.046233,0.166574,0.383933,0.459359,0.017820
0.020000,1.625670,3.304618,0.049722,0.174436,0.393120,0.459340,0.019161
0.020000,1.629319,3.304691,0.053371,0.182482,0.402306,0.459337,0.020562
0.020000,1.633132,3.304772,0.057186,0.190712,0.411493,0.459355,0.022024
0.020000,1.637114,3.304863,0.061168,0.199126,0.420681,0.459399,0.023548
0.020000,1.641267,3.304964,0.065322,0.207723,0.429871,0.459476,0.025135
0.020000,1.645596,3.305076,0.069653,0.216505,0.439063,0.459590,0.026787
0.020000,1.650104,3.305201,0.074162,0.225480,0.448770,0.485357,0.028503
0.020000,1.654791,3.305339,0.078851,0.234454,0.448705,-0.003242,0.030284
0.020000,1.659653,3.305490,0.083716,0.243248,0.439698,-0.450370,0.032128
0.020000,1.664688,3.305657,0.088754,0.251884,0.431787,-0.395511,0.034033
0.020000,1.669892,3.305839,0.093960,0.260327,0.422144,-0.482181,0.035998
0.020000,1.675260,3.306038,0.099333,0.268612,0.414258,-0.394281,0.038020
0.020000,1.680790,3.306254,0.104867,0.276707,0.404780,-0.473917,0.040098
0.020000,1.686478,3.306488,0.110560,0.284644,0.396807,-0.398633,0.042230
0.020000,1.692321,3.306742,0.116408,0.292397,0.387665,-0.457095,0.044414
0.020000,1.698314,3.307015,0.122407,0.299975,0.378926,-0.436979,0.046648
0.020000,1.704455,3.307308,0.128555,0.307386,0.370517,-0.420448,0.048931
0.020000,1.710739,3.307624,0.134847,0.314623,0.361852,-0.433218,0.051260
0.020000,1.717164,3.307961,0.141281,0.321682,0.352974,-0.443939,0.053634
0.020000,1.723725,3.308321,0.147852,0.328569,0.344335,-0.431932,0.056051
0.020000,1.730420,3.308705,0.154558,0.335283,0.335686,-0.432459,0.058509
0.020000,1.737244,3.309113,0.161394,0.341823,0.327027,-0.432938,0.061006
0.020000,1.744195,3.309547,0.168358,0.348190,0.318359,-0.433373,0.063540
0.020000,1.751267,3.310006,0.175446,0.354384,0.309684,-0.433772,0.066110
0.020000,1.758459,3.310491,0.182654,0.360404,0.301001,-0.434140,0.068713
0.020000,1.765766,3.311004,0.189979,0.366250,0.292312,-0.434484,0.071348
0.020000,1.773185,3.311544,0.197418,0.371923,0.283615,-0.434808,0.074013
0.020000,1.780712,3.312112,0.204966,0.377421,0.274913,-0.435118,0.076706
0.020000,1.788344,3.312709,0.212621,0.382750,0.266430,-0.424153,0.079426
0.020000,1.796076,3.313335,0.220379,0.387902,0.257619,-0.440574,0.082169
0.020000,1.803907,3.313991,0.228237,0.392878,0.248797,-0.441091,0.084935
0.020000,1.811831,3.314677,0.236190,0.397679,0.240066,-0.436529,0.087722
0.020000,1.819845,3.315393,0.244236,0.402313,0.231701,-0.418255,0.090528
0.020000,1.827946,3.316140,0.252372,0.406767,0.222678,-0.451145,0.093351
0.020000,1.836130,3.316918,0.260593,0.411044,0.213847,-0.441542,0.096190
0.020000,1.844393,3.317727,0.268896,0.415155,0.205573,-0.413700,0.099042
0.020000,1.852733,3.318568,0.277277,0.419082,0.196343,-0.461497,0.101905
0.020000,1.861144,3.319440,0.285734,0.422839,0.187826,-0.425878,0.104779
0.020000,1.869625,3.320345,0.294262,0.426419,0.179007,-0.440957,0.107662
0.020000,1.878170,3.321281,0.302859,0.429822,0.170146,-0.443050,0.110551
0.020000,1.886777,3.322249,0.311520,0.433051,0.161494,-0.432560,0.113445
0.020000,1.895441,3.323249,0.320242,0.436102,0.152502,-0.449617,0.116342
0.020000,1.904160,3.324280,0.329022,0.438978,0.143831,-0.433537,0.119241
0.020000,1.912929,3.325344,0.337855,0.441675,0.134867,-0.448222,0.122141
0.020000,1.921745,3.326439,0.346739,0.444196,0.126038,-0.441441,0.125039
