dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.576282,3.018393,0.000002,0.000200,0.010000,0.500000,6.281821
0.020000,1.576282,3.018393,0.000010,0.000600,0.020000,0.500000,6.281824
0.020000,1.576282,3.018393,0.000028,0.001200,0.030000,0.500000,6.281830
0.020000,1.576282,3.018393,0.000060,0.002000,0.040000,0.500000,6.281841
0.020000,1.576282,3.018393,0.000110,0.003000,0.050000,0.500000,6.281859
0.020000,1.576282,3.018393,0.000182,0.004200,0.060000,0.500000,6.281884
0.020000,1.576282,3.018393,0.000280,0.005600,0.070000,0.500000,6.281919
0.020000,1.576282,3.018393,0.000408,0.007200,0.080000,0.500000,6.281964
0.020000,1.576282,3.018393,0.000570,0.009000,0.090000,0.500000,6.282021
0.020000,1.576282,3.018393,0.000770,0.011000,0.100000,0.500000,6.282092
0.020000,1.576282,3.018393,0.001012,0.013200,0.110000,0.500000,6.282177
0.020000,1.576282,3.018393,0.001300,0.015600,0.120000,0.500000,6.282278
0.020000,1.576282,3.018393,0.001638,0.018200,0.130000,0.500000,6.282398
0.020000,1.576282,3.018393,0.002030,0.021000,0.140000,0.500000,6.282536
0.020000,1.576282,3.018393,0.002480,0.024000,0.150000,0.500000,6.282694
0.020000,1.576282,3.018393,0.002992,0.027200,0.160000,0.500000,6.282875
0.020000,1.576282,3.018393,0.003570,0.030600,0.170000,0.500000,6.283078
0.020000,1.576626,3.018393,0.004218,0.034200,0.180000,0.500000,0.000121
0.020000,1.577348,3.018394,0.004940,0.038000,0.190000,0.500000,0.000375
0.020000,1.578149,3.018394,0.005740,0.042000,0.200000,0.500000,0.000657
0.020000,1.579030,3.018395,0.006622,0.046200,0.210000,0.500000,0.000967
0.020000,1.579998,3.018396,0.007590,0.050600,0.220000,0.500000,0.001308
0.020000,1.581056,3.018397,0.008648,0.055200,0.230000,0.500000,0.001680
0.020000,1.582208,3.018400,0.009800,0.060000,0.240000,0.500000,0.002085
0.020000,1.583458,3.018403,0.011050,0.065000,0.250000,0.500000,0.002525
0.020000,1.584810,3.018406,0.012402,0.070200,0.260000,0.500000,0.003000
0.020000,1.586268,3.018411,0.013860,0.075600,0.270000,0.500000,0.003512
0.020000,1.587836,3.018417,0.015428,0.081200,0.280000,0.500000,0.004062
0.020000,1.589518,3.018424,0.017110,0.087000,0.290000,0.500000,0.004652
0.020000,1.591318,3.018433,0.018910,0.093000,0.300000,0.500000,0.005283
0.020000,1.593240,3.018444,0.020832,0.099200,0.310000,0.500000,0.005957
0.020000,1.595288,3.018457,0.022880,0.105600,0.320000,0.500000,0.006675
0.020000,1.597466,3.018472,0.025058,0.112200,0.330000,0.500000,0.007437
0.020000,1.599778,3.018490,0.027370,0.119000,0.340000,0.500000,0.008246
0.020000,1.602228,3.018512,0.029820,0.126000,0.350000,0.500000,0.009102
0.020000,1.604820,3.018536,0.032412,0.133200,0.360000,0.500000,0.010007
0.020000,1.607558,3.018565,0.035150,0.140600,0.370000,0.500000,0.010963
0.020000,1.610446,3.018598,0.038038,0.148200,0.380000,0.500000,0.011970
0.020000,1.613487,3.018636,0.041080,0.156000,0.390000,0.500000,0.013030
0.020000,1.616687,3.018680,0.044280,0.164000,0.400000,0.500000,0.014143
0.020000,1.620049,3.018729,0.047642,0.172200,0.410000,0.500000,0.015312
0.020000,1.623576,3.018785,0.051170,0.180600,0.420000,0.500000,0.016537
0.020000,1.627274,3.018849,0.054868,0.189200,0.430000,0.500000,0.017820
0.020000,1.631145,3.018921,0.058740,0.198000,0.440000,0.500000,0.019161
0.020000,1.635194,3.019001,0.062790,0.207000,0.450000,0.500000,0.020562
0.020000,1.639425,3.019091,0.067022,0.216200,0.460000,0.500000,0.022024
0.020000,1.643842,3.019192,0.071440,0.225600,0.470000,0.500000,0.023548
0.020000,1.648449,3.019304,0.076048,0.235200,0.480000,0.500000,0.025135
0.020000,1.653249,3.019429,0.080850,0.245000,0.490000,0.500000,0.026787
0.020000,1.658247,3.019567,0.085850,0.255000,0.500000,0.500000,0.028503
0.020000,1.663443,3.019720,0.091048,0.264800,0.490000,-0.500000,0.030284
0.020000,1.668832,3.019888,0.096440,0.274400,0.480000,-0.500000,0.032128
0.020000,1.674411,3.020072,0.102022,0.283800,0.470000,-0.500000,0.034033
0.020000,1.680176,3.020274,0.107790,0.293000,0.460000,-0.500000,0.035998
0.020000,1.686122,3.020495,0.113740,0.302000,0.450000,-0.500000,0.038020
0.020000,1.692245,3.020734,0.119868,0.310800,0.440000,-0.500000,0.040098
0.020000,1.698542,3.020993,0.126170,0.319400,0.430000,-0.500000,0.042230
0.020000,1.705008,3.021273,0.132642,0.327800,0.420000,-0.500000,0.044414
0.020000,1.711639,3.021576,0.139280,0.336000,0.410000,-0.500000,0.046648
0.020000,1.718431,3.021900,0.146080,0.344000,0.400000,-0.500000,0.048931
0.020000,1.725380,3.022249,0.153038,0.351800,0.390000,-0.500000,0.051260
0.020000,1.732482,3.022622,0.160150,0.359400,0.380000,-0.500000,0.053634
0.020000,1.739734,3.023020,0.167412,0.366800,0.370000,-0.500000,0.056051
0.020000,1.747129,3.023444,0.174820,0.374000,0.360000,-0.500000,0.058509
0.020000,1.754666,3.023895,0.182370,0.381000,0.350000,-0.500000,0.061006
0.020000,1.762339,3.024373,0.190058,0.387800,0.340000,-0.500000,0.063540
0.020000,1.770145,3.024880,0.197880,0.394400,0.330000,-0.500000,0.066110
0.020000,1.778079,3.025416,0.205832,0.400800,0.320000,-0.500000,0.068713
0.020000,1.786137,3.025981,0.213910,0.407000,0.310000,-0.500000,0.071348
0.020000,1.794315,3.026576,0.222110,0.413000,0.300000,-0.500000,0.074013
0.020000,1.802609,3.027203,0.230428,0.418800,0.290000,-0.500000,0.076706
0.020000,1.811016,3.027860,0.238860,0.424400,0.280000,-0.500000,0.079426
0.020000,1.819530,3.028550,0.247402,0.429800,0.270000,-0.500000,0.082169
0.020000,1.828148,3.029271,0.256050,0.435000,0.260000,-0.500000,0.084935
0.020000,1.836865,3.030026,0.264800,0.440000,0.250000,-0.500000,0.087722
0.020000,1.845678,3.030813,0.273648,0.444800,0.240000,-0.500000,0.090528
0.020000,1.854582,3.031634,0.282590,0.449400,0.230000,-0.500000,0.093351
0.020000,1.863574,3.032489,0.291622,0.453800,0.220000,-0.500000,0.096190
0.020000,1.872648,3.033378,0.300740,0.458000,0.210000,-0.500000,0.099042
0.020000,1.881802,3.034300,0.309940,0.462000,0.200000,-0.500000,0.101905
0.020000,1.891030,3.035258,0.319218,0.465800,0.190000,-0.500000,0.104779
0.020000,1.900330,3.036249,0.328570,0.469400,0.180000,-0.500000,0.107662
0.020000,1.909696,3.037275,0.337992,0.472800,0.170000,-0.500000,0.110551
0.020000,1.919124,3.038335,0.347480,0.476000,0.160000,-0.500000,0.113445
0.020000,1.928611,3.039430,0.357030,0.479000,0.150000,-0.500000,0.116342
0.020000,1.938153,3.040559,0.366638,0.481800,0.140000,-0.500000,0.119241
0.020000,1.947744,3.041723,0.376300,0.484400,0.130000,-0.500000,0.122141
0.020000,1.957382,3.042920,0.386012,0.486800,0.120000,-0.500000,0.125039
0.020000,1.967062,3.044151,0.395770,0.489000,0.110000,-0.500000,0.127933
0.020000,1.976780,3.045415,0.405570,0.491000,0.100000,-0.500000,0.130824
0.020000,1.986532,3.046713,0.415408,0.492800,0.090000,-0.500000,0.133708
0.020000,1.996314,3.048043,0.425280,0.494400,0.080000,-0.500000,0.136584
0.020000,2.006122,3.049405,0.435182,0.495800,0.070000,-0.500000,0.139452
0.020000,2.015952,3.050799,0.445110,0.497000,0.060000,-0.500000,0.142309
0.020000,2.025799,3.052225,0.455060,0.498000,0.050000,-0.500000,0.145155
0.020000,2.035660,3.053680,0.465028,0.498800,0.040000,-0.500000,0.147987
0.020000,2.045531,3.055166,0.475010,0.499400,0.030000,-0.500000,0.150804
0.020000,2.055408,3.056681,0.485002,0.499800,0.020000,-0.500000,0.153606
0.020000,2.065286,3.058225,0.495000,0.500000,0.010000,-0.500000,0.156391
0.020000,2.075162,3.059796,0.505000,0.500000,0.000000,-0.500000,0.159157
0.020000,2.085033,3.061394,0.515000,0.500000,0.000000,0.000000,0.161904
0.020000,2.094900,3.063020,0.525000,0.500000,0.000000,0.000000,0.164633
0.020000,2.104762,3.064672,0.535000,0.500000,0.000000,0.000000,0.167342
0.020000,2.114621,3.066351,0.545000,0.500000,0.000000,0.000000,0.170031
0.020000,2.124474,3.068056,0.555000,0.500000,0.000000,0.000000,0.172702
0.020000,2.134323,3.069788,0.565000,0.500000,0.000000,0.000000,0.175353
0.020000,2.144167,3.071545,0.575000,0.500000,0.000000,0.000000,0.177984
0.020000,2.154007,3.073329,0.585000,0.500000,0.000000,0.000000,0.180596
0.020000,2.163842,3.075137,0.595000,0.500000,0.000000,0.000000,0.183188
0.020000,2.173672,3.076972,0.605000,0.500000,0.000000,0.000000,0.185760
0.020000,2.183498,3.078831,0.615000,0.500000,0.000000,0.000000,0.188312
0.020000,2.193319,3.080716,0.625000,0.500000,0.000000,0.000000,0.190845
0.020000,2.203135,3.082625,0.635000,0.500000,0.000000,0.000000,0.193357
0.020000,2.212946,3.084559,0.645000,0.500000,0.000000,0.000000,0.195850
0.020000,2.222752,3.086517,0.655000,0.500000,0.000000,0.000000,0.198322
0.020000,2.232554,3.088499,0.665000,0.500000,0.000000,0.000000,0.200775
0.020000,2.242351,3.090505,0.675000,0.500000,0.000000,0.000000,0.203207
0.020000,2.252143,3.092535,0.685000,0.500000,0.000000,0.000000,0.205618
0.020000,2.261929,3.094589,0.695000,0.500000,0.000000,0.000000,0.208010
0.020000,2.271711,3.096666,0.705000,0.500000,0.000000,0.000000,0.210381
0.020000,2.281488,3.098765,0.715000,0.500000,0.000000,0.000000,0.212732
0.020000,2.291261,3.100888,0.725000,0.500000,0.000000,0.000000,0.215062
0.020000,2.301028,3.103033,0.735000,0.500000,0.000000,0.000000,0.217372
0.020000,2.310790,3.105201,0.745000,0.500000,0.000000,0.000000,0.219661
0.020000,2.320547,3.107391,0.755000,0.500000,0.000000,0.000000,0.221929
0.020000,2.330299,3.109603,0.765000,0.500000,0.000000,0.000000,0.224177
0.020000,2.340047,3.111837,0.775000,0.500000,0.000000,0.000000,0.226405
0.020000,2.349789,3.114093,0.785000,0.500000,0.000000,0.000000,0.228611
0.020000,2.359526,3.116370,0.795000,0.500000,0.000000,0.000000,0.230797
0.020000,2.369259,3.118668,0.805000,0.500000,0.000000,0.000000,0.232963
0.020000,2.378986,3.120987,0.815000,0.500000,0.000000,0.000000,0.235107
0.020000,2.388708,3.123327,0.825000,0.500000,0.000000,0.000000,0.237231
0.020000,2.398426,3.125687,0.835000,0.500000,0.000000,0.000000,0.239334
0.020000,2.408138,3.128068,0.845000,0.500000,0.000000,0.000000,0.241416
0.020000,2.417846,3.130469,0.855000,0.500000,0.000000,0.000000,0.243477
0.020000,2.427548,3.132889,0.865000,0.500000,0.000000,0.000000,0.245517
0.020000,2.437246,3.135330,0.875000,0.500000,0.000000,0.000000,0.247537
0.020000,2.446939,3.137790,0.885000,0.500000,0.000000,0.000000,0.249535
0.020000,2.456627,3.140269,0.895000,0.500000,0.000000,0.000000,0.251513
0.020000,2.466310,3.142767,0.905000,0.500000,0.000000,0.000000,0.253470
0.020000,2.475988,3.145284,0.915000,0.500000,0.000000,0.000000,0.255405
0.020000,2.485661,3.147820,0.925000,0.500000,0.000000,0.000000,0.257320
0.020000,2.495329,3.150374,0.935000,0.500000,0.000000,0.000000,0.259214
0.020000,2.504993,3.152946,0.945000,0.500000,0.000000,0.000000,0.261087
0.020000,2.514651,3.155536,0.955000,0.500000,0.000000,0.000000,0.262939
0.020000,2.524305,3.158144,0.965000,0.500000,0.000000,0.000000,0.264770
0.020000,2.533954,3.160770,0.975000,0.500000,0.000000,0.000000,0.266580
0.020000,2.543599,3.163413,0.985000,0.500000,0.000000,0.000000,0.268369
0.020000,2.553239,3.166073,0.995000,0.500000,0.000000,0.000000,0.270137
0.020000,2.562874,3.168750,1.005000,0.500000,0.000000,0.000000,0.271884
0.020000,2.572504,3.171444,1.015000,0.500000,0.000000,0.000000,0.273610
0.020000,2.582130,3.174154,1.025000,0.500000,0.000000,0.000000,0.275315
0.020000,2.591751,3.176881,1.035000,0.500000,0.000000,0.000000,0.277000
0.020000,2.601367,3.179623,1.045000,0.500000,0.000000,0.000000,0.278663
0.020000,2.610979,3.182382,1.055000,0.500000,0.000000,0.000000,0.280305
0.020000,2.620587,3.185156,1.065000,0.500000,0.000000,0.000000,0.281927
0.020000,2.630190,3.187946,1.075000,0.500000,0.000000,0.000000,0.283527
0.020000,2.639788,3.190751,1.085000,0.500000,0.000000,0.000000,0.285106
0.020000,2.649382,3.193571,1.095000,0.500000,0.000000,0.000000,0.286665
0.020000,2.658972,3.196406,1.105000,0.500000,0.000000,0.000000,0.288203
0.020000,2.668557,3.199256,1.115000,0.500000,0.000000,0.000000,0.289719
0.020000,2.678138,3.202120,1.125000,0.500000,0.000000,0.000000,0.291215
0.020000,2.687715,3.204998,1.135000,0.500000,0.000000,0.000000,0.292690
0.020000,2.697288,3.207890,1.145000,0.500000,0.000000,0.000000,0.294144
0.020000,2.706856,3.210796,1.155000,0.500000,0.000000,0.000000,0.295577
0.020000,2.716421,3.213716,1.165000,0.500000,0.000000,0.000000,0.296990
0.020000,2.725981,3.216649,1.175000,0.500000,0.000000,0.000000,0.298381
0.020000,2.735537,3.219596,1.185000,0.500000,0.000000,0.000000,0.299752
0.020000,2.745089,3.222555,1.195000,0.500000,0.000000,0.000000,0.301102
0.020000,2.754637,3.225527,1.205000,0.500000,0.000000,0.000000,0.302431
0.020000,2.764181,3.228512,1.215000,0.500000,0.000000,0.000000,0.303739
0.020000,2.773722,3.231509,1.225000,0.500000,0.000000,0.000000,0.305027
0.020000,2.783258,3.234518,1.235000,0.500000,0.000000,0.000000,0.306294
0.020000,2.792791,3.237539,1.245000,0.500000,0.000000,0.000000,0.307540
0.020000,2.802320,3.240572,1.255000,0.500000,0.000000,0.000000,0.308765
0.020000,2.811845,3.243617,1.265000,0.500000,0.000000,0.000000,0.309970
0.020000,2.821367,3.246673,1.275000,0.500000,0.000000,0.000000,0.311154
0.020000,2.830885,3.249740,1.285000,0.500000,0.000000,0.000000,0.312317
0.020000,2.840399,3.252818,1.295000,0.500000,0.000000,0.000000,0.313460
0.020000,2.849910,3.255907,1.305000,0.500000,0.000000,0.000000,0.314582
0.020000,2.859418,3.259006,1.315000,0.500000,0.000000,0.000000,0.315683
0.020000,2.868922,3.262116,1.325000,0.500000,0.000000,0.000000,0.316764
0.020000,2.878423,3.265236,1.335000,0.500000,0.000000,0.000000,0.317824
0.020000,2.887920,3.268366,1.345000,0.500000,0.000000,0.000000,0.318864
0.020000,2.897415,3.271506,1.355000,0.500000,0.000000,0.000000,0.319883
0.020000,2.906906,3.274655,1.365000,0.500000,0.000000,0.000000,0.320881
0.020000,2.916394,3.277814,1.375000,0.500000,0.000000,0.000000,0.321859
0.020000,2.925879,3.280982,1.385000,0.500000,0.000000,0.000000,0.322817
0.020000,2.935361,3.284158,1.395000,0.500000,0.000000,0.000000,0.323754
0.020000,2.944840,3.287344,1.405000,0.500000,0.000000,0.000000,0.324671
0.020000,2.954316,3.290538,1.415000,0.500000,0.000000,0.000000,0.325567
0.020000,2.963789,3.293741,1.425000,0.500000,0.000000,0.000000,0.326442
0.020000,2.973260,3.296952,1.435000,0.500000,0.000000,0.000000,0.327298
0.020000,2.982727,3.300170,1.445000,0.500000,0.000000,0.000000,0.328133
0.020000,2.992192,3.303397,1.455000,0.500000,0.000000,0.000000,0.328947
0.020000,3.001655,3.306631,1.465000,0.500000,0.000000,0.000000,0.329741
0.020000,3.011115,3.309873,1.475000,0.500000,0.000000,0.000000,0.330515
0.020000,3.020573,3.313122,1.485000,0.500000,0.000000,0.000000,0.331268
0.020000,3.030028,3.316378,1.495000,0.500000,0.000000,0.000000,0.332001
0.020000,3.039480,3.319641,1.505000,0.500000,0.000000,0.000000,0.332714
0.020000,3.048931,3.322910,1.515000,0.500000,0.000000,0.000000,0.333407
0.020000,3.058379,3.326186,1.525000,0.500000,0.000000,0.000000,0.334079
0.020000,3.067825,3.329468,1.535000,0.500000,0.000000,0.000000,0.334731
0.020000,3.077269,3.332756,1.545000,0.500000,0.000000,0.000000,0.335363
0.020000,3.086711,3.336050,1.555000,0.500000,0.000000,0.000000,0.335974
0.020000,3.096151,3.339350,1.565000,0.500000,0.000000,0.000000,0.336565
0.020000,3.105589,3.342655,1.575000,0.500000,0.000000,0.000000,0.337136
0.020000,3.115025,3.345965,1.585000,0.500000,0.000000,0.000000,0.337687
0.020000,3.124459,3.349281,1.595000,0.500000,0.000000,0.000000,0.338218
0.020000,3.133892,3.352601,1.605000,0.500000,0.000000,0.000000,0.338729
0.020000,3.143323,3.355927,1.615000,0.500000,0.000000,0.000000,0.339219
0.020000,3.152752,3.359256,1.625000,0.500000,0.000000,0.000000,0.339689
0.020000,3.162180,3.362590,1.635000,0.500000,0.000000,0.000000,0.340139
0.020000,3.171607,3.365929,1.645000,0.500000,0.000000,0.000000,0.340569
0.020000,3.181031,3.369271,1.655000,0.500000,0.000000,0.000000,0.340979
0.020000,3.190455,3.372617,1.665000,0.500000,0.000000,0.000000,0.341368
0.020000,3.199877,3.375966,1.675000,0.500000,0.000000,0.000000,0.341738
0.020000,3.209299,3.379319,1.685000,0.500000,0.000000,0.000000,0.342088
0.020000,3.218719,3.382675,1.695000,0.500000,0.000000,0.000000,0.342417
0.020000,3.228138,3.386034,1.705000,0.500000,0.000000,0.000000,0.342726
0.020000,3.237555,3.389396,1.715000,0.500000,0.000000,0.000000,0.343016
0.020000,3.246972,3.392761,1.725000,0.500000,0.000000,0.000000,0.343285
