dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.575892,2.732644,0.000002,0.000200,0.010000,0.500000,6.281821
0.020000,1.575893,2.732644,0.000003,0.000040,-0.007985,-0.899225,6.281824
0.020000,1.575895,2.732644,0.000005,0.000091,0.002519,0.525193,6.281830
0.020000,1.575898,2.732644,0.000008,0.000161,0.003527,0.050384,6.281841
0.020000,1.575903,2.732644,0.000013,0.000252,0.004535,0.050379,6.281859
0.020000,1.575911,2.732644,0.000020,0.000363,0.005542,0.050372,6.281884
0.020000,1.575920,2.732644,0.000030,0.000494,0.006549,0.050360,6.281919
0.020000,1.575933,2.732644,0.000043,0.000645,0.007556,0.050344,6.281964
0.020000,1.575950,2.732644,0.000059,0.000816,0.008563,0.050323,6.282021
0.020000,1.575970,2.732644,0.000079,0.001008,0.009569,0.050297,6.282092
0.020000,1.575994,2.732644,0.000104,0.001219,0.010574,0.050263,6.282177
0.020000,1.576023,2.732644,0.000133,0.001451,0.011578,0.050222,6.282278
0.020000,1.576057,2.732644,0.000167,0.001702,0.012582,0.050172,6.282398
0.020000,1.576097,2.732644,0.000206,0.001974,0.013584,0.050114,6.282536
0.020000,1.576142,2.732644,0.000252,0.002266,0.014585,0.050046,6.282694
0.020000,1.576194,2.732643,0.000303,0.002577,0.015584,0.049967,6.282875
0.020000,1.576252,2.732643,0.000361,0.002909,0.016582,0.049877,6.283078
0.020000,1.576661,2.732643,0.000771,0.020467,0.877910,43.066436,0.000121
0.020000,1.577456,2.732644,0.001565,0.039736,0.963441,4.276548,0.000375
0.020000,1.578336,2.732644,0.002446,0.044025,0.214462,-37.448972,0.000657
0.020000,1.579307,2.732645,0.003417,0.048533,0.225412,0.547513,0.000967
0.020000,1.580372,2.732646,0.004482,0.053260,0.236353,0.547026,0.001308
0.020000,1.581537,2.732648,0.005646,0.058221,0.248042,0.584468,0.001680
0.020000,1.582804,2.732650,0.006914,0.063390,0.258413,0.518518,0.002085
0.020000,1.584180,2.732653,0.008289,0.068773,0.269189,0.538813,0.002525
0.020000,1.585668,2.732658,0.009777,0.074388,0.280739,0.577491,0.003000
0.020000,1.587272,2.732663,0.011382,0.080219,0.291529,0.539516,0.003512
0.020000,1.588997,2.732669,0.013107,0.086257,0.301920,0.519564,0.004062
0.020000,1.590848,2.732677,0.014958,0.092539,0.314115,0.609728,0.004652
0.020000,1.592828,2.732687,0.016938,0.099014,0.323752,0.481868,0.005283
0.020000,1.594943,2.732699,0.019052,0.105729,0.335728,0.598794,0.005957
0.020000,1.597195,2.732713,0.021305,0.112645,0.345785,0.502861,0.006675
0.020000,1.599591,2.732730,0.023701,0.119798,0.357685,0.594974,0.007437
0.020000,1.602134,2.732750,0.026244,0.127150,0.367559,0.493728,0.008246
0.020000,1.604829,2.732774,0.028939,0.134740,0.379547,0.599375,0.009102
0.020000,1.607680,2.732801,0.031790,0.142536,0.389768,0.511084,0.010007
0.020000,1.610690,2.732832,0.034801,0.150547,0.400577,0.540408,0.010963
0.020000,1.613866,2.732869,0.037976,0.158789,0.412102,0.576259,0.011970
0.020000,1.617211,2.732911,0.041321,0.167243,0.422692,0.529519,0.013030
0.020000,1.620728,2.732958,0.044840,0.175911,0.433395,0.535141,0.014143
0.020000,1.624424,2.733013,0.048536,0.184798,0.444328,0.546652,0.015312
0.020000,1.628302,2.733075,0.052414,0.193902,0.455233,0.545241,0.016537
