dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.576282,3.018393,0.000002,0.000200,0.010000,0.500000,6.281462
0.020000,1.576282,3.018393,0.000010,0.000600,0.020000,0.500000,6.281465
0.020000,1.576282,3.018393,0.000028,0.001200,0.030000,0.500000,6.281474
0.020000,1.576282,3.018393,0.000060,0.002000,0.040000,0.500000,6.281488
0.020000,1.576282,3.018393,0.000110,0.003000,0.050000,0.500000,6.281511
0.020000,1.576282,3.018393,0.000182,0.004200,0.060000,0.500000,6.281544
0.020000,1.576282,3.018393,0.000280,0.005600,0.070000,0.500000,6.281588
0.020000,1.576282,3.018393,0.000408,0.007200,0.080000,0.500000,6.281647
0.020000,1.576282,3.018393,0.000570,0.009000,0.090000,0.500000,6.281720
0.020000,1.576282,3.018393,0.000770,0.011000,0.100000,0.500000,6.281811
0.020000,1.576282,3.018393,0.001012,0.013200,0.110000,0.500000,6.281922
0.020000,1.576282,3.018393,0.001300,0.015600,0.120000,0.500000,6.282053
0.020000,1.576282,3.018393,0.001638,0.018200,0.130000,0.500000,6.282206
0.020000,1.576282,3.018393,0.002030,0.021000,0.140000,0.500000,6.282385
0.020000,1.576282,3.018393,0.002480,0.024000,0.150000,0.500000,6.282590
0.020000,1.576282,3.018393,0.002992,0.027200,0.160000,0.500000,6.282823
0.020000,1.576282,3.018393,0.003570,0.030600,0.170000,0.500000,6.283086
0.020000,1.576711,3.018394,0.004218,0.034200,0.180000,0.500000,0.000195
0.020000,1.577433,3.018394,0.004940,0.038000,0.190000,0.500000,0.000523
0.020000,1.578233,3.018394,0.005740,0.042000,0.200000,0.500000,0.000887
0.020000,1.579115,3.018395,0.006622,0.046200,0.210000,0.500000,0.001288
0.020000,1.580083,3.018397,0.007590,0.050600,0.220000,0.500000,0.001728
0.020000,1.581141,3.018399,0.008648,0.055200,0.230000,0.500000,0.002209
0.020000,1.582293,3.018402,0.009800,0.060000,0.240000,0.500000,0.002733
0.020000,1.583543,3.018405,0.011050,0.065000,0.250000,0.500000,0.003301
0.020000,1.584895,3.018410,0.012402,0.070200,0.260000,0.500000,0.003915
0.020000,1.586353,3.018417,0.013860,0.075600,0.270000,0.500000,0.004578
0.020000,1.587921,3.018424,0.015428,0.081200,0.280000,0.500000,0.005290
0.020000,1.589603,3.018434,0.017110,0.087000,0.290000,0.500000,0.006054
0.020000,1.591403,3.018445,0.018910,0.093000,0.300000,0.500000,0.006871
0.020000,1.593325,3.018459,0.020832,0.099200,0.310000,0.500000,0.007743
0.020000,1.595373,3.018476,0.022880,0.105600,0.320000,0.500000,0.008672
0.020000,1.597551,3.018496,0.025058,0.112200,0.330000,0.500000,0.009660
0.020000,1.599863,3.018520,0.027370,0.119000,0.340000,0.500000,0.010708
0.020000,1.602312,3.018547,0.029820,0.126000,0.350000,0.500000,0.011819
0.020000,1.604904,3.018580,0.032412,0.133200,0.360000,0.500000,0.012993
0.020000,1.607642,3.018617,0.035150,0.140600,0.370000,0.500000,0.014233
0.020000,1.610530,3.018660,0.038038,0.148200,0.380000,0.500000,0.015540
0.020000,1.613571,3.018709,0.041080,0.156000,0.390000,0.500000,0.016917
0.020000,1.616771,3.018766,0.044280,0.164000,0.400000,0.500000,0.018364
0.020000,1.620132,3.018830,0.047642,0.172200,0.410000,0.500000,0.019883
0.020000,1.623660,3.018903,0.051170,0.180600,0.420000,0.500000,0.021477
0.020000,1.627357,3.018985,0.054868,0.189200,0.430000,0.500000,0.023146
0.020000,1.631227,3.019078,0.058740,0.198000,0.440000,0.500000,0.024892
0.020000,1.635276,3.019183,0.062790,0.207000,0.450000,0.500000,0.026718
0.020000,1.639506,3.019300,0.067022,0.216200,0.460000,0.500000,0.028623
0.020000,1.643922,3.019431,0.071440,0.225600,0.470000,0.500000,0.030611
0.020000,1.648528,3.019577,0.076048,0.235200,0.480000,0.500000,0.032683
0.020000,1.653328,3.019739,0.080850,0.245000,0.490000,0.500000,0.034839
0.020000,1.658324,3.019918,0.085850,0.255000,0.500000,0.500000,0.037082
0.020000,1.663518,3.020117,0.091048,0.264800,0.490000,-0.500000,0.039412
0.020000,1.668906,3.020336,0.096440,0.274400,0.480000,-0.500000,0.041825
0.020000,1.674483,3.020577,0.102022,0.283800,0.470000,-0.500000,0.044320
0.020000,1.680245,3.020839,0.107790,0.293000,0.460000,-0.500000,0.046895
0.020000,1.686188,3.021126,0.113740,0.302000,0.450000,-0.500000,0.049548
0.020000,1.692308,3.021438,0.119868,0.310800,0.440000,-0.500000,0.052275
0.020000,1.698601,3.021776,0.126170,0.319400,0.430000,-0.500000,0.055076
0.020000,1.705063,3.022142,0.132642,0.327800,0.420000,-0.500000,0.057947
0.020000,1.711689,3.022536,0.139280,0.336000,0.410000,-0.500000,0.060886
0.020000,1.718475,3.022960,0.146080,0.344000,0.400000,-0.500000,0.063892
0.020000,1.725419,3.023415,0.153038,0.351800,0.390000,-0.500000,0.066962
0.020000,1.732514,3.023902,0.160150,0.359400,0.380000,-0.500000,0.070093
0.020000,1.739757,3.024422,0.167412,0.366800,0.370000,-0.500000,0.073282
0.020000,1.747145,3.024976,0.174820,0.374000,0.360000,-0.500000,0.076529
0.020000,1.754671,3.025566,0.182370,0.381000,0.350000,-0.500000,0.079830
0.020000,1.762334,3.026192,0.190058,0.387800,0.340000,-0.500000,0.083183
0.020000,1.770128,3.026855,0.197880,0.394400,0.330000,-0.500000,0.086586
0.020000,1.778049,3.027556,0.205832,0.400800,0.320000,-0.500000,0.090035
0.020000,1.786093,3.028297,0.213910,0.407000,0.310000,-0.500000,0.093530
0.020000,1.794256,3.029077,0.222110,0.413000,0.300000,-0.500000,0.097066
0.020000,1.802533,3.029898,0.230428,0.418800,0.290000,-0.500000,0.100643
0.020000,1.810921,3.030760,0.238860,0.424400,0.280000,-0.500000,0.104257
0.020000,1.819415,3.031665,0.247402,0.429800,0.270000,-0.500000,0.107906
0.020000,1.828011,3.032612,0.256050,0.435000,0.260000,-0.500000,0.111587
0.020000,1.836704,3.033603,0.264800,0.440000,0.250000,-0.500000,0.115299
0.020000,1.845492,3.034637,0.273648,0.444800,0.240000,-0.500000,0.119039
0.020000,1.854368,3.035716,0.282590,0.449400,0.230000,-0.500000,0.122803
0.020000,1.863330,3.036839,0.291622,0.453800,0.220000,-0.500000,0.126591
0.020000,1.872373,3.038007,0.300740,0.458000,0.210000,-0.500000,0.130399
0.020000,1.881493,3.039221,0.309940,0.462000,0.200000,-0.500000,0.134225
0.020000,1.890685,3.040480,0.319218,0.465800,0.190000,-0.500000,0.138067
0.020000,1.899945,3.041785,0.328570,0.469400,0.180000,-0.500000,0.141923
0.020000,1.909270,3.043136,0.337992,0.472800,0.170000,-0.500000,0.145789
0.020000,1.918655,3.044533,0.347480,0.476000,0.160000,-0.500000,0.149664
0.020000,1.928095,3.045975,0.357030,0.479000,0.150000,-0.500000,0.153545
0.020000,1.937587,3.047463,0.366638,0.481800,0.140000,-0.500000,0.157431
0.020000,1.947127,3.048996,0.376300,0.484400,0.130000,-0.500000,0.161318
0.020000,1.956709,3.050575,0.386012,0.486800,0.120000,-0.500000,0.165205
0.020000,1.966331,3.052198,0.395770,0.489000,0.110000,-0.500000,0.169089
0.020000,1.975988,3.053866,0.405570,0.491000,0.100000,-0.500000,0.172968
0.020000,1.985676,3.055578,0.415408,0.492800,0.090000,-0.500000,0.176840
0.020000,1.995391,3.057334,0.425280,0.494400,0.080000,-0.500000,0.180704
0.020000,2.005128,3.059132,0.435182,0.495800,0.070000,-0.500000,0.184556
0.020000,2.014884,3.060973,0.445110,0.497000,0.060000,-0.500000,0.188395
0.020000,2.024655,3.062855,0.455060,0.498000,0.050000,-0.500000,0.192219
0.020000,2.034435,3.064778,0.465028,0.498800,0.040000,-0.500000,0.196026
0.020000,2.044222,3.066741,0.475010,0.499400,0.030000,-0.500000,0.199814
0.020000,2.054012,3.068742,0.485002,0.499800,0.020000,-0.500000,0.203581
0.020000,2.063800,3.070782,0.495000,0.500000,0.010000,-0.500000,0.207326
0.020000,2.073582,3.072859,0.505000,0.500000,0.000000,-0.500000,0.211046
0.020000,2.083356,3.074972,0.515000,0.500000,0.000000,0.000000,0.214741
0.020000,2.093122,3.077120,0.525000,0.500000,0.000000,0.000000,0.218410
0.020000,2.102881,3.079305,0.535000,0.500000,0.000000,0.000000,0.222053
0.020000,2.112631,3.081525,0.545000,0.500000,0.000000,0.000000,0.225670
0.020000,2.122373,3.083780,0.555000,0.500000,0.000000,0.000000,0.229260
0.020000,2.132108,3.086070,0.565000,0.500000,0.000000,0.000000,0.232825
0.020000,2.141834,3.088395,0.575000,0.500000,0.000000,0.000000,0.236362
0.020000,2.151552,3.090753,0.585000,0.500000,0.000000,0.000000,0.239873
0.020000,2.161261,3.093146,0.595000,0.500000,0.000000,0.000000,0.243356
0.020000,2.170962,3.095572,0.605000,0.500000,0.000000,0.000000,0.246812
0.020000,2.180655,3.098032,0.615000,0.500000,0.000000,0.000000,0.250241
0.020000,2.190339,3.100525,0.625000,0.500000,0.000000,0.000000,0.253643
0.020000,2.200015,3.103051,0.635000,0.500000,0.000000,0.000000,0.257016
0.020000,2.209682,3.105609,0.645000,0.500000,0.000000,0.000000,0.260362
0.020000,2.219341,3.108199,0.655000,0.500000,0.000000,0.000000,0.263680
0.020000,2.228991,3.110821,0.665000,0.500000,0.000000,0.000000,0.266969
0.020000,2.238633,3.113475,0.675000,0.500000,0.000000,0.000000,0.270230
0.020000,2.248265,3.116160,0.685000,0.500000,0.000000,0.000000,0.273463
0.020000,2.257889,3.118877,0.695000,0.500000,0.000000,0.000000,0.276667
0.020000,2.267505,3.121623,0.705000,0.500000,0.000000,0.000000,0.279843
0.020000,2.277111,3.124401,0.715000,0.500000,0.000000,0.000000,0.282990
0.020000,2.286709,3.127208,0.725000,0.500000,0.000000,0.000000,0.286108
0.020000,2.296298,3.130045,0.735000,0.500000,0.000000,0.000000,0.289196
0.020000,2.305879,3.132911,0.745000,0.500000,0.000000,0.000000,0.292256
0.020000,2.315450,3.135807,0.755000,0.500000,0.000000,0.000000,0.295287
0.020000,2.325013,3.138732,0.765000,0.500000,0.000000,0.000000,0.298289
0.020000,2.334567,3.141685,0.775000,0.500000,0.000000,0.000000,0.301261
0.020000,2.344112,3.144666,0.785000,0.500000,0.000000,0.000000,0.304204
0.020000,2.353649,3.147675,0.795000,0.500000,0.000000,0.000000,0.307117
0.020000,2.363176,3.150712,0.805000,0.500000,0.000000,0.000000,0.310001
0.020000,2.372695,3.153776,0.815000,0.500000,0.000000,0.000000,0.312856
0.020000,2.382206,3.156868,0.825000,0.500000,0.000000,0.000000,0.315680
0.020000,2.391707,3.159985,0.835000,0.500000,0.000000,0.000000,0.318476
0.020000,2.401200,3.163130,0.845000,0.500000,0.000000,0.000000,0.321241
0.020000,2.410684,3.166300,0.855000,0.500000,0.000000,0.000000,0.323977
0.020000,2.420159,3.169496,0.865000,0.500000,0.000000,0.000000,0.326682
0.020000,2.429626,3.172718,0.875000,0.500000,0.000000,0.000000,0.329359
0.020000,2.439084,3.175965,0.885000,0.500000,0.000000,0.000000,0.332005
0.020000,2.448534,3.179237,0.895000,0.500000,0.000000,0.000000,0.334621
0.020000,2.457975,3.182533,0.905000,0.500000,0.000000,0.000000,0.337208
0.020000,2.467408,3.185854,0.915000,0.500000,0.000000,0.000000,0.339764
0.020000,2.476832,3.189198,0.925000,0.500000,0.000000,0.000000,0.342291
0.020000,2.486248,3.192567,0.935000,0.500000,0.000000,0.000000,0.344788
0.020000,2.495655,3.195958,0.945000,0.500000,0.000000,0.000000,0.347254
0.020000,2.505054,3.199373,0.955000,0.500000,0.000000,0.000000,0.349691
0.020000,2.514444,3.202810,0.965000,0.500000,0.000000,0.000000,0.352098
0.020000,2.523827,3.206270,0.975000,0.500000,0.000000,0.000000,0.354475
0.020000,2.533201,3.209752,0.985000,0.500000,0.000000,0.000000,0.356822
0.020000,2.542567,3.213256,0.995000,0.500000,0.000000,0.000000,0.359139
0.020000,2.551925,3.216781,1.005000,0.500000,0.000000,0.000000,0.361426
0.020000,2.561275,3.220328,1.015000,0.500000,0.000000,0.000000,0.363683
0.020000,2.570617,3.223896,1.025000,0.500000,0.000000,0.000000,0.365911
0.020000,2.579951,3.227484,1.035000,0.500000,0.000000,0.000000,0.368108
0.020000,2.589277,3.231093,1.045000,0.500000,0.000000,0.000000,0.370275
0.020000,2.598595,3.234721,1.055000,0.500000,0.000000,0.000000,0.372413
0.020000,2.607906,3.238370,1.065000,0.500000,0.000000,0.000000,0.374521
0.020000,2.617209,3.242038,1.075000,0.500000,0.000000,0.000000,0.376599
0.020000,2.626505,3.245725,1.085000,0.500000,0.000000,0.000000,0.378647
0.020000,2.635792,3.249431,1.095000,0.500000,0.000000,0.000000,0.380666
0.020000,2.645073,3.253156,1.105000,0.500000,0.000000,0.000000,0.382654
0.020000,2.654346,3.256898,1.115000,0.500000,0.000000,0.000000,0.384613
0.020000,2.663612,3.260659,1.125000,0.500000,0.000000,0.000000,0.386543
0.020000,2.672870,3.264438,1.135000,0.500000,0.000000,0.000000,0.388442
0.020000,2.682122,3.268234,1.145000,0.500000,0.000000,0.000000,0.390312
0.020000,2.691366,3.272048,1.155000,0.500000,0.000000,0.000000,0.392153
0.020000,2.700604,3.275878,1.165000,0.500000,0.000000,0.000000,0.393964
0.020000,2.709834,3.279725,1.175000,0.500000,0.000000,0.000000,0.395745
0.020000,2.719058,3.283588,1.185000,0.500000,0.000000,0.000000,0.397497
0.020000,2.728275,3.287467,1.195000,0.500000,0.000000,0.000000,0.399220
0.020000,2.737485,3.291362,1.205000,0.500000,0.000000,0.000000,0.400913
0.020000,2.746689,3.295272,1.215000,0.500000,0.000000,0.000000,0.402576
0.020000,2.755886,3.299197,1.225000,0.500000,0.000000,0.000000,0.404211
0.020000,2.765077,3.303138,1.235000,0.500000,0.000000,0.000000,0.405816
0.020000,2.774262,3.307093,1.245000,0.500000,0.000000,0.000000,0.407392
0.020000,2.783440,3.311062,1.255000,0.500000,0.000000,0.000000,0.408939
0.020000,2.792613,3.315045,1.265000,0.500000,0.000000,0.000000,0.410456
0.020000,2.801779,3.319042,1.275000,0.500000,0.000000,0.000000,0.411945
0.020000,2.810940,3.323053,1.285000,0.500000,0.000000,0.000000,0.413404
0.020000,2.820094,3.327077,1.295000,0.500000,0.000000,0.000000,0.414834
0.020000,2.829243,3.331114,1.305000,0.500000,0.000000,0.000000,0.416236
0.020000,2.838387,3.335163,1.315000,0.500000,0.000000,0.000000,0.417608
0.020000,2.847525,3.339225,1.325000,0.500000,0.000000,0.000000,0.418952
0.020000,2.856657,3.343299,1.335000,0.500000,0.000000,0.000000,0.420266
0.020000,2.865784,3.347385,1.345000,0.500000,0.000000,0.000000,0.421552
0.020000,2.874906,3.351482,1.355000,0.500000,0.000000,0.000000,0.422809
0.020000,2.884023,3.355591,1.365000,0.500000,0.000000,0.000000,0.424037
0.020000,2.893135,3.359711,1.375000,0.500000,0.000000,0.000000,0.425237
0.020000,2.902242,3.363842,1.385000,0.500000,0.000000,0.000000,0.426408
0.020000,2.911344,3.367983,1.395000,0.500000,0.000000,0.000000,0.427550
0.020000,2.920442,3.372135,1.405000,0.500000,0.000000,0.000000,0.428664
0.020000,2.929535,3.376296,1.415000,0.500000,0.000000,0.000000,0.429749
0.020000,2.938623,3.380468,1.425000,0.500000,0.000000,0.000000,0.430806
0.020000,2.947707,3.384648,1.435000,0.500000,0.000000,0.000000,0.431834
0.020000,2.956787,3.388838,1.445000,0.500000,0.000000,0.000000,0.432834
0.020000,2.965863,3.393037,1.455000,0.500000,0.000000,0.000000,0.433805
0.020000,2.974935,3.397245,1.465000,0.500000,0.000000,0.000000,0.434748
0.020000,2.984003,3.401461,1.475000,0.500000,0.000000,0.000000,0.435663
0.020000,2.993067,3.405685,1.485000,0.500000,0.000000,0.000000,0.436549
0.020000,3.002127,3.409917,1.495000,0.500000,0.000000,0.000000,0.437408
0.020000,3.011184,3.414157,1.505000,0.500000,0.000000,0.000000,0.438238
0.020000,3.020237,3.418404,1.515000,0.500000,0.000000,0.000000,0.439039
0.020000,3.029287,3.422658,1.525000,0.500000,0.000000,0.000000,0.439813
0.020000,3.038334,3.426919,1.535000,0.500000,0.000000,0.000000,0.440559
0.020000,3.047377,3.431187,1.545000,0.500000,0.000000,0.000000,0.441276
0.020000,3.056418,3.435461,1.555000,0.500000,0.000000,0.000000,0.441965
0.020000,3.065456,3.439741,1.565000,0.500000,0.000000,0.000000,0.442627
0.020000,3.074491,3.444027,1.575000,0.500000,0.000000,0.000000,0.443260
0.020000,3.083523,3.448319,1.585000,0.500000,0.000000,0.000000,0.443865
0.020000,3.092553,3.452616,1.595000,0.500000,0.000000,0.000000,0.444443
0.020000,3.101580,3.456918,1.605000,0.500000,0.000000,0.000000,0.444992
0.020000,3.110605,3.461224,1.615000,0.500000,0.000000,0.000000,0.445514
0.020000,3.119628,3.465536,1.625000,0.500000,0.000000,0.000000,0.446007
0.020000,3.128648,3.469852,1.635000,0.500000,0.000000,0.000000,0.446473
0.020000,3.137667,3.474172,1.645000,0.500000,0.000000,0.000000,0.446911
0.020000,3.146684,3.478495,1.655000,0.500000,0.000000,0.000000,0.447321
0.020000,3.155699,3.482823,1.665000,0.500000,0.000000,0.000000,0.447704
0.020000,3.164713,3.487153,1.675000,0.500000,0.000000,0.000000,0.448058
0.020000,3.173725,3.491487,1.685000,0.500000,0.000000,0.000000,0.448385
0.020000,3.182736,3.495823,1.695000,0.500000,0.000000,0.000000,0.448684
0.020000,3.191746,3.500162,1.705000,0.500000,0.000000,0.000000,0.448955
0.020000,3.200754,3.504504,1.715000,0.500000,0.000000,0.000000,0.449199
0.020000,3.209762,3.508847,1.725000,0.500000,0.000000,0.000000,0.449414
0.020000,3.218768,3.513192,1.735000,0.500000,0.000000,0.000000,0.449603
0.020000,3.227774,3.517539,1.745000,0.500000,0.000000,0.000000,0.449763
0.020000,3.236779,3.521887,1.755000,0.500000,0.000000,0.000000,0.449896
0.020000,3.245784,3.526237,1.765000,0.500000,0.000000,0.000000,0.450001
0.020000,3.254788,3.530587,1.775000,0.500000,0.000000,0.000000,0.450078
0.020000,3.263792,3.534937,1.785000,0.500000,0.000000,0.000000,0.450127
0.020000,3.272796,3.539288,1.795000,0.500000,0.000000,0.000000,0.450149
0.020000,3.281800,3.543639,1.805000,0.500000,0.000000,0.000000,0.450143
0.020000,3.290804,3.547990,1.815000,0.500000,0.000000,0.000000,0.450110
0.020000,3.299808,3.552340,1.825000,0.500000,0.000000,0.000000,0.450049
0.020000,3.308812,3.556690,1.835000,0.500000,0.000000,0.000000,0.449960
0.020000,3.317817,3.561039,1.845000,0.500000,0.000000,0.000000,0.449843
0.020000,3.326823,3.565386,1.855000,0.500000,0.000000,0.000000,0.449699
0.020000,3.335829,3.569733,1.865000,0.500000,0.000000,0.000000,0.449527
0.020000,3.344836,3.574077,1.875000,0.500000,0.000000,0.000000,0.449328
