dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.575790,2.732644,0.000002,0.000200,0.010000,0.500000,6.281462
0.020000,1.575791,2.732644,0.000003,0.000052,-0.007398,-0.869896,6.281465
0.020000,1.575793,2.732644,0.000005,0.000117,0.003253,0.532525,6.281474
0.020000,1.575797,2.732644,0.000010,0.000208,0.004554,0.065049,6.281488
0.020000,1.575804,2.732644,0.000016,0.000325,0.005854,0.065045,6.281511
0.020000,1.575813,2.732644,0.000025,0.000468,0.007155,0.065038,6.281544
0.020000,1.575826,2.732644,0.000038,0.000637,0.008456,0.065027,6.281588
0.020000,1.575843,2.732644,0.000055,0.000833,0.009756,0.065013,6.281647
0.020000,1.575864,2.732644,0.000076,0.001054,0.011056,0.064993,6.281720
0.020000,1.575890,2.732644,0.000102,0.001301,0.012355,0.064968,6.281811
0.020000,1.575921,2.732644,0.000133,0.001574,0.013654,0.064937,6.281922
0.020000,1.575959,2.732644,0.000171,0.001873,0.014952,0.064899,6.282053
0.020000,1.576003,2.732644,0.000215,0.002198,0.016249,0.064854,6.282206
0.020000,1.576054,2.732644,0.000266,0.002549,0.017545,0.064799,6.282385
0.020000,1.576112,2.732644,0.000324,0.002926,0.018840,0.064736,6.282590
0.020000,1.576179,2.732643,0.000391,0.003328,0.020133,0.064663,6.282823
0.020000,1.576254,2.732643,0.000466,0.003757,0.021425,0.064579,6.283086
0.020000,1.576767,2.732644,0.000979,0.025651,1.094732,53.665347,0.000195
0.020000,1.577583,2.732644,0.001795,0.040798,0.757315,-16.870804,0.000523
0.020000,1.578487,2.732644,0.002699,0.045200,0.220115,-26.860007,0.000887
0.020000,1.579483,2.732646,0.003696,0.049827,0.231333,0.560905,0.001288
0.020000,1.580577,2.732647,0.004789,0.054678,0.242555,0.561092,0.001728
0.020000,1.581772,2.732650,0.005985,0.059783,0.255242,0.634317,0.002209
0.020000,1.583074,2.732653,0.007286,0.065083,0.265033,0.489556,0.002733
0.020000,1.584486,2.732657,0.008699,0.070607,0.276191,0.557924,0.003301
0.020000,1.586014,2.732663,0.010226,0.076384,0.288823,0.631610,0.003915
0.020000,1.587661,2.732670,0.011873,0.082365,0.299050,0.511335,0.004578
0.020000,1.589433,2.732678,0.013645,0.088566,0.310096,0.552320,0.005290
0.020000,1.591333,2.732689,0.015545,0.095022,0.322774,0.633884,0.006054
0.020000,1.593366,2.732702,0.017578,0.101662,0.331986,0.460584,0.006871
0.020000,1.595538,2.732718,0.019750,0.108576,0.345705,0.685967,0.007743
0.020000,1.597851,2.732737,0.022063,0.115665,0.354448,0.437141,0.008672
0.020000,1.600311,2.732760,0.024524,0.123024,0.367976,0.676400,0.009660
0.020000,1.602923,2.732786,0.027135,0.130574,0.377497,0.476043,0.010708
0.020000,1.605690,2.732817,0.029903,0.138361,0.389363,0.593298,0.011819
0.020000,1.608617,2.732854,0.032830,0.146386,0.401204,0.592052,0.012993
0.020000,1.611709,2.732896,0.035922,0.154614,0.411405,0.510063,0.014233
0.020000,1.614970,2.732944,0.039184,0.163070,0.422805,0.570013,0.015540
0.020000,1.618405,2.733000,0.042619,0.171767,0.434860,0.602755,0.016917
0.020000,1.622018,2.733064,0.046233,0.180679,0.445581,0.536037,0.018364
0.020000,1.625814,2.733136,0.050029,0.189810,0.456574,0.549642,0.019883
0.020000,1.629796,2.733219,0.054012,0.199167,0.467831,0.562864,0.021477
0.020000,1.633970,2.733312,0.058187,0.208748,0.479047,0.560777,0.023146
0.020000,1.638340,2.733417,0.062558,0.218552,0.490218,0.558567,0.024892
0.020000,1.642910,2.733535,0.067130,0.228579,0.501343,0.556235,0.026718
0.020000,1.647684,2.733667,0.071906,0.238827,0.512419,0.553782,0.028623
0.020000,1.652668,2.733815,0.076892,0.249296,0.523443,0.551210,0.030611
0.020000,1.657866,2.733979,0.082092,0.259999,0.535168,0.586257,0.032683
0.020000,1.663281,2.734162,0.087511,0.270917,0.545878,0.535482,0.034839
0.020000,1.668918,2.734365,0.093152,0.282045,0.556409,0.526591,0.037082
0.020000,1.674777,2.734589,0.099015,0.293178,0.556650,0.012042,0.039412
0.020000,1.680854,2.734836,0.105097,0.304086,0.545385,-0.563286,0.041825
0.020000,1.687143,2.735107,0.111392,0.314743,0.532877,-0.625369,0.044320
0.020000,1.693640,2.735404,0.117896,0.325196,0.522608,-0.513466,0.046895
0.020000,1.700340,2.735727,0.124604,0.335393,0.509848,-0.637984,0.049548
0.020000,1.707239,2.736078,0.131511,0.345368,0.498752,-0.554801,0.052275
0.020000,1.714331,2.736460,0.138613,0.355117,0.487493,-0.562964,0.055076
0.020000,1.721612,2.736871,0.145906,0.364620,0.475126,-0.618345,0.057947
0.020000,1.729076,2.737315,0.153383,0.373893,0.463659,-0.573347,0.060886
0.020000,1.736720,2.737793,0.161042,0.382945,0.452594,-0.553231,0.063892
0.020000,1.744539,2.738305,0.168878,0.391758,0.440630,-0.598223,0.066962
0.020000,1.752527,2.738854,0.176884,0.400333,0.428786,-0.592200,0.070093
0.020000,1.760679,2.739439,0.185058,0.408676,0.417155,-0.581524,0.073282
0.020000,1.768991,2.740063,0.193393,0.416786,0.405492,-0.583195,0.076529
0.020000,1.777459,2.740726,0.201887,0.424662,0.393798,-0.584656,0.079830
0.020000,1.786076,2.741430,0.210533,0.432304,0.382080,-0.585914,0.083183
0.020000,1.794839,2.742176,0.219327,0.439711,0.370341,-0.586976,0.086586
0.020000,1.803741,2.742964,0.228265,0.446882,0.358584,-0.587850,0.090035
0.020000,1.812780,2.743796,0.237341,0.453829,0.347324,-0.562978,0.093530
0.020000,1.821949,2.744672,0.246552,0.460533,0.335216,-0.605429,0.097066
0.020000,1.831243,2.745594,0.255892,0.467000,0.323320,-0.594752,0.100643
0.020000,1.840658,2.746562,0.265356,0.473230,0.311518,-0.590106,0.104257
0.020000,1.850189,2.747577,0.274941,0.479237,0.300363,-0.557769,0.107906
0.020000,1.859831,2.748639,0.284641,0.485003,0.288272,-0.604534,0.111587
0.020000,1.869578,2.749750,0.294452,0.490526,0.276159,-0.605654,0.115299
0.020000,1.879427,2.750909,0.304368,0.495832,0.265290,-0.543480,0.119039
0.020000,1.889371,2.752118,0.314386,0.500888,0.252802,-0.624402,0.122803
0.020000,1.899407,2.753376,0.324500,0.505715,0.241381,-0.571028,0.126591
0.020000,1.909529,2.754683,0.334707,0.510310,0.229715,-0.583309,0.130399
0.020000,1.919732,2.756041,0.345000,0.514665,0.217789,-0.596296,0.134225
0.020000,1.930012,2.757450,0.355376,0.518792,0.206351,-0.571908,0.138067
0.020000,1.940364,2.758908,0.365829,0.522682,0.194466,-0.594223,0.141923
0.020000,1.950782,2.760417,0.376356,0.526338,0.182798,-0.583400,0.145789
0.020000,1.961262,2.761977,0.386951,0.529765,0.171371,-0.571355,0.149664
0.020000,1.971798,2.763587,0.397610,0.532949,0.159194,-0.608862,0.153545
