dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.575699,2.732644,0.000002,0.000200,0.010000,0.500000,6.281145
0.020000,1.575700,2.732644,0.000003,0.000055,-0.007248,-0.862411,6.281149
0.020000,1.575703,2.732644,0.000006,0.000124,0.003440,0.534397,6.281158
0.020000,1.575707,2.732644,0.000010,0.000220,0.004816,0.068793,6.281173
0.020000,1.575714,2.732644,0.000017,0.000344,0.006191,0.068791,6.281197
0.020000,1.575724,2.732644,0.000027,0.000495,0.007567,0.068788,6.281232
0.020000,1.575738,2.732644,0.000040,0.000674,0.008943,0.068783,6.281279
0.020000,1.575755,2.732644,0.000058,0.000881,0.010318,0.068776,6.281341
0.020000,1.575778,2.732644,0.000080,0.001114,0.011694,0.068767,6.281419
0.020000,1.575805,2.732644,0.000108,0.001376,0.013069,0.068755,6.281515
0.020000,1.575838,2.732644,0.000141,0.001665,0.014444,0.068740,6.281632
0.020000,1.575878,2.732644,0.000181,0.001981,0.015818,0.068722,6.281770
0.020000,1.575924,2.732644,0.000227,0.002325,0.017192,0.068701,6.281933
0.020000,1.575978,2.732644,0.000281,0.002696,0.018566,0.068675,6.282122
0.020000,1.576040,2.732644,0.000343,0.003095,0.019938,0.068645,6.282338
0.020000,1.576111,2.732644,0.000413,0.003521,0.021311,0.068609,6.282585
0.020000,1.576190,2.732643,0.000493,0.003975,0.022682,0.068569,6.282863
0.020000,1.576279,2.732643,0.000582,0.004456,0.024052,0.068523,6.283175
0.020000,1.577079,2.732644,0.001382,0.039996,1.777028,87.648762,0.000337
0.020000,1.577989,2.732644,0.002292,0.045509,0.275653,-75.068731,0.000722
0.020000,1.578993,2.732645,0.003295,0.050167,0.232872,-2.139054,0.001147
0.020000,1.580094,2.732647,0.004396,0.055050,0.244139,0.563345,0.001613
0.020000,1.581297,2.732649,0.005600,0.060165,0.255755,0.580804,0.002122
0.020000,1.582608,2.732652,0.006910,0.065539,0.268732,0.648836,0.002677
0.020000,1.584030,2.732656,0.008332,0.071100,0.278035,0.465190,0.003278
0.020000,1.585568,2.732662,0.009870,0.076885,0.289229,0.559674,0.003929
0.020000,1.587226,2.732669,0.011529,0.082942,0.302853,0.681200,0.004631
0.020000,1.589010,2.732678,0.013313,0.089191,0.312437,0.479219,0.005386
0.020000,1.590923,2.732689,0.015226,0.095655,0.323247,0.540486,0.006196
0.020000,1.592971,2.732702,0.017274,0.102405,0.337457,0.710481,0.007063
0.020000,1.595157,2.732719,0.019460,0.109311,0.345299,0.392132,0.007989
0.020000,1.597487,2.732739,0.021790,0.116509,0.359934,0.731729,0.008975
0.020000,1.599965,2.732762,0.024268,0.123876,0.368314,0.419016,0.010025
0.020000,1.602595,2.732790,0.026899,0.131529,0.382692,0.718868,0.011139
0.020000,1.605382,2.732823,0.029685,0.139347,0.390894,0.410099,0.012319
0.020000,1.608331,2.732861,0.032635,0.147460,0.405628,0.736711,0.013568
0.020000,1.611446,2.732905,0.035750,0.155750,0.414499,0.443539,0.014887
0.020000,1.614731,2.732956,0.039035,0.164267,0.425844,0.567265,0.016279
