dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.255432,7.893027,0.000002,0.000200,0.010000,0.500000,6.282513
0.020000,0.255432,7.893027,0.000002,0.000018,-0.009124,-0.956209,6.282514
0.020000,0.255431,7.893027,0.000003,0.000039,0.001095,0.510946,6.282517
0.020000,0.255430,7.893027,0.000005,0.000070,0.001533,0.021889,6.282522
0.020000,0.255427,7.893027,0.000007,0.000109,0.001970,0.021879,6.282530
0.020000,0.255424,7.893027,0.000010,0.000158,0.002407,0.021863,6.282541
0.020000,0.255420,7.893027,0.000014,0.000214,0.002844,0.021840,6.282556
0.020000,0.255414,7.893027,0.000020,0.000280,0.003280,0.021807,6.282575
0.020000,0.255407,7.893027,0.000027,0.000354,0.003716,0.021764,6.282600
0.020000,0.255399,7.893027,0.000036,0.000437,0.004150,0.021708,6.282631
0.020000,0.255388,7.893027,0.000046,0.000529,0.004582,0.021639,6.282668
0.020000,0.255375,7.893027,0.000059,0.000629,0.005014,0.021554,6.282712
0.020000,0.255361,7.893027,0.000074,0.000738,0.005443,0.021452,6.282763
0.020000,0.255343,7.893027,0.000091,0.000856,0.005869,0.021332,6.282823
0.020000,0.255324,7.893027,0.000110,0.000981,0.006293,0.021192,6.282892
0.020000,0.255302,7.893027,0.000133,0.001116,0.006714,0.021031,6.282970
0.020000,0.255276,7.893027,0.000158,0.001258,0.007131,0.020847,6.283058
0.020000,0.255248,7.893027,0.000186,0.001409,0.007543,0.020639,6.283157
0.020000,0.255751,7.893027,0.000689,0.025160,1.187548,59.000224,0.000081
0.020000,0.256517,7.893027,0.001454,0.038260,0.655014,-26.626693,0.000203
0.020000,0.257360,7.893027,0.002298,0.042188,0.196396,-22.930905,0.000336
0.020000,0.258287,7.893028,0.003224,0.046309,0.206056,0.482981,0.000483
0.020000,0.259299,7.893028,0.004237,0.050624,0.215731,0.483748,0.000643
0.020000,0.260401,7.893029,0.005339,0.055114,0.224474,0.437184,0.000816
0.020000,0.261598,7.893030,0.006535,0.059811,0.234881,0.520332,0.001004
0.020000,0.262890,7.893032,0.007828,0.064611,0.239977,0.254802,0.001207
0.020000,0.264278,7.893033,0.009216,0.069402,0.239544,-0.021658,0.001424
0.020000,0.265762,7.893036,0.010699,0.074191,0.239447,-0.004815,0.001655
0.020000,0.267342,7.893039,0.012279,0.078999,0.240420,0.048644,0.001900
0.020000,0.269017,7.893042,0.013955,0.083789,0.239514,-0.045298,0.002160
0.020000,0.270789,7.893046,0.015727,0.088593,0.240194,0.034003,0.002433
0.020000,0.272657,7.893051,0.017595,0.093402,0.240443,0.012447,0.002720
0.020000,0.274621,7.893056,0.019559,0.098198,0.239803,-0.032005,0.003021
0.020000,0.276682,7.893063,0.021619,0.103019,0.241038,0.061760,0.003335
0.020000,0.278838,7.893071,0.023776,0.107816,0.239840,-0.059936,0.003663
0.020000,0.281091,7.893079,0.026028,0.112642,0.241306,0.073290,0.004003
0.020000,0.283440,7.893089,0.028377,0.117448,0.240296,-0.050491,0.004356
