dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715339,2.983629,0.000002,0.000200,0.010000,0.500000,0.001989
0.020000,1.715339,2.983629,0.000010,0.000600,0.020000,0.500000,0.001986
0.020000,1.715339,2.983629,0.000028,0.001200,0.030000,0.500000,0.001979
0.020000,1.715339,2.983629,0.000060,0.002000,0.040000,0.500000,0.001965
0.020000,1.715339,2.983629,0.000110,0.003000,0.050000,0.500000,0.001945
0.020000,1.715339,2.983629,0.000182,0.004200,0.060000,0.500000,0.001915
0.020000,1.715339,2.983629,0.000280,0.005600,0.070000,0.500000,0.001875
0.020000,1.715339,2.983629,0.000408,0.007200,0.080000,0.500000,0.001823
0.020000,1.715339,2.983629,0.000570,0.009000,0.090000,0.500000,0.001756
0.020000,1.715339,2.983629,0.000770,0.011000,0.100000,0.500000,0.001674
0.020000,1.715339,2.983629,0.001012,0.013200,0.110000,0.500000,0.001575
0.020000,1.715339,2.983629,0.001300,0.015600,0.120000,0.500000,0.001457
0.020000,1.715339,2.983629,0.001638,0.018200,0.130000,0.500000,0.001318
0.020000,1.715339,2.983629,0.002030,0.021000,0.140000,0.500000,0.001157
0.020000,1.715339,2.983629,0.002480,0.024000,0.150000,0.500000,0.000972
0.020000,1.715339,2.983629,0.002992,0.027200,0.160000,0.500000,0.000762
0.020000,1.715339,2.983629,0.003570,0.030600,0.170000,0.500000,0.000525
0.020000,1.715339,2.983629,0.004218,0.034200,0.180000,0.500000,0.000259
0.020000,1.715431,2.983629,0.004940,0.038000,0.190000,0.500000,6.283148
0.020000,1.716231,2.983629,0.005740,0.042000,0.200000,0.500000,6.282819
0.020000,1.717113,2.983629,0.006622,0.046200,0.210000,0.500000,6.282456
0.020000,1.718081,2.983628,0.007590,0.050600,0.220000,0.500000,6.282058
0.020000,1.719139,2.983626,0.008648,0.055200,0.230000,0.500000,6.281623
0.020000,1.720291,2.983624,0.009800,0.060000,0.240000,0.500000,6.281149
0.020000,1.721541,2.983621,0.011050,0.065000,0.250000,0.500000,6.280634
0.020000,1.722893,2.983617,0.012402,0.070200,0.260000,0.500000,6.280077
0.020000,1.724351,2.983613,0.013860,0.075600,0.270000,0.500000,6.279476
0.020000,1.725919,2.983606,0.015428,0.081200,0.280000,0.500000,6.278829
0.020000,1.727601,2.983598,0.017110,0.087000,0.290000,0.500000,6.278134
0.020000,1.729401,2.983589,0.018910,0.093000,0.300000,0.500000,6.277390
0.020000,1.731323,2.983577,0.020832,0.099200,0.310000,0.500000,6.276595
0.020000,1.733371,2.983562,0.022880,0.105600,0.320000,0.500000,6.275746
0.020000,1.735549,2.983545,0.025058,0.112200,0.330000,0.500000,6.274843
0.020000,1.737861,2.983525,0.027370,0.119000,0.340000,0.500000,6.273883
0.020000,1.740311,2.983501,0.029820,0.126000,0.350000,0.500000,6.272865
0.020000,1.742903,2.983472,0.032412,0.133200,0.360000,0.500000,6.271786
0.020000,1.745640,2.983440,0.035150,0.140600,0.370000,0.500000,6.270645
0.020000,1.748528,2.983402,0.038038,0.148200,0.380000,0.500000,6.269440
0.020000,1.751570,2.983358,0.041080,0.156000,0.390000,0.500000,6.268169
0.020000,1.754769,2.983308,0.044280,0.164000,0.400000,0.500000,6.266830
0.020000,1.758131,2.983250,0.047642,0.172200,0.410000,0.500000,6.265420
0.020000,1.761659,2.983185,0.051170,0.180600,0.420000,0.500000,6.263938
