dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715908,2.697880,0.000002,0.000200,0.010000,0.500000,0.001989
0.020000,1.715907,2.697880,0.000003,0.000047,-0.007656,-0.882788,0.001986
0.020000,1.715905,2.697880,0.000005,0.000105,0.002930,0.529304,0.001979
0.020000,1.715901,2.697880,0.000009,0.000188,0.004102,0.058608,0.001965
0.020000,1.715895,2.697880,0.000015,0.000293,0.005275,0.058612,0.001945
0.020000,1.715887,2.697880,0.000023,0.000422,0.006447,0.058618,0.001915
0.020000,1.715875,2.697880,0.000035,0.000574,0.007620,0.058626,0.001875
0.020000,1.715860,2.697880,0.000050,0.000750,0.008792,0.058638,0.001823
0.020000,1.715841,2.697880,0.000069,0.000950,0.009965,0.058653,0.001756
0.020000,1.715818,2.697880,0.000092,0.001172,0.011139,0.058673,0.001674
0.020000,1.715789,2.697880,0.000120,0.001419,0.012313,0.058698,0.001575
0.020000,1.715756,2.697880,0.000154,0.001688,0.013487,0.058728,0.001457
0.020000,1.715716,2.697879,0.000194,0.001982,0.014663,0.058765,0.001318
0.020000,1.715670,2.697879,0.000240,0.002298,0.015839,0.058808,0.001157
0.020000,1.715617,2.697879,0.000293,0.002639,0.017016,0.058858,0.000972
0.020000,1.715557,2.697879,0.000353,0.003003,0.018194,0.058915,0.000762
0.020000,1.715489,2.697879,0.000420,0.003390,0.019374,0.058980,0.000525
0.020000,1.715413,2.697879,0.000496,0.003801,0.020555,0.059054,0.000259
0.020000,1.715420,2.697879,0.000503,0.000332,-0.173467,-9.701109,6.283148
0.020000,1.716126,2.697879,0.001210,0.035324,1.749619,96.154333,6.282819
0.020000,1.716905,2.697879,0.001988,0.038933,0.180464,-78.457755,6.282456
0.020000,1.717759,2.697878,0.002843,0.042716,0.189122,0.432871,6.282058
0.020000,1.718693,2.697877,0.003776,0.046671,0.197751,0.431463,6.281623
0.020000,1.719709,2.697875,0.004792,0.050804,0.206667,0.445786,6.281149
0.020000,1.720812,2.697872,0.005895,0.055171,0.218340,0.583671,6.280634
0.020000,1.722005,2.697869,0.007088,0.059646,0.223745,0.270249,6.280077
0.020000,1.723291,2.697864,0.008374,0.064291,0.232246,0.425041,6.279476
0.020000,1.724674,2.697859,0.009757,0.069158,0.243376,0.556491,6.278829
0.020000,1.726158,2.697852,0.011241,0.074188,0.251462,0.404311,6.278134
0.020000,1.727745,2.697843,0.012828,0.079344,0.257828,0.318321,6.277390
0.020000,1.729440,2.697833,0.014523,0.084754,0.270514,0.634261,6.276595
0.020000,1.731245,2.697820,0.016329,0.090277,0.276142,0.281437,6.275746
0.020000,1.733165,2.697805,0.018248,0.095989,0.285578,0.471802,6.274843
0.020000,1.735203,2.697787,0.020286,0.101898,0.295443,0.493228,6.273883
0.020000,1.737362,2.697766,0.022445,0.107939,0.302050,0.330363,6.272865
0.020000,1.739646,2.697741,0.024729,0.114198,0.312948,0.544897,6.271786
0.020000,1.742057,2.697712,0.027141,0.120597,0.319976,0.351413,6.270645
0.020000,1.744600,2.697679,0.029684,0.127168,0.328549,0.428643,6.269440
0.020000,1.747279,2.697640,0.032364,0.133956,0.339400,0.542542,6.268169
0.020000,1.750096,2.697596,0.035180,0.140849,0.344625,0.261232,6.266830
0.020000,1.753055,2.697546,0.038140,0.147957,0.355392,0.538342,6.265420
0.020000,1.756159,2.697488,0.041245,0.155250,0.364674,0.464099,6.263938
0.020000,1.759412,2.697423,0.044498,0.162673,0.371136,0.323104,6.262383
0.020000,1.762817,2.697349,0.047904,0.170273,0.380015,0.443944,6.260751
0.020000,1.766377,2.697266,0.051465,0.178049,0.388821,0.440326,6.259041
0.020000,1.770096,2.697173,0.055185,0.186018,0.398447,0.481291,6.257250
0.020000,1.773977,2.697069,0.059068,0.194144,0.406282,0.391739,6.255377
0.020000,1.778024,2.696952,0.063116,0.202428,0.414192,0.395521,6.253419
0.020000,1.782240,2.696823,0.067334,0.210881,0.422656,0.423198,6.251374
0.020000,1.786627,2.696678,0.071724,0.219502,0.431025,0.418420,6.249240
0.020000,1.791187,2.696518,0.076286,0.228112,0.430523,-0.025096,6.247016
0.020000,1.795915,2.696342,0.081018,0.236570,0.422919,-0.380188,6.244703
0.020000,1.800807,2.696148,0.085914,0.244818,0.412386,-0.526654,6.242302
0.020000,1.805860,2.695935,0.090971,0.252874,0.402793,-0.479638,6.239816
