dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.749905,4.520893,0.000002,0.000200,0.010000,0.500000,0.000696
0.020000,1.749905,4.520893,0.000002,0.000022,-0.008891,-0.944558,0.000695
0.020000,1.749906,4.520893,0.000003,0.000050,0.001386,0.513860,0.000691
0.020000,1.749908,4.520893,0.000005,0.000089,0.001940,0.027718,0.000685
0.020000,1.749911,4.520893,0.000008,0.000139,0.002495,0.027715,0.000676
0.020000,1.749915,4.520893,0.000012,0.000200,0.003049,0.027709,0.000662
0.020000,1.749920,4.520893,0.000017,0.000272,0.003603,0.027701,0.000643
0.020000,1.749927,4.520893,0.000025,0.000355,0.004157,0.027688,0.000618
0.020000,1.749936,4.520893,0.000033,0.000449,0.004710,0.027673,0.000586
0.020000,1.749947,4.520893,0.000045,0.000554,0.005263,0.027652,0.000548
0.020000,1.749961,4.520893,0.000058,0.000671,0.005816,0.027626,0.000501
0.020000,1.749977,4.520893,0.000074,0.000798,0.006368,0.027595,0.000445
0.020000,1.749995,4.520893,0.000093,0.000936,0.006919,0.027558,0.000379
0.020000,1.750017,4.520893,0.000114,0.001086,0.007469,0.027513,0.000303
0.020000,1.750042,4.520893,0.000139,0.001246,0.008018,0.027462,0.000216
0.020000,1.750070,4.520893,0.000168,0.001417,0.008566,0.027402,0.000117
0.020000,1.750102,4.520893,0.000200,0.001600,0.009113,0.027334,0.000005
0.020000,1.750761,4.520893,0.000858,0.032942,1.567128,77.900755,6.283065
0.020000,1.751523,4.520893,0.001620,0.038098,0.257769,-65.467961,6.282925
0.020000,1.752367,4.520892,0.002465,0.042212,0.205712,-2.602821,6.282770
0.020000,1.753298,4.520892,0.003395,0.046537,0.216241,0.526425,6.282600
0.020000,1.754319,4.520891,0.004417,0.051074,0.226851,0.530501,6.282412
0.020000,1.755436,4.520890,0.005533,0.055822,0.237426,0.528742,6.282208
0.020000,1.756651,4.520889,0.006749,0.060779,0.247819,0.519678,6.281985
0.020000,1.757970,4.520887,0.008068,0.065946,0.258386,0.528313,6.281744
0.020000,1.759397,4.520885,0.009494,0.071328,0.269064,0.533919,6.281483
0.020000,1.760935,4.520882,0.011033,0.076915,0.279353,0.514435,6.281202
0.020000,1.762590,4.520879,0.012687,0.082716,0.290065,0.535625,6.280900
0.020000,1.764364,4.520874,0.014461,0.088725,0.300461,0.519786,6.280577
0.020000,1.766263,4.520869,0.016360,0.094946,0.311024,0.528155,6.280230
0.020000,1.768290,4.520863,0.018388,0.101376,0.321502,0.523889,6.279861
0.020000,1.770451,4.520855,0.020548,0.108017,0.332053,0.527581,6.279468
0.020000,1.772748,4.520846,0.022846,0.114865,0.342410,0.517829,6.279050
0.020000,1.775187,4.520835,0.025284,0.121928,0.353153,0.537149,6.278608
0.020000,1.777770,4.520823,0.027868,0.129196,0.363395,0.512083,6.278139
0.020000,1.780504,4.520808,0.030601,0.136674,0.373899,0.525239,6.277644
0.020000,1.783391,4.520792,0.033489,0.144365,0.384553,0.532653,6.277121
0.020000,1.786436,4.520772,0.036534,0.152262,0.394858,0.515284,6.276571
0.020000,1.789644,4.520750,0.039741,0.160368,0.405317,0.522930,6.275992
