dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750104,4.235143,0.000002,0.000200,0.010000,0.500000,0.000696
0.020000,1.750104,4.235143,0.000010,0.000600,0.020000,0.500000,0.000695
0.020000,1.750104,4.235143,0.000028,0.001200,0.030000,0.500000,0.000691
0.020000,1.750104,4.235143,0.000060,0.002000,0.040000,0.500000,0.000685
0.020000,1.750104,4.235143,0.000110,0.003000,0.050000,0.500000,0.000676
0.020000,1.750104,4.235143,0.000182,0.004200,0.060000,0.500000,0.000662
0.020000,1.750104,4.235143,0.000280,0.005600,0.070000,0.500000,0.000643
0.020000,1.750104,4.235143,0.000408,0.007200,0.080000,0.500000,0.000618
0.020000,1.750104,4.235143,0.000570,0.009000,0.090000,0.500000,0.000586
0.020000,1.750104,4.235143,0.000770,0.011000,0.100000,0.500000,0.000548
0.020000,1.750104,4.235143,0.001012,0.013200,0.110000,0.500000,0.000501
0.020000,1.750104,4.235143,0.001300,0.015600,0.120000,0.500000,0.000445
0.020000,1.750104,4.235143,0.001638,0.018200,0.130000,0.500000,0.000379
0.020000,1.750104,4.235143,0.002030,0.021000,0.140000,0.500000,0.000303
0.020000,1.750104,4.235143,0.002480,0.024000,0.150000,0.500000,0.000216
0.020000,1.750104,4.235143,0.002992,0.027200,0.160000,0.500000,0.000117
0.020000,1.750104,4.235143,0.003570,0.030600,0.170000,0.500000,0.000005
0.020000,1.750727,4.235143,0.004218,0.034200,0.180000,0.500000,6.283065
0.020000,1.751449,4.235143,0.004940,0.038000,0.190000,0.500000,6.282925
0.020000,1.752249,4.235142,0.005740,0.042000,0.200000,0.500000,6.282770
0.020000,1.753131,4.235142,0.006622,0.046200,0.210000,0.500000,6.282600
0.020000,1.754099,4.235141,0.007590,0.050600,0.220000,0.500000,6.282412
0.020000,1.755157,4.235140,0.008648,0.055200,0.230000,0.500000,6.282208
0.020000,1.756309,4.235139,0.009800,0.060000,0.240000,0.500000,6.281985
0.020000,1.757559,4.235138,0.011050,0.065000,0.250000,0.500000,6.281744
0.020000,1.758911,4.235135,0.012402,0.070200,0.260000,0.500000,6.281483
0.020000,1.760369,4.235133,0.013860,0.075600,0.270000,0.500000,6.281202
0.020000,1.761937,4.235129,0.015428,0.081200,0.280000,0.500000,6.280900
0.020000,1.763619,4.235125,0.017110,0.087000,0.290000,0.500000,6.280577
0.020000,1.765419,4.235120,0.018910,0.093000,0.300000,0.500000,6.280230
0.020000,1.767341,4.235114,0.020832,0.099200,0.310000,0.500000,6.279861
0.020000,1.769389,4.235107,0.022880,0.105600,0.320000,0.500000,6.279468
0.020000,1.771567,4.235098,0.025058,0.112200,0.330000,0.500000,6.279050
