dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750303,3.949393,0.000002,0.000200,0.010000,0.500000,0.000696
0.020000,1.750302,3.949393,0.000002,0.000022,-0.008891,-0.944558,0.000695
0.020000,1.750301,3.949393,0.000003,0.000050,0.001386,0.513860,0.000691
0.020000,1.750299,3.949393,0.000005,0.000089,0.001940,0.027718,0.000685
0.020000,1.750297,3.949393,0.000008,0.000139,0.002495,0.027715,0.000676
0.020000,1.750293,3.949393,0.000012,0.000200,0.003049,0.027709,0.000662
0.020000,1.750287,3.949393,0.000017,0.000272,0.003603,0.027701,0.000643
0.020000,1.750280,3.949393,0.000025,0.000355,0.004157,0.027688,0.000618
0.020000,1.750271,3.949393,0.000033,0.000449,0.004710,0.027673,0.000586
0.020000,1.750260,3.949393,0.000045,0.000554,0.005263,0.027652,0.000548
0.020000,1.750247,3.949393,0.000058,0.000671,0.005816,0.027626,0.000501
0.020000,1.750231,3.949393,0.000074,0.000798,0.006368,0.027595,0.000445
0.020000,1.750212,3.949393,0.000093,0.000936,0.006919,0.027558,0.000379
0.020000,1.750190,3.949393,0.000114,0.001086,0.007469,0.027513,0.000303
0.020000,1.750165,3.949393,0.000139,0.001246,0.008018,0.027462,0.000216
0.020000,1.750137,3.949393,0.000168,0.001417,0.008566,0.027402,0.000117
0.020000,1.750105,3.949393,0.000200,0.001600,0.009113,0.027334,0.000005
0.020000,1.750692,3.949393,0.000787,0.029356,1.387844,68.936556,6.283065
0.020000,1.751374,3.949393,0.001469,0.034104,0.237365,-57.523972,6.282925
0.020000,1.752130,3.949392,0.002225,0.037788,0.184226,-2.656955,6.282770
0.020000,1.752963,3.949392,0.003058,0.041662,0.193675,0.472492,6.282600
0.020000,1.753878,3.949391,0.003972,0.045726,0.203203,0.476358,6.282412
0.020000,1.754877,3.949391,0.004972,0.049980,0.212703,0.475022,6.282208
0.020000,1.755966,3.949389,0.006060,0.054421,0.222046,0.467168,6.281985
0.020000,1.757147,3.949388,0.007241,0.059052,0.231550,0.475184,6.281744
0.020000,1.758424,3.949386,0.008519,0.063875,0.241160,0.480516,6.281483
0.020000,1.759802,3.949383,0.009897,0.068884,0.250428,0.463405,6.281202
0.020000,1.761284,3.949380,0.011378,0.074085,0.260083,0.482746,6.280900
0.020000,1.762873,3.949376,0.012968,0.079475,0.269462,0.468955,6.280577
0.020000,1.764574,3.949371,0.014669,0.085055,0.279000,0.476874,6.280230
0.020000,1.766391,3.949366,0.016485,0.090824,0.288470,0.473507,6.279861
0.020000,1.768326,3.949359,0.018421,0.096784,0.298016,0.477303,6.279468
0.020000,1.770385,3.949351,0.020480,0.102932,0.307398,0.469086,6.279050
0.020000,1.772570,3.949341,0.022665,0.109275,0.317137,0.486955,6.278608
0.020000,1.774887,3.949330,0.024981,0.115804,0.326439,0.465084,6.278139
0.020000,1.777337,3.949317,0.027432,0.122524,0.335989,0.477503,6.277644
0.020000,1.779926,3.949302,0.030020,0.129437,0.345685,0.484820,6.277121
0.020000,1.782656,3.949285,0.032751,0.136539,0.355084,0.469959,6.276571
0.020000,1.785533,3.949265,0.035628,0.143832,0.364636,0.477564,6.275992
0.020000,1.788559,3.949242,0.038654,0.151316,0.374204,0.478407,6.275385
0.020000,1.791739,3.949217,0.041834,0.158991,0.383777,0.478665,6.274747
0.020000,1.795076,3.949187,0.045171,0.166858,0.393356,0.478938,6.274079
0.020000,1.798574,3.949154,0.048670,0.174917,0.402940,0.479227,6.273381
0.020000,1.802237,3.949117,0.052333,0.183168,0.412531,0.479534,6.272650
0.020000,1.806069,3.949075,0.056165,0.191610,0.422128,0.479859,6.271888
0.020000,1.810074,3.949028,0.060170,0.200245,0.431732,0.480206,6.271093
0.020000,1.814255,3.948976,0.064351,0.209072,0.441344,0.480575,6.270266
0.020000,1.818616,3.948918,0.068713,0.218093,0.451063,0.485977,6.269404
0.020000,1.823162,3.948853,0.073259,0.227307,0.460688,0.481233,6.268509
0.020000,1.827896,3.948781,0.077994,0.236712,0.470256,0.478424,6.267579
0.020000,1.832818,3.948702,0.082916,0.246125,0.470632,0.018767,6.266615
0.020000,1.837924,3.948615,0.088023,0.255349,0.461226,-0.470277,6.265617
0.020000,1.843211,3.948519,0.093311,0.264391,0.452105,-0.456060,6.264588
0.020000,1.848675,3.948415,0.098776,0.273245,0.442704,-0.470071,6.263527
0.020000,1.854312,3.948301,0.104414,0.281919,0.433671,-0.451631,6.262436
0.020000,1.860119,3.948177,0.110222,0.290404,0.424257,-0.470700,6.261317
0.020000,1.866091,3.948043,0.116196,0.298705,0.415031,-0.461280,6.260169
0.020000,1.872226,3.947898,0.122333,0.306821,0.405837,-0.459703,6.258995
