dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750185,4.520893,0.000002,0.000200,0.010000,0.500000,6.282900
0.020000,1.750185,4.520893,0.000002,0.000009,-0.009554,-0.977691,6.282901
0.020000,1.750185,4.520893,0.000003,0.000020,0.000558,0.505577,6.282902
0.020000,1.750184,4.520893,0.000003,0.000036,0.000781,0.011153,6.282905
0.020000,1.750183,4.520893,0.000004,0.000056,0.001004,0.011152,6.282909
0.020000,1.750181,4.520893,0.000006,0.000080,0.001227,0.011149,6.282914
0.020000,1.750179,4.520893,0.000008,0.000109,0.001450,0.011146,6.282922
0.020000,1.750176,4.520893,0.000011,0.000143,0.001673,0.011141,6.282932
0.020000,1.750172,4.520893,0.000015,0.000181,0.001895,0.011134,6.282944
0.020000,1.750168,4.520893,0.000019,0.000223,0.002118,0.011125,6.282960
0.020000,1.750163,4.520893,0.000025,0.000270,0.002340,0.011114,6.282979
0.020000,1.750156,4.520893,0.000031,0.000321,0.002562,0.011101,6.283001
0.020000,1.750149,4.520893,0.000038,0.000377,0.002784,0.011085,6.283028
0.020000,1.750140,4.520893,0.000047,0.000437,0.003005,0.011066,6.283058
0.020000,1.750130,4.520893,0.000057,0.000501,0.003226,0.011044,6.283093
0.020000,1.750118,4.520893,0.000069,0.000570,0.003446,0.011019,6.283133
0.020000,1.750106,4.520893,0.000082,0.000644,0.003666,0.010990,6.283178
0.020000,1.750651,4.520893,0.000627,0.027253,1.330449,66.339144,0.000044
0.020000,1.751357,4.520893,0.001333,0.035297,0.402208,-46.412055,0.000100
0.020000,1.752139,4.520893,0.002115,0.039110,0.190674,-10.576712,0.000162
0.020000,1.753001,4.520893,0.002977,0.043119,0.200455,0.489078,0.000231
0.020000,1.753948,4.520893,0.003924,0.047324,0.210247,0.489563,0.000306
0.020000,1.754982,4.520894,0.004958,0.051725,0.220046,0.489995,0.000388
0.020000,1.756109,4.520894,0.006085,0.056321,0.229808,0.488058,0.000478
0.020000,1.757331,4.520895,0.007307,0.061113,0.239595,0.489370,0.000575
0.020000,1.758653,4.520896,0.008629,0.066102,0.249420,0.491264,0.000680
0.020000,1.760079,4.520897,0.010055,0.071285,0.259169,0.487442,0.000793
0.020000,1.761612,4.520898,0.011588,0.076665,0.268983,0.490708,0.000914
0.020000,1.763257,4.520900,0.013233,0.082240,0.278776,0.489639,0.001044
0.020000,1.765017,4.520902,0.014993,0.088011,0.288562,0.489303,0.001184
0.020000,1.766896,4.520904,0.016872,0.093979,0.298377,0.490742,0.001332
0.020000,1.768899,4.520907,0.018875,0.100142,0.308163,0.489308,0.001490
0.020000,1.771029,4.520910,0.021005,0.106502,0.317970,0.490322,0.001658
0.020000,1.773291,4.520914,0.023266,0.113057,0.327788,0.490915,0.001836
0.020000,1.775687,4.520919,0.025663,0.119809,0.337572,0.489184,0.002024
0.020000,1.778222,4.520924,0.028198,0.126757,0.347403,0.491585,0.002223
0.020000,1.780900,4.520930,0.030876,0.133901,0.357218,0.490730,0.002433
0.020000,1.783725,4.520938,0.033701,0.141242,0.367021,0.490180,0.002654
0.020000,1.786700,4.520946,0.036676,0.148779,0.376845,0.491188,0.002887
0.020000,1.789830,4.520955,0.039806,0.156512,0.386672,0.491337,0.003131
0.020000,1.793119,4.520966,0.043095,0.164442,0.396502,0.491493,0.003387
0.020000,1.796571,4.520978,0.046547,0.172569,0.406336,0.491726,0.003655
0.020000,1.800188,4.520992,0.050164,0.180892,0.416169,0.491636,0.003935
0.020000,1.803977,4.521007,0.053953,0.189412,0.426013,0.492193,0.004228
0.020000,1.807939,4.521025,0.057915,0.198130,0.435856,0.492160,0.004534
0.020000,1.812080,4.521044,0.062056,0.207044,0.445704,0.492397,0.004853
0.020000,1.816403,4.521066,0.066379,0.216155,0.455556,0.492616,0.005185
0.020000,1.820912,4.521090,0.070889,0.225463,0.465413,0.492837,0.005531
0.020000,1.825612,4.521117,0.075588,0.234969,0.475285,0.493589,0.005890
0.020000,1.830505,4.521147,0.080481,0.244672,0.485167,0.494124,0.006263
0.020000,1.835592,4.521179,0.085569,0.254377,0.485229,0.003092,0.006650
0.020000,1.840870,4.521216,0.090847,0.263888,0.475563,-0.483295,0.007049
0.020000,1.846334,4.521255,0.096311,0.273205,0.465841,-0.486102,0.007462
0.020000,1.851980,4.521299,0.101957,0.282328,0.456174,-0.483356,0.007887
0.020000,1.857805,4.521346,0.107782,0.291257,0.446452,-0.486123,0.008324
0.020000,1.863805,4.521397,0.113782,0.299993,0.436785,-0.483313,0.008772
0.020000,1.869975,4.521453,0.119953,0.308535,0.427079,-0.485322,0.009232
0.020000,1.876313,4.521513,0.126291,0.316882,0.417380,-0.484924,0.009702
0.020000,1.882813,4.521577,0.132791,0.325036,0.407690,-0.484543,0.010183
0.020000,1.889473,4.521647,0.139451,0.332996,0.398003,-0.484344,0.010673
0.020000,1.896287,4.521721,0.146267,0.340762,0.388306,-0.484820,0.011172
0.020000,1.903254,4.521801,0.153233,0.348334,0.378604,-0.485103,0.011681
0.020000,1.910367,4.521886,0.160347,0.355712,0.368907,-0.484842,0.012198
0.020000,1.917625,4.521976,0.167605,0.362896,0.359209,-0.484934,0.012723
0.020000,1.925022,4.522072,0.175003,0.369887,0.349508,-0.485031,0.013256
0.020000,1.932555,4.522174,0.182537,0.376683,0.339805,-0.485133,0.013796
0.020000,1.940220,4.522282,0.190202,0.383285,0.330109,-0.484845,0.014343
0.020000,1.948013,4.522396,0.197996,0.389693,0.320399,-0.485499,0.014897
0.020000,1.955930,4.522516,0.205914,0.395907,0.310686,-0.485619,0.015456
0.020000,1.963968,4.522643,0.213953,0.401926,0.300974,-0.485605,0.016021
0.020000,1.972122,4.522776,0.222108,0.407751,0.291260,-0.485713,0.016591
0.020000,1.980388,4.522915,0.230376,0.413383,0.281563,-0.484867,0.017167
0.020000,1.988763,4.523061,0.238752,0.418819,0.271823,-0.486970,0.017746
0.020000,1.997243,4.523214,0.247233,0.424061,0.262101,-0.486114,0.018330
0.020000,2.005824,4.523374,0.255815,0.429109,0.252398,-0.485158,0.018917
0.020000,2.014501,4.523541,0.264495,0.433962,0.242645,-0.487631,0.019508
0.020000,2.023272,4.523715,0.273267,0.438620,0.232929,-0.485813,0.020101
0.020000,2.032132,4.523895,0.282129,0.443084,0.223187,-0.487075,0.020697
0.020000,2.041077,4.524083,0.291076,0.447353,0.213451,-0.486826,0.021295
0.020000,2.050103,4.524278,0.300104,0.451427,0.203709,-0.487084,0.021895
0.020000,2.059207,4.524480,0.309211,0.455307,0.193963,-0.487291,0.022497
0.020000,2.068385,4.524690,0.318390,0.458991,0.184210,-0.487646,0.023100
0.020000,2.077632,4.524906,0.327640,0.462480,0.174464,-0.487303,0.023703
0.020000,2.086945,4.525130,0.336955,0.465774,0.164693,-0.488568,0.024307
0.020000,2.096319,4.525360,0.346333,0.468873,0.154950,-0.487165,0.024910
0.020000,2.105752,4.525598,0.355768,0.471776,0.145167,-0.489128,0.025514
0.020000,2.115238,4.525843,0.365258,0.474484,0.135401,-0.488320,0.026117
0.020000,2.124775,4.526095,0.374798,0.476997,0.125633,-0.488375,0.026719
0.020000,2.134358,4.526354,0.384384,0.479314,0.115843,-0.489522,0.027320
0.020000,2.143983,4.526620,0.394013,0.481435,0.106063,-0.488990,0.027920
