dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750104,4.235143,0.000002,0.000200,0.010000,0.500000,6.282900
0.020000,1.750104,4.235143,0.000010,0.000600,0.020000,0.500000,6.282901
0.020000,1.750104,4.235143,0.000028,0.001200,0.030000,0.500000,6.282902
0.020000,1.750104,4.235143,0.000060,0.002000,0.040000,0.500000,6.282905
0.020000,1.750104,4.235143,0.000110,0.003000,0.050000,0.500000,6.282909
0.020000,1.750104,4.235143,0.000182,0.004200,0.060000,0.500000,6.282914
0.020000,1.750104,4.235143,0.000280,0.005600,0.070000,0.500000,6.282922
0.020000,1.750104,4.235143,0.000408,0.007200,0.080000,0.500000,6.282932
0.020000,1.750104,4.235143,0.000570,0.009000,0.090000,0.500000,6.282944
0.020000,1.750104,4.235143,0.000770,0.011000,0.100000,0.500000,6.282960
0.020000,1.750104,4.235143,0.001012,0.013200,0.110000,0.500000,6.282979
0.020000,1.750104,4.235143,0.001300,0.015600,0.120000,0.500000,6.283001
0.020000,1.750104,4.235143,0.001638,0.018200,0.130000,0.500000,6.283028
0.020000,1.750104,4.235143,0.002030,0.021000,0.140000,0.500000,6.283058
0.020000,1.750104,4.235143,0.002480,0.024000,0.150000,0.500000,6.283093
0.020000,1.750104,4.235143,0.002992,0.027200,0.160000,0.500000,6.283133
0.020000,1.750104,4.235143,0.003570,0.030600,0.170000,0.500000,6.283178
0.020000,1.750663,4.235143,0.004218,0.034200,0.180000,0.500000,0.000044
0.020000,1.751385,4.235143,0.004940,0.038000,0.190000,0.500000,0.000100
0.020000,1.752185,4.235143,0.005740,0.042000,0.200000,0.500000,0.000162
0.020000,1.753067,4.235143,0.006622,0.046200,0.210000,0.500000,0.000231
0.020000,1.754035,4.235143,0.007590,0.050600,0.220000,0.500000,0.000306
0.020000,1.755093,4.235144,0.008648,0.055200,0.230000,0.500000,0.000388
0.020000,1.756245,4.235144,0.009800,0.060000,0.240000,0.500000,0.000478
0.020000,1.757495,4.235145,0.011050,0.065000,0.250000,0.500000,0.000575
0.020000,1.758847,4.235146,0.012402,0.070200,0.260000,0.500000,0.000680
0.020000,1.760305,4.235147,0.013860,0.075600,0.270000,0.500000,0.000793
0.020000,1.761873,4.235148,0.015428,0.081200,0.280000,0.500000,0.000914
0.020000,1.763555,4.235150,0.017110,0.087000,0.290000,0.500000,0.001044
0.020000,1.765355,4.235152,0.018910,0.093000,0.300000,0.500000,0.001184
0.020000,1.767277,4.235154,0.020832,0.099200,0.310000,0.500000,0.001332
0.020000,1.769325,4.235157,0.022880,0.105600,0.320000,0.500000,0.001490
0.020000,1.771503,4.235161,0.025058,0.112200,0.330000,0.500000,0.001658
0.020000,1.773815,4.235165,0.027370,0.119000,0.340000,0.500000,0.001836
0.020000,1.776265,4.235169,0.029820,0.126000,0.350000,0.500000,0.002024
0.020000,1.778857,4.235175,0.032412,0.133200,0.360000,0.500000,0.002223
0.020000,1.781595,4.235181,0.035150,0.140600,0.370000,0.500000,0.002433
0.020000,1.784483,4.235189,0.038038,0.148200,0.380000,0.500000,0.002654
0.020000,1.787525,4.235197,0.041080,0.156000,0.390000,0.500000,0.002887
0.020000,1.790725,4.235207,0.044280,0.164000,0.400000,0.500000,0.003131
0.020000,1.794087,4.235218,0.047642,0.172200,0.410000,0.500000,0.003387
0.020000,1.797615,4.235230,0.051170,0.180600,0.420000,0.500000,0.003655
0.020000,1.801313,4.235244,0.054868,0.189200,0.430000,0.500000,0.003935
0.020000,1.805185,4.235260,0.058740,0.198000,0.440000,0.500000,0.004228
0.020000,1.809235,4.235278,0.062790,0.207000,0.450000,0.500000,0.004534
0.020000,1.813467,4.235298,0.067022,0.216200,0.460000,0.500000,0.004853
0.020000,1.817885,4.235320,0.071440,0.225600,0.470000,0.500000,0.005185
0.020000,1.822493,4.235344,0.076048,0.235200,0.480000,0.500000,0.005531
0.020000,1.827295,4.235372,0.080850,0.245000,0.490000,0.500000,0.005890
0.020000,1.832295,4.235402,0.085850,0.255000,0.500000,0.500000,0.006263
0.020000,1.837492,4.235436,0.091048,0.264800,0.490000,-0.500000,0.006650
0.020000,1.842884,4.235473,0.096440,0.274400,0.480000,-0.500000,0.007049
0.020000,1.848466,4.235513,0.102022,0.283800,0.470000,-0.500000,0.007462
0.020000,1.854234,4.235557,0.107790,0.293000,0.460000,-0.500000,0.007887
0.020000,1.860184,4.235606,0.113740,0.302000,0.450000,-0.500000,0.008324
0.020000,1.866312,4.235658,0.119868,0.310800,0.440000,-0.500000,0.008772
0.020000,1.872613,4.235715,0.126170,0.319400,0.430000,-0.500000,0.009232
0.020000,1.879085,4.235776,0.132642,0.327800,0.420000,-0.500000,0.009702
0.020000,1.885723,4.235842,0.139280,0.336000,0.410000,-0.500000,0.010183
0.020000,1.892522,4.235913,0.146080,0.344000,0.400000,-0.500000,0.010673
0.020000,1.899480,4.235989,0.153038,0.351800,0.390000,-0.500000,0.011172
