dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.750022,3.949393,0.000002,0.000200,0.010000,0.500000,6.282900
0.020000,1.750022,3.949393,0.000002,0.000009,-0.009554,-0.977691,6.282901
0.020000,1.750023,3.949393,0.000003,0.000020,0.000558,0.505577,6.282902
0.020000,1.750023,3.949393,0.000003,0.000036,0.000781,0.011153,6.282905
0.020000,1.750025,3.949393,0.000004,0.000056,0.001004,0.011152,6.282909
0.020000,1.750026,3.949393,0.000006,0.000080,0.001227,0.011149,6.282914
0.020000,1.750028,3.949393,0.000008,0.000109,0.001450,0.011146,6.282922
0.020000,1.750031,3.949393,0.000011,0.000143,0.001673,0.011141,6.282932
0.020000,1.750035,3.949393,0.000015,0.000181,0.001895,0.011134,6.282944
0.020000,1.750039,3.949393,0.000019,0.000223,0.002118,0.011125,6.282960
0.020000,1.750045,3.949393,0.000025,0.000270,0.002340,0.011114,6.282979
0.020000,1.750051,3.949393,0.000031,0.000321,0.002562,0.011101,6.283001
0.020000,1.750059,3.949393,0.000038,0.000377,0.002784,0.011085,6.283028
0.020000,1.750067,3.949393,0.000047,0.000437,0.003005,0.011066,6.283058
0.020000,1.750077,3.949393,0.000057,0.000501,0.003226,0.011044,6.283093
0.020000,1.750089,3.949393,0.000069,0.000570,0.003446,0.011019,6.283133
0.020000,1.750102,3.949393,0.000082,0.000644,0.003666,0.010990,6.283178
0.020000,1.750676,3.949393,0.000655,0.028695,1.402580,69.945685,0.000044
0.020000,1.751414,3.949393,0.001393,0.036904,0.410415,-49.608218,0.000100
0.020000,1.752231,3.949393,0.002211,0.040890,0.199316,-10.554956,0.000162
0.020000,1.753133,3.949393,0.003113,0.045080,0.209531,0.510746,0.000231
0.020000,1.754123,3.949394,0.004102,0.049476,0.219754,0.511150,0.000306
0.020000,1.755204,3.949394,0.005184,0.054075,0.229984,0.511489,0.000388
0.020000,1.756382,3.949394,0.006361,0.058879,0.240171,0.509340,0.000478
0.020000,1.757659,3.949395,0.007639,0.063886,0.250382,0.510577,0.000575
0.020000,1.759041,3.949396,0.009021,0.069099,0.260631,0.512410,0.000680
0.020000,1.760532,3.949397,0.010511,0.074515,0.270796,0.508256,0.000793
0.020000,1.762134,3.949398,0.012114,0.080135,0.281026,0.511498,0.000914
0.020000,1.763854,3.949400,0.013833,0.085960,0.291230,0.510195,0.001044
0.020000,1.765693,3.949402,0.015673,0.091988,0.301422,0.509645,0.001184
0.020000,1.767658,3.949405,0.017638,0.098221,0.311641,0.510937,0.001332
0.020000,1.769751,3.949408,0.019731,0.104658,0.321825,0.509211,0.001490
0.020000,1.771977,3.949411,0.021957,0.111298,0.332026,0.510027,0.001658
0.020000,1.774340,3.949415,0.024320,0.118143,0.342234,0.510388,0.001836
0.020000,1.776843,3.949420,0.026823,0.125191,0.352400,0.508304,0.002024
0.020000,1.779492,3.949426,0.029472,0.132443,0.362610,0.510521,0.002223
0.020000,1.782290,3.949432,0.032270,0.139899,0.372797,0.509319,0.002433
0.020000,1.785241,3.949440,0.035221,0.147558,0.382965,0.508417,0.002654
0.020000,1.788350,3.949448,0.038330,0.155421,0.393148,0.509126,0.002887
0.020000,1.791620,3.949458,0.041600,0.163488,0.403326,0.508917,0.003131
0.020000,1.795055,3.949469,0.045035,0.171758,0.413500,0.508697,0.003387
0.020000,1.798659,3.949482,0.048639,0.180231,0.423671,0.508537,0.003655
0.020000,1.802438,3.949496,0.052418,0.188908,0.433831,0.508020,0.003935
0.020000,1.806393,3.949512,0.056373,0.197788,0.443994,0.508157,0.004228
0.020000,1.810531,3.949531,0.060511,0.206871,0.454147,0.507656,0.004534
0.020000,1.814854,3.949551,0.064834,0.216157,0.464296,0.507417,0.004853
0.020000,1.819367,3.949574,0.069347,0.225645,0.474438,0.507135,0.005185
0.020000,1.824073,3.949599,0.074053,0.235337,0.484575,0.506832,0.005531
0.020000,1.828978,3.949627,0.078958,0.245231,0.494716,0.507061,0.005890
0.020000,1.834084,3.949658,0.084065,0.255328,0.504857,0.507039,0.006263
0.020000,1.839393,3.949692,0.089373,0.265423,0.504739,-0.005891,0.006650
0.020000,1.844899,3.949730,0.094879,0.275312,0.494466,-0.513667,0.007049
0.020000,1.850598,3.949771,0.100579,0.284995,0.484132,-0.516687,0.007462
0.020000,1.856488,3.949816,0.106469,0.294472,0.473854,-0.513891,0.007887
0.020000,1.862562,3.949866,0.112544,0.303742,0.463518,-0.516824,0.008324
0.020000,1.868818,3.949919,0.118800,0.312807,0.453239,-0.513917,0.008772
0.020000,1.875251,3.949977,0.125233,0.321666,0.442919,-0.516013,0.009232
