dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.714759,5.529056,0.000002,0.000200,0.010000,0.500000,0.002032
0.020000,1.714760,5.529056,0.000003,0.000055,-0.007237,-0.861858,0.002028
0.020000,1.714762,5.529056,0.000006,0.000124,0.003454,0.534535,0.002020
0.020000,1.714767,5.529056,0.000010,0.000221,0.004835,0.069070,0.002004
0.020000,1.714774,5.529056,0.000017,0.000345,0.006216,0.069068,0.001980
0.020000,1.714783,5.529056,0.000027,0.000497,0.007598,0.069065,0.001945
0.020000,1.714797,5.529056,0.000040,0.000677,0.008979,0.069061,0.001898
0.020000,1.714815,5.529056,0.000058,0.000884,0.010360,0.069056,0.001836
0.020000,1.714837,5.529056,0.000080,0.001119,0.011741,0.069048,0.001758
0.020000,1.714865,5.529056,0.000108,0.001381,0.013122,0.069039,0.001661
0.020000,1.714898,5.529056,0.000142,0.001671,0.014502,0.069027,0.001544
0.020000,1.714938,5.529056,0.000181,0.001989,0.015882,0.069012,0.001405
0.020000,1.714985,5.529056,0.000228,0.002334,0.017262,0.068994,0.001242
0.020000,1.715039,5.529057,0.000282,0.002707,0.018642,0.068973,0.001052
0.020000,1.715101,5.529057,0.000344,0.003108,0.020021,0.068948,0.000835
0.020000,1.715172,5.529057,0.000415,0.003536,0.021399,0.068919,0.000587
0.020000,1.715251,5.529057,0.000495,0.003991,0.022777,0.068886,0.000308
0.020000,1.715352,5.529057,0.000595,0.005034,0.052147,1.468520,6.283180
0.020000,1.716174,5.529057,0.001417,0.041098,1.803222,87.553755,6.282831
0.020000,1.717085,5.529056,0.002328,0.045532,0.221692,-79.076516,6.282444
0.020000,1.718089,5.529055,0.003332,0.050192,0.232978,0.564308,6.282018
0.020000,1.719190,5.529054,0.004433,0.055077,0.244248,0.563467,6.281550
0.020000,1.720394,5.529051,0.005637,0.060197,0.256028,0.589031,6.281039
0.020000,1.721705,5.529048,0.006949,0.065573,0.268784,0.637794,6.280482
0.020000,1.723128,5.529044,0.008372,0.071136,0.278157,0.468637,6.279877
0.020000,1.724667,5.529038,0.009910,0.076923,0.289351,0.559692,6.279224
0.020000,1.726326,5.529031,0.011570,0.082989,0.303297,0.697320,6.278518
0.020000,1.728111,5.529022,0.013355,0.089237,0.312375,0.453904,6.277760
0.020000,1.730025,5.529011,0.015269,0.095710,0.323682,0.565340,6.276946
0.020000,1.732074,5.528997,0.017318,0.102459,0.337437,0.687755,6.276075
0.020000,1.734262,5.528981,0.019505,0.109368,0.345432,0.399752,6.275146
0.020000,1.736593,5.528961,0.021837,0.116579,0.360579,0.757327,6.274154
0.020000,1.739072,5.528937,0.024316,0.123942,0.368116,0.376886,6.273100
0.020000,1.741704,5.528909,0.026948,0.131610,0.383430,0.765703,6.271981
0.020000,1.744492,5.528876,0.029737,0.139433,0.391144,0.385706,6.270795
0.020000,1.747443,5.528838,0.032687,0.147542,0.405464,0.715982,6.269540
0.020000,1.750560,5.528793,0.035804,0.155849,0.415316,0.492572,6.268214
0.020000,1.753847,5.528742,0.039092,0.164371,0.426133,0.540868,6.266815
0.020000,1.757310,5.528682,0.042555,0.173165,0.439679,0.677280,6.265341
0.020000,1.760952,5.528615,0.046198,0.182160,0.449775,0.504846,6.263791
0.020000,1.764779,5.528537,0.050026,0.191377,0.460821,0.552268,6.262161
0.020000,1.768794,5.528449,0.054042,0.200825,0.472429,0.580399,6.260451
0.020000,1.773003,5.528350,0.058252,0.210505,0.483993,0.578198,6.258659
0.020000,1.777410,5.528238,0.062661,0.220415,0.495509,0.575837,6.256782
0.020000,1.782020,5.528111,0.067272,0.230555,0.506976,0.573318,6.254818
0.020000,1.786836,5.527970,0.072090,0.240923,0.518389,0.570642,6.252766
0.020000,1.791864,5.527811,0.077121,0.251518,0.529745,0.567811,6.250623
0.020000,1.797108,5.527635,0.082367,0.262338,0.541041,0.564826,6.248388
0.020000,1.802572,5.527438,0.087835,0.273384,0.552275,0.561691,6.246059
0.020000,1.808261,5.527220,0.093528,0.284653,0.563443,0.558408,6.243633
0.020000,1.814174,5.526978,0.099447,0.295916,0.563159,-0.014200,6.241112
0.020000,1.820307,5.526712,0.105586,0.306962,0.552306,-0.542680,6.238497
0.020000,1.826657,5.526420,0.111942,0.317793,0.541562,-0.537203,6.235789
0.020000,1.833216,5.526099,0.118509,0.328356,0.528154,-0.670368,6.232992
0.020000,1.839981,5.525750,0.125283,0.338728,0.518571,-0.479165,6.230107
0.020000,1.846948,5.525369,0.132260,0.348844,0.505802,-0.638433,6.227136
0.020000,1.854111,5.524956,0.139435,0.358745,0.495045,-0.537863,6.224081
0.020000,1.861465,5.524510,0.146803,0.368398,0.482652,-0.619668,6.220945
0.020000,1.869007,5.524027,0.154360,0.377850,0.472618,-0.501692,6.217730
0.020000,1.876730,5.523508,0.162101,0.387033,0.459119,-0.674973,6.214437
0.020000,1.884631,5.522951,0.170021,0.396012,0.448988,-0.506503,6.211070
0.020000,1.892704,5.522354,0.178116,0.404759,0.437316,-0.583641,6.207630
0.020000,1.900944,5.521715,0.186381,0.413256,0.424855,-0.623056,6.204119
0.020000,1.909347,5.521035,0.194812,0.421524,0.413421,-0.571660,6.200540
0.020000,1.917908,5.520310,0.203403,0.429563,0.401926,-0.574789,6.196896
0.020000,1.926622,5.519540,0.212151,0.437384,0.391067,-0.542936,6.193188
0.020000,1.935483,5.518723,0.221050,0.444956,0.378592,-0.623752,6.189419
0.020000,1.944488,5.517859,0.230096,0.452293,0.366878,-0.585695,6.185591
0.020000,1.953630,5.516946,0.239284,0.459397,0.355200,-0.583884,6.181706
0.020000,1.962906,5.515983,0.248609,0.466267,0.343484,-0.585810,6.177768
0.020000,1.972309,5.514969,0.258067,0.472902,0.331734,-0.587512,6.173778
0.020000,1.981836,5.513903,0.267653,0.479301,0.319954,-0.589000,6.169739
0.020000,1.991480,5.512784,0.277362,0.485464,0.308171,-0.589154,6.165654
0.020000,2.001238,5.511612,0.287190,0.491406,0.297076,-0.554750,6.161525
0.020000,2.011104,5.510384,0.297132,0.497098,0.284598,-0.623864,6.157353
0.020000,2.021073,5.509102,0.307183,0.502552,0.272725,-0.593656,6.153143
0.020000,2.031140,5.507764,0.317339,0.507769,0.260842,-0.594158,6.148897
0.020000,2.041300,5.506369,0.327594,0.512748,0.248952,-0.594492,6.144617
0.020000,2.051548,5.504917,0.337944,0.517511,0.238166,-0.539294,6.140305
0.020000,2.061878,5.503408,0.348384,0.522021,0.225463,-0.635188,6.135964
0.020000,2.072287,5.501841,0.358910,0.526287,0.213318,-0.607239,6.131597
0.020000,2.082768,5.500217,0.369517,0.530329,0.202100,-0.560873,6.127206
0.020000,2.093318,5.498534,0.380199,0.534138,0.190446,-0.582710,6.122795
0.020000,2.103930,5.496793,0.390953,0.537691,0.177665,-0.639040,6.118364
0.020000,2.114599,5.494994,0.401774,0.541029,0.166869,-0.539801,6.113918
0.020000,2.125322,5.493137,0.412656,0.544119,0.154538,-0.616549,6.109458
0.020000,2.136093,5.491222,0.423596,0.546967,0.142357,-0.609077,6.104988
0.020000,2.146906,5.489249,0.434588,0.549600,0.131688,-0.533440,6.100509
0.020000,2.157757,5.487219,0.445627,0.551968,0.118404,-0.664184,6.096024
0.020000,2.168642,5.485133,0.456710,0.554131,0.108145,-0.512948,6.091536
0.020000,2.179554,5.482990,0.467830,0.556031,0.094999,-0.657327,6.087047
0.020000,2.190490,5.480792,0.478985,0.557718,0.084321,-0.533887,6.082559
0.020000,2.201443,5.478538,0.490168,0.559152,0.071718,-0.630165,6.078076
0.020000,2.212411,5.476231,0.501375,0.560367,0.060735,-0.549151,6.073599
0.020000,2.223386,5.473871,0.512602,0.561334,0.048359,-0.618815,6.069131
0.020000,2.234366,5.471458,0.523843,0.562081,0.037348,-0.550527,6.064674
0.020000,2.245345,5.468995,0.535095,0.562581,0.024989,-0.617933,6.060230
0.020000,2.256318,5.466481,0.546352,0.562863,0.014129,-0.543038,6.055803
0.020000,2.267280,5.463919,0.557610,0.562897,0.001668,-0.623030,6.051393
0.020000,2.278228,5.461310,0.568864,0.562718,-0.008949,-0.530864,6.047004
0.020000,2.289158,5.458654,0.580112,0.562399,-0.015936,-0.349340,6.042636
0.020000,2.300070,5.455952,0.591354,0.562098,-0.015053,0.044156,6.038290
0.020000,2.310965,5.453204,0.602590,0.561768,-0.016480,-0.071349,6.033966
0.020000,2.321841,5.450411,0.613819,0.561453,-0.015759,0.036031,6.029665
0.020000,2.332698,5.447573,0.625041,0.561116,-0.016856,-0.054823,6.025387
0.020000,2.343537,5.444691,0.636257,0.560787,-0.016473,0.019146,6.021133
0.020000,2.354357,5.441764,0.647466,0.560443,-0.017200,-0.036378,6.016902
0.020000,2.365158,5.438794,0.658668,0.560100,-0.017145,0.002746,6.012696
0.020000,2.375940,5.435780,0.669863,0.559749,-0.017538,-0.019646,6.008514
0.020000,2.386702,5.432723,0.681051,0.559393,-0.017775,-0.011821,6.004357
0.020000,2.397444,5.429623,0.692231,0.559036,-0.017871,-0.004831,6.000225
0.020000,2.408167,5.426482,0.703405,0.558669,-0.018359,-0.024382,5.996119
0.020000,2.418870,5.423298,0.714571,0.558305,-0.018201,0.007913,5.992038
0.020000,2.429552,5.420074,0.725729,0.557927,-0.018897,-0.034812,5.987983
0.020000,2.440214,5.416808,0.736880,0.557556,-0.018528,0.018478,5.983955
0.020000,2.450856,5.413502,0.748024,0.557170,-0.019302,-0.038731,5.979953
0.020000,2.461477,5.410155,0.759160,0.556790,-0.019024,0.013910,5.975979
0.020000,2.472077,5.406769,0.770288,0.556398,-0.019574,-0.027525,5.972031
0.020000,2.482657,5.403344,0.781408,0.556008,-0.019518,0.002824,5.968111
0.020000,2.493215,5.399880,0.792520,0.555611,-0.019824,-0.015315,5.964219
0.020000,2.503753,5.396377,0.803624,0.555212,-0.019962,-0.006892,5.960354
0.020000,2.514269,5.392837,0.814720,0.554811,-0.020076,-0.005673,5.956518
0.020000,2.524764,5.389259,0.825808,0.554404,-0.020357,-0.014077,5.952710
0.020000,2.535237,5.385644,0.836888,0.553997,-0.020328,0.001446,5.948931
