dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715339,5.243307,0.000002,0.000200,0.010000,0.500000,0.002032
0.020000,1.715339,5.243307,0.000010,0.000600,0.020000,0.500000,0.002028
0.020000,1.715339,5.243307,0.000028,0.001200,0.030000,0.500000,0.002020
0.020000,1.715339,5.243307,0.000060,0.002000,0.040000,0.500000,0.002004
0.020000,1.715339,5.243307,0.000110,0.003000,0.050000,0.500000,0.001980
0.020000,1.715339,5.243307,0.000182,0.004200,0.060000,0.500000,0.001945
0.020000,1.715339,5.243307,0.000280,0.005600,0.070000,0.500000,0.001898
0.020000,1.715339,5.243307,0.000408,0.007200,0.080000,0.500000,0.001836
0.020000,1.715339,5.243307,0.000570,0.009000,0.090000,0.500000,0.001758
0.020000,1.715339,5.243307,0.000770,0.011000,0.100000,0.500000,0.001661
0.020000,1.715339,5.243307,0.001012,0.013200,0.110000,0.500000,0.001544
0.020000,1.715339,5.243307,0.001300,0.015600,0.120000,0.500000,0.001405
0.020000,1.715339,5.243307,0.001638,0.018200,0.130000,0.500000,0.001242
0.020000,1.715339,5.243307,0.002030,0.021000,0.140000,0.500000,0.001052
0.020000,1.715339,5.243307,0.002480,0.024000,0.150000,0.500000,0.000835
0.020000,1.715339,5.243307,0.002992,0.027200,0.160000,0.500000,0.000587
0.020000,1.715339,5.243307,0.003570,0.030600,0.170000,0.500000,0.000308
0.020000,1.715351,5.243307,0.004218,0.034200,0.180000,0.500000,6.283180
0.020000,1.716073,5.243307,0.004940,0.038000,0.190000,0.500000,6.282831
0.020000,1.716873,5.243306,0.005740,0.042000,0.200000,0.500000,6.282444
0.020000,1.717755,5.243305,0.006622,0.046200,0.210000,0.500000,6.282018
0.020000,1.718723,5.243304,0.007590,0.050600,0.220000,0.500000,6.281550
0.020000,1.719781,5.243302,0.008648,0.055200,0.230000,0.500000,6.281039
0.020000,1.720933,5.243299,0.009800,0.060000,0.240000,0.500000,6.280482
0.020000,1.722183,5.243295,0.011050,0.065000,0.250000,0.500000,6.279877
0.020000,1.723535,5.243290,0.012402,0.070200,0.260000,0.500000,6.279224
0.020000,1.724993,5.243284,0.013860,0.075600,0.270000,0.500000,6.278518
0.020000,1.726561,5.243276,0.015428,0.081200,0.280000,0.500000,6.277760
0.020000,1.728243,5.243266,0.017110,0.087000,0.290000,0.500000,6.276946
0.020000,1.730043,5.243254,0.018910,0.093000,0.300000,0.500000,6.276075
0.020000,1.731964,5.243240,0.020832,0.099200,0.310000,0.500000,6.275146
0.020000,1.734013,5.243222,0.022880,0.105600,0.320000,0.500000,6.274154
0.020000,1.736190,5.243202,0.025058,0.112200,0.330000,0.500000,6.273100
0.020000,1.738502,5.243177,0.027370,0.119000,0.340000,0.500000,6.271981
