dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715920,4.957557,0.000002,0.000200,0.010000,0.500000,0.002032
0.020000,1.715919,4.957557,0.000003,0.000055,-0.007237,-0.861858,0.002028
0.020000,1.715917,4.957557,0.000006,0.000124,0.003454,0.534535,0.002020
0.020000,1.715912,4.957557,0.000010,0.000221,0.004835,0.069070,0.002004
0.020000,1.715905,4.957557,0.000017,0.000345,0.006216,0.069068,0.001980
0.020000,1.715895,4.957557,0.000027,0.000497,0.007598,0.069065,0.001945
0.020000,1.715882,4.957557,0.000040,0.000677,0.008979,0.069061,0.001898
0.020000,1.715864,4.957557,0.000058,0.000884,0.010360,0.069056,0.001836
0.020000,1.715842,4.957557,0.000080,0.001119,0.011741,0.069048,0.001758
0.020000,1.715814,4.957557,0.000108,0.001381,0.013122,0.069039,0.001661
0.020000,1.715781,4.957557,0.000142,0.001671,0.014502,0.069027,0.001544
0.020000,1.715741,4.957557,0.000181,0.001989,0.015882,0.069012,0.001405
0.020000,1.715694,4.957557,0.000228,0.002334,0.017262,0.068994,0.001242
0.020000,1.715640,4.957557,0.000282,0.002707,0.018642,0.068973,0.001052
0.020000,1.715578,4.957557,0.000344,0.003108,0.020021,0.068948,0.000835
0.020000,1.715507,4.957557,0.000415,0.003536,0.021399,0.068919,0.000587
0.020000,1.715427,4.957557,0.000495,0.003991,0.022777,0.068886,0.000308
0.020000,1.715349,4.957557,0.000573,0.003914,-0.003837,-1.330671,6.283180
0.020000,1.715972,4.957557,0.001196,0.031125,1.360537,68.218694,6.282831
0.020000,1.716661,4.957556,0.001885,0.034482,0.167861,-59.633830,6.282444
0.020000,1.717421,4.957555,0.002645,0.038010,0.176398,0.426854,6.282018
0.020000,1.718256,4.957554,0.003480,0.041709,0.184921,0.426139,6.281550
0.020000,1.719167,4.957553,0.004391,0.045585,0.193829,0.445413,6.281039
0.020000,1.720160,4.957550,0.005384,0.049655,0.203474,0.482248,6.280482
0.020000,1.721238,4.957547,0.006462,0.053866,0.210555,0.354062,6.279877
0.020000,1.722403,4.957543,0.007627,0.058246,0.219013,0.422921,6.279224
0.020000,1.723659,4.957537,0.008883,0.062837,0.229554,0.527031,6.278518
0.020000,1.725011,4.957530,0.010235,0.067565,0.236407,0.342621,6.277760
0.020000,1.726460,4.957522,0.011684,0.072464,0.244945,0.426904,6.276946
0.020000,1.728011,4.957512,0.013235,0.077571,0.255334,0.519486,6.276075
0.020000,1.729667,4.957499,0.014891,0.082798,0.261361,0.301349,6.275146
0.020000,1.731432,4.957484,0.016656,0.088254,0.272801,0.571975,6.274154
0.020000,1.733309,4.957466,0.018533,0.093824,0.278479,0.283886,6.273100
0.020000,1.735301,4.957445,0.020525,0.099625,0.290042,0.578161,6.271981
0.020000,1.737412,4.957420,0.022636,0.105542,0.295851,0.290458,6.270795
0.020000,1.739645,4.957391,0.024870,0.111675,0.306659,0.540428,6.269540
0.020000,1.742004,4.957357,0.027229,0.117956,0.314086,0.371309,6.268214
0.020000,1.744491,4.957318,0.029717,0.124401,0.322243,0.407883,6.266815
0.020000,1.747112,4.957273,0.032338,0.131051,0.332467,0.511164,6.265341
0.020000,1.749869,4.957222,0.035095,0.137852,0.340081,0.380740,6.263791
0.020000,1.752765,4.957163,0.037991,0.144821,0.348416,0.416752,6.262161
0.020000,1.755803,4.957097,0.041031,0.151964,0.357181,0.438205,6.260451
0.020000,1.758988,4.957022,0.044216,0.159283,0.365916,0.436756,6.258659
0.020000,1.762322,4.956937,0.047552,0.166775,0.374621,0.435248,6.256782
0.020000,1.765810,4.956841,0.051041,0.174441,0.383294,0.433687,6.254818
0.020000,1.769454,4.956734,0.054686,0.182280,0.391936,0.432084,6.252766
0.020000,1.773258,4.956614,0.058492,0.190290,0.400545,0.430449,6.250623
0.020000,1.777225,4.956481,0.062461,0.198473,0.409121,0.428792,6.248388
0.020000,1.781359,4.956332,0.066598,0.206826,0.417663,0.427126,6.246059
0.020000,1.785663,4.956167,0.070905,0.215350,0.426173,0.425464,6.243633
0.020000,1.790136,4.955984,0.075382,0.223870,0.426037,-0.006785,6.241112
0.020000,1.794776,4.955783,0.080027,0.232229,0.417926,-0.405537,6.238497
0.020000,1.799580,4.955561,0.084836,0.240427,0.409921,-0.400254,6.235789
0.020000,1.804543,4.955319,0.089804,0.248426,0.399925,-0.499799,6.232992
0.020000,1.809661,4.955055,0.094930,0.256283,0.392848,-0.353880,6.230107
0.020000,1.814932,4.954767,0.100209,0.263950,0.383386,-0.473063,6.227136
0.020000,1.820353,4.954454,0.105638,0.271460,0.375474,-0.395607,6.224081
0.020000,1.825918,4.954116,0.111214,0.278787,0.366352,-0.456101,6.220945
0.020000,1.831626,4.953751,0.116933,0.285968,0.359045,-0.365379,6.217730
0.020000,1.837472,4.953358,0.122792,0.292951,0.349144,-0.495049,6.214437
0.020000,1.843453,4.952936,0.128788,0.299787,0.341823,-0.366051,6.211070
0.020000,1.849565,4.952484,0.134917,0.306454,0.333364,-0.422921,6.207630
0.020000,1.855805,4.952001,0.141176,0.312941,0.324339,-0.451257,6.204119
0.020000,1.862170,4.951485,0.147561,0.319264,0.316122,-0.410836,6.200540
0.020000,1.868655,4.950936,0.154069,0.325421,0.307888,-0.411699,6.196896
0.020000,1.875257,4.950353,0.160698,0.331425,0.300167,-0.386069,6.193188
0.020000,1.881974,4.949734,0.167443,0.337250,0.291250,-0.445837,6.189419
0.020000,1.888801,4.949078,0.174301,0.342909,0.282939,-0.415584,6.185591
0.020000,1.895734,4.948386,0.181269,0.348402,0.274682,-0.412826,6.181706
0.020000,1.902771,4.947655,0.188344,0.353731,0.266423,-0.412952,6.177768
0.020000,1.909908,4.946886,0.195522,0.358894,0.258164,-0.412968,6.173778
0.020000,1.917140,4.946077,0.202799,0.363892,0.249906,-0.412890,6.169739
0.020000,1.924466,4.945227,0.210174,0.368725,0.241668,-0.411876,6.165654
0.020000,1.931881,4.944336,0.217642,0.373405,0.233975,-0.384678,6.161525
0.020000,1.939381,4.943403,0.225200,0.377910,0.225250,-0.436225,6.157353
0.020000,1.946963,4.942428,0.232845,0.382250,0.217002,-0.412431,6.153143
0.020000,1.954625,4.941409,0.240574,0.386425,0.208760,-0.412064,6.148897
0.020000,1.962361,4.940347,0.248382,0.390436,0.200527,-0.411682,6.144617
0.020000,1.970169,4.939241,0.256268,0.394299,0.193145,-0.369097,6.140305
0.020000,1.978045,4.938090,0.264228,0.397985,0.184310,-0.441729,6.135964
0.020000,1.985985,4.936895,0.272258,0.401503,0.175906,-0.420214,6.131597
0.020000,1.993987,4.935655,0.280355,0.404867,0.168212,-0.384705,6.127206
