dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.714970,5.529056,0.000002,0.000200,0.010000,0.500000,0.001292
0.020000,1.714971,5.529056,0.000003,0.000038,-0.008091,-0.904546,0.001290
0.020000,1.714973,5.529056,0.000004,0.000086,0.002386,0.523862,0.001284
0.020000,1.714976,5.529056,0.000008,0.000153,0.003341,0.047724,0.001273
0.020000,1.714980,5.529056,0.000012,0.000239,0.004295,0.047719,0.001256
0.020000,1.714987,5.529056,0.000019,0.000344,0.005249,0.047712,0.001232
0.020000,1.714997,5.529056,0.000029,0.000468,0.006203,0.047701,0.001200
0.020000,1.715009,5.529057,0.000041,0.000611,0.007157,0.047687,0.001157
0.020000,1.715024,5.529057,0.000056,0.000773,0.008111,0.047667,0.001103
0.020000,1.715043,5.529057,0.000075,0.000954,0.009063,0.047642,0.001036
0.020000,1.715066,5.529057,0.000098,0.001155,0.010016,0.047610,0.000955
0.020000,1.715094,5.529057,0.000126,0.001374,0.010967,0.047572,0.000859
0.020000,1.715126,5.529057,0.000158,0.001612,0.011918,0.047526,0.000746
0.020000,1.715164,5.529057,0.000196,0.001870,0.012867,0.047471,0.000615
0.020000,1.715206,5.529057,0.000238,0.002146,0.013815,0.047408,0.000465
0.020000,1.715255,5.529057,0.000287,0.002441,0.014762,0.047334,0.000294
0.020000,1.715310,5.529057,0.000342,0.002755,0.015707,0.047250,0.000101
0.020000,1.715716,5.529057,0.000748,0.020295,0.876975,43.063430,6.283071
0.020000,1.716507,5.529056,0.001539,0.039544,0.962457,4.274100,6.282830
0.020000,1.717383,5.529056,0.002415,0.043813,0.213435,-37.451101,6.282563
0.020000,1.718349,5.529055,0.003381,0.048299,0.224336,0.545016,6.282269
0.020000,1.719409,5.529054,0.004441,0.053004,0.235227,0.544558,6.281946
0.020000,1.720568,5.529053,0.005600,0.057940,0.246824,0.579863,6.281594
0.020000,1.721830,5.529050,0.006862,0.063084,0.257178,0.517677,6.281210
0.020000,1.723199,5.529047,0.008231,0.068442,0.267914,0.536811,6.280794
0.020000,1.724679,5.529043,0.009711,0.074030,0.279380,0.573291,6.280344
0.020000,1.726276,5.529039,0.011308,0.079832,0.290129,0.537483,6.279859
0.020000,1.727993,5.529032,0.013025,0.085842,0.300502,0.518646,6.279338
0.020000,1.729835,5.529025,0.014867,0.092094,0.312577,0.603718,6.278779
0.020000,1.731805,5.529015,0.016838,0.098539,0.322239,0.483092,6.278181
0.020000,1.733910,5.529004,0.018942,0.105221,0.334107,0.593402,6.277543
0.020000,1.736152,5.528991,0.021184,0.112104,0.344165,0.502907,6.276863
0.020000,1.738536,5.528975,0.023569,0.119223,0.355961,0.589804,6.276141
0.020000,1.741067,5.528956,0.026099,0.126540,0.365846,0.494252,6.275375
0.020000,1.743749,5.528934,0.028781,0.134095,0.377728,0.594086,6.274563
0.020000,1.746586,5.528908,0.031618,0.141854,0.387938,0.510535,6.273706
0.020000,1.749582,5.528879,0.034615,0.149828,0.398706,0.538366,6.272801
0.020000,1.752743,5.528844,0.037775,0.158031,0.410152,0.572327,6.271847
0.020000,1.756071,5.528805,0.041104,0.166445,0.420710,0.527900,6.270843
0.020000,1.759573,5.528760,0.044606,0.175073,0.431379,0.533445,6.269788
0.020000,1.763251,5.528709,0.048284,0.183918,0.442264,0.544270,6.268681
0.020000,1.767110,5.528650,0.052144,0.192980,0.453123,0.542951,6.267520
0.020000,1.771154,5.528584,0.056189,0.202259,0.463955,0.541555,6.266305
0.020000,1.775389,5.528510,0.060424,0.211755,0.474756,0.540082,6.265035
0.020000,1.779817,5.528427,0.064853,0.221465,0.485527,0.538533,6.263707
0.020000,1.784444,5.528334,0.069481,0.231390,0.496265,0.536908,6.262322
0.020000,1.789274,5.528229,0.074312,0.241530,0.506969,0.535209,6.260878
0.020000,1.794310,5.528113,0.079349,0.251883,0.517638,0.533436,6.259375
0.020000,1.799557,5.527984,0.084598,0.262448,0.528270,0.531591,6.257810
0.020000,1.805020,5.527841,0.090063,0.273237,0.539447,0.558887,6.256184
0.020000,1.810698,5.527683,0.095743,0.284013,0.538811,-0.031845,6.254496
0.020000,1.816587,5.527509,0.101635,0.294559,0.527287,-0.576182,6.252749
0.020000,1.822682,5.527318,0.107733,0.304899,0.517015,-0.513616,6.250944
0.020000,1.828978,5.527109,0.114032,0.314994,0.504754,-0.613037,6.249082
0.020000,1.835472,5.526881,0.120530,0.324884,0.494469,-0.514221,6.247166
0.020000,1.842158,5.526633,0.127221,0.334531,0.482363,-0.605337,6.245197
0.020000,1.849032,5.526365,0.134100,0.343971,0.471995,-0.518376,6.243176
0.020000,1.856090,5.526075,0.141164,0.353175,0.460213,-0.589128,6.241106
0.020000,1.863326,5.525763,0.148407,0.362154,0.448934,-0.563908,6.238988
0.020000,1.870737,5.525427,0.155825,0.370914,0.438038,-0.544829,6.236825
0.020000,1.878317,5.525067,0.163414,0.379450,0.426777,-0.563067,6.234617
0.020000,1.886063,5.524682,0.171169,0.387756,0.415320,-0.572807,6.232366
0.020000,1.893969,5.524271,0.179086,0.395839,0.404119,-0.560057,6.230074
0.020000,1.902031,5.523833,0.187160,0.403697,0.392903,-0.560816,6.227744
0.020000,1.910244,5.523367,0.195386,0.411330,0.381674,-0.561449,6.225376
0.020000,1.918604,5.522873,0.203761,0.418739,0.370435,-0.561964,6.222973
0.020000,1.927107,5.522350,0.212280,0.425923,0.359187,-0.562363,6.220535
0.020000,1.935747,5.521797,0.220937,0.432881,0.347934,-0.562653,6.218066
0.020000,1.944520,5.521214,0.229730,0.439615,0.336678,-0.562838,6.215566
0.020000,1.953421,5.520600,0.238652,0.446123,0.325419,-0.562923,6.213038
0.020000,1.962446,5.519955,0.247700,0.452407,0.314161,-0.562914,6.210482
0.020000,1.971590,5.519277,0.256870,0.458469,0.303128,-0.551634,6.207902
0.020000,1.980849,5.518566,0.266156,0.464306,0.291841,-0.564345,6.205298
0.020000,1.990218,5.517823,0.275554,0.469915,0.280437,-0.570221,6.202672
0.020000,1.999692,5.517046,0.285060,0.475299,0.269192,-0.562252,6.200027
0.020000,2.009267,5.516235,0.294669,0.480465,0.258346,-0.542282,6.197362
0.020000,2.018939,5.515389,0.304377,0.485403,0.246882,-0.573214,6.194682
0.020000,2.028701,5.514510,0.314180,0.490114,0.235527,-0.567744,6.191986
0.020000,2.038551,5.513596,0.324072,0.494611,0.224844,-0.534130,6.189276
0.020000,2.048483,5.512647,0.334049,0.498875,0.213205,-0.581972,6.186556
0.020000,2.058494,5.511662,0.344108,0.502919,0.202233,-0.548600,6.183824
0.020000,2.068577,5.510643,0.354243,0.506742,0.191132,-0.555055,6.181085
0.020000,2.078729,5.509589,0.364449,0.510338,0.179805,-0.566360,6.178338
0.020000,2.088946,5.508500,0.374724,0.513717,0.168963,-0.542091,6.175587
0.020000,2.099222,5.507375,0.385061,0.516868,0.157537,-0.571281,6.172831
0.020000,2.109553,5.506216,0.395457,0.519803,0.146739,-0.539922,6.170073
0.020000,2.119935,5.505022,0.405907,0.522511,0.135411,-0.566404,6.167315
0.020000,2.130363,5.503794,0.416407,0.525001,0.124496,-0.545757,6.164557
0.020000,2.140832,5.502531,0.426953,0.527269,0.113408,-0.554403,6.161802
0.020000,2.151339,5.501235,0.437539,0.529314,0.102264,-0.557156,6.159050
0.020000,2.161878,5.499905,0.448162,0.531145,0.091512,-0.537611,6.156303
0.020000,2.172446,5.498543,0.458817,0.532748,0.080177,-0.566756,6.153563
0.020000,2.183037,5.497147,0.469500,0.534138,0.069501,-0.533788,6.150831
0.020000,2.193647,5.495720,0.480206,0.535305,0.058356,-0.557253,6.148108
0.020000,2.204273,5.494261,0.490931,0.536253,0.047374,-0.549137,6.145395
0.020000,2.214909,5.492772,0.501670,0.536987,0.036708,-0.533289,6.142695
0.020000,2.225551,5.491252,0.512420,0.537497,0.025516,-0.559597,6.140007
0.020000,2.236194,5.489703,0.523176,0.537793,0.014767,-0.537429,6.137334
0.020000,2.246836,5.488125,0.533934,0.537872,0.003958,-0.540471,6.134676
0.020000,2.257470,5.486520,0.544688,0.537731,-0.007047,-0.550252,6.132035
0.020000,2.268095,5.484888,0.555438,0.537484,-0.012321,-0.263684,6.129412
0.020000,2.278710,5.483228,0.566183,0.537235,-0.012457,-0.006802,6.126806
0.020000,2.289317,5.481542,0.576922,0.536983,-0.012601,-0.007185,6.124217
0.020000,2.299914,5.479829,0.587657,0.536734,-0.012464,0.006810,6.121646
0.020000,2.310502,5.478089,0.598387,0.536480,-0.012681,-0.010850,6.119093
0.020000,2.321080,5.476324,0.609111,0.536225,-0.012748,-0.003338,6.116557
0.020000,2.331649,5.474533,0.619831,0.535973,-0.012629,0.005939,6.114039
0.020000,2.342208,5.472716,0.630545,0.535715,-0.012864,-0.011746,6.111540
0.020000,2.352757,5.470874,0.641254,0.535458,-0.012862,0.000131,6.109058
0.020000,2.363297,5.469006,0.651958,0.535202,-0.012833,0.001453,6.106594
0.020000,2.373827,5.467114,0.662657,0.534942,-0.012999,-0.008323,6.104148
0.020000,2.384348,5.465197,0.673351,0.534682,-0.012974,0.001257,6.101721
0.020000,2.394858,5.463255,0.684039,0.534422,-0.013008,-0.001696,6.099312
0.020000,2.405359,5.461289,0.694722,0.534160,-0.013121,-0.005640,6.096921
