dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715339,5.243307,0.000002,0.000200,0.010000,0.500000,0.001292
0.020000,1.715339,5.243307,0.000010,0.000600,0.020000,0.500000,0.001290
0.020000,1.715339,5.243307,0.000028,0.001200,0.030000,0.500000,0.001284
0.020000,1.715339,5.243307,0.000060,0.002000,0.040000,0.500000,0.001273
0.020000,1.715339,5.243307,0.000110,0.003000,0.050000,0.500000,0.001256
0.020000,1.715339,5.243307,0.000182,0.004200,0.060000,0.500000,0.001232
0.020000,1.715339,5.243307,0.000280,0.005600,0.070000,0.500000,0.001200
0.020000,1.715339,5.243307,0.000408,0.007200,0.080000,0.500000,0.001157
0.020000,1.715339,5.243307,0.000570,0.009000,0.090000,0.500000,0.001103
0.020000,1.715339,5.243307,0.000770,0.011000,0.100000,0.500000,0.001036
0.020000,1.715339,5.243307,0.001012,0.013200,0.110000,0.500000,0.000955
0.020000,1.715339,5.243307,0.001300,0.015600,0.120000,0.500000,0.000859
0.020000,1.715339,5.243307,0.001638,0.018200,0.130000,0.500000,0.000746
0.020000,1.715339,5.243307,0.002030,0.021000,0.140000,0.500000,0.000615
0.020000,1.715339,5.243307,0.002480,0.024000,0.150000,0.500000,0.000465
0.020000,1.715339,5.243307,0.002992,0.027200,0.160000,0.500000,0.000294
0.020000,1.715339,5.243307,0.003570,0.030600,0.170000,0.500000,0.000101
0.020000,1.715683,5.243307,0.004218,0.034200,0.180000,0.500000,6.283071
0.020000,1.716406,5.243307,0.004940,0.038000,0.190000,0.500000,6.282830
0.020000,1.717206,5.243306,0.005740,0.042000,0.200000,0.500000,6.282563
0.020000,1.718088,5.243305,0.006622,0.046200,0.210000,0.500000,6.282269
0.020000,1.719055,5.243304,0.007590,0.050600,0.220000,0.500000,6.281946
0.020000,1.720114,5.243303,0.008648,0.055200,0.230000,0.500000,6.281594
0.020000,1.721266,5.243301,0.009800,0.060000,0.240000,0.500000,6.281210
0.020000,1.722515,5.243298,0.011050,0.065000,0.250000,0.500000,6.280794
0.020000,1.723868,5.243295,0.012402,0.070200,0.260000,0.500000,6.280344
0.020000,1.725326,5.243290,0.013860,0.075600,0.270000,0.500000,6.279859
0.020000,1.726893,5.243284,0.015428,0.081200,0.280000,0.500000,6.279338
0.020000,1.728576,5.243278,0.017110,0.087000,0.290000,0.500000,6.278779
0.020000,1.730375,5.243269,0.018910,0.093000,0.300000,0.500000,6.278181
0.020000,1.732297,5.243259,0.020832,0.099200,0.310000,0.500000,6.277543
0.020000,1.734345,5.243247,0.022880,0.105600,0.320000,0.500000,6.276863
0.020000,1.736523,5.243232,0.025058,0.112200,0.330000,0.500000,6.276141
0.020000,1.738835,5.243215,0.027370,0.119000,0.340000,0.500000,6.275375
0.020000,1.741285,5.243195,0.029820,0.126000,0.350000,0.500000,6.274563
0.020000,1.743877,5.243171,0.032412,0.133200,0.360000,0.500000,6.273706
0.020000,1.746615,5.243144,0.035150,0.140600,0.370000,0.500000,6.272801
0.020000,1.749503,5.243113,0.038038,0.148200,0.380000,0.500000,6.271847
0.020000,1.752545,5.243077,0.041080,0.156000,0.390000,0.500000,6.270843
0.020000,1.755744,5.243035,0.044280,0.164000,0.400000,0.500000,6.269788
0.020000,1.759106,5.242989,0.047642,0.172200,0.410000,0.500000,6.268681
0.020000,1.762634,5.242935,0.051170,0.180600,0.420000,0.500000,6.267520
0.020000,1.766331,5.242875,0.054868,0.189200,0.430000,0.500000,6.266305
0.020000,1.770202,5.242807,0.058740,0.198000,0.440000,0.500000,6.265035
0.020000,1.774252,5.242731,0.062790,0.207000,0.450000,0.500000,6.263707
0.020000,1.778483,5.242646,0.067022,0.216200,0.460000,0.500000,6.262322
0.020000,1.782900,5.242550,0.071440,0.225600,0.470000,0.500000,6.260878
0.020000,1.787507,5.242444,0.076048,0.235200,0.480000,0.500000,6.259375
0.020000,1.792307,5.242326,0.080850,0.245000,0.490000,0.500000,6.257810
0.020000,1.797305,5.242195,0.085850,0.255000,0.500000,0.500000,6.256184
0.020000,1.802501,5.242050,0.091048,0.264800,0.490000,-0.500000,6.254496
0.020000,1.807891,5.241891,0.096440,0.274400,0.480000,-0.500000,6.252749
0.020000,1.813470,5.241716,0.102022,0.283800,0.470000,-0.500000,6.250944
0.020000,1.819235,5.241525,0.107790,0.293000,0.460000,-0.500000,6.249082
0.020000,1.825182,5.241316,0.113740,0.302000,0.450000,-0.500000,6.247166
0.020000,1.831305,5.241090,0.119868,0.310800,0.440000,-0.500000,6.245197
0.020000,1.837603,5.240844,0.126170,0.319400,0.430000,-0.500000,6.243176
0.020000,1.844069,5.240578,0.132642,0.327800,0.420000,-0.500000,6.241106
0.020000,1.850701,5.240292,0.139280,0.336000,0.410000,-0.500000,6.238988
0.020000,1.857494,5.239984,0.146080,0.344000,0.400000,-0.500000,6.236825
0.020000,1.864444,5.239654,0.153038,0.351800,0.390000,-0.500000,6.234617
0.020000,1.871547,5.239301,0.160150,0.359400,0.380000,-0.500000,6.232366
0.020000,1.878800,5.238924,0.167412,0.366800,0.370000,-0.500000,6.230074
0.020000,1.886197,5.238522,0.174820,0.374000,0.360000,-0.500000,6.227744
0.020000,1.893734,5.238094,0.182370,0.381000,0.350000,-0.500000,6.225376
0.020000,1.901409,5.237641,0.190058,0.387800,0.340000,-0.500000,6.222973
0.020000,1.909216,5.237161,0.197880,0.394400,0.330000,-0.500000,6.220535
0.020000,1.917152,5.236653,0.205832,0.400800,0.320000,-0.500000,6.218066
0.020000,1.925212,5.236117,0.213910,0.407000,0.310000,-0.500000,6.215566
0.020000,1.933393,5.235553,0.222110,0.413000,0.300000,-0.500000,6.213038
0.020000,1.941690,5.234959,0.230428,0.418800,0.290000,-0.500000,6.210482
0.020000,1.950099,5.234336,0.238860,0.424400,0.280000,-0.500000,6.207902
0.020000,1.958616,5.233682,0.247402,0.429800,0.270000,-0.500000,6.205298
0.020000,1.967236,5.232998,0.256050,0.435000,0.260000,-0.500000,6.202672
0.020000,1.975957,5.232283,0.264800,0.440000,0.250000,-0.500000,6.200027
0.020000,1.984774,5.231536,0.273648,0.444800,0.240000,-0.500000,6.197362
0.020000,1.993682,5.230758,0.282590,0.449400,0.230000,-0.500000,6.194682
0.020000,2.002677,5.229947,0.291622,0.453800,0.220000,-0.500000,6.191986
0.020000,2.011756,5.229105,0.300740,0.458000,0.210000,-0.500000,6.189276
