dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.715709,4.957557,0.000002,0.000200,0.010000,0.500000,0.001292
0.020000,1.715708,4.957557,0.000003,0.000038,-0.008091,-0.904546,0.001290
0.020000,1.715706,4.957557,0.000004,0.000086,0.002386,0.523862,0.001284
0.020000,1.715703,4.957557,0.000008,0.000153,0.003341,0.047724,0.001273
0.020000,1.715698,4.957557,0.000012,0.000239,0.004295,0.047719,0.001256
0.020000,1.715692,4.957557,0.000019,0.000344,0.005249,0.047712,0.001232
0.020000,1.715682,4.957557,0.000029,0.000468,0.006203,0.047701,0.001200
0.020000,1.715670,4.957557,0.000041,0.000611,0.007157,0.047687,0.001157
0.020000,1.715654,4.957557,0.000056,0.000773,0.008111,0.047667,0.001103
0.020000,1.715635,4.957557,0.000075,0.000954,0.009063,0.047642,0.001036
0.020000,1.715612,4.957557,0.000098,0.001155,0.010016,0.047610,0.000955
0.020000,1.715585,4.957557,0.000126,0.001374,0.010967,0.047572,0.000859
0.020000,1.715553,4.957557,0.000158,0.001612,0.011918,0.047526,0.000746
0.020000,1.715515,4.957557,0.000196,0.001870,0.012867,0.047471,0.000615
0.020000,1.715472,4.957557,0.000238,0.002146,0.013815,0.047408,0.000465
0.020000,1.715423,4.957557,0.000287,0.002441,0.014762,0.047334,0.000294
0.020000,1.715368,4.957557,0.000342,0.002755,0.015707,0.047250,0.000101
0.020000,1.715651,4.957557,0.000625,0.014118,0.568120,27.620635,6.283071
0.020000,1.716304,4.957557,0.001278,0.032663,0.927249,17.956497,6.282830
0.020000,1.717028,4.957556,0.002002,0.036190,0.176371,-37.543913,6.282563
0.020000,1.717826,4.957556,0.002800,0.039898,0.185400,0.451417,6.282269
0.020000,1.718701,4.957555,0.003675,0.043787,0.194425,0.451255,6.281946
0.020000,1.719659,4.957553,0.004633,0.047867,0.204038,0.480664,6.281594
0.020000,1.720701,4.957551,0.005675,0.052120,0.212629,0.429556,6.281210
0.020000,1.721832,4.957549,0.006806,0.056551,0.221542,0.445651,6.280794
0.020000,1.723056,4.957546,0.008030,0.061172,0.231064,0.476112,6.280344
0.020000,1.724375,4.957542,0.009349,0.065972,0.240002,0.446875,6.279859
0.020000,1.725794,4.957537,0.010768,0.070945,0.248635,0.431682,6.279338
0.020000,1.727316,4.957530,0.012290,0.076118,0.258683,0.502403,6.278779
0.020000,1.728945,4.957523,0.013919,0.081453,0.266747,0.403151,6.278181
0.020000,1.730685,4.957513,0.015659,0.086986,0.276643,0.494809,6.277543
0.020000,1.732539,4.957502,0.017513,0.092687,0.285053,0.420521,6.276863
0.020000,1.734510,4.957489,0.019485,0.098586,0.294912,0.492923,6.276141
0.020000,1.736603,4.957474,0.021578,0.104650,0.303202,0.414518,6.275375
0.020000,1.738822,4.957455,0.023796,0.110913,0.313156,0.497724,6.274563
0.020000,1.741168,4.957434,0.026143,0.117348,0.321743,0.429321,6.273706
0.020000,1.743648,4.957409,0.028622,0.123964,0.330804,0.453078,6.272801
0.020000,1.746263,4.957381,0.031238,0.130773,0.340444,0.481979,6.271847
0.020000,1.749018,4.957348,0.033993,0.137760,0.349365,0.446076,6.270843
0.020000,1.751916,4.957311,0.036891,0.144928,0.358397,0.451571,6.269788
0.020000,1.754961,4.957269,0.039937,0.152280,0.367627,0.461504,6.268681
0.020000,1.758157,4.957220,0.043133,0.159817,0.376856,0.461453,6.267520
0.020000,1.761508,4.957166,0.046484,0.167539,0.386084,0.461406,6.266305
0.020000,1.765016,4.957104,0.049993,0.175445,0.395312,0.461367,6.265035
0.020000,1.768686,4.957035,0.053664,0.183536,0.404538,0.461340,6.263707
0.020000,1.772522,4.956958,0.057500,0.191811,0.413765,0.461330,6.262322
0.020000,1.776526,4.956872,0.061505,0.200271,0.422992,0.461340,6.260878
0.020000,1.780703,4.956775,0.065684,0.208916,0.432219,0.461377,6.259375
0.020000,1.785057,4.956668,0.070039,0.217745,0.441448,0.461445,6.257810
0.020000,1.789591,4.956549,0.074574,0.226768,0.451164,0.485797,6.256184
0.020000,1.794305,4.956418,0.079290,0.235790,0.451106,-0.002889,6.254496
0.020000,1.799195,4.956273,0.084182,0.244631,0.442030,-0.453803,6.252749
0.020000,1.804259,4.956115,0.089249,0.253311,0.434006,-0.401218,6.250944
0.020000,1.809492,4.955941,0.094484,0.261798,0.424341,-0.483230,6.249082
0.020000,1.814891,4.955752,0.099887,0.270124,0.416330,-0.400585,6.247166
0.020000,1.820453,4.955546,0.105452,0.278260,0.406813,-0.475833,6.245197
0.020000,1.826173,4.955323,0.111177,0.286235,0.398752,-0.403064,6.243176
0.020000,1.832049,4.955081,0.117057,0.294026,0.389521,-0.461510,6.241106
0.020000,1.838076,4.954821,0.123090,0.301640,0.380718,-0.440180,6.238988
0.020000,1.844251,4.954541,0.129272,0.309085,0.372238,-0.423970,6.236825
0.020000,1.850571,4.954241,0.135599,0.316354,0.363461,-0.438888,6.234617
0.020000,1.857032,4.953920,0.142068,0.323445,0.354525,-0.446804,6.232366
0.020000,1.863630,4.953577,0.148675,0.330361,0.345804,-0.436019,6.230074
0.020000,1.870362,4.953211,0.155417,0.337102,0.337073,-0.436544,6.227744
0.020000,1.877225,4.952822,0.162291,0.343669,0.328333,-0.437022,6.225376
0.020000,1.884214,4.952409,0.169292,0.350061,0.319584,-0.437459,6.222973
