dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.060536,0.438984,0.000002,0.000200,0.010000,0.500000,3.069915
0.020000,5.060536,0.438984,0.000002,0.000009,-0.009559,-0.977954,3.069915
0.020000,5.060536,0.438984,0.000003,0.000020,0.000551,0.505511,3.069917
0.020000,5.060537,0.438984,0.000003,0.000035,0.000772,0.011022,3.069919
0.020000,5.060538,0.438984,0.000004,0.000055,0.000992,0.011021,3.069923
0.020000,5.060539,0.438983,0.000006,0.000079,0.001212,0.011020,3.069928
0.020000,5.060542,0.438983,0.000008,0.000108,0.001433,0.011018,3.069936
0.020000,5.060544,0.438983,0.000011,0.000141,0.001653,0.011015,3.069946
0.020000,5.060548,0.438983,0.000015,0.000179,0.001873,0.011011,3.069958
0.020000,5.060552,0.438983,0.000019,0.000220,0.002093,0.011006,3.069974
0.020000,5.060558,0.438982,0.000024,0.000267,0.002313,0.010999,3.069993
0.020000,5.060564,0.438982,0.000031,0.000317,0.002533,0.010991,3.070015
0.020000,5.060571,0.438981,0.000038,0.000372,0.002753,0.010982,3.070041
0.020000,5.060580,0.438981,0.000047,0.000432,0.002972,0.010971,3.070071
0.020000,5.060590,0.438980,0.000057,0.000496,0.003191,0.010958,3.070106
0.020000,5.060601,0.438979,0.000068,0.000564,0.003410,0.010943,3.070145
0.020000,5.060614,0.438978,0.000081,0.000636,0.003629,0.010926,3.070190
0.020000,5.060628,0.438977,0.000095,0.000713,0.003847,0.010906,3.070240
0.020000,5.060514,0.438985,0.000210,0.005745,0.251591,12.387217,3.070295
0.020000,5.059733,0.439041,0.000992,0.039120,1.668747,70.857765,3.070357
0.020000,5.058873,0.439102,0.001855,0.043130,0.200492,-73.412744,3.070425
0.020000,5.057928,0.439170,0.002801,0.047335,0.210272,0.489017,3.070499
0.020000,5.056896,0.439243,0.003836,0.051736,0.220052,0.489019,3.070581
0.020000,5.055772,0.439323,0.004963,0.056333,0.229847,0.489726,3.070669
0.020000,5.054553,0.439410,0.006185,0.061127,0.239696,0.492461,3.070765
0.020000,5.053234,0.439503,0.007508,0.066115,0.249402,0.485287,3.070869
0.020000,5.051812,0.439604,0.008934,0.071299,0.259183,0.489050,3.070981
0.020000,5.050282,0.439712,0.010467,0.076680,0.269041,0.492909,3.071102
0.020000,5.048641,0.439828,0.012112,0.082256,0.278798,0.487831,3.071231
0.020000,5.046885,0.439951,0.013873,0.088027,0.288536,0.486899,3.071369
0.020000,5.045009,0.440083,0.015753,0.093995,0.298440,0.495201,3.071516
0.020000,5.043011,0.440223,0.017756,0.100158,0.308134,0.484720,3.071673
0.020000,5.040886,0.440372,0.019886,0.106517,0.317969,0.491731,3.071840
0.020000,5.038630,0.440529,0.022148,0.113073,0.327773,0.490221,3.072017
0.020000,5.036239,0.440696,0.024544,0.119824,0.337541,0.488385,3.072204
0.020000,5.033710,0.440871,0.027080,0.126771,0.347374,0.491666,3.072402
0.020000,5.031038,0.441056,0.029758,0.133914,0.357158,0.489189,3.072611
0.020000,5.028220,0.441250,0.032583,0.141253,0.366936,0.488887,3.072831
0.020000,5.025251,0.441455,0.035559,0.148789,0.376822,0.494311,3.073063
0.020000,5.022128,0.441669,0.038689,0.156520,0.386531,0.485444,3.073307
0.020000,5.018846,0.441893,0.041978,0.164448,0.396386,0.492742,3.073562
0.020000,5.015403,0.442127,0.045430,0.172573,0.406237,0.492574,3.073830
0.020000,5.011793,0.442371,0.049048,0.180892,0.415987,0.487501,3.074111
0.020000,5.008014,0.442626,0.052836,0.189409,0.425813,0.491291,3.074404
0.020000,5.004060,0.442891,0.056798,0.198121,0.435640,0.491360,3.074711
0.020000,4.999929,0.443168,0.060939,0.207031,0.445490,0.492492,3.075030
0.020000,4.995616,0.443454,0.065261,0.216137,0.455305,0.490771,3.075364
0.020000,4.991117,0.443752,0.069770,0.225440,0.465117,0.490559,3.075711
0.020000,4.986428,0.444060,0.074469,0.234939,0.474950,0.491660,3.076072
0.020000,4.981546,0.444380,0.079362,0.244634,0.484785,0.491744,3.076448
0.020000,4.976470,0.444710,0.084448,0.254331,0.484836,0.002542,3.076837
0.020000,4.971204,0.445050,0.089725,0.263833,0.475120,-0.485759,3.077241
0.020000,4.965753,0.445401,0.095188,0.273141,0.465399,-0.486076,3.077658
0.020000,4.960119,0.445760,0.100833,0.282254,0.455641,-0.487913,3.078088
0.020000,4.954307,0.446128,0.106656,0.291172,0.445903,-0.486894,3.078531
0.020000,4.948321,0.446505,0.112654,0.299896,0.436164,-0.486933,3.078986
