dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.081000,0.724000,0.000002,0.000200,0.010000,0.500000,3.069915
0.020000,5.081000,0.724000,0.000010,0.000600,0.020000,0.500000,3.069915
0.020000,5.081000,0.724000,0.000028,0.001200,0.030000,0.500000,3.069917
0.020000,5.081000,0.724000,0.000060,0.002000,0.040000,0.500000,3.069919
0.020000,5.081000,0.724000,0.000110,0.003000,0.050000,0.500000,3.069923
0.020000,5.081000,0.724000,0.000182,0.004200,0.060000,0.500000,3.069928
0.020000,5.081000,0.724000,0.000280,0.005600,0.070000,0.500000,3.069936
0.020000,5.081000,0.724000,0.000408,0.007200,0.080000,0.500000,3.069946
0.020000,5.081000,0.724000,0.000570,0.009000,0.090000,0.500000,3.069958
0.020000,5.081000,0.724000,0.000770,0.011000,0.100000,0.500000,3.069974
0.020000,5.081000,0.724000,0.001012,0.013200,0.110000,0.500000,3.069993
0.020000,5.081000,0.724000,0.001300,0.015600,0.120000,0.500000,3.070015
0.020000,5.081000,0.724000,0.001638,0.018200,0.130000,0.500000,3.070041
0.020000,5.081000,0.724000,0.002030,0.021000,0.140000,0.500000,3.070071
0.020000,5.081000,0.724000,0.002480,0.024000,0.150000,0.500000,3.070106
0.020000,5.081000,0.724000,0.002992,0.027200,0.160000,0.500000,3.070145
0.020000,5.081000,0.724000,0.003570,0.030600,0.170000,0.500000,3.070190
0.020000,5.081000,0.724000,0.004218,0.034200,0.180000,0.500000,3.070240
0.020000,5.080870,0.724009,0.004940,0.038000,0.190000,0.500000,3.070295
0.020000,5.080072,0.724066,0.005740,0.042000,0.200000,0.500000,3.070357
0.020000,5.079192,0.724129,0.006622,0.046200,0.210000,0.500000,3.070425
0.020000,5.078226,0.724198,0.007590,0.050600,0.220000,0.500000,3.070499
0.020000,5.077171,0.724273,0.008648,0.055200,0.230000,0.500000,3.070581
0.020000,5.076022,0.724355,0.009800,0.060000,0.240000,0.500000,3.070669
0.020000,5.074775,0.724443,0.011050,0.065000,0.250000,0.500000,3.070765
0.020000,5.073426,0.724539,0.012402,0.070200,0.260000,0.500000,3.070869
0.020000,5.071972,0.724642,0.013860,0.075600,0.270000,0.500000,3.070981
0.020000,5.070408,0.724752,0.015428,0.081200,0.280000,0.500000,3.071102
0.020000,5.068730,0.724871,0.017110,0.087000,0.290000,0.500000,3.071231
0.020000,5.066934,0.724997,0.018910,0.093000,0.300000,0.500000,3.071369
0.020000,5.065017,0.725132,0.020832,0.099200,0.310000,0.500000,3.071516
0.020000,5.062974,0.725275,0.022880,0.105600,0.320000,0.500000,3.071673
0.020000,5.060802,0.725427,0.025058,0.112200,0.330000,0.500000,3.071840
0.020000,5.058495,0.725588,0.027370,0.119000,0.340000,0.500000,3.072017
0.020000,5.056051,0.725758,0.029820,0.126000,0.350000,0.500000,3.072204
0.020000,5.053465,0.725937,0.032412,0.133200,0.360000,0.500000,3.072402
0.020000,5.050734,0.726126,0.035150,0.140600,0.370000,0.500000,3.072611
0.020000,5.047853,0.726325,0.038038,0.148200,0.380000,0.500000,3.072831
0.020000,5.044818,0.726534,0.041080,0.156000,0.390000,0.500000,3.073063
0.020000,5.041625,0.726753,0.044280,0.164000,0.400000,0.500000,3.073307
0.020000,5.038271,0.726982,0.047642,0.172200,0.410000,0.500000,3.073562
0.020000,5.034751,0.727221,0.051170,0.180600,0.420000,0.500000,3.073830
0.020000,5.031062,0.727471,0.054868,0.189200,0.430000,0.500000,3.074111
0.020000,5.027198,0.727731,0.058740,0.198000,0.440000,0.500000,3.074404
0.020000,5.023158,0.728003,0.062790,0.207000,0.450000,0.500000,3.074711
0.020000,5.018935,0.728285,0.067022,0.216200,0.460000,0.500000,3.075030
0.020000,5.014527,0.728578,0.071440,0.225600,0.470000,0.500000,3.075364
0.020000,5.009929,0.728882,0.076048,0.235200,0.480000,0.500000,3.075711
0.020000,5.005137,0.729197,0.080850,0.245000,0.490000,0.500000,3.076072
