dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.101464,1.009016,0.000002,0.000200,0.010000,0.500000,3.069915
0.020000,5.101464,1.009016,0.000002,0.000009,-0.009559,-0.977954,3.069915
0.020000,5.101464,1.009016,0.000003,0.000020,0.000551,0.505511,3.069917
0.020000,5.101463,1.009016,0.000003,0.000035,0.000772,0.011022,3.069919
0.020000,5.101462,1.009016,0.000004,0.000055,0.000992,0.011021,3.069923
0.020000,5.101461,1.009017,0.000006,0.000079,0.001212,0.011020,3.069928
0.020000,5.101458,1.009017,0.000008,0.000108,0.001433,0.011018,3.069936
0.020000,5.101456,1.009017,0.000011,0.000141,0.001653,0.011015,3.069946
0.020000,5.101452,1.009017,0.000015,0.000179,0.001873,0.011011,3.069958
0.020000,5.101448,1.009017,0.000019,0.000220,0.002093,0.011006,3.069974
0.020000,5.101442,1.009018,0.000024,0.000267,0.002313,0.010999,3.069993
0.020000,5.101436,1.009018,0.000031,0.000317,0.002533,0.010991,3.070015
0.020000,5.101429,1.009019,0.000038,0.000372,0.002753,0.010982,3.070041
0.020000,5.101420,1.009019,0.000047,0.000432,0.002972,0.010971,3.070071
0.020000,5.101410,1.009020,0.000057,0.000496,0.003191,0.010958,3.070106
0.020000,5.101399,1.009021,0.000068,0.000564,0.003410,0.010943,3.070145
0.020000,5.101386,1.009022,0.000081,0.000636,0.003629,0.010926,3.070190
0.020000,5.101372,1.009023,0.000095,0.000713,0.003847,0.010906,3.070240
0.020000,5.101226,1.009033,0.000242,0.007335,0.331060,16.360678,3.070295
0.020000,5.100410,1.009092,0.001059,0.040881,1.677311,67.312545,3.070357
0.020000,5.099511,1.009156,0.001961,0.045071,0.209489,-73.391129,3.070425
0.020000,5.098524,1.009226,0.002950,0.049465,0.219701,0.510623,3.070499
0.020000,5.097446,1.009303,0.004031,0.054063,0.229912,0.510560,3.070581
0.020000,5.096271,1.009386,0.005208,0.058866,0.240137,0.511227,3.070669
0.020000,5.094997,1.009477,0.006486,0.063874,0.250417,0.514005,3.070765
0.020000,5.093619,1.009574,0.007868,0.069085,0.260546,0.506423,3.070869
0.020000,5.092132,1.009680,0.009358,0.074500,0.270751,0.510263,3.070981
0.020000,5.090534,1.009793,0.010960,0.080121,0.281035,0.514195,3.071102
0.020000,5.088819,1.009914,0.012679,0.085945,0.291210,0.508781,3.071231
0.020000,5.086984,1.010043,0.014518,0.091972,0.301364,0.507690,3.071369
0.020000,5.085025,1.010180,0.016483,0.098206,0.311689,0.516240,3.071516
0.020000,5.082937,1.010327,0.018575,0.104642,0.321792,0.505156,3.071673
0.020000,5.080717,1.010482,0.020801,0.111282,0.332039,0.512339,3.071840
0.020000,5.078360,1.010647,0.023164,0.118128,0.342251,0.510610,3.072017
0.020000,5.075863,1.010820,0.025667,0.125176,0.352422,0.508531,3.072204
0.020000,5.073221,1.011004,0.028316,0.132429,0.362657,0.511787,3.072402
0.020000,5.070430,1.011197,0.031113,0.139886,0.372838,0.509019,3.072611
0.020000,5.067486,1.011400,0.034064,0.147546,0.383008,0.508511,3.072831
0.020000,5.064385,1.011613,0.037173,0.155412,0.393288,0.513975,3.073063
0.020000,5.061123,1.011837,0.040442,0.163479,0.403378,0.504499,3.073307
0.020000,5.057696,1.012071,0.043877,0.171752,0.413615,0.511897,3.073562
0.020000,5.054100,1.012315,0.047482,0.180229,0.423845,0.511484,3.073830
0.020000,5.050330,1.012570,0.051260,0.188908,0.433964,0.505937,3.074111
0.020000,5.046383,1.012837,0.055216,0.197791,0.444157,0.509634,3.074404
0.020000,5.042255,1.013114,0.059353,0.206878,0.454345,0.509432,3.074711
0.020000,5.037941,1.013402,0.063677,0.216169,0.464552,0.510326,3.075030
0.020000,5.033438,1.013701,0.068190,0.225663,0.474716,0.508229,3.075364
0.020000,5.028741,1.014012,0.072897,0.235361,0.484870,0.507694,3.075711
0.020000,5.023846,1.014334,0.077802,0.245261,0.495040,0.508514,3.076072
0.020000,5.018750,1.014668,0.082910,0.255366,0.505206,0.508259,3.076448
0.020000,5.013452,1.015012,0.088219,0.265469,0.505152,-0.002704,3.076837
0.020000,5.007956,1.015367,0.093726,0.275367,0.494901,-0.512549,3.077241
0.020000,5.002266,1.015733,0.099428,0.285059,0.484642,-0.512937,3.077658
0.020000,4.996387,1.016108,0.105318,0.294546,0.474344,-0.514897,3.078088
0.020000,4.990323,1.016492,0.111395,0.303828,0.464067,-0.513864,3.078531
0.020000,4.984077,1.016885,0.117653,0.312903,0.453788,-0.513922,3.078986
0.020000,4.977654,1.017286,0.124089,0.321775,0.443591,-0.509856,3.079454
0.020000,4.971058,1.017695,0.130697,0.330440,0.433262,-0.516458,3.079932
0.020000,4.964293,1.018111,0.137475,0.338900,0.422959,-0.515166,3.080422
0.020000,4.957363,1.018534,0.144418,0.347156,0.412805,-0.507693,3.080923
0.020000,4.950272,1.018963,0.151523,0.355204,0.402415,-0.519498,3.081434
0.020000,4.943024,1.019398,0.158784,0.363049,0.392227,-0.509411,3.081956
0.020000,4.935623,1.019837,0.166197,0.370687,0.381906,-0.516047,3.082487
0.020000,4.928074,1.020282,0.173760,0.378120,0.371689,-0.510823,3.083027
0.020000,4.920380,1.020731,0.181467,0.385348,0.361355,-0.516687,3.083576
0.020000,4.912545,1.021184,0.189314,0.392371,0.351190,-0.508273,3.084134
0.020000,4.904575,1.021640,0.197298,0.399188,0.340822,-0.518390,3.084700
0.020000,4.896472,1.022099,0.205414,0.405800,0.330623,-0.509962,3.085274
0.020000,4.888240,1.022561,0.213658,0.412207,0.320360,-0.513168,3.085856
0.020000,4.879885,1.023025,0.222026,0.418409,0.310056,-0.515159,3.086444
0.020000,4.871410,1.023490,0.230514,0.424405,0.299821,-0.511774,3.087039
0.020000,4.862819,1.023957,0.239118,0.430197,0.289609,-0.510616,3.087641
0.020000,4.854115,1.024424,0.247834,0.435783,0.279296,-0.515639,3.088249
0.020000,4.845305,1.024892,0.256657,0.441164,0.269047,-0.512443,3.088862
0.020000,4.836390,1.025359,0.265584,0.446340,0.258799,-0.512395,3.089481
0.020000,4.827376,1.025827,0.274610,0.451311,0.248567,-0.511594,3.090105
0.020000,4.818266,1.026293,0.283732,0.456078,0.238329,-0.511916,3.090733
0.020000,4.809065,1.026759,0.292944,0.460639,0.228057,-0.513608,3.091366
0.020000,4.799777,1.027223,0.302244,0.464995,0.217815,-0.512101,3.092002
0.020000,4.790405,1.027685,0.311627,0.469147,0.207574,-0.512016,3.092643
0.020000,4.780955,1.028145,0.321089,0.473094,0.197336,-0.511924,3.093286
0.020000,4.771429,1.028602,0.330626,0.476836,0.187099,-0.511827,3.093932
0.020000,4.761832,1.029057,0.340233,0.480373,0.176865,-0.511723,3.094581
0.020000,4.752169,1.029508,0.349907,0.483705,0.166633,-0.511615,3.095233
0.020000,4.742442,1.029956,0.359644,0.486834,0.156403,-0.511502,3.095886
0.020000,4.732657,1.030401,0.369439,0.489757,0.146175,-0.511384,3.096541
0.020000,4.722818,1.030841,0.379289,0.492476,0.135950,-0.511262,3.097197
0.020000,4.712927,1.031277,0.389189,0.494991,0.125727,-0.511136,3.097854
0.020000,4.702991,1.031709,0.399135,0.497301,0.115507,-0.511006,3.098512
0.020000,4.693012,1.032136,0.409123,0.499406,0.105289,-0.510874,3.099171
0.020000,4.682994,1.032558,0.419149,0.501308,0.095075,-0.510738,3.099829
0.020000,4.672943,1.032974,0.429209,0.503005,0.084863,-0.510601,3.100488
0.020000,4.662861,1.033386,0.439299,0.504498,0.074653,-0.510460,3.101145
0.020000,4.652754,1.033791,0.449415,0.505787,0.064447,-0.510318,3.101802
0.020000,4.642624,1.034191,0.459552,0.506872,0.054243,-0.510174,3.102458
0.020000,4.632477,1.034585,0.469707,0.507753,0.044043,-0.510029,3.103113
0.020000,4.622316,1.034973,0.479876,0.508430,0.033845,-0.509882,3.103766
0.020000,4.612145,1.035355,0.490054,0.508903,0.023651,-0.509735,3.104417
0.020000,4.601968,1.035730,0.500237,0.509172,0.013471,-0.508974,3.105066
0.020000,4.591790,1.036098,0.510422,0.509238,0.003274,-0.509866,3.105713
0.020000,4.581613,1.036461,0.520606,0.509201,-0.001824,-0.254909,3.106357
0.020000,4.571435,1.036816,0.530789,0.509165,-0.001826,-0.000055,3.106998
0.020000,4.561259,1.037165,0.540972,0.509128,-0.001827,-0.000054,3.107637
0.020000,4.551083,1.037507,0.551154,0.509092,-0.001828,-0.000054,3.108273
0.020000,4.540907,1.037843,0.561335,0.509055,-0.001829,-0.000053,3.108907
0.020000,4.530732,1.038173,0.571515,0.509018,-0.001830,-0.000052,3.109538
0.020000,4.520558,1.038496,0.581695,0.508982,-0.001831,-0.000051,3.110167
0.020000,4.510384,1.038812,0.591874,0.508945,-0.001832,-0.000051,3.110793
0.020000,4.500210,1.039123,0.602052,0.508909,-0.001833,-0.000050,3.111417
0.020000,4.490037,1.039427,0.612229,0.508872,-0.001834,-0.000049,3.112038
0.020000,4.479865,1.039724,0.622406,0.508835,-0.001822,0.000576,3.112656
0.020000,4.469693,1.040016,0.632582,0.508799,-0.001835,-0.000650,3.113272
0.020000,4.459522,1.040301,0.642757,0.508762,-0.001837,-0.000091,3.113885
0.020000,4.449351,1.040579,0.652932,0.508725,-0.001838,-0.000046,3.114496
0.020000,4.439181,1.040852,0.663106,0.508688,-0.001839,-0.000045,3.115104
0.020000,4.429012,1.041118,0.673279,0.508652,-0.001840,-0.000044,3.115709
0.020000,4.418843,1.041378,0.683451,0.508615,-0.001841,-0.000044,3.116312
0.020000,4.408674,1.041632,0.693623,0.508578,-0.001842,-0.000043,3.116913
0.020000,4.398506,1.041880,0.703793,0.508541,-0.001842,-0.000042,3.117511
0.020000,4.388339,1.042122,0.713963,0.508504,-0.001843,-0.000042,3.118106
0.020000,4.378173,1.042358,0.724133,0.508467,-0.001844,-0.000041,3.118698
0.020000,4.368007,1.042588,0.734301,0.508431,-0.001843,0.000075,3.119289
0.020000,4.357841,1.042812,0.744469,0.508394,-0.001837,0.000259,3.119876
0.020000,4.347676,1.043029,0.754636,0.508357,-0.001847,-0.000474,3.120461
0.020000,4.337512,1.043241,0.764803,0.508320,-0.001848,-0.000038,3.121043
0.020000,4.327349,1.043447,0.774968,0.508283,-0.001848,-0.000038,3.121623
0.020000,4.317186,1.043647,0.785133,0.508246,-0.001849,-0.000037,3.122200
0.020000,4.307023,1.043841,0.795298,0.508209,-0.001850,-0.000036,3.122775
0.020000,4.296862,1.044030,0.805461,0.508172,-0.001851,-0.000036,3.123347
0.020000,4.286701,1.044212,0.815624,0.508135,-0.001851,-0.000035,3.123916
0.020000,4.276540,1.044389,0.825786,0.508098,-0.001852,-0.000035,3.124483
0.020000,4.266380,1.044560,0.835947,0.508061,-0.001853,-0.000034,3.125047
0.020000,4.256221,1.044725,0.846107,0.508024,-0.001853,-0.000033,3.125609
0.020000,4.246063,1.044885,0.856267,0.507987,-0.001849,0.000204,3.126168
0.020000,4.235905,1.045039,0.866426,0.507950,-0.001851,-0.000101,3.126724
0.020000,4.225748,1.045187,0.876584,0.507913,-0.001856,-0.000218,3.127278
0.020000,4.215591,1.045330,0.886742,0.507876,-0.001856,-0.000031,3.127829
0.020000,4.205435,1.045467,0.896899,0.507838,-0.001857,-0.000030,3.128378
0.020000,4.195280,1.045598,0.907055,0.507801,-0.001857,-0.000030,3.128924
0.020000,4.185126,1.045724,0.917210,0.507764,-0.001858,-0.000029,3.129467
0.020000,4.174972,1.045844,0.927364,0.507727,-0.001859,-0.000029,3.130008
0.020000,4.164819,1.045959,0.937518,0.507690,-0.001859,-0.000028,3.130546
0.020000,4.154666,1.046069,0.947671,0.507653,-0.001860,-0.000028,3.131082
0.020000,4.144515,1.046173,0.957824,0.507615,-0.001860,-0.000027,3.131615
0.020000,4.134363,1.046271,0.967975,0.507578,-0.001861,-0.000026,3.132145
0.020000,4.124213,1.046364,0.978126,0.507541,-0.001855,0.000277,3.132673
0.020000,4.114063,1.046452,0.988276,0.507504,-0.001862,-0.000335,3.133198
0.020000,4.103914,1.046535,0.998425,0.507467,-0.001863,-0.000034,3.133721
0.020000,4.093766,1.046612,1.008574,0.507429,-0.001863,-0.000024,3.134241
0.020000,4.083619,1.046684,1.018722,0.507392,-0.001864,-0.000024,3.134758
0.020000,4.073472,1.046751,1.028869,0.507355,-0.001864,-0.000023,3.135273
0.020000,4.063325,1.046812,1.039015,0.507317,-0.001865,-0.000023,3.135785
0.020000,4.053180,1.046869,1.049161,0.507280,-0.001865,-0.000022,3.136295
0.020000,4.043035,1.046920,1.059306,0.507243,-0.001865,-0.000022,3.136801
0.020000,4.032891,1.046966,1.069450,0.507205,-0.001866,-0.000021,3.137306
0.020000,4.022748,1.047007,1.079593,0.507168,-0.001866,-0.000021,3.137808
0.020000,4.012605,1.047043,1.089736,0.507131,-0.001865,0.000074,3.138307
0.020000,4.002464,1.047073,1.099878,0.507094,-0.001865,0.000006,3.138803
0.020000,3.992323,1.047099,1.110019,0.507056,-0.001868,-0.000153,3.139297
0.020000,3.982182,1.047120,1.120159,0.507019,-0.001868,-0.000019,3.139788
0.020000,3.972043,1.047136,1.130299,0.506981,-0.001868,-0.000018,3.140277
0.020000,3.961904,1.047147,1.140438,0.506944,-0.001869,-0.000018,3.140763
0.020000,3.951766,1.047153,1.150576,0.506907,-0.001869,-0.000018,3.141246
0.020000,3.941628,1.047154,1.160713,0.506869,-0.001870,-0.000017,3.141727
0.020000,3.931492,1.047150,1.170850,0.506832,-0.001870,-0.000017,3.142205
0.020000,3.921356,1.047141,1.180986,0.506795,-0.001870,-0.000016,3.142681
0.020000,3.911221,1.047128,1.191121,0.506757,-0.001871,-0.000016,3.143154
0.020000,3.901086,1.047110,1.201255,0.506720,-0.001871,-0.000016,3.143624
0.020000,3.890953,1.047087,1.211389,0.506682,-0.001869,0.000112,3.144092
0.020000,3.880820,1.047059,1.221522,0.506645,-0.001871,-0.000139,3.144557
0.020000,3.870688,1.047027,1.231654,0.506607,-0.001872,-0.000029,3.145019
0.020000,3.860556,1.046990,1.241785,0.506570,-0.001872,-0.000014,3.145479
0.020000,3.850426,1.046948,1.251916,0.506533,-0.001872,-0.000014,3.145936
0.020000,3.840296,1.046902,1.262046,0.506495,-0.001873,-0.000013,3.146391
0.020000,3.830167,1.046851,1.272175,0.506458,-0.001873,-0.000013,3.146843
0.020000,3.820039,1.046795,1.282303,0.506420,-0.001873,-0.000012,3.147292
0.020000,3.809911,1.046735,1.292431,0.506383,-0.001874,-0.000012,3.147739
0.020000,3.799784,1.046671,1.302558,0.506345,-0.001874,-0.000012,3.148183
0.020000,3.789659,1.046602,1.312684,0.506308,-0.001874,-0.000011,3.148625
0.020000,3.779533,1.046528,1.322810,0.506270,-0.001874,0.000020,3.149064
0.020000,3.769409,1.046450,1.332934,0.506233,-0.001874,-0.000001,3.149500
0.020000,3.759285,1.046368,1.343058,0.506195,-0.001875,-0.000061,3.149933
