dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.819632,3.817972,0.000002,0.000200,0.010000,0.500000,0.000000
0.020000,1.819632,3.817972,0.000010,0.000600,0.020000,0.500000,0.000000
0.020000,1.819632,3.817972,0.000028,0.001200,0.030000,0.500000,0.000000
0.020000,1.819632,3.817972,0.000060,0.002000,0.040000,0.500000,0.000000
0.020000,1.819632,3.817972,0.000110,0.003000,0.050000,0.500000,0.000000
0.020000,1.819632,3.817972,0.000182,0.004200,0.060000,0.500000,0.000000
0.020000,1.819632,3.817972,0.000280,0.005600,0.070000,0.500000,0.000000
0.020000,1.819632,3.817972,0.000408,0.007200,0.080000,0.500000,0.000000
0.020000,1.819632,3.817972,0.000570,0.009000,0.090000,0.500000,0.000000
0.020000,1.819632,3.817972,0.000770,0.011000,0.100000,0.500000,0.000000
0.020000,1.819632,3.817972,0.001012,0.013200,0.110000,0.500000,0.000000
0.020000,1.819632,3.817972,0.001300,0.015600,0.120000,0.500000,0.000000
0.020000,1.819632,3.817972,0.001638,0.018200,0.130000,0.500000,0.000000
0.020000,1.819632,3.817972,0.002030,0.021000,0.140000,0.500000,0.000000
0.020000,1.819632,3.817972,0.002480,0.024000,0.150000,0.500000,0.000000
0.020000,1.819632,3.817972,0.002992,0.027200,0.160000,0.500000,0.000000
0.020000,1.819726,3.817972,0.003570,0.030600,0.170000,0.500000,0.000000
0.020000,1.820374,3.817972,0.004218,0.034200,0.180000,0.500000,0.000000
0.020000,1.821096,3.817972,0.004940,0.038000,0.190000,0.500000,0.000000
0.020000,1.821896,3.817972,0.005740,0.042000,0.200000,0.500000,0.000000
0.020000,1.822778,3.817972,0.006622,0.046200,0.210000,0.500000,0.000000
0.020000,1.823746,3.817972,0.007590,0.050600,0.220000,0.500000,0.000000
0.020000,1.824804,3.817972,0.008648,0.055200,0.230000,0.500000,0.000000
0.020000,1.825956,3.817972,0.009800,0.060000,0.240000,0.500000,0.000000
0.020000,1.827206,3.817972,0.011050,0.065000,0.250000,0.500000,0.000000
0.020000,1.828558,3.817972,0.012402,0.070200,0.260000,0.500000,0.000000
0.020000,1.830016,3.817972,0.013860,0.075600,0.270000,0.500000,0.000000
0.020000,1.831584,3.817972,0.015428,0.081200,0.280000,0.500000,0.000000
0.020000,1.833266,3.817972,0.017110,0.087000,0.290000,0.500000,0.000000
